Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,incaballico,incaballiceo,incaballico,incaballicio,I mount
Active Indicative,Present,1st Person,Plural,incaballicamus,incaballicemus,incaballicimus,incaballicimus,We mount
Active Indicative,Present,2nd Person,Singular,incaballicas,incaballices,incaballicis,incaballicis,You mount
Active Indicative,Present,2nd Person,Plural,incaballicatis,incaballicetis,incaballicitis,incaballicitis,You (pl.) mount
Active Indicative,Present,3rd Person,Singular,incaballicat,incaballicet,incaballicit,incaballicit,He/she/it mount
Active Indicative,Present,3rd Person,Plural,incaballicant,incaballicent,incaballiciunt,incaballiciunt,They mount
Active Indicative,Imperfect,1st Person,Singular,incaballicabam,incaballicebam,incaballicebam,incaballiciebam,I was mounting
Active Indicative,Imperfect,1st Person,Plural,incaballicabamus,incaballicebamus,incaballicebamus,incaballiciebamus,We were mounting
Active Indicative,Imperfect,2nd Person,Singular,incaballicabas,incaballicebas,incaballicebas,incaballiciebas,You were mounting
Active Indicative,Imperfect,2nd Person,Plural,incaballicabatis,incaballicebatis,incaballicebatis,incaballiciebatis,You (pl.) were mounting
Active Indicative,Imperfect,3rd Person,Singular,incaballicabat,incaballicebat,incaballicebat,incaballiciebat,He/she/it was mounting
Active Indicative,Imperfect,3rd Person,Plural,incaballicabant,incaballicebant,incaballicebant,incaballiciebant,They were mounting
Active Indicative,Future,1st Person,Singular,incaballicabo,incaballicebo,incaballicam,incaballiciam,I will mount
Active Indicative,Future,1st Person,Plural,incaballicabimus,incaballicebimus,incaballicemus,incaballiciemus,We will mount
Active Indicative,Future,2nd Person,Singular,incaballicabis,incaballicebis,incaballices,incaballicies,You will mount
Active Indicative,Future,2nd Person,Plural,incaballicabitis,incaballicebitis,incaballicetis,incaballicietis,You (pl.) will mount
Active Indicative,Future,3rd Person,Singular,incaballicabit,incaballicebit,incaballicet,incaballiciet,He/she/it will mount
Active Indicative,Future,3rd Person,Plural,incaballicabunt,incaballicebunt,incaballicent,incaballicient,They will mount
Active Indicative,Perfect,1st Person,Singular,incaballicavi,incaballicui,incaballici,incaballici,I have mounted
Active Indicative,Perfect,1st Person,Plural,incaballicavimus,incaballicuimus,incaballicimus,incaballicimus,We have mounted
Active Indicative,Perfect,2nd Person,Singular,incaballicavisti,incaballicuisti,incaballicisti,incaballicisti,You have mounted
Active Indicative,Perfect,2nd Person,Plural,incaballicavistis,incaballicuistis,incaballicistis,incaballicistis,You (pl.) have mounted
Active Indicative,Perfect,3rd Person,Singular,incaballicavit,incaballicuit,incaballicit,incaballicit,He/she/it has mounted
Active Indicative,Perfect,3rd Person,Plural,incaballicaverunt,incaballicuerunt,incaballicerunt,incaballicerunt,They have mounted
Active Indicative,Pluperfect,1st Person,Singular,incaballicaveram,incaballicueram,incaballiceram,incaballiceram,I had mounted
Active Indicative,Pluperfect,1st Person,Plural,incaballicaveramus,incaballicueramus,incaballiceramus,incaballiceramus,We had mounted
Active Indicative,Pluperfect,2nd Person,Singular,incaballicaveras,incaballicueras,incaballiceras,incaballiceras,You had mounted
Active Indicative,Pluperfect,2nd Person,Plural,incaballicaveratis,incaballicueratis,incaballiceratis,incaballiceratis,You (pl.) had mounted
Active Indicative,Pluperfect,3rd Person,Singular,incaballicaverat,incaballicuerat,incaballicerat,incaballicerat,He/she/it had mounted
Active Indicative,Pluperfect,3rd Person,Plural,incaballicaverant,incaballicuerant,incaballicerant,incaballicerant,They had mounted
Active Indicative,Future Perfect,1st Person,Singular,incaballicavero,incaballicueero,incaballicero,incaballiciero,I will have mounted
Active Indicative,Future Perfect,1st Person,Plural,incaballicaverimus,incaballicuerimus,incaballicerimus,incaballicierimus,We will have mounted
Active Indicative,Future Perfect,2nd Person,Singular,incaballicaveris,incaballicueris,incaballiceris,incaballicieris,You will have mounted
Active Indicative,Future Perfect,2nd Person,Plural,incaballicaveritis,incaballicueritis,incaballiceritis,incaballicieritis,You (pl.) will have mounted
Active Indicative,Future Perfect,3rd Person,Singular,incaballicaverit,incaballicuerit,incaballicerit,incaballicierit,He/she/it will have mounted
Active Indicative,Future Perfect,3rd Person,Plural,incaballicaverint,incaballicuerint,incaballicerint,incaballicierint,They will have mounted
Passive Indicative,Present,1st Person,Singular,incaballicor,incaballiceor,incaballicor,incaballicior,I am being mounted
Passive Indicative,Present,1st Person,Plural,incaballicamur,incaballicemur,incaballicimur,incaballicimur,We are being mounted
Passive Indicative,Present,2nd Person,Singular,incaballicaris,incaballiceris,incaballiciris,incaballiciris,You are being mounted
Passive Indicative,Present,2nd Person,Plural,incaballicamini,incaballicemini,incaballicimini,incaballicimini,You (pl.) are being mounted
Passive Indicative,Present,3rd Person,Singular,incaballicatur,incaballicetur,incaballicitur,incaballicitur,He/she/it is being mounted
Passive Indicative,Present,3rd Person,Plural,incaballicantur,incaballicentur,incaballiciuntur,incaballiciuntur,They are being mounted
Passive Indicative,Imperfect,1st Person,Singular,incaballicabar,incaballicebar,incaballicebar,incaballiciebar,I was mounted
Passive Indicative,Imperfect,1st Person,Plural,incaballicabamur,incaballicebamur,incaballicebamur,incaballiciebamur,We were mounted
Passive Indicative,Imperfect,2nd Person,Singular,incaballicabaris,incaballicebaris,incaballicebaris,incaballiciebaris,You were mounted
Passive Indicative,Imperfect,2nd Person,Plural,incaballicabamini,incaballicebamini,incaballicebamini,incaballiciebamini,You (pl.) were mounted
Passive Indicative,Imperfect,3rd Person,Singular,incaballicabatur,incaballicebatur,incaballicebatur,incaballiciebatur,He/she/it was mounted
Passive Indicative,Imperfect,3rd Person,Plural,incaballicabantur,incaballicebantur,incaballicebantur,incaballiciebantur,They were mounted
Passive Indicative,Future,1st Person,Singular,incaballicabor,incaballicebor,incaballicar,incaballiciar,I will be mounted
Passive Indicative,Future,1st Person,Plural,incaballicabimur,incaballicebimur,incaballicemur,incaballiciemur,We will be mounted
Passive Indicative,Future,2nd Person,Singular,incaballicaberis,incaballiceberis,incaballiceris,incaballicieris,You will be mounted
Passive Indicative,Future,2nd Person,Plural,incaballicabimini,incaballicebimini,incaballicemini,incaballiciemini,You (pl.) will be mounted
Passive Indicative,Future,3rd Person,Singular,incaballicabitur,incaballicebitur,incaballicetur,incaballicietur,He/she/it will be mounted
Passive Indicative,Future,3rd Person,Plural,incaballicabuntur,incaballicebuntur,incaballicentur,incaballicientur,They will be mounted
Passive Indicative,Perfect,1st Person,Singular,incaballicatus sum,incaballicetus sum,incaballicus sum,incaballicus sum,I have been mounted
Passive Indicative,Perfect,1st Person,Plural,incaballicati sumus,incaballiceti sumus,incaballici sumus,incaballici sumus,We have been mounted
Passive Indicative,Perfect,2nd Person,Singular,incaballicatus es,incaballicetus es,incaballicus es,incaballicus es,You have been mounted
Passive Indicative,Perfect,2nd Person,Plural,incaballicati estis,incaballiceti estis,incaballici estis,incaballici estis,You (pl.) have been mounted
Passive Indicative,Perfect,3rd Person,Singular,incaballicatus est,incaballicetus est,incaballicus est,incaballicus est,He/she/it has been mounted
Passive Indicative,Perfect,3rd Person,Plural,incaballicati sunt,incaballiceti sunt,incaballici sunt,incaballici sunt,They have been mounted
Passive Indicative,Pluperfect,1st Person,Singular,incaballicatus eram,incaballicetus eram,incaballicus eram,incaballicus eram,I had been mounted
Passive Indicative,Pluperfect,1st Person,Plural,incaballicati eramus,incaballiceti eramus,incaballici eramus,incaballici eramus,We had been mounted
Passive Indicative,Pluperfect,2nd Person,Singular,incaballicatus eras,incaballicetus eras,incaballicus eras,incaballicus eras,You had been mounted
Passive Indicative,Pluperfect,2nd Person,Plural,incaballicati eratis,incaballiceti eratis,incaballici eratis,incaballici eratis,You (pl.) had been mounted
Passive Indicative,Pluperfect,3rd Person,Singular,incaballicatus erat,incaballicetus erat,incaballicus erat,incaballicus erat,He/she/it had been mounted
Passive Indicative,Pluperfect,3rd Person,Plural,incaballicati erant,incaballiceti erant,incaballici erant,incaballici erant,They had been mounted
Passive Indicative,Future Perfect,1st Person,Singular,incaballicatus ero,incaballicetus ero,incaballicus ero,incaballicus ero,I will have been mounted
Passive Indicative,Future Perfect,1st Person,Plural,incaballicati erimus,incaballiceti erimus,incaballici erimus,incaballici erimus,We will have been mounted
Passive Indicative,Future Perfect,2nd Person,Singular,incaballicatus eris,incaballicetus eris,incaballicus eris,incaballicus eris,You will have been mounted
Passive Indicative,Future Perfect,2nd Person,Plural,incaballicati eritis,incaballiceti eritis,incaballici eritis,incaballici eritis,You (pl.) will have been mounted
Passive Indicative,Future Perfect,3rd Person,Singular,incaballicatus erit,incaballicetus erit,incaballicus erit,incaballicus erit,He/she/it will have been mounted
Passive Indicative,Future Perfect,3rd Person,Plural,incaballicati erunt,incaballiceti erunt,incaballici erunt,incaballici erunt,They will have been mounted
Active Subjunctive,Present,1st Person,Singular,incaballicem,incaballicem,incaballicam,incaballicam,I may mount
Active Subjunctive,Present,1st Person,Plural,incaballicemus,incaballicemus,incaballicamus,incaballicamus,We may mount
Active Subjunctive,Present,2nd Person,Singular,incaballices,incaballices,incaballicas,incaballicas,You may mount
Active Subjunctive,Present,2nd Person,Plural,incaballicetis,incaballicetis,incaballicatis,incaballicatis,You (pl.) may mount
Active Subjunctive,Present,3rd Person,Singular,incaballicet,incaballicet,incaballicat,incaballicat,He/she/it may mount
Active Subjunctive,Present,3rd Person,Plural,incaballicent,incaballicent,incaballicant,incaballicant,They may mount
Active Subjunctive,Imperfect,1st Person,Singular,incaballicarem,incaballicerem,incaballicerem,incaballicirem,I should mount
Active Subjunctive,Imperfect,1st Person,Plural,incaballicaremus,incaballiceremus,incaballiceremus,incaballiciremus,We should mount
Active Subjunctive,Imperfect,2nd Person,Singular,incaballicares,incaballiceres,incaballiceres,incaballicires,You should mount
Active Subjunctive,Imperfect,2nd Person,Plural,incaballicaretis,incaballiceretis,incaballiceretis,incaballiciretis,You (pl.) should mount
Active Subjunctive,Imperfect,3rd Person,Singular,incaballicaret,incaballiceret,incaballiceret,incaballiciret,He/she/it should mount
Active Subjunctive,Imperfect,3rd Person,Plural,incaballicarent,incaballicerent,incaballicerent,incaballicirent,They should mount
Active Subjunctive,Perfect,1st Person,Singular,incaballicerim,incaballicuerim,incaballicerim,incaballicierim,I may have mounted
Active Subjunctive,Perfect,1st Person,Plural,incaballicerimus,incaballicuerimus,incaballicerimus,incaballicierimus,We may have mounted
Active Subjunctive,Perfect,2nd Person,Singular,incaballiceris,incaballicueris,incaballiceris,incaballicieris,You may have mounted
Active Subjunctive,Perfect,2nd Person,Plural,incaballiceritis,incaballicueritis,incaballiceritis,incaballicieritis,You (pl.) may have mounted
Active Subjunctive,Perfect,3rd Person,Singular,incaballicerit,incaballicuerit,incaballicerit,incaballicierit,He/she/it may have mounted
Active Subjunctive,Perfect,3rd Person,Plural,incaballicerint,incaballicuerint,incaballicerint,incaballicierint,They may have mounted
Active Subjunctive,Pluperfect,1st Person,Singular,incaballicissem,incaballicuissem,incaballicissem,incaballicissem,I should have mounted
Active Subjunctive,Pluperfect,1st Person,Plural,incaballicissemus,incaballicuissemus,incaballicissemus,incaballicissemus,We should have mounted
Active Subjunctive,Pluperfect,2nd Person,Singular,incaballicisses,incaballicuisses,incaballicisses,incaballicisses,You would have mounted
Active Subjunctive,Pluperfect,2nd Person,Plural,incaballicissetis,incaballicuissetis,incaballicissetis,incaballicissetis,You (pl.) would have mounted
Active Subjunctive,Pluperfect,3rd Person,Singular,incaballicisset,incaballicuisset,incaballicisset,incaballicisset,He/she/it would have mounted
Active Subjunctive,Pluperfect,3rd Person,Plural,incaballicissent,incaballicuissent,incaballicissent,incaballicissent,They would have mounted
Passive Subjunctive,Present,1st Person,Singular,incaballicer,incaballicer,incaballicar,incaballicar,I may be mounted
Passive Subjunctive,Present,1st Person,Plural,incaballicemur,incaballicemur,incaballicamur,incaballicamur,We may be mounted
Passive Subjunctive,Present,2nd Person,Singular,incaballiceris,incaballiceris,incaballicaris,incaballicaris,You may be mounted
Passive Subjunctive,Present,2nd Person,Plural,incaballicemini,incaballicemini,incaballicamini,incaballicamini,You (pl.) may be mounted
Passive Subjunctive,Present,3rd Person,Singular,incaballicetur,incaballicetur,incaballicatur,incaballicatur,He/she/it may be mounted
Passive Subjunctive,Present,3rd Person,Plural,incaballicentur,incaballicentur,incaballicantur,incaballicantur,They may be mounted
Passive Subjunctive,Imperfect,1st Person,Singular,incaballicarer,incaballicerer,incaballicerer,incaballicirer,I should be mounted
Passive Subjunctive,Imperfect,1st Person,Plural,incaballicaremur,incaballiceremur,incaballiceremur,incaballiciremur,We should be mounted
Passive Subjunctive,Imperfect,2nd Person,Singular,incaballicareris,incaballicereris,incaballicereris,incaballicireris,You would be mounted
Passive Subjunctive,Imperfect,2nd Person,Plural,incaballicaremini,incaballiceremini,incaballiceremini,incaballiciremini,You (pl.) would be mounted
Passive Subjunctive,Imperfect,3rd Person,Singular,incaballicaretur,incaballiceretur,incaballiceretur,incaballiciretur,He/she/it would be mounted
Passive Subjunctive,Imperfect,3rd Person,Plural,incaballicarentur,incaballicerentur,incaballicerentur,incaballicirentur,They would be mounted
Passive Subjunctive,Perfect,1st Person,Singular,incaballicatus sim,incaballicetus sim,incaballicus sim,incaballicus sim,I may have been mounted
Passive Subjunctive,Perfect,1st Person,Plural,incaballicati simus,incaballiceti simus,incaballici simus,incaballici simus,We may have been mounted
Passive Subjunctive,Perfect,2nd Person,Singular,incaballicatus sis,incaballicetus sis,incaballicus sis,incaballicus sis,You may have been mounted
Passive Subjunctive,Perfect,2nd Person,Plural,incaballicati sitis,incaballiceti sitis,incaballici sitis,incaballici sitis,You (pl.) may have been mounted
Passive Subjunctive,Perfect,3rd Person,Singular,incaballicatus sit,incaballicetus sit,incaballicus sit,incaballicus sit,He/she/it may have been mounted
Passive Subjunctive,Perfect,3rd Person,Plural,incaballicati sint,incaballiceti sint,incaballici sint,incaballici sint,They may have been mounted
Passive Subjunctive,Pluperfect,1st Person,Singular,incaballicatus essem,incaballicetus essem,incaballicus essem,incaballicus essem,I should have been mounted
Passive Subjunctive,Pluperfect,1st Person,Plural,incaballicati essemus,incaballiceti essemus,incaballici essemus,incaballici essemus,We should have been mounted
Passive Subjunctive,Pluperfect,2nd Person,Singular,incaballicatus esses,incaballicetus esses,incaballicus esses,incaballicus esses,You would have been mounted
Passive Subjunctive,Pluperfect,2nd Person,Plural,incaballicati essetis,incaballiceti essetis,incaballici essetis,incaballici essetis,You (pl.) would have been mounted
Passive Subjunctive,Pluperfect,3rd Person,Singular,incaballicatus esset,incaballicetus esset,incaballicus esset,incaballicus esset,He/she/it would have been mounted
Passive Subjunctive,Pluperfect,3rd Person,Plural,incaballicati essent,incaballiceti essent,incaballici essent,incaballici essent,They would have been mounted
