Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,incalcio,incalcieo,incalcio,incalcio,I pursue
Active Indicative,Present,1st Person,Plural,incalciamus,incalciemus,incalcimus,incalcimus,We pursue
Active Indicative,Present,2nd Person,Singular,incalcias,incalcies,incalcis,incalcis,You pursue
Active Indicative,Present,2nd Person,Plural,incalciatis,incalcietis,incalcitis,incalcitis,You (pl.) pursue
Active Indicative,Present,3rd Person,Singular,incalciat,incalciet,incalcit,incalcit,He/she/it pursue
Active Indicative,Present,3rd Person,Plural,incalciant,incalcient,incalciunt,incalciunt,They pursue
Active Indicative,Imperfect,1st Person,Singular,incalciabam,incalciebam,incalciebam,incalciebam,I was pursueing
Active Indicative,Imperfect,1st Person,Plural,incalciabamus,incalciebamus,incalciebamus,incalciebamus,We were pursueing
Active Indicative,Imperfect,2nd Person,Singular,incalciabas,incalciebas,incalciebas,incalciebas,You were pursueing
Active Indicative,Imperfect,2nd Person,Plural,incalciabatis,incalciebatis,incalciebatis,incalciebatis,You (pl.) were pursueing
Active Indicative,Imperfect,3rd Person,Singular,incalciabat,incalciebat,incalciebat,incalciebat,He/she/it was pursueing
Active Indicative,Imperfect,3rd Person,Plural,incalciabant,incalciebant,incalciebant,incalciebant,They were pursueing
Active Indicative,Future,1st Person,Singular,incalciabo,incalciebo,incalciam,incalciam,I will pursue
Active Indicative,Future,1st Person,Plural,incalciabimus,incalciebimus,incalciemus,incalciemus,We will pursue
Active Indicative,Future,2nd Person,Singular,incalciabis,incalciebis,incalcies,incalcies,You will pursue
Active Indicative,Future,2nd Person,Plural,incalciabitis,incalciebitis,incalcietis,incalcietis,You (pl.) will pursue
Active Indicative,Future,3rd Person,Singular,incalciabit,incalciebit,incalciet,incalciet,He/she/it will pursue
Active Indicative,Future,3rd Person,Plural,incalciabunt,incalciebunt,incalcient,incalcient,They will pursue
Active Indicative,Perfect,1st Person,Singular,incalciavi,incalciui,incalci,incalci,I have pursueed
Active Indicative,Perfect,1st Person,Plural,incalciavimus,incalciuimus,incalcimus,incalcimus,We have pursueed
Active Indicative,Perfect,2nd Person,Singular,incalciavisti,incalciuisti,incalcisti,incalcisti,You have pursueed
Active Indicative,Perfect,2nd Person,Plural,incalciavistis,incalciuistis,incalcistis,incalcistis,You (pl.) have pursueed
Active Indicative,Perfect,3rd Person,Singular,incalciavit,incalciuit,incalcit,incalcit,He/she/it has pursueed
Active Indicative,Perfect,3rd Person,Plural,incalciaverunt,incalciuerunt,incalcierunt,incalcierunt,They have pursueed
Active Indicative,Pluperfect,1st Person,Singular,incalciaveram,incalciueram,incalcieram,incalcieram,I had pursueed
Active Indicative,Pluperfect,1st Person,Plural,incalciaveramus,incalciueramus,incalcieramus,incalcieramus,We had pursueed
Active Indicative,Pluperfect,2nd Person,Singular,incalciaveras,incalciueras,incalcieras,incalcieras,You had pursueed
Active Indicative,Pluperfect,2nd Person,Plural,incalciaveratis,incalciueratis,incalcieratis,incalcieratis,You (pl.) had pursueed
Active Indicative,Pluperfect,3rd Person,Singular,incalciaverat,incalciuerat,incalcierat,incalcierat,He/she/it had pursueed
Active Indicative,Pluperfect,3rd Person,Plural,incalciaverant,incalciuerant,incalcierant,incalcierant,They had pursueed
Active Indicative,Future Perfect,1st Person,Singular,incalciavero,incalciueero,incalciero,incalciero,I will have pursueed
Active Indicative,Future Perfect,1st Person,Plural,incalciaverimus,incalciuerimus,incalcierimus,incalcierimus,We will have pursueed
Active Indicative,Future Perfect,2nd Person,Singular,incalciaveris,incalciueris,incalcieris,incalcieris,You will have pursueed
Active Indicative,Future Perfect,2nd Person,Plural,incalciaveritis,incalciueritis,incalcieritis,incalcieritis,You (pl.) will have pursueed
Active Indicative,Future Perfect,3rd Person,Singular,incalciaverit,incalciuerit,incalcierit,incalcierit,He/she/it will have pursueed
Active Indicative,Future Perfect,3rd Person,Plural,incalciaverint,incalciuerint,incalcierint,incalcierint,They will have pursueed
Passive Indicative,Present,1st Person,Singular,incalcior,incalcieor,incalcior,incalcior,I am being pursueed
Passive Indicative,Present,1st Person,Plural,incalciamur,incalciemur,incalcimur,incalcimur,We are being pursueed
