Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,incalido,incalideo,incalido,incalidio,I warm up
Active Indicative,Present,1st Person,Plural,incalidamus,incalidemus,incalidimus,incalidimus,We warm up
Active Indicative,Present,2nd Person,Singular,incalidas,incalides,incalidis,incalidis,You warm up
Active Indicative,Present,2nd Person,Plural,incalidatis,incalidetis,incaliditis,incaliditis,You (pl.) warm up
Active Indicative,Present,3rd Person,Singular,incalidat,incalidet,incalidit,incalidit,He/she/it warm up
Active Indicative,Present,3rd Person,Plural,incalidant,incalident,incalidiunt,incalidiunt,They warm up
Active Indicative,Imperfect,1st Person,Singular,incalidabam,incalidebam,incalidebam,incalidiebam,I was warm uping
Active Indicative,Imperfect,1st Person,Plural,incalidabamus,incalidebamus,incalidebamus,incalidiebamus,We were warm uping
Active Indicative,Imperfect,2nd Person,Singular,incalidabas,incalidebas,incalidebas,incalidiebas,You were warm uping
Active Indicative,Imperfect,2nd Person,Plural,incalidabatis,incalidebatis,incalidebatis,incalidiebatis,You (pl.) were warm uping
Active Indicative,Imperfect,3rd Person,Singular,incalidabat,incalidebat,incalidebat,incalidiebat,He/she/it was warm uping
Active Indicative,Imperfect,3rd Person,Plural,incalidabant,incalidebant,incalidebant,incalidiebant,They were warm uping
Active Indicative,Future,1st Person,Singular,incalidabo,incalidebo,incalidam,incalidiam,I will warm up
Active Indicative,Future,1st Person,Plural,incalidabimus,incalidebimus,incalidemus,incalidiemus,We will warm up
Active Indicative,Future,2nd Person,Singular,incalidabis,incalidebis,incalides,incalidies,You will warm up
Active Indicative,Future,2nd Person,Plural,incalidabitis,incalidebitis,incalidetis,incalidietis,You (pl.) will warm up
Active Indicative,Future,3rd Person,Singular,incalidabit,incalidebit,incalidet,incalidiet,He/she/it will warm up
Active Indicative,Future,3rd Person,Plural,incalidabunt,incalidebunt,incalident,incalidient,They will warm up
Active Indicative,Perfect,1st Person,Singular,incalidavi,incalidui,incalidi,incalidi,I have warm uped
Active Indicative,Perfect,1st Person,Plural,incalidavimus,incaliduimus,incalidimus,incalidimus,We have warm uped
Active Indicative,Perfect,2nd Person,Singular,incalidavisti,incaliduisti,incalidisti,incalidisti,You have warm uped
Active Indicative,Perfect,2nd Person,Plural,incalidavistis,incaliduistis,incalidistis,incalidistis,You (pl.) have warm uped
Active Indicative,Perfect,3rd Person,Singular,incalidavit,incaliduit,incalidit,incalidit,He/she/it has warm uped
Active Indicative,Perfect,3rd Person,Plural,incalidaverunt,incaliduerunt,incaliderunt,incaliderunt,They have warm uped
Active Indicative,Pluperfect,1st Person,Singular,incalidaveram,incalidueram,incalideram,incalideram,I had warm uped
Active Indicative,Pluperfect,1st Person,Plural,incalidaveramus,incalidueramus,incalideramus,incalideramus,We had warm uped
Active Indicative,Pluperfect,2nd Person,Singular,incalidaveras,incalidueras,incalideras,incalideras,You had warm uped
Active Indicative,Pluperfect,2nd Person,Plural,incalidaveratis,incalidueratis,incalideratis,incalideratis,You (pl.) had warm uped
Active Indicative,Pluperfect,3rd Person,Singular,incalidaverat,incaliduerat,incaliderat,incaliderat,He/she/it had warm uped
Active Indicative,Pluperfect,3rd Person,Plural,incalidaverant,incaliduerant,incaliderant,incaliderant,They had warm uped
Active Indicative,Future Perfect,1st Person,Singular,incalidavero,incalidueero,incalidero,incalidiero,I will have warm uped
Active Indicative,Future Perfect,1st Person,Plural,incalidaverimus,incaliduerimus,incaliderimus,incalidierimus,We will have warm uped
Active Indicative,Future Perfect,2nd Person,Singular,incalidaveris,incalidueris,incalideris,incalidieris,You will have warm uped
Active Indicative,Future Perfect,2nd Person,Plural,incalidaveritis,incalidueritis,incalideritis,incalidieritis,You (pl.) will have warm uped
Active Indicative,Future Perfect,3rd Person,Singular,incalidaverit,incaliduerit,incaliderit,incalidierit,He/she/it will have warm uped
Active Indicative,Future Perfect,3rd Person,Plural,incalidaverint,incaliduerint,incaliderint,incalidierint,They will have warm uped
Passive Indicative,Present,1st Person,Singular,incalidor,incalideor,incalidor,incalidior,I am being warm uped
Passive Indicative,Present,1st Person,Plural,incalidamur,incalidemur,incalidimur,incalidimur,We are being warm uped
Passive Indicative,Present,2nd Person,Singular,incalidaris,incalideris,incalidiris,incalidiris,You are being warm uped
Passive Indicative,Present,2nd Person,Plural,incalidamini,incalidemini,incalidimini,incalidimini,You (pl.) are being warm uped
Passive Indicative,Present,3rd Person,Singular,incalidatur,incalidetur,incaliditur,incaliditur,He/she/it is being warm uped
Passive Indicative,Present,3rd Person,Plural,incalidantur,incalidentur,incalidiuntur,incalidiuntur,They are being warm uped
Passive Indicative,Imperfect,1st Person,Singular,incalidabar,incalidebar,incalidebar,incalidiebar,I was warm uped
Passive Indicative,Imperfect,1st Person,Plural,incalidabamur,incalidebamur,incalidebamur,incalidiebamur,We were warm uped
Passive Indicative,Imperfect,2nd Person,Singular,incalidabaris,incalidebaris,incalidebaris,incalidiebaris,You were warm uped
Passive Indicative,Imperfect,2nd Person,Plural,incalidabamini,incalidebamini,incalidebamini,incalidiebamini,You (pl.) were warm uped
Passive Indicative,Imperfect,3rd Person,Singular,incalidabatur,incalidebatur,incalidebatur,incalidiebatur,He/she/it was warm uped
