Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,incarrico,incarriceo,incarrico,incarricio,I load
Active Indicative,Present,1st Person,Plural,incarricamus,incarricemus,incarricimus,incarricimus,We load
Active Indicative,Present,2nd Person,Singular,incarricas,incarrices,incarricis,incarricis,You load
Active Indicative,Present,2nd Person,Plural,incarricatis,incarricetis,incarricitis,incarricitis,You (pl.) load
Active Indicative,Present,3rd Person,Singular,incarricat,incarricet,incarricit,incarricit,He/she/it load
Active Indicative,Present,3rd Person,Plural,incarricant,incarricent,incarriciunt,incarriciunt,They load
Active Indicative,Imperfect,1st Person,Singular,incarricabam,incarricebam,incarricebam,incarriciebam,I was loading
Active Indicative,Imperfect,1st Person,Plural,incarricabamus,incarricebamus,incarricebamus,incarriciebamus,We were loading
Active Indicative,Imperfect,2nd Person,Singular,incarricabas,incarricebas,incarricebas,incarriciebas,You were loading
Active Indicative,Imperfect,2nd Person,Plural,incarricabatis,incarricebatis,incarricebatis,incarriciebatis,You (pl.) were loading
Active Indicative,Imperfect,3rd Person,Singular,incarricabat,incarricebat,incarricebat,incarriciebat,He/she/it was loading
Active Indicative,Imperfect,3rd Person,Plural,incarricabant,incarricebant,incarricebant,incarriciebant,They were loading
Active Indicative,Future,1st Person,Singular,incarricabo,incarricebo,incarricam,incarriciam,I will load
Active Indicative,Future,1st Person,Plural,incarricabimus,incarricebimus,incarricemus,incarriciemus,We will load
Active Indicative,Future,2nd Person,Singular,incarricabis,incarricebis,incarrices,incarricies,You will load
Active Indicative,Future,2nd Person,Plural,incarricabitis,incarricebitis,incarricetis,incarricietis,You (pl.) will load
Active Indicative,Future,3rd Person,Singular,incarricabit,incarricebit,incarricet,incarriciet,He/she/it will load
Active Indicative,Future,3rd Person,Plural,incarricabunt,incarricebunt,incarricent,incarricient,They will load
Active Indicative,Perfect,1st Person,Singular,incarricavi,incarricui,incarrici,incarrici,I have loaded
Active Indicative,Perfect,1st Person,Plural,incarricavimus,incarricuimus,incarricimus,incarricimus,We have loaded
Active Indicative,Perfect,2nd Person,Singular,incarricavisti,incarricuisti,incarricisti,incarricisti,You have loaded
Active Indicative,Perfect,2nd Person,Plural,incarricavistis,incarricuistis,incarricistis,incarricistis,You (pl.) have loaded
Active Indicative,Perfect,3rd Person,Singular,incarricavit,incarricuit,incarricit,incarricit,He/she/it has loaded
Active Indicative,Perfect,3rd Person,Plural,incarricaverunt,incarricuerunt,incarricerunt,incarricerunt,They have loaded
Active Indicative,Pluperfect,1st Person,Singular,incarricaveram,incarricueram,incarriceram,incarriceram,I had loaded
Active Indicative,Pluperfect,1st Person,Plural,incarricaveramus,incarricueramus,incarriceramus,incarriceramus,We had loaded
Active Indicative,Pluperfect,2nd Person,Singular,incarricaveras,incarricueras,incarriceras,incarriceras,You had loaded
Active Indicative,Pluperfect,2nd Person,Plural,incarricaveratis,incarricueratis,incarriceratis,incarriceratis,You (pl.) had loaded
Active Indicative,Pluperfect,3rd Person,Singular,incarricaverat,incarricuerat,incarricerat,incarricerat,He/she/it had loaded
Active Indicative,Pluperfect,3rd Person,Plural,incarricaverant,incarricuerant,incarricerant,incarricerant,They had loaded
Active Indicative,Future Perfect,1st Person,Singular,incarricavero,incarricueero,incarricero,incarriciero,I will have loaded
Active Indicative,Future Perfect,1st Person,Plural,incarricaverimus,incarricuerimus,incarricerimus,incarricierimus,We will have loaded
Active Indicative,Future Perfect,2nd Person,Singular,incarricaveris,incarricueris,incarriceris,incarricieris,You will have loaded
Active Indicative,Future Perfect,2nd Person,Plural,incarricaveritis,incarricueritis,incarriceritis,incarricieritis,You (pl.) will have loaded
Active Indicative,Future Perfect,3rd Person,Singular,incarricaverit,incarricuerit,incarricerit,incarricierit,He/she/it will have loaded
Active Indicative,Future Perfect,3rd Person,Plural,incarricaverint,incarricuerint,incarricerint,incarricierint,They will have loaded
Passive Indicative,Present,1st Person,Singular,incarricor,incarriceor,incarricor,incarricior,I am being loaded
Passive Indicative,Present,1st Person,Plural,incarricamur,incarricemur,incarricimur,incarricimur,We are being loaded
Passive Indicative,Present,2nd Person,Singular,incarricaris,incarriceris,incarriciris,incarriciris,You are being loaded
Passive Indicative,Present,2nd Person,Plural,incarricamini,incarricemini,incarricimini,incarricimini,You (pl.) are being loaded
Passive Indicative,Present,3rd Person,Singular,incarricatur,incarricetur,incarricitur,incarricitur,He/she/it is being loaded
Passive Indicative,Present,3rd Person,Plural,incarricantur,incarricentur,incarriciuntur,incarriciuntur,They are being loaded
Passive Indicative,Imperfect,1st Person,Singular,incarricabar,incarricebar,incarricebar,incarriciebar,I was loaded
Passive Indicative,Imperfect,1st Person,Plural,incarricabamur,incarricebamur,incarricebamur,incarriciebamur,We were loaded
Passive Indicative,Imperfect,2nd Person,Singular,incarricabaris,incarricebaris,incarricebaris,incarriciebaris,You were loaded
Passive Indicative,Imperfect,2nd Person,Plural,incarricabamini,incarricebamini,incarricebamini,incarriciebamini,You (pl.) were loaded
Passive Indicative,Imperfect,3rd Person,Singular,incarricabatur,incarricebatur,incarricebatur,incarriciebatur,He/she/it was loaded
Passive Indicative,Imperfect,3rd Person,Plural,incarricabantur,incarricebantur,incarricebantur,incarriciebantur,They were loaded
Passive Indicative,Future,1st Person,Singular,incarricabor,incarricebor,incarricar,incarriciar,I will be loaded
Passive Indicative,Future,1st Person,Plural,incarricabimur,incarricebimur,incarricemur,incarriciemur,We will be loaded
Passive Indicative,Future,2nd Person,Singular,incarricaberis,incarriceberis,incarriceris,incarricieris,You will be loaded
Passive Indicative,Future,2nd Person,Plural,incarricabimini,incarricebimini,incarricemini,incarriciemini,You (pl.) will be loaded
Passive Indicative,Future,3rd Person,Singular,incarricabitur,incarricebitur,incarricetur,incarricietur,He/she/it will be loaded
Passive Indicative,Future,3rd Person,Plural,incarricabuntur,incarricebuntur,incarricentur,incarricientur,They will be loaded
Passive Indicative,Perfect,1st Person,Singular,incarricatus sum,incarricetus sum,incarricus sum,incarricus sum,I have been loaded
Passive Indicative,Perfect,1st Person,Plural,incarricati sumus,incarriceti sumus,incarrici sumus,incarrici sumus,We have been loaded
Passive Indicative,Perfect,2nd Person,Singular,incarricatus es,incarricetus es,incarricus es,incarricus es,You have been loaded
Passive Indicative,Perfect,2nd Person,Plural,incarricati estis,incarriceti estis,incarrici estis,incarrici estis,You (pl.) have been loaded
