Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,indico,indiceo,indico,indicio,I declare
Active Indicative,Present,1st Person,Plural,indicamus,indicemus,indicimus,indicimus,We declare
Active Indicative,Present,2nd Person,Singular,indicas,indices,indicis,indicis,You declare
Active Indicative,Present,2nd Person,Plural,indicatis,indicetis,indicitis,indicitis,You (pl.) declare
Active Indicative,Present,3rd Person,Singular,indicat,indicet,indicit,indicit,He/she/it declare
Active Indicative,Present,3rd Person,Plural,indicant,indicent,indiciunt,indiciunt,They declare
Active Indicative,Imperfect,1st Person,Singular,indicabam,indicebam,indicebam,indiciebam,I was declareing
Active Indicative,Imperfect,1st Person,Plural,indicabamus,indicebamus,indicebamus,indiciebamus,We were declareing
Active Indicative,Imperfect,2nd Person,Singular,indicabas,indicebas,indicebas,indiciebas,You were declareing
Active Indicative,Imperfect,2nd Person,Plural,indicabatis,indicebatis,indicebatis,indiciebatis,You (pl.) were declareing
Active Indicative,Imperfect,3rd Person,Singular,indicabat,indicebat,indicebat,indiciebat,He/she/it was declareing
Active Indicative,Imperfect,3rd Person,Plural,indicabant,indicebant,indicebant,indiciebant,They were declareing
Active Indicative,Future,1st Person,Singular,indicabo,indicebo,indicam,indiciam,I will declare
Active Indicative,Future,1st Person,Plural,indicabimus,indicebimus,indicemus,indiciemus,We will declare
Active Indicative,Future,2nd Person,Singular,indicabis,indicebis,indices,indicies,You will declare
Active Indicative,Future,2nd Person,Plural,indicabitis,indicebitis,indicetis,indicietis,You (pl.) will declare
Active Indicative,Future,3rd Person,Singular,indicabit,indicebit,indicet,indiciet,He/she/it will declare
Active Indicative,Future,3rd Person,Plural,indicabunt,indicebunt,indicent,indicient,They will declare
Active Indicative,Perfect,1st Person,Singular,indicavi,indicui,indici,indici,I have declareed
Active Indicative,Perfect,1st Person,Plural,indicavimus,indicuimus,indicimus,indicimus,We have declareed
Active Indicative,Perfect,2nd Person,Singular,indicavisti,indicuisti,indicisti,indicisti,You have declareed
Active Indicative,Perfect,2nd Person,Plural,indicavistis,indicuistis,indicistis,indicistis,You (pl.) have declareed
Active Indicative,Perfect,3rd Person,Singular,indicavit,indicuit,indicit,indicit,He/she/it has declareed
Active Indicative,Perfect,3rd Person,Plural,indicaverunt,indicuerunt,indicerunt,indicerunt,They have declareed
Active Indicative,Pluperfect,1st Person,Singular,indicaveram,indicueram,indiceram,indiceram,I had declareed
Active Indicative,Pluperfect,1st Person,Plural,indicaveramus,indicueramus,indiceramus,indiceramus,We had declareed
Active Indicative,Pluperfect,2nd Person,Singular,indicaveras,indicueras,indiceras,indiceras,You had declareed
Active Indicative,Pluperfect,2nd Person,Plural,indicaveratis,indicueratis,indiceratis,indiceratis,You (pl.) had declareed
Active Indicative,Pluperfect,3rd Person,Singular,indicaverat,indicuerat,indicerat,indicerat,He/she/it had declareed
Active Indicative,Pluperfect,3rd Person,Plural,indicaverant,indicuerant,indicerant,indicerant,They had declareed
Active Indicative,Future Perfect,1st Person,Singular,indicavero,indicueero,indicero,indiciero,I will have declareed
Active Indicative,Future Perfect,1st Person,Plural,indicaverimus,indicuerimus,indicerimus,indicierimus,We will have declareed
Active Indicative,Future Perfect,2nd Person,Singular,indicaveris,indicueris,indiceris,indicieris,You will have declareed
Active Indicative,Future Perfect,2nd Person,Plural,indicaveritis,indicueritis,indiceritis,indicieritis,You (pl.) will have declareed
Active Indicative,Future Perfect,3rd Person,Singular,indicaverit,indicuerit,indicerit,indicierit,He/she/it will have declareed
Active Indicative,Future Perfect,3rd Person,Plural,indicaverint,indicuerint,indicerint,indicierint,They will have declareed
Passive Indicative,Present,1st Person,Singular,indicor,indiceor,indicor,indicior,I am being declareed
Passive Indicative,Present,1st Person,Plural,indicamur,indicemur,indicimur,indicimur,We are being declareed
Passive Indicative,Present,2nd Person,Singular,indicaris,indiceris,indiciris,indiciris,You are being declareed
Passive Indicative,Present,2nd Person,Plural,indicamini,indicemini,indicimini,indicimini,You (pl.) are being declareed
Passive Indicative,Present,3rd Person,Singular,indicatur,indicetur,indicitur,indicitur,He/she/it is being declareed
Passive Indicative,Present,3rd Person,Plural,indicantur,indicentur,indiciuntur,indiciuntur,They are being declareed
Passive Indicative,Imperfect,1st Person,Singular,indicabar,indicebar,indicebar,indiciebar,I was declareed
Passive Indicative,Imperfect,1st Person,Plural,indicabamur,indicebamur,indicebamur,indiciebamur,We were declareed
Passive Indicative,Imperfect,2nd Person,Singular,indicabaris,indicebaris,indicebaris,indiciebaris,You were declareed
Passive Indicative,Imperfect,2nd Person,Plural,indicabamini,indicebamini,indicebamini,indiciebamini,You (pl.) were declareed
Passive Indicative,Imperfect,3rd Person,Singular,indicabatur,indicebatur,indicebatur,indiciebatur,He/she/it was declareed
Passive Indicative,Imperfect,3rd Person,Plural,indicabantur,indicebantur,indicebantur,indiciebantur,They were declareed
Passive Indicative,Future,1st Person,Singular,indicabor,indicebor,indicar,indiciar,I will be declareed
Passive Indicative,Future,1st Person,Plural,indicabimur,indicebimur,indicemur,indiciemur,We will be declareed
Passive Indicative,Future,2nd Person,Singular,indicaberis,indiceberis,indiceris,indicieris,You will be declareed
Passive Indicative,Future,2nd Person,Plural,indicabimini,indicebimini,indicemini,indiciemini,You (pl.) will be declareed
Passive Indicative,Future,3rd Person,Singular,indicabitur,indicebitur,indicetur,indicietur,He/she/it will be declareed
Passive Indicative,Future,3rd Person,Plural,indicabuntur,indicebuntur,indicentur,indicientur,They will be declareed
Passive Indicative,Perfect,1st Person,Singular,indicatus sum,indicetus sum,indicus sum,indicus sum,I have been declareed
Passive Indicative,Perfect,1st Person,Plural,indicati sumus,indiceti sumus,indici sumus,indici sumus,We have been declareed
Passive Indicative,Perfect,2nd Person,Singular,indicatus es,indicetus es,indicus es,indicus es,You have been declareed
