Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,inglacio,inglacieo,inglacio,inglacio,I freeze
Active Indicative,Present,1st Person,Plural,inglaciamus,inglaciemus,inglacimus,inglacimus,We freeze
Active Indicative,Present,2nd Person,Singular,inglacias,inglacies,inglacis,inglacis,You freeze
Active Indicative,Present,2nd Person,Plural,inglaciatis,inglacietis,inglacitis,inglacitis,You (pl.) freeze
Active Indicative,Present,3rd Person,Singular,inglaciat,inglaciet,inglacit,inglacit,He/she/it freeze
Active Indicative,Present,3rd Person,Plural,inglaciant,inglacient,inglaciunt,inglaciunt,They freeze
Active Indicative,Imperfect,1st Person,Singular,inglaciabam,inglaciebam,inglaciebam,inglaciebam,I was freezeing
Active Indicative,Imperfect,1st Person,Plural,inglaciabamus,inglaciebamus,inglaciebamus,inglaciebamus,We were freezeing
Active Indicative,Imperfect,2nd Person,Singular,inglaciabas,inglaciebas,inglaciebas,inglaciebas,You were freezeing
Active Indicative,Imperfect,2nd Person,Plural,inglaciabatis,inglaciebatis,inglaciebatis,inglaciebatis,You (pl.) were freezeing
Active Indicative,Imperfect,3rd Person,Singular,inglaciabat,inglaciebat,inglaciebat,inglaciebat,He/she/it was freezeing
Active Indicative,Imperfect,3rd Person,Plural,inglaciabant,inglaciebant,inglaciebant,inglaciebant,They were freezeing
Active Indicative,Future,1st Person,Singular,inglaciabo,inglaciebo,inglaciam,inglaciam,I will freeze
Active Indicative,Future,1st Person,Plural,inglaciabimus,inglaciebimus,inglaciemus,inglaciemus,We will freeze
Active Indicative,Future,2nd Person,Singular,inglaciabis,inglaciebis,inglacies,inglacies,You will freeze
Active Indicative,Future,2nd Person,Plural,inglaciabitis,inglaciebitis,inglacietis,inglacietis,You (pl.) will freeze
Active Indicative,Future,3rd Person,Singular,inglaciabit,inglaciebit,inglaciet,inglaciet,He/she/it will freeze
Active Indicative,Future,3rd Person,Plural,inglaciabunt,inglaciebunt,inglacient,inglacient,They will freeze
Active Indicative,Perfect,1st Person,Singular,inglaciavi,inglaciui,inglaci,inglaci,I have freezeed
Active Indicative,Perfect,1st Person,Plural,inglaciavimus,inglaciuimus,inglacimus,inglacimus,We have freezeed
