Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ingrevico,ingreviceo,ingrevico,ingrevicio,I weigh down
Active Indicative,Present,1st Person,Plural,ingrevicamus,ingrevicemus,ingrevicimus,ingrevicimus,We weigh down
Active Indicative,Present,2nd Person,Singular,ingrevicas,ingrevices,ingrevicis,ingrevicis,You weigh down
Active Indicative,Present,2nd Person,Plural,ingrevicatis,ingrevicetis,ingrevicitis,ingrevicitis,You (pl.) weigh down
Active Indicative,Present,3rd Person,Singular,ingrevicat,ingrevicet,ingrevicit,ingrevicit,He/she/it weigh down
Active Indicative,Present,3rd Person,Plural,ingrevicant,ingrevicent,ingreviciunt,ingreviciunt,They weigh down
Active Indicative,Imperfect,1st Person,Singular,ingrevicabam,ingrevicebam,ingrevicebam,ingreviciebam,I was weigh downing
Active Indicative,Imperfect,1st Person,Plural,ingrevicabamus,ingrevicebamus,ingrevicebamus,ingreviciebamus,We were weigh downing
Active Indicative,Imperfect,2nd Person,Singular,ingrevicabas,ingrevicebas,ingrevicebas,ingreviciebas,You were weigh downing
Active Indicative,Imperfect,2nd Person,Plural,ingrevicabatis,ingrevicebatis,ingrevicebatis,ingreviciebatis,You (pl.) were weigh downing
Active Indicative,Imperfect,3rd Person,Singular,ingrevicabat,ingrevicebat,ingrevicebat,ingreviciebat,He/she/it was weigh downing
Active Indicative,Imperfect,3rd Person,Plural,ingrevicabant,ingrevicebant,ingrevicebant,ingreviciebant,They were weigh downing
Active Indicative,Future,1st Person,Singular,ingrevicabo,ingrevicebo,ingrevicam,ingreviciam,I will weigh down
Active Indicative,Future,1st Person,Plural,ingrevicabimus,ingrevicebimus,ingrevicemus,ingreviciemus,We will weigh down
Active Indicative,Future,2nd Person,Singular,ingrevicabis,ingrevicebis,ingrevices,ingrevicies,You will weigh down
Active Indicative,Future,2nd Person,Plural,ingrevicabitis,ingrevicebitis,ingrevicetis,ingrevicietis,You (pl.) will weigh down
Active Indicative,Future,3rd Person,Singular,ingrevicabit,ingrevicebit,ingrevicet,ingreviciet,He/she/it will weigh down
Active Indicative,Future,3rd Person,Plural,ingrevicabunt,ingrevicebunt,ingrevicent,ingrevicient,They will weigh down
Active Indicative,Perfect,1st Person,Singular,ingrevicavi,ingrevicui,ingrevici,ingrevici,I have weigh downed
Active Indicative,Perfect,1st Person,Plural,ingrevicavimus,ingrevicuimus,ingrevicimus,ingrevicimus,We have weigh downed
Active Indicative,Perfect,2nd Person,Singular,ingrevicavisti,ingrevicuisti,ingrevicisti,ingrevicisti,You have weigh downed
Active Indicative,Perfect,2nd Person,Plural,ingrevicavistis,ingrevicuistis,ingrevicistis,ingrevicistis,You (pl.) have weigh downed
