Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,inveno,inveneo,inveno,invenio,I find
Active Indicative,Present,1st Person,Plural,invenamus,invenemus,invenimus,invenimus,We find
Active Indicative,Present,2nd Person,Singular,invenas,invenes,invenis,invenis,You find
Active Indicative,Present,2nd Person,Plural,invenatis,invenetis,invenitis,invenitis,You (pl.) find
Active Indicative,Present,3rd Person,Singular,invenat,invenet,invenit,invenit,He/she/it find
Active Indicative,Present,3rd Person,Plural,invenant,invenent,inveniunt,inveniunt,They find
Active Indicative,Imperfect,1st Person,Singular,invenabam,invenebam,invenebam,inveniebam,I was finding
Active Indicative,Imperfect,1st Person,Plural,invenabamus,invenebamus,invenebamus,inveniebamus,We were finding
Active Indicative,Imperfect,2nd Person,Singular,invenabas,invenebas,invenebas,inveniebas,You were finding
Active Indicative,Imperfect,2nd Person,Plural,invenabatis,invenebatis,invenebatis,inveniebatis,You (pl.) were finding
Active Indicative,Imperfect,3rd Person,Singular,invenabat,invenebat,invenebat,inveniebat,He/she/it was finding
Active Indicative,Imperfect,3rd Person,Plural,invenabant,invenebant,invenebant,inveniebant,They were finding
Active Indicative,Future,1st Person,Singular,invenabo,invenebo,invenam,inveniam,I will find
Active Indicative,Future,1st Person,Plural,invenabimus,invenebimus,invenemus,inveniemus,We will find
Active Indicative,Future,2nd Person,Singular,invenabis,invenebis,invenes,invenies,You will find
Active Indicative,Future,2nd Person,Plural,invenabitis,invenebitis,invenetis,invenietis,You (pl.) will find
Active Indicative,Future,3rd Person,Singular,invenabit,invenebit,invenet,inveniet,He/she/it will find
Active Indicative,Future,3rd Person,Plural,invenabunt,invenebunt,invenent,invenient,They will find
Active Indicative,Perfect,1st Person,Singular,invenavi,invenui,inveni,inveni,I have finded
Active Indicative,Perfect,1st Person,Plural,invenavimus,invenuimus,invenimus,invenimus,We have finded
Active Indicative,Perfect,2nd Person,Singular,invenavisti,invenuisti,invenisti,invenisti,You have finded
Active Indicative,Perfect,2nd Person,Plural,invenavistis,invenuistis,invenistis,invenistis,You (pl.) have finded
Active Indicative,Perfect,3rd Person,Singular,invenavit,invenuit,invenit,invenit,He/she/it has finded
Active Indicative,Perfect,3rd Person,Plural,invenaverunt,invenuerunt,invenerunt,invenerunt,They have finded
Active Indicative,Pluperfect,1st Person,Singular,invenaveram,invenueram,inveneram,inveneram,I had finded
Active Indicative,Pluperfect,1st Person,Plural,invenaveramus,invenueramus,inveneramus,inveneramus,We had finded
Active Indicative,Pluperfect,2nd Person,Singular,invenaveras,invenueras,inveneras,inveneras,You had finded
Active Indicative,Pluperfect,2nd Person,Plural,invenaveratis,invenueratis,inveneratis,inveneratis,You (pl.) had finded
Active Indicative,Pluperfect,3rd Person,Singular,invenaverat,invenuerat,invenerat,invenerat,He/she/it had finded
Active Indicative,Pluperfect,3rd Person,Plural,invenaverant,invenuerant,invenerant,invenerant,They had finded
Active Indicative,Future Perfect,1st Person,Singular,invenavero,invenueero,invenero,inveniero,I will have finded
Active Indicative,Future Perfect,1st Person,Plural,invenaverimus,invenuerimus,invenerimus,invenierimus,We will have finded
Active Indicative,Future Perfect,2nd Person,Singular,invenaveris,invenueris,inveneris,invenieris,You will have finded
Active Indicative,Future Perfect,2nd Person,Plural,invenaveritis,invenueritis,inveneritis,invenieritis,You (pl.) will have finded
Active Indicative,Future Perfect,3rd Person,Singular,invenaverit,invenuerit,invenerit,invenierit,He/she/it will have finded
Active Indicative,Future Perfect,3rd Person,Plural,invenaverint,invenuerint,invenerint,invenierint,They will have finded
Passive Indicative,Present,1st Person,Singular,invenor,inveneor,invenor,invenior,I am being finded
Passive Indicative,Present,1st Person,Plural,invenamur,invenemur,invenimur,invenimur,We are being finded
Passive Indicative,Present,2nd Person,Singular,invenaris,inveneris,inveniris,inveniris,You are being finded
Passive Indicative,Present,2nd Person,Plural,invenamini,invenemini,invenimini,invenimini,You (pl.) are being finded
Passive Indicative,Present,3rd Person,Singular,invenatur,invenetur,invenitur,invenitur,He/she/it is being finded
Passive Indicative,Present,3rd Person,Plural,invenantur,invenentur,inveniuntur,inveniuntur,They are being finded
Passive Indicative,Imperfect,1st Person,Singular,invenabar,invenebar,invenebar,inveniebar,I was finded
Passive Indicative,Imperfect,1st Person,Plural,invenabamur,invenebamur,invenebamur,inveniebamur,We were finded
Passive Indicative,Imperfect,2nd Person,Singular,invenabaris,invenebaris,invenebaris,inveniebaris,You were finded
Passive Indicative,Imperfect,2nd Person,Plural,invenabamini,invenebamini,invenebamini,inveniebamini,You (pl.) were finded
Passive Indicative,Imperfect,3rd Person,Singular,invenabatur,invenebatur,invenebatur,inveniebatur,He/she/it was finded
Passive Indicative,Imperfect,3rd Person,Plural,invenabantur,invenebantur,invenebantur,inveniebantur,They were finded
Passive Indicative,Future,1st Person,Singular,invenabor,invenebor,invenar,inveniar,I will be finded
Passive Indicative,Future,1st Person,Plural,invenabimur,invenebimur,invenemur,inveniemur,We will be finded
Passive Indicative,Future,2nd Person,Singular,invenaberis,inveneberis,inveneris,invenieris,You will be finded
Passive Indicative,Future,2nd Person,Plural,invenabimini,invenebimini,invenemini,inveniemini,You (pl.) will be finded
