Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,irrigo,irrigeo,irrigo,irrigio,I moisten
Active Indicative,Present,1st Person,Plural,irrigamus,irrigemus,irrigimus,irrigimus,We moisten
Active Indicative,Present,2nd Person,Singular,irrigas,irriges,irrigis,irrigis,You moisten
Active Indicative,Present,2nd Person,Plural,irrigatis,irrigetis,irrigitis,irrigitis,You (pl.) moisten
Active Indicative,Present,3rd Person,Singular,irrigat,irriget,irrigit,irrigit,He/she/it moisten
Active Indicative,Present,3rd Person,Plural,irrigant,irrigent,irrigiunt,irrigiunt,They moisten
Active Indicative,Imperfect,1st Person,Singular,irrigabam,irrigebam,irrigebam,irrigiebam,I was moistening
Active Indicative,Imperfect,1st Person,Plural,irrigabamus,irrigebamus,irrigebamus,irrigiebamus,We were moistening
Active Indicative,Imperfect,2nd Person,Singular,irrigabas,irrigebas,irrigebas,irrigiebas,You were moistening
Active Indicative,Imperfect,2nd Person,Plural,irrigabatis,irrigebatis,irrigebatis,irrigiebatis,You (pl.) were moistening
Active Indicative,Imperfect,3rd Person,Singular,irrigabat,irrigebat,irrigebat,irrigiebat,He/she/it was moistening
Active Indicative,Imperfect,3rd Person,Plural,irrigabant,irrigebant,irrigebant,irrigiebant,They were moistening
Active Indicative,Future,1st Person,Singular,irrigabo,irrigebo,irrigam,irrigiam,I will moisten
Active Indicative,Future,1st Person,Plural,irrigabimus,irrigebimus,irrigemus,irrigiemus,We will moisten
Active Indicative,Future,2nd Person,Singular,irrigabis,irrigebis,irriges,irrigies,You will moisten
Active Indicative,Future,2nd Person,Plural,irrigabitis,irrigebitis,irrigetis,irrigietis,You (pl.) will moisten
Active Indicative,Future,3rd Person,Singular,irrigabit,irrigebit,irriget,irrigiet,He/she/it will moisten
Active Indicative,Future,3rd Person,Plural,irrigabunt,irrigebunt,irrigent,irrigient,They will moisten
Active Indicative,Perfect,1st Person,Singular,irrigavi,irrigui,irrigi,irrigi,I have moistened
Active Indicative,Perfect,1st Person,Plural,irrigavimus,irriguimus,irrigimus,irrigimus,We have moistened
