Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,iungo,iungeo,iungo,iungio,I juxtapose
Active Indicative,Present,1st Person,Plural,iungamus,iungemus,iungimus,iungimus,We juxtapose
Active Indicative,Present,2nd Person,Singular,iungas,iunges,iungis,iungis,You juxtapose
Active Indicative,Present,2nd Person,Plural,iungatis,iungetis,iungitis,iungitis,You (pl.) juxtapose
Active Indicative,Present,3rd Person,Singular,iungat,iunget,iungit,iungit,He/she/it juxtapose
Active Indicative,Present,3rd Person,Plural,iungant,iungent,iungiunt,iungiunt,They juxtapose
Active Indicative,Imperfect,1st Person,Singular,iungabam,iungebam,iungebam,iungiebam,I was juxtaposeing
Active Indicative,Imperfect,1st Person,Plural,iungabamus,iungebamus,iungebamus,iungiebamus,We were juxtaposeing
Active Indicative,Imperfect,2nd Person,Singular,iungabas,iungebas,iungebas,iungiebas,You were juxtaposeing
Active Indicative,Imperfect,2nd Person,Plural,iungabatis,iungebatis,iungebatis,iungiebatis,You (pl.) were juxtaposeing
Active Indicative,Imperfect,3rd Person,Singular,iungabat,iungebat,iungebat,iungiebat,He/she/it was juxtaposeing
Active Indicative,Imperfect,3rd Person,Plural,iungabant,iungebant,iungebant,iungiebant,They were juxtaposeing
Active Indicative,Future,1st Person,Singular,iungabo,iungebo,iungam,iungiam,I will juxtapose
Active Indicative,Future,1st Person,Plural,iungabimus,iungebimus,iungemus,iungiemus,We will juxtapose
Active Indicative,Future,2nd Person,Singular,iungabis,iungebis,iunges,iungies,You will juxtapose
Active Indicative,Future,2nd Person,Plural,iungabitis,iungebitis,iungetis,iungietis,You (pl.) will juxtapose
Active Indicative,Future,3rd Person,Singular,iungabit,iungebit,iunget,iungiet,He/she/it will juxtapose
Active Indicative,Future,3rd Person,Plural,iungabunt,iungebunt,iungent,iungient,They will juxtapose
Active Indicative,Perfect,1st Person,Singular,iungavi,iungui,iungi,iungi,I have juxtaposeed
Active Indicative,Perfect,1st Person,Plural,iungavimus,iunguimus,iungimus,iungimus,We have juxtaposeed
Active Indicative,Perfect,2nd Person,Singular,iungavisti,iunguisti,iungisti,iungisti,You have juxtaposeed
Active Indicative,Perfect,2nd Person,Plural,iungavistis,iunguistis,iungistis,iungistis,You (pl.) have juxtaposeed
Active Indicative,Perfect,3rd Person,Singular,iungavit,iunguit,iungit,iungit,He/she/it has juxtaposeed
Active Indicative,Perfect,3rd Person,Plural,iungaverunt,iunguerunt,iungerunt,iungerunt,They have juxtaposeed
Active Indicative,Pluperfect,1st Person,Singular,iungaveram,iungueram,iungeram,iungeram,I had juxtaposeed
Active Indicative,Pluperfect,1st Person,Plural,iungaveramus,iungueramus,iungeramus,iungeramus,We had juxtaposeed
Active Indicative,Pluperfect,2nd Person,Singular,iungaveras,iungueras,iungeras,iungeras,You had juxtaposeed
Active Indicative,Pluperfect,2nd Person,Plural,iungaveratis,iungueratis,iungeratis,iungeratis,You (pl.) had juxtaposeed
Active Indicative,Pluperfect,3rd Person,Singular,iungaverat,iunguerat,iungerat,iungerat,He/she/it had juxtaposeed
Active Indicative,Pluperfect,3rd Person,Plural,iungaverant,iunguerant,iungerant,iungerant,They had juxtaposeed
Active Indicative,Future Perfect,1st Person,Singular,iungavero,iungueero,iungero,iungiero,I will have juxtaposeed
Active Indicative,Future Perfect,1st Person,Plural,iungaverimus,iunguerimus,iungerimus,iungierimus,We will have juxtaposeed
Active Indicative,Future Perfect,2nd Person,Singular,iungaveris,iungueris,iungeris,iungieris,You will have juxtaposeed
Active Indicative,Future Perfect,2nd Person,Plural,iungaveritis,iungueritis,iungeritis,iungieritis,You (pl.) will have juxtaposeed
Active Indicative,Future Perfect,3rd Person,Singular,iungaverit,iunguerit,iungerit,iungierit,He/she/it will have juxtaposeed
Active Indicative,Future Perfect,3rd Person,Plural,iungaverint,iunguerint,iungerint,iungierint,They will have juxtaposeed
Passive Indicative,Present,1st Person,Singular,iungor,iungeor,iungor,iungior,I am being juxtaposeed
Passive Indicative,Present,1st Person,Plural,iungamur,iungemur,iungimur,iungimur,We are being juxtaposeed
Passive Indicative,Present,2nd Person,Singular,iungaris,iungeris,iungiris,iungiris,You are being juxtaposeed
Passive Indicative,Present,2nd Person,Plural,iungamini,iungemini,iungimini,iungimini,You (pl.) are being juxtaposeed
Passive Indicative,Present,3rd Person,Singular,iungatur,iungetur,iungitur,iungitur,He/she/it is being juxtaposeed
Passive Indicative,Present,3rd Person,Plural,iungantur,iungentur,iungiuntur,iungiuntur,They are being juxtaposeed
Passive Indicative,Imperfect,1st Person,Singular,iungabar,iungebar,iungebar,iungiebar,I was juxtaposeed
Passive Indicative,Imperfect,1st Person,Plural,iungabamur,iungebamur,iungebamur,iungiebamur,We were juxtaposeed
Passive Indicative,Imperfect,2nd Person,Singular,iungabaris,iungebaris,iungebaris,iungiebaris,You were juxtaposeed
Passive Indicative,Imperfect,2nd Person,Plural,iungabamini,iungebamini,iungebamini,iungiebamini,You (pl.) were juxtaposeed
Passive Indicative,Imperfect,3rd Person,Singular,iungabatur,iungebatur,iungebatur,iungiebatur,He/she/it was juxtaposeed
Passive Indicative,Imperfect,3rd Person,Plural,iungabantur,iungebantur,iungebantur,iungiebantur,They were juxtaposeed
Passive Indicative,Future,1st Person,Singular,iungabor,iungebor,iungar,iungiar,I will be juxtaposeed
Passive Indicative,Future,1st Person,Plural,iungabimur,iungebimur,iungemur,iungiemur,We will be juxtaposeed
Passive Indicative,Future,2nd Person,Singular,iungaberis,iungeberis,iungeris,iungieris,You will be juxtaposeed
Passive Indicative,Future,2nd Person,Plural,iungabimini,iungebimini,iungemini,iungiemini,You (pl.) will be juxtaposeed
Passive Indicative,Future,3rd Person,Singular,iungabitur,iungebitur,iungetur,iungietur,He/she/it will be juxtaposeed
Passive Indicative,Future,3rd Person,Plural,iungabuntur,iungebuntur,iungentur,iungientur,They will be juxtaposeed
Passive Indicative,Perfect,1st Person,Singular,iungatus sum,iungetus sum,iungus sum,iungus sum,I have been juxtaposeed
Passive Indicative,Perfect,1st Person,Plural,iungati sumus,iungeti sumus,iungi sumus,iungi sumus,We have been juxtaposeed
Passive Indicative,Perfect,2nd Person,Singular,iungatus es,iungetus es,iungus es,iungus es,You have been juxtaposeed
Passive Indicative,Perfect,2nd Person,Plural,iungati estis,iungeti estis,iungi estis,iungi estis,You (pl.) have been juxtaposeed
Passive Indicative,Perfect,3rd Person,Singular,iungatus est,iungetus est,iungus est,iungus est,He/she/it has been juxtaposeed
Passive Indicative,Perfect,3rd Person,Plural,iungati sunt,iungeti sunt,iungi sunt,iungi sunt,They have been juxtaposeed
Passive Indicative,Pluperfect,1st Person,Singular,iungatus eram,iungetus eram,iungus eram,iungus eram,I had been juxtaposeed
Passive Indicative,Pluperfect,1st Person,Plural,iungati eramus,iungeti eramus,iungi eramus,iungi eramus,We had been juxtaposeed
Passive Indicative,Pluperfect,2nd Person,Singular,iungatus eras,iungetus eras,iungus eras,iungus eras,You had been juxtaposeed
Passive Indicative,Pluperfect,2nd Person,Plural,iungati eratis,iungeti eratis,iungi eratis,iungi eratis,You (pl.) had been juxtaposeed
Passive Indicative,Pluperfect,3rd Person,Singular,iungatus erat,iungetus erat,iungus erat,iungus erat,He/she/it had been juxtaposeed
