Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,laboro,laboreo,laboro,laborio,I strain
Active Indicative,Present,1st Person,Plural,laboramus,laboremus,laborimus,laborimus,We strain
Active Indicative,Present,2nd Person,Singular,laboras,labores,laboris,laboris,You strain
Active Indicative,Present,2nd Person,Plural,laboratis,laboretis,laboritis,laboritis,You (pl.) strain
Active Indicative,Present,3rd Person,Singular,laborat,laboret,laborit,laborit,He/she/it strain
Active Indicative,Present,3rd Person,Plural,laborant,laborent,laboriunt,laboriunt,They strain
Active Indicative,Imperfect,1st Person,Singular,laborabam,laborebam,laborebam,laboriebam,I was straining
Active Indicative,Imperfect,1st Person,Plural,laborabamus,laborebamus,laborebamus,laboriebamus,We were straining
Active Indicative,Imperfect,2nd Person,Singular,laborabas,laborebas,laborebas,laboriebas,You were straining
Active Indicative,Imperfect,2nd Person,Plural,laborabatis,laborebatis,laborebatis,laboriebatis,You (pl.) were straining
Active Indicative,Imperfect,3rd Person,Singular,laborabat,laborebat,laborebat,laboriebat,He/she/it was straining
Active Indicative,Imperfect,3rd Person,Plural,laborabant,laborebant,laborebant,laboriebant,They were straining
Active Indicative,Future,1st Person,Singular,laborabo,laborebo,laboram,laboriam,I will strain
Active Indicative,Future,1st Person,Plural,laborabimus,laborebimus,laboremus,laboriemus,We will strain
Active Indicative,Future,2nd Person,Singular,laborabis,laborebis,labores,labories,You will strain
Active Indicative,Future,2nd Person,Plural,laborabitis,laborebitis,laboretis,laborietis,You (pl.) will strain
Active Indicative,Future,3rd Person,Singular,laborabit,laborebit,laboret,laboriet,He/she/it will strain
Active Indicative,Future,3rd Person,Plural,laborabunt,laborebunt,laborent,laborient,They will strain
Active Indicative,Perfect,1st Person,Singular,laboravi,laborui,labori,labori,I have strained
Active Indicative,Perfect,1st Person,Plural,laboravimus,laboruimus,laborimus,laborimus,We have strained
Active Indicative,Perfect,2nd Person,Singular,laboravisti,laboruisti,laboristi,laboristi,You have strained
Active Indicative,Perfect,2nd Person,Plural,laboravistis,laboruistis,laboristis,laboristis,You (pl.) have strained
Active Indicative,Perfect,3rd Person,Singular,laboravit,laboruit,laborit,laborit,He/she/it has strained
Active Indicative,Perfect,3rd Person,Plural,laboraverunt,laboruerunt,laborerunt,laborerunt,They have strained
Active Indicative,Pluperfect,1st Person,Singular,laboraveram,laborueram,laboreram,laboreram,I had strained
Active Indicative,Pluperfect,1st Person,Plural,laboraveramus,laborueramus,laboreramus,laboreramus,We had strained
Active Indicative,Pluperfect,2nd Person,Singular,laboraveras,laborueras,laboreras,laboreras,You had strained
Active Indicative,Pluperfect,2nd Person,Plural,laboraveratis,laborueratis,laboreratis,laboreratis,You (pl.) had strained
Active Indicative,Pluperfect,3rd Person,Singular,laboraverat,laboruerat,laborerat,laborerat,He/she/it had strained
Active Indicative,Pluperfect,3rd Person,Plural,laboraverant,laboruerant,laborerant,laborerant,They had strained
Active Indicative,Future Perfect,1st Person,Singular,laboravero,laborueero,laborero,laboriero,I will have strained
Active Indicative,Future Perfect,1st Person,Plural,laboraverimus,laboruerimus,laborerimus,laborierimus,We will have strained
Active Indicative,Future Perfect,2nd Person,Singular,laboraveris,laborueris,laboreris,laborieris,You will have strained
Active Indicative,Future Perfect,2nd Person,Plural,laboraveritis,laborueritis,laboreritis,laborieritis,You (pl.) will have strained
Active Indicative,Future Perfect,3rd Person,Singular,laboraverit,laboruerit,laborerit,laborierit,He/she/it will have strained
Active Indicative,Future Perfect,3rd Person,Plural,laboraverint,laboruerint,laborerint,laborierint,They will have strained
Passive Indicative,Present,1st Person,Singular,laboror,laboreor,laboror,laborior,I am being strained
Passive Indicative,Present,1st Person,Plural,laboramur,laboremur,laborimur,laborimur,We are being strained
Passive Indicative,Present,2nd Person,Singular,laboraris,laboreris,laboriris,laboriris,You are being strained
Passive Indicative,Present,2nd Person,Plural,laboramini,laboremini,laborimini,laborimini,You (pl.) are being strained
Passive Indicative,Present,3rd Person,Singular,laboratur,laboretur,laboritur,laboritur,He/she/it is being strained
Passive Indicative,Present,3rd Person,Plural,laborantur,laborentur,laboriuntur,laboriuntur,They are being strained
Passive Indicative,Imperfect,1st Person,Singular,laborabar,laborebar,laborebar,laboriebar,I was strained
Passive Indicative,Imperfect,1st Person,Plural,laborabamur,laborebamur,laborebamur,laboriebamur,We were strained
Passive Indicative,Imperfect,2nd Person,Singular,laborabaris,laborebaris,laborebaris,laboriebaris,You were strained
Passive Indicative,Imperfect,2nd Person,Plural,laborabamini,laborebamini,laborebamini,laboriebamini,You (pl.) were strained
Passive Indicative,Imperfect,3rd Person,Singular,laborabatur,laborebatur,laborebatur,laboriebatur,He/she/it was strained
Passive Indicative,Imperfect,3rd Person,Plural,laborabantur,laborebantur,laborebantur,laboriebantur,They were strained
Passive Indicative,Future,1st Person,Singular,laborabor,laborebor,laborar,laboriar,I will be strained
Passive Indicative,Future,1st Person,Plural,laborabimur,laborebimur,laboremur,laboriemur,We will be strained
Passive Indicative,Future,2nd Person,Singular,laboraberis,laboreberis,laboreris,laborieris,You will be strained
Passive Indicative,Future,2nd Person,Plural,laborabimini,laborebimini,laboremini,laboriemini,You (pl.) will be strained
Passive Indicative,Future,3rd Person,Singular,laborabitur,laborebitur,laboretur,laborietur,He/she/it will be strained
Passive Indicative,Future,3rd Person,Plural,laborabuntur,laborebuntur,laborentur,laborientur,They will be strained
Passive Indicative,Perfect,1st Person,Singular,laboratus sum,laboretus sum,laborus sum,laborus sum,I have been strained
Passive Indicative,Perfect,1st Person,Plural,laborati sumus,laboreti sumus,labori sumus,labori sumus,We have been strained
Passive Indicative,Perfect,2nd Person,Singular,laboratus es,laboretus es,laborus es,laborus es,You have been strained
Passive Indicative,Perfect,2nd Person,Plural,laborati estis,laboreti estis,labori estis,labori estis,You (pl.) have been strained
Passive Indicative,Perfect,3rd Person,Singular,laboratus est,laboretus est,laborus est,laborus est,He/she/it has been strained
Passive Indicative,Perfect,3rd Person,Plural,laborati sunt,laboreti sunt,labori sunt,labori sunt,They have been strained
Passive Indicative,Pluperfect,1st Person,Singular,laboratus eram,laboretus eram,laborus eram,laborus eram,I had been strained
Passive Indicative,Pluperfect,1st Person,Plural,laborati eramus,laboreti eramus,labori eramus,labori eramus,We had been strained
Passive Indicative,Pluperfect,2nd Person,Singular,laboratus eras,laboretus eras,laborus eras,laborus eras,You had been strained
Passive Indicative,Pluperfect,2nd Person,Plural,laborati eratis,laboreti eratis,labori eratis,labori eratis,You (pl.) had been strained
Passive Indicative,Pluperfect,3rd Person,Singular,laboratus erat,laboretus erat,laborus erat,laborus erat,He/she/it had been strained
Passive Indicative,Pluperfect,3rd Person,Plural,laborati erant,laboreti erant,labori erant,labori erant,They had been strained
Passive Indicative,Future Perfect,1st Person,Singular,laboratus ero,laboretus ero,laborus ero,laborus ero,I will have been strained
Passive Indicative,Future Perfect,1st Person,Plural,laborati erimus,laboreti erimus,labori erimus,labori erimus,We will have been strained
Passive Indicative,Future Perfect,2nd Person,Singular,laboratus eris,laboretus eris,laborus eris,laborus eris,You will have been strained
Passive Indicative,Future Perfect,2nd Person,Plural,laborati eritis,laboreti eritis,labori eritis,labori eritis,You (pl.) will have been strained
Passive Indicative,Future Perfect,3rd Person,Singular,laboratus erit,laboretus erit,laborus erit,laborus erit,He/she/it will have been strained
Passive Indicative,Future Perfect,3rd Person,Plural,laborati erunt,laboreti erunt,labori erunt,labori erunt,They will have been strained
Active Subjunctive,Present,1st Person,Singular,laborem,laborem,laboram,laboram,I may strain
Active Subjunctive,Present,1st Person,Plural,laboremus,laboremus,laboramus,laboramus,We may strain
Active Subjunctive,Present,2nd Person,Singular,labores,labores,laboras,laboras,You may strain
Active Subjunctive,Present,2nd Person,Plural,laboretis,laboretis,laboratis,laboratis,You (pl.) may strain
Active Subjunctive,Present,3rd Person,Singular,laboret,laboret,laborat,laborat,He/she/it may strain
Active Subjunctive,Present,3rd Person,Plural,laborent,laborent,laborant,laborant,They may strain
Active Subjunctive,Imperfect,1st Person,Singular,laborarem,laborerem,laborerem,laborirem,I should strain
Active Subjunctive,Imperfect,1st Person,Plural,laboraremus,laboreremus,laboreremus,laboriremus,We should strain
Active Subjunctive,Imperfect,2nd Person,Singular,laborares,laboreres,laboreres,laborires,You should strain
Active Subjunctive,Imperfect,2nd Person,Plural,laboraretis,laboreretis,laboreretis,laboriretis,You (pl.) should strain
