Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,lacrimizo,lacrimizeo,lacrimizo,lacrimizio,I weep
Active Indicative,Present,1st Person,Plural,lacrimizamus,lacrimizemus,lacrimizimus,lacrimizimus,We weep
Active Indicative,Present,2nd Person,Singular,lacrimizas,lacrimizes,lacrimizis,lacrimizis,You weep
Active Indicative,Present,2nd Person,Plural,lacrimizatis,lacrimizetis,lacrimizitis,lacrimizitis,You (pl.) weep
Active Indicative,Present,3rd Person,Singular,lacrimizat,lacrimizet,lacrimizit,lacrimizit,He/she/it weep
Active Indicative,Present,3rd Person,Plural,lacrimizant,lacrimizent,lacrimiziunt,lacrimiziunt,They weep
Active Indicative,Imperfect,1st Person,Singular,lacrimizabam,lacrimizebam,lacrimizebam,lacrimiziebam,I was weeping
Active Indicative,Imperfect,1st Person,Plural,lacrimizabamus,lacrimizebamus,lacrimizebamus,lacrimiziebamus,We were weeping
Active Indicative,Imperfect,2nd Person,Singular,lacrimizabas,lacrimizebas,lacrimizebas,lacrimiziebas,You were weeping
Active Indicative,Imperfect,2nd Person,Plural,lacrimizabatis,lacrimizebatis,lacrimizebatis,lacrimiziebatis,You (pl.) were weeping
Active Indicative,Imperfect,3rd Person,Singular,lacrimizabat,lacrimizebat,lacrimizebat,lacrimiziebat,He/she/it was weeping
Active Indicative,Imperfect,3rd Person,Plural,lacrimizabant,lacrimizebant,lacrimizebant,lacrimiziebant,They were weeping
Active Indicative,Future,1st Person,Singular,lacrimizabo,lacrimizebo,lacrimizam,lacrimiziam,I will weep
Active Indicative,Future,1st Person,Plural,lacrimizabimus,lacrimizebimus,lacrimizemus,lacrimiziemus,We will weep
Active Indicative,Future,2nd Person,Singular,lacrimizabis,lacrimizebis,lacrimizes,lacrimizies,You will weep
Active Indicative,Future,2nd Person,Plural,lacrimizabitis,lacrimizebitis,lacrimizetis,lacrimizietis,You (pl.) will weep
Active Indicative,Future,3rd Person,Singular,lacrimizabit,lacrimizebit,lacrimizet,lacrimiziet,He/she/it will weep
Active Indicative,Future,3rd Person,Plural,lacrimizabunt,lacrimizebunt,lacrimizent,lacrimizient,They will weep
Active Indicative,Perfect,1st Person,Singular,lacrimizavi,lacrimizui,lacrimizi,lacrimizi,I have weeped
Active Indicative,Perfect,1st Person,Plural,lacrimizavimus,lacrimizuimus,lacrimizimus,lacrimizimus,We have weeped
Active Indicative,Perfect,2nd Person,Singular,lacrimizavisti,lacrimizuisti,lacrimizisti,lacrimizisti,You have weeped
Active Indicative,Perfect,2nd Person,Plural,lacrimizavistis,lacrimizuistis,lacrimizistis,lacrimizistis,You (pl.) have weeped
Active Indicative,Perfect,3rd Person,Singular,lacrimizavit,lacrimizuit,lacrimizit,lacrimizit,He/she/it has weeped
Active Indicative,Perfect,3rd Person,Plural,lacrimizaverunt,lacrimizuerunt,lacrimizerunt,lacrimizerunt,They have weeped
Active Indicative,Pluperfect,1st Person,Singular,lacrimizaveram,lacrimizueram,lacrimizeram,lacrimizeram,I had weeped
Active Indicative,Pluperfect,1st Person,Plural,lacrimizaveramus,lacrimizueramus,lacrimizeramus,lacrimizeramus,We had weeped
Active Indicative,Pluperfect,2nd Person,Singular,lacrimizaveras,lacrimizueras,lacrimizeras,lacrimizeras,You had weeped
Active Indicative,Pluperfect,2nd Person,Plural,lacrimizaveratis,lacrimizueratis,lacrimizeratis,lacrimizeratis,You (pl.) had weeped
Active Indicative,Pluperfect,3rd Person,Singular,lacrimizaverat,lacrimizuerat,lacrimizerat,lacrimizerat,He/she/it had weeped
Active Indicative,Pluperfect,3rd Person,Plural,lacrimizaverant,lacrimizuerant,lacrimizerant,lacrimizerant,They had weeped
Active Indicative,Future Perfect,1st Person,Singular,lacrimizavero,lacrimizueero,lacrimizero,lacrimiziero,I will have weeped
Active Indicative,Future Perfect,1st Person,Plural,lacrimizaverimus,lacrimizuerimus,lacrimizerimus,lacrimizierimus,We will have weeped
Active Indicative,Future Perfect,2nd Person,Singular,lacrimizaveris,lacrimizueris,lacrimizeris,lacrimizieris,You will have weeped
Active Indicative,Future Perfect,2nd Person,Plural,lacrimizaveritis,lacrimizueritis,lacrimizeritis,lacrimizieritis,You (pl.) will have weeped
