Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,languo,langueo,languo,languio,I languish
Active Indicative,Present,1st Person,Plural,languamus,languemus,languimus,languimus,We languish
Active Indicative,Present,2nd Person,Singular,languas,langues,languis,languis,You languish
Active Indicative,Present,2nd Person,Plural,languatis,languetis,languitis,languitis,You (pl.) languish
Active Indicative,Present,3rd Person,Singular,languat,languet,languit,languit,He/she/it languish
Active Indicative,Present,3rd Person,Plural,languant,languent,languiunt,languiunt,They languish
Active Indicative,Imperfect,1st Person,Singular,languabam,languebam,languebam,languiebam,I was languishing
Active Indicative,Imperfect,1st Person,Plural,languabamus,languebamus,languebamus,languiebamus,We were languishing
Active Indicative,Imperfect,2nd Person,Singular,languabas,languebas,languebas,languiebas,You were languishing
Active Indicative,Imperfect,2nd Person,Plural,languabatis,languebatis,languebatis,languiebatis,You (pl.) were languishing
Active Indicative,Imperfect,3rd Person,Singular,languabat,languebat,languebat,languiebat,He/she/it was languishing
Active Indicative,Imperfect,3rd Person,Plural,languabant,languebant,languebant,languiebant,They were languishing
Active Indicative,Future,1st Person,Singular,languabo,languebo,languam,languiam,I will languish
Active Indicative,Future,1st Person,Plural,languabimus,languebimus,languemus,languiemus,We will languish
Active Indicative,Future,2nd Person,Singular,languabis,languebis,langues,languies,You will languish
Active Indicative,Future,2nd Person,Plural,languabitis,languebitis,languetis,languietis,You (pl.) will languish
Active Indicative,Future,3rd Person,Singular,languabit,languebit,languet,languiet,He/she/it will languish
Active Indicative,Future,3rd Person,Plural,languabunt,languebunt,languent,languient,They will languish
Active Indicative,Perfect,1st Person,Singular,languavi,langui,langui,langui,I have languished
Active Indicative,Perfect,1st Person,Plural,languavimus,languimus,languimus,languimus,We have languished
Active Indicative,Perfect,2nd Person,Singular,languavisti,languisti,languisti,languisti,You have languished
Active Indicative,Perfect,2nd Person,Plural,languavistis,languistis,languistis,languistis,You (pl.) have languished
Active Indicative,Perfect,3rd Person,Singular,languavit,languit,languit,languit,He/she/it has languished
Active Indicative,Perfect,3rd Person,Plural,languaverunt,languerunt,languerunt,languerunt,They have languished
Active Indicative,Pluperfect,1st Person,Singular,languaveram,langueram,langueram,langueram,I had languished
Active Indicative,Pluperfect,1st Person,Plural,languaveramus,langueramus,langueramus,langueramus,We had languished
Active Indicative,Pluperfect,2nd Person,Singular,languaveras,langueras,langueras,langueras,You had languished
Active Indicative,Pluperfect,2nd Person,Plural,languaveratis,langueratis,langueratis,langueratis,You (pl.) had languished
Active Indicative,Pluperfect,3rd Person,Singular,languaverat,languerat,languerat,languerat,He/she/it had languished
Active Indicative,Pluperfect,3rd Person,Plural,languaverant,languerant,languerant,languerant,They had languished
Active Indicative,Future Perfect,1st Person,Singular,languavero,langueero,languero,languiero,I will have languished
Active Indicative,Future Perfect,1st Person,Plural,languaverimus,languerimus,languerimus,languierimus,We will have languished
Active Indicative,Future Perfect,2nd Person,Singular,languaveris,langueris,langueris,languieris,You will have languished
Active Indicative,Future Perfect,2nd Person,Plural,languaveritis,langueritis,langueritis,languieritis,You (pl.) will have languished
Active Indicative,Future Perfect,3rd Person,Singular,languaverit,languerit,languerit,languierit,He/she/it will have languished
Active Indicative,Future Perfect,3rd Person,Plural,languaverint,languerint,languerint,languierint,They will have languished
Passive Indicative,Present,1st Person,Singular,languor,langueor,languor,languior,I am being languished
Passive Indicative,Present,1st Person,Plural,languamur,languemur,languimur,languimur,We are being languished
Passive Indicative,Present,2nd Person,Singular,languaris,langueris,languiris,languiris,You are being languished
Passive Indicative,Present,2nd Person,Plural,languamini,languemini,languimini,languimini,You (pl.) are being languished
Passive Indicative,Present,3rd Person,Singular,languatur,languetur,languitur,languitur,He/she/it is being languished
Passive Indicative,Present,3rd Person,Plural,languantur,languentur,languiuntur,languiuntur,They are being languished
Passive Indicative,Imperfect,1st Person,Singular,languabar,languebar,languebar,languiebar,I was languished
Passive Indicative,Imperfect,1st Person,Plural,languabamur,languebamur,languebamur,languiebamur,We were languished
Passive Indicative,Imperfect,2nd Person,Singular,languabaris,languebaris,languebaris,languiebaris,You were languished
Passive Indicative,Imperfect,2nd Person,Plural,languabamini,languebamini,languebamini,languiebamini,You (pl.) were languished
Passive Indicative,Imperfect,3rd Person,Singular,languabatur,languebatur,languebatur,languiebatur,He/she/it was languished
Passive Indicative,Imperfect,3rd Person,Plural,languabantur,languebantur,languebantur,languiebantur,They were languished
Passive Indicative,Future,1st Person,Singular,languabor,languebor,languar,languiar,I will be languished
Passive Indicative,Future,1st Person,Plural,languabimur,languebimur,languemur,languiemur,We will be languished
Passive Indicative,Future,2nd Person,Singular,languaberis,langueberis,langueris,languieris,You will be languished
Passive Indicative,Future,2nd Person,Plural,languabimini,languebimini,languemini,languiemini,You (pl.) will be languished
