Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,lavo,laveo,lavo,lavio,I wash
Active Indicative,Present,1st Person,Plural,lavamus,lavemus,lavimus,lavimus,We wash
Active Indicative,Present,2nd Person,Singular,lavas,laves,lavis,lavis,You wash
Active Indicative,Present,2nd Person,Plural,lavatis,lavetis,lavitis,lavitis,You (pl.) wash
Active Indicative,Present,3rd Person,Singular,lavat,lavet,lavit,lavit,He/she/it wash
Active Indicative,Present,3rd Person,Plural,lavant,lavent,laviunt,laviunt,They wash
Active Indicative,Imperfect,1st Person,Singular,lavabam,lavebam,lavebam,laviebam,I was washing
Active Indicative,Imperfect,1st Person,Plural,lavabamus,lavebamus,lavebamus,laviebamus,We were washing
Active Indicative,Imperfect,2nd Person,Singular,lavabas,lavebas,lavebas,laviebas,You were washing
Active Indicative,Imperfect,2nd Person,Plural,lavabatis,lavebatis,lavebatis,laviebatis,You (pl.) were washing
Active Indicative,Imperfect,3rd Person,Singular,lavabat,lavebat,lavebat,laviebat,He/she/it was washing
Active Indicative,Imperfect,3rd Person,Plural,lavabant,lavebant,lavebant,laviebant,They were washing
Active Indicative,Future,1st Person,Singular,lavabo,lavebo,lavam,laviam,I will wash
Active Indicative,Future,1st Person,Plural,lavabimus,lavebimus,lavemus,laviemus,We will wash
Active Indicative,Future,2nd Person,Singular,lavabis,lavebis,laves,lavies,You will wash
Active Indicative,Future,2nd Person,Plural,lavabitis,lavebitis,lavetis,lavietis,You (pl.) will wash
Active Indicative,Future,3rd Person,Singular,lavabit,lavebit,lavet,laviet,He/she/it will wash
Active Indicative,Future,3rd Person,Plural,lavabunt,lavebunt,lavent,lavient,They will wash
Active Indicative,Perfect,1st Person,Singular,lavavi,lavui,lavi,lavi,I have washed
Active Indicative,Perfect,1st Person,Plural,lavavimus,lavuimus,lavimus,lavimus,We have washed
Active Indicative,Perfect,2nd Person,Singular,lavavisti,lavuisti,lavisti,lavisti,You have washed
Active Indicative,Perfect,2nd Person,Plural,lavavistis,lavuistis,lavistis,lavistis,You (pl.) have washed
Active Indicative,Perfect,3rd Person,Singular,lavavit,lavuit,lavit,lavit,He/she/it has washed
Active Indicative,Perfect,3rd Person,Plural,lavaverunt,lavuerunt,laverunt,laverunt,They have washed
Active Indicative,Pluperfect,1st Person,Singular,lavaveram,lavueram,laveram,laveram,I had washed
Active Indicative,Pluperfect,1st Person,Plural,lavaveramus,lavueramus,laveramus,laveramus,We had washed
Active Indicative,Pluperfect,2nd Person,Singular,lavaveras,lavueras,laveras,laveras,You had washed
Active Indicative,Pluperfect,2nd Person,Plural,lavaveratis,lavueratis,laveratis,laveratis,You (pl.) had washed
Active Indicative,Pluperfect,3rd Person,Singular,lavaverat,lavuerat,laverat,laverat,He/she/it had washed
Active Indicative,Pluperfect,3rd Person,Plural,lavaverant,lavuerant,laverant,laverant,They had washed
Active Indicative,Future Perfect,1st Person,Singular,lavavero,lavueero,lavero,laviero,I will have washed
Active Indicative,Future Perfect,1st Person,Plural,lavaverimus,lavuerimus,laverimus,lavierimus,We will have washed
Active Indicative,Future Perfect,2nd Person,Singular,lavaveris,lavueris,laveris,lavieris,You will have washed
Active Indicative,Future Perfect,2nd Person,Plural,lavaveritis,lavueritis,laveritis,lavieritis,You (pl.) will have washed
Active Indicative,Future Perfect,3rd Person,Singular,lavaverit,lavuerit,laverit,lavierit,He/she/it will have washed
Active Indicative,Future Perfect,3rd Person,Plural,lavaverint,lavuerint,laverint,lavierint,They will have washed
Passive Indicative,Present,1st Person,Singular,lavor,laveor,lavor,lavior,I am being washed
Passive Indicative,Present,1st Person,Plural,lavamur,lavemur,lavimur,lavimur,We are being washed
Passive Indicative,Present,2nd Person,Singular,lavaris,laveris,laviris,laviris,You are being washed
Passive Indicative,Present,2nd Person,Plural,lavamini,lavemini,lavimini,lavimini,You (pl.) are being washed
Passive Indicative,Present,3rd Person,Singular,lavatur,lavetur,lavitur,lavitur,He/she/it is being washed
Passive Indicative,Present,3rd Person,Plural,lavantur,laventur,laviuntur,laviuntur,They are being washed
Passive Indicative,Imperfect,1st Person,Singular,lavabar,lavebar,lavebar,laviebar,I was washed
Passive Indicative,Imperfect,1st Person,Plural,lavabamur,lavebamur,lavebamur,laviebamur,We were washed
Passive Indicative,Imperfect,2nd Person,Singular,lavabaris,lavebaris,lavebaris,laviebaris,You were washed
Passive Indicative,Imperfect,2nd Person,Plural,lavabamini,lavebamini,lavebamini,laviebamini,You (pl.) were washed
Passive Indicative,Imperfect,3rd Person,Singular,lavabatur,lavebatur,lavebatur,laviebatur,He/she/it was washed
Passive Indicative,Imperfect,3rd Person,Plural,lavabantur,lavebantur,lavebantur,laviebantur,They were washed
Passive Indicative,Future,1st Person,Singular,lavabor,lavebor,lavar,laviar,I will be washed
Passive Indicative,Future,1st Person,Plural,lavabimur,lavebimur,lavemur,laviemur,We will be washed
Passive Indicative,Future,2nd Person,Singular,lavaberis,laveberis,laveris,lavieris,You will be washed
Passive Indicative,Future,2nd Person,Plural,lavabimini,lavebimini,lavemini,laviemini,You (pl.) will be washed
Passive Indicative,Future,3rd Person,Singular,lavabitur,lavebitur,lavetur,lavietur,He/she/it will be washed
Passive Indicative,Future,3rd Person,Plural,lavabuntur,lavebuntur,laventur,lavientur,They will be washed
Passive Indicative,Perfect,1st Person,Singular,lavatus sum,lavetus sum,lavus sum,lavus sum,I have been washed
Passive Indicative,Perfect,1st Person,Plural,lavati sumus,laveti sumus,lavi sumus,lavi sumus,We have been washed
