Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,levanto,levanteo,levanto,levantio,I raise
Active Indicative,Present,1st Person,Plural,levantamus,levantemus,levantimus,levantimus,We raise
Active Indicative,Present,2nd Person,Singular,levantas,levantes,levantis,levantis,You raise
Active Indicative,Present,2nd Person,Plural,levantatis,levantetis,levantitis,levantitis,You (pl.) raise
Active Indicative,Present,3rd Person,Singular,levantat,levantet,levantit,levantit,He/she/it raise
Active Indicative,Present,3rd Person,Plural,levantant,levantent,levantiunt,levantiunt,They raise
Active Indicative,Imperfect,1st Person,Singular,levantabam,levantebam,levantebam,levantiebam,I was raiseing
Active Indicative,Imperfect,1st Person,Plural,levantabamus,levantebamus,levantebamus,levantiebamus,We were raiseing
Active Indicative,Imperfect,2nd Person,Singular,levantabas,levantebas,levantebas,levantiebas,You were raiseing
Active Indicative,Imperfect,2nd Person,Plural,levantabatis,levantebatis,levantebatis,levantiebatis,You (pl.) were raiseing
Active Indicative,Imperfect,3rd Person,Singular,levantabat,levantebat,levantebat,levantiebat,He/she/it was raiseing
Active Indicative,Imperfect,3rd Person,Plural,levantabant,levantebant,levantebant,levantiebant,They were raiseing
Active Indicative,Future,1st Person,Singular,levantabo,levantebo,levantam,levantiam,I will raise
Active Indicative,Future,1st Person,Plural,levantabimus,levantebimus,levantemus,levantiemus,We will raise
Active Indicative,Future,2nd Person,Singular,levantabis,levantebis,levantes,levanties,You will raise
Active Indicative,Future,2nd Person,Plural,levantabitis,levantebitis,levantetis,levantietis,You (pl.) will raise
Active Indicative,Future,3rd Person,Singular,levantabit,levantebit,levantet,levantiet,He/she/it will raise
Active Indicative,Future,3rd Person,Plural,levantabunt,levantebunt,levantent,levantient,They will raise
Active Indicative,Perfect,1st Person,Singular,levantavi,levantui,levanti,levanti,I have raiseed
Active Indicative,Perfect,1st Person,Plural,levantavimus,levantuimus,levantimus,levantimus,We have raiseed
Active Indicative,Perfect,2nd Person,Singular,levantavisti,levantuisti,levantisti,levantisti,You have raiseed
Active Indicative,Perfect,2nd Person,Plural,levantavistis,levantuistis,levantistis,levantistis,You (pl.) have raiseed
Active Indicative,Perfect,3rd Person,Singular,levantavit,levantuit,levantit,levantit,He/she/it has raiseed
Active Indicative,Perfect,3rd Person,Plural,levantaverunt,levantuerunt,levanterunt,levanterunt,They have raiseed
Active Indicative,Pluperfect,1st Person,Singular,levantaveram,levantueram,levanteram,levanteram,I had raiseed
Active Indicative,Pluperfect,1st Person,Plural,levantaveramus,levantueramus,levanteramus,levanteramus,We had raiseed
Active Indicative,Pluperfect,2nd Person,Singular,levantaveras,levantueras,levanteras,levanteras,You had raiseed
Active Indicative,Pluperfect,2nd Person,Plural,levantaveratis,levantueratis,levanteratis,levanteratis,You (pl.) had raiseed
Active Indicative,Pluperfect,3rd Person,Singular,levantaverat,levantuerat,levanterat,levanterat,He/she/it had raiseed
Active Indicative,Pluperfect,3rd Person,Plural,levantaverant,levantuerant,levanterant,levanterant,They had raiseed
Active Indicative,Future Perfect,1st Person,Singular,levantavero,levantueero,levantero,levantiero,I will have raiseed
Active Indicative,Future Perfect,1st Person,Plural,levantaverimus,levantuerimus,levanterimus,levantierimus,We will have raiseed
Active Indicative,Future Perfect,2nd Person,Singular,levantaveris,levantueris,levanteris,levantieris,You will have raiseed
Active Indicative,Future Perfect,2nd Person,Plural,levantaveritis,levantueritis,levanteritis,levantieritis,You (pl.) will have raiseed
Active Indicative,Future Perfect,3rd Person,Singular,levantaverit,levantuerit,levanterit,levantierit,He/she/it will have raiseed
Active Indicative,Future Perfect,3rd Person,Plural,levantaverint,levantuerint,levanterint,levantierint,They will have raiseed
Passive Indicative,Present,1st Person,Singular,levantor,levanteor,levantor,levantior,I am being raiseed
Passive Indicative,Present,1st Person,Plural,levantamur,levantemur,levantimur,levantimur,We are being raiseed
Passive Indicative,Present,2nd Person,Singular,levantaris,levanteris,levantiris,levantiris,You are being raiseed
Passive Indicative,Present,2nd Person,Plural,levantamini,levantemini,levantimini,levantimini,You (pl.) are being raiseed
Passive Indicative,Present,3rd Person,Singular,levantatur,levantetur,levantitur,levantitur,He/she/it is being raiseed
Passive Indicative,Present,3rd Person,Plural,levantantur,levantentur,levantiuntur,levantiuntur,They are being raiseed
Passive Indicative,Imperfect,1st Person,Singular,levantabar,levantebar,levantebar,levantiebar,I was raiseed
Passive Indicative,Imperfect,1st Person,Plural,levantabamur,levantebamur,levantebamur,levantiebamur,We were raiseed
Passive Indicative,Imperfect,2nd Person,Singular,levantabaris,levantebaris,levantebaris,levantiebaris,You were raiseed
Passive Indicative,Imperfect,2nd Person,Plural,levantabamini,levantebamini,levantebamini,levantiebamini,You (pl.) were raiseed
Passive Indicative,Imperfect,3rd Person,Singular,levantabatur,levantebatur,levantebatur,levantiebatur,He/she/it was raiseed
Passive Indicative,Imperfect,3rd Person,Plural,levantabantur,levantebantur,levantebantur,levantiebantur,They were raiseed
Passive Indicative,Future,1st Person,Singular,levantabor,levantebor,levantar,levantiar,I will be raiseed
Passive Indicative,Future,1st Person,Plural,levantabimur,levantebimur,levantemur,levantiemur,We will be raiseed
Passive Indicative,Future,2nd Person,Singular,levantaberis,levanteberis,levanteris,levantieris,You will be raiseed
Passive Indicative,Future,2nd Person,Plural,levantabimini,levantebimini,levantemini,levantiemini,You (pl.) will be raiseed
Passive Indicative,Future,3rd Person,Singular,levantabitur,levantebitur,levantetur,levantietur,He/she/it will be raiseed
Passive Indicative,Future,3rd Person,Plural,levantabuntur,levantebuntur,levantentur,levantientur,They will be raiseed
Passive Indicative,Perfect,1st Person,Singular,levantatus sum,levantetus sum,levantus sum,levantus sum,I have been raiseed
Passive Indicative,Perfect,1st Person,Plural,levantati sumus,levanteti sumus,levanti sumus,levanti sumus,We have been raiseed
Passive Indicative,Perfect,2nd Person,Singular,levantatus es,levantetus es,levantus es,levantus es,You have been raiseed
Passive Indicative,Perfect,2nd Person,Plural,levantati estis,levanteti estis,levanti estis,levanti estis,You (pl.) have been raiseed
Passive Indicative,Perfect,3rd Person,Singular,levantatus est,levantetus est,levantus est,levantus est,He/she/it has been raiseed
Passive Indicative,Perfect,3rd Person,Plural,levantati sunt,levanteti sunt,levanti sunt,levanti sunt,They have been raiseed
Passive Indicative,Pluperfect,1st Person,Singular,levantatus eram,levantetus eram,levantus eram,levantus eram,I had been raiseed
Passive Indicative,Pluperfect,1st Person,Plural,levantati eramus,levanteti eramus,levanti eramus,levanti eramus,We had been raiseed
Passive Indicative,Pluperfect,2nd Person,Singular,levantatus eras,levantetus eras,levantus eras,levantus eras,You had been raiseed
Passive Indicative,Pluperfect,2nd Person,Plural,levantati eratis,levanteti eratis,levanti eratis,levanti eratis,You (pl.) had been raiseed
Passive Indicative,Pluperfect,3rd Person,Singular,levantatus erat,levantetus erat,levantus erat,levantus erat,He/she/it had been raiseed
Passive Indicative,Pluperfect,3rd Person,Plural,levantati erant,levanteti erant,levanti erant,levanti erant,They had been raiseed
