Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,libero,libereo,libero,liberio,I rescue
Active Indicative,Present,1st Person,Plural,liberamus,liberemus,liberimus,liberimus,We rescue
Active Indicative,Present,2nd Person,Singular,liberas,liberes,liberis,liberis,You rescue
Active Indicative,Present,2nd Person,Plural,liberatis,liberetis,liberitis,liberitis,You (pl.) rescue
Active Indicative,Present,3rd Person,Singular,liberat,liberet,liberit,liberit,He/she/it rescue
Active Indicative,Present,3rd Person,Plural,liberant,liberent,liberiunt,liberiunt,They rescue
Active Indicative,Imperfect,1st Person,Singular,liberabam,liberebam,liberebam,liberiebam,I was rescueing
Active Indicative,Imperfect,1st Person,Plural,liberabamus,liberebamus,liberebamus,liberiebamus,We were rescueing
Active Indicative,Imperfect,2nd Person,Singular,liberabas,liberebas,liberebas,liberiebas,You were rescueing
Active Indicative,Imperfect,2nd Person,Plural,liberabatis,liberebatis,liberebatis,liberiebatis,You (pl.) were rescueing
Active Indicative,Imperfect,3rd Person,Singular,liberabat,liberebat,liberebat,liberiebat,He/she/it was rescueing
Active Indicative,Imperfect,3rd Person,Plural,liberabant,liberebant,liberebant,liberiebant,They were rescueing
Active Indicative,Future,1st Person,Singular,liberabo,liberebo,liberam,liberiam,I will rescue
Active Indicative,Future,1st Person,Plural,liberabimus,liberebimus,liberemus,liberiemus,We will rescue
Active Indicative,Future,2nd Person,Singular,liberabis,liberebis,liberes,liberies,You will rescue
Active Indicative,Future,2nd Person,Plural,liberabitis,liberebitis,liberetis,liberietis,You (pl.) will rescue
Active Indicative,Future,3rd Person,Singular,liberabit,liberebit,liberet,liberiet,He/she/it will rescue
Active Indicative,Future,3rd Person,Plural,liberabunt,liberebunt,liberent,liberient,They will rescue
Active Indicative,Perfect,1st Person,Singular,liberavi,liberui,liberi,liberi,I have rescueed
Active Indicative,Perfect,1st Person,Plural,liberavimus,liberuimus,liberimus,liberimus,We have rescueed
Active Indicative,Perfect,2nd Person,Singular,liberavisti,liberuisti,liberisti,liberisti,You have rescueed
Active Indicative,Perfect,2nd Person,Plural,liberavistis,liberuistis,liberistis,liberistis,You (pl.) have rescueed
Active Indicative,Perfect,3rd Person,Singular,liberavit,liberuit,liberit,liberit,He/she/it has rescueed
Active Indicative,Perfect,3rd Person,Plural,liberaverunt,liberuerunt,libererunt,libererunt,They have rescueed
