Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,limpido,limpideo,limpido,limpidio,I cleanse
Active Indicative,Present,1st Person,Plural,limpidamus,limpidemus,limpidimus,limpidimus,We cleanse
Active Indicative,Present,2nd Person,Singular,limpidas,limpides,limpidis,limpidis,You cleanse
Active Indicative,Present,2nd Person,Plural,limpidatis,limpidetis,limpiditis,limpiditis,You (pl.) cleanse
Active Indicative,Present,3rd Person,Singular,limpidat,limpidet,limpidit,limpidit,He/she/it cleanse
Active Indicative,Present,3rd Person,Plural,limpidant,limpident,limpidiunt,limpidiunt,They cleanse
Active Indicative,Imperfect,1st Person,Singular,limpidabam,limpidebam,limpidebam,limpidiebam,I was cleanseing
Active Indicative,Imperfect,1st Person,Plural,limpidabamus,limpidebamus,limpidebamus,limpidiebamus,We were cleanseing
Active Indicative,Imperfect,2nd Person,Singular,limpidabas,limpidebas,limpidebas,limpidiebas,You were cleanseing
Active Indicative,Imperfect,2nd Person,Plural,limpidabatis,limpidebatis,limpidebatis,limpidiebatis,You (pl.) were cleanseing
Active Indicative,Imperfect,3rd Person,Singular,limpidabat,limpidebat,limpidebat,limpidiebat,He/she/it was cleanseing
Active Indicative,Imperfect,3rd Person,Plural,limpidabant,limpidebant,limpidebant,limpidiebant,They were cleanseing
Active Indicative,Future,1st Person,Singular,limpidabo,limpidebo,limpidam,limpidiam,I will cleanse
Active Indicative,Future,1st Person,Plural,limpidabimus,limpidebimus,limpidemus,limpidiemus,We will cleanse
Active Indicative,Future,2nd Person,Singular,limpidabis,limpidebis,limpides,limpidies,You will cleanse
Active Indicative,Future,2nd Person,Plural,limpidabitis,limpidebitis,limpidetis,limpidietis,You (pl.) will cleanse
Active Indicative,Future,3rd Person,Singular,limpidabit,limpidebit,limpidet,limpidiet,He/she/it will cleanse
Active Indicative,Future,3rd Person,Plural,limpidabunt,limpidebunt,limpident,limpidient,They will cleanse
Active Indicative,Perfect,1st Person,Singular,limpidavi,limpidui,limpidi,limpidi,I have cleanseed
Active Indicative,Perfect,1st Person,Plural,limpidavimus,limpiduimus,limpidimus,limpidimus,We have cleanseed
Active Indicative,Perfect,2nd Person,Singular,limpidavisti,limpiduisti,limpidisti,limpidisti,You have cleanseed
Active Indicative,Perfect,2nd Person,Plural,limpidavistis,limpiduistis,limpidistis,limpidistis,You (pl.) have cleanseed
Active Indicative,Perfect,3rd Person,Singular,limpidavit,limpiduit,limpidit,limpidit,He/she/it has cleanseed
