Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,manizo,manizeo,manizo,manizio,I handle
Active Indicative,Present,1st Person,Plural,manizamus,manizemus,manizimus,manizimus,We handle
Active Indicative,Present,2nd Person,Singular,manizas,manizes,manizis,manizis,You handle
Active Indicative,Present,2nd Person,Plural,manizatis,manizetis,manizitis,manizitis,You (pl.) handle
Active Indicative,Present,3rd Person,Singular,manizat,manizet,manizit,manizit,He/she/it handle
Active Indicative,Present,3rd Person,Plural,manizant,manizent,maniziunt,maniziunt,They handle
Active Indicative,Imperfect,1st Person,Singular,manizabam,manizebam,manizebam,maniziebam,I was handleing
Active Indicative,Imperfect,1st Person,Plural,manizabamus,manizebamus,manizebamus,maniziebamus,We were handleing
Active Indicative,Imperfect,2nd Person,Singular,manizabas,manizebas,manizebas,maniziebas,You were handleing
Active Indicative,Imperfect,2nd Person,Plural,manizabatis,manizebatis,manizebatis,maniziebatis,You (pl.) were handleing
Active Indicative,Imperfect,3rd Person,Singular,manizabat,manizebat,manizebat,maniziebat,He/she/it was handleing
Active Indicative,Imperfect,3rd Person,Plural,manizabant,manizebant,manizebant,maniziebant,They were handleing
Active Indicative,Future,1st Person,Singular,manizabo,manizebo,manizam,maniziam,I will handle
Active Indicative,Future,1st Person,Plural,manizabimus,manizebimus,manizemus,maniziemus,We will handle
Active Indicative,Future,2nd Person,Singular,manizabis,manizebis,manizes,manizies,You will handle
Active Indicative,Future,2nd Person,Plural,manizabitis,manizebitis,manizetis,manizietis,You (pl.) will handle
Active Indicative,Future,3rd Person,Singular,manizabit,manizebit,manizet,maniziet,He/she/it will handle
Active Indicative,Future,3rd Person,Plural,manizabunt,manizebunt,manizent,manizient,They will handle
Active Indicative,Perfect,1st Person,Singular,manizavi,manizui,manizi,manizi,I have handleed
Active Indicative,Perfect,1st Person,Plural,manizavimus,manizuimus,manizimus,manizimus,We have handleed
Active Indicative,Perfect,2nd Person,Singular,manizavisti,manizuisti,manizisti,manizisti,You have handleed
Active Indicative,Perfect,2nd Person,Plural,manizavistis,manizuistis,manizistis,manizistis,You (pl.) have handleed
Active Indicative,Perfect,3rd Person,Singular,manizavit,manizuit,manizit,manizit,He/she/it has handleed
Active Indicative,Perfect,3rd Person,Plural,manizaverunt,manizuerunt,manizerunt,manizerunt,They have handleed
Active Indicative,Pluperfect,1st Person,Singular,manizaveram,manizueram,manizeram,manizeram,I had handleed
Active Indicative,Pluperfect,1st Person,Plural,manizaveramus,manizueramus,manizeramus,manizeramus,We had handleed
Active Indicative,Pluperfect,2nd Person,Singular,manizaveras,manizueras,manizeras,manizeras,You had handleed
Active Indicative,Pluperfect,2nd Person,Plural,manizaveratis,manizueratis,manizeratis,manizeratis,You (pl.) had handleed
Active Indicative,Pluperfect,3rd Person,Singular,manizaverat,manizuerat,manizerat,manizerat,He/she/it had handleed
Active Indicative,Pluperfect,3rd Person,Plural,manizaverant,manizuerant,manizerant,manizerant,They had handleed
Active Indicative,Future Perfect,1st Person,Singular,manizavero,manizueero,manizero,maniziero,I will have handleed
Active Indicative,Future Perfect,1st Person,Plural,manizaverimus,manizuerimus,manizerimus,manizierimus,We will have handleed
Active Indicative,Future Perfect,2nd Person,Singular,manizaveris,manizueris,manizeris,manizieris,You will have handleed
Active Indicative,Future Perfect,2nd Person,Plural,manizaveritis,manizueritis,manizeritis,manizieritis,You (pl.) will have handleed
Active Indicative,Future Perfect,3rd Person,Singular,manizaverit,manizuerit,manizerit,manizierit,He/she/it will have handleed
Active Indicative,Future Perfect,3rd Person,Plural,manizaverint,manizuerint,manizerint,manizierint,They will have handleed
Passive Indicative,Present,1st Person,Singular,manizor,manizeor,manizor,manizior,I am being handleed
Passive Indicative,Present,1st Person,Plural,manizamur,manizemur,manizimur,manizimur,We are being handleed
Passive Indicative,Present,2nd Person,Singular,manizaris,manizeris,maniziris,maniziris,You are being handleed
Passive Indicative,Present,2nd Person,Plural,manizamini,manizemini,manizimini,manizimini,You (pl.) are being handleed
Passive Indicative,Present,3rd Person,Singular,manizatur,manizetur,manizitur,manizitur,He/she/it is being handleed
Passive Indicative,Present,3rd Person,Plural,manizantur,manizentur,maniziuntur,maniziuntur,They are being handleed
Passive Indicative,Imperfect,1st Person,Singular,manizabar,manizebar,manizebar,maniziebar,I was handleed
Passive Indicative,Imperfect,1st Person,Plural,manizabamur,manizebamur,manizebamur,maniziebamur,We were handleed
Passive Indicative,Imperfect,2nd Person,Singular,manizabaris,manizebaris,manizebaris,maniziebaris,You were handleed
Passive Indicative,Imperfect,2nd Person,Plural,manizabamini,manizebamini,manizebamini,maniziebamini,You (pl.) were handleed
Passive Indicative,Imperfect,3rd Person,Singular,manizabatur,manizebatur,manizebatur,maniziebatur,He/she/it was handleed
Passive Indicative,Imperfect,3rd Person,Plural,manizabantur,manizebantur,manizebantur,maniziebantur,They were handleed
Passive Indicative,Future,1st Person,Singular,manizabor,manizebor,manizar,maniziar,I will be handleed
Passive Indicative,Future,1st Person,Plural,manizabimur,manizebimur,manizemur,maniziemur,We will be handleed
Passive Indicative,Future,2nd Person,Singular,manizaberis,manizeberis,manizeris,manizieris,You will be handleed
Passive Indicative,Future,2nd Person,Plural,manizabimini,manizebimini,manizemini,maniziemini,You (pl.) will be handleed
Passive Indicative,Future,3rd Person,Singular,manizabitur,manizebitur,manizetur,manizietur,He/she/it will be handleed
Passive Indicative,Future,3rd Person,Plural,manizabuntur,manizebuntur,manizentur,manizientur,They will be handleed
Passive Indicative,Perfect,1st Person,Singular,manizatus sum,manizetus sum,manizus sum,manizus sum,I have been handleed
Passive Indicative,Perfect,1st Person,Plural,manizati sumus,manizeti sumus,manizi sumus,manizi sumus,We have been handleed
Passive Indicative,Perfect,2nd Person,Singular,manizatus es,manizetus es,manizus es,manizus es,You have been handleed
Passive Indicative,Perfect,2nd Person,Plural,manizati estis,manizeti estis,manizi estis,manizi estis,You (pl.) have been handleed
Passive Indicative,Perfect,3rd Person,Singular,manizatus est,manizetus est,manizus est,manizus est,He/she/it has been handleed
Passive Indicative,Perfect,3rd Person,Plural,manizati sunt,manizeti sunt,manizi sunt,manizi sunt,They have been handleed
Passive Indicative,Pluperfect,1st Person,Singular,manizatus eram,manizetus eram,manizus eram,manizus eram,I had been handleed
Passive Indicative,Pluperfect,1st Person,Plural,manizati eramus,manizeti eramus,manizi eramus,manizi eramus,We had been handleed
Passive Indicative,Pluperfect,2nd Person,Singular,manizatus eras,manizetus eras,manizus eras,manizus eras,You had been handleed
Passive Indicative,Pluperfect,2nd Person,Plural,manizati eratis,manizeti eratis,manizi eratis,manizi eratis,You (pl.) had been handleed
Passive Indicative,Pluperfect,3rd Person,Singular,manizatus erat,manizetus erat,manizus erat,manizus erat,He/she/it had been handleed
Passive Indicative,Pluperfect,3rd Person,Plural,manizati erant,manizeti erant,manizi erant,manizi erant,They had been handleed
Passive Indicative,Future Perfect,1st Person,Singular,manizatus ero,manizetus ero,manizus ero,manizus ero,I will have been handleed
Passive Indicative,Future Perfect,1st Person,Plural,manizati erimus,manizeti erimus,manizi erimus,manizi erimus,We will have been handleed
Passive Indicative,Future Perfect,2nd Person,Singular,manizatus eris,manizetus eris,manizus eris,manizus eris,You will have been handleed
Passive Indicative,Future Perfect,2nd Person,Plural,manizati eritis,manizeti eritis,manizi eritis,manizi eritis,You (pl.) will have been handleed
Passive Indicative,Future Perfect,3rd Person,Singular,manizatus erit,manizetus erit,manizus erit,manizus erit,He/she/it will have been handleed
