Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,maturico,maturiceo,maturico,maturicio,I wake up early
Active Indicative,Present,1st Person,Plural,maturicamus,maturicemus,maturicimus,maturicimus,We wake up early
Active Indicative,Present,2nd Person,Singular,maturicas,maturices,maturicis,maturicis,You wake up early
Active Indicative,Present,2nd Person,Plural,maturicatis,maturicetis,maturicitis,maturicitis,You (pl.) wake up early
Active Indicative,Present,3rd Person,Singular,maturicat,maturicet,maturicit,maturicit,He/she/it wake up early
Active Indicative,Present,3rd Person,Plural,maturicant,maturicent,maturiciunt,maturiciunt,They wake up early
Active Indicative,Imperfect,1st Person,Singular,maturicabam,maturicebam,maturicebam,maturiciebam,I was wake up earlying
Active Indicative,Imperfect,1st Person,Plural,maturicabamus,maturicebamus,maturicebamus,maturiciebamus,We were wake up earlying
Active Indicative,Imperfect,2nd Person,Singular,maturicabas,maturicebas,maturicebas,maturiciebas,You were wake up earlying
Active Indicative,Imperfect,2nd Person,Plural,maturicabatis,maturicebatis,maturicebatis,maturiciebatis,You (pl.) were wake up earlying
Active Indicative,Imperfect,3rd Person,Singular,maturicabat,maturicebat,maturicebat,maturiciebat,He/she/it was wake up earlying
Active Indicative,Imperfect,3rd Person,Plural,maturicabant,maturicebant,maturicebant,maturiciebant,They were wake up earlying
Active Indicative,Future,1st Person,Singular,maturicabo,maturicebo,maturicam,maturiciam,I will wake up early
Active Indicative,Future,1st Person,Plural,maturicabimus,maturicebimus,maturicemus,maturiciemus,We will wake up early
Active Indicative,Future,2nd Person,Singular,maturicabis,maturicebis,maturices,maturicies,You will wake up early
Active Indicative,Future,2nd Person,Plural,maturicabitis,maturicebitis,maturicetis,maturicietis,You (pl.) will wake up early
Active Indicative,Future,3rd Person,Singular,maturicabit,maturicebit,maturicet,maturiciet,He/she/it will wake up early
Active Indicative,Future,3rd Person,Plural,maturicabunt,maturicebunt,maturicent,maturicient,They will wake up early
Active Indicative,Perfect,1st Person,Singular,maturicavi,maturicui,maturici,maturici,I have wake up earlyed
Active Indicative,Perfect,1st Person,Plural,maturicavimus,maturicuimus,maturicimus,maturicimus,We have wake up earlyed
Active Indicative,Perfect,2nd Person,Singular,maturicavisti,maturicuisti,maturicisti,maturicisti,You have wake up earlyed
