Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,metiro,metireo,metiro,metirio,I measure
Active Indicative,Present,1st Person,Plural,metiramus,metiremus,metirimus,metirimus,We measure
Active Indicative,Present,2nd Person,Singular,metiras,metires,metiris,metiris,You measure
Active Indicative,Present,2nd Person,Plural,metiratis,metiretis,metiritis,metiritis,You (pl.) measure
Active Indicative,Present,3rd Person,Singular,metirat,metiret,metirit,metirit,He/she/it measure
Active Indicative,Present,3rd Person,Plural,metirant,metirent,metiriunt,metiriunt,They measure
Active Indicative,Imperfect,1st Person,Singular,metirabam,metirebam,metirebam,metiriebam,I was measureing
Active Indicative,Imperfect,1st Person,Plural,metirabamus,metirebamus,metirebamus,metiriebamus,We were measureing
Active Indicative,Imperfect,2nd Person,Singular,metirabas,metirebas,metirebas,metiriebas,You were measureing
Active Indicative,Imperfect,2nd Person,Plural,metirabatis,metirebatis,metirebatis,metiriebatis,You (pl.) were measureing
Active Indicative,Imperfect,3rd Person,Singular,metirabat,metirebat,metirebat,metiriebat,He/she/it was measureing
Active Indicative,Imperfect,3rd Person,Plural,metirabant,metirebant,metirebant,metiriebant,They were measureing
Active Indicative,Future,1st Person,Singular,metirabo,metirebo,metiram,metiriam,I will measure
Active Indicative,Future,1st Person,Plural,metirabimus,metirebimus,metiremus,metiriemus,We will measure
Active Indicative,Future,2nd Person,Singular,metirabis,metirebis,metires,metiries,You will measure
Active Indicative,Future,2nd Person,Plural,metirabitis,metirebitis,metiretis,metirietis,You (pl.) will measure
Active Indicative,Future,3rd Person,Singular,metirabit,metirebit,metiret,metiriet,He/she/it will measure
Active Indicative,Future,3rd Person,Plural,metirabunt,metirebunt,metirent,metirient,They will measure
Active Indicative,Perfect,1st Person,Singular,metiravi,metirui,metiri,metiri,I have measureed
Active Indicative,Perfect,1st Person,Plural,metiravimus,metiruimus,metirimus,metirimus,We have measureed
Active Indicative,Perfect,2nd Person,Singular,metiravisti,metiruisti,metiristi,metiristi,You have measureed
Active Indicative,Perfect,2nd Person,Plural,metiravistis,metiruistis,metiristis,metiristis,You (pl.) have measureed
Active Indicative,Perfect,3rd Person,Singular,metiravit,metiruit,metirit,metirit,He/she/it has measureed
Active Indicative,Perfect,3rd Person,Plural,metiraverunt,metiruerunt,metirerunt,metirerunt,They have measureed
Active Indicative,Pluperfect,1st Person,Singular,metiraveram,metirueram,metireram,metireram,I had measureed
Active Indicative,Pluperfect,1st Person,Plural,metiraveramus,metirueramus,metireramus,metireramus,We had measureed
Active Indicative,Pluperfect,2nd Person,Singular,metiraveras,metirueras,metireras,metireras,You had measureed
Active Indicative,Pluperfect,2nd Person,Plural,metiraveratis,metirueratis,metireratis,metireratis,You (pl.) had measureed
Active Indicative,Pluperfect,3rd Person,Singular,metiraverat,metiruerat,metirerat,metirerat,He/she/it had measureed
Active Indicative,Pluperfect,3rd Person,Plural,metiraverant,metiruerant,metirerant,metirerant,They had measureed
Active Indicative,Future Perfect,1st Person,Singular,metiravero,metirueero,metirero,metiriero,I will have measureed
Active Indicative,Future Perfect,1st Person,Plural,metiraverimus,metiruerimus,metirerimus,metirierimus,We will have measureed
Active Indicative,Future Perfect,2nd Person,Singular,metiraveris,metirueris,metireris,metirieris,You will have measureed
Active Indicative,Future Perfect,2nd Person,Plural,metiraveritis,metirueritis,metireritis,metirieritis,You (pl.) will have measureed
Active Indicative,Future Perfect,3rd Person,Singular,metiraverit,metiruerit,metirerit,metirierit,He/she/it will have measureed
Active Indicative,Future Perfect,3rd Person,Plural,metiraverint,metiruerint,metirerint,metirierint,They will have measureed
Passive Indicative,Present,1st Person,Singular,metiror,metireor,metiror,metirior,I am being measureed
Passive Indicative,Present,1st Person,Plural,metiramur,metiremur,metirimur,metirimur,We are being measureed
Passive Indicative,Present,2nd Person,Singular,metiraris,metireris,metiriris,metiriris,You are being measureed
Passive Indicative,Present,2nd Person,Plural,metiramini,metiremini,metirimini,metirimini,You (pl.) are being measureed
Passive Indicative,Present,3rd Person,Singular,metiratur,metiretur,metiritur,metiritur,He/she/it is being measureed
Passive Indicative,Present,3rd Person,Plural,metirantur,metirentur,metiriuntur,metiriuntur,They are being measureed
Passive Indicative,Imperfect,1st Person,Singular,metirabar,metirebar,metirebar,metiriebar,I was measureed
Passive Indicative,Imperfect,1st Person,Plural,metirabamur,metirebamur,metirebamur,metiriebamur,We were measureed
Passive Indicative,Imperfect,2nd Person,Singular,metirabaris,metirebaris,metirebaris,metiriebaris,You were measureed
Passive Indicative,Imperfect,2nd Person,Plural,metirabamini,metirebamini,metirebamini,metiriebamini,You (pl.) were measureed
Passive Indicative,Imperfect,3rd Person,Singular,metirabatur,metirebatur,metirebatur,metiriebatur,He/she/it was measureed
Passive Indicative,Imperfect,3rd Person,Plural,metirabantur,metirebantur,metirebantur,metiriebantur,They were measureed
Passive Indicative,Future,1st Person,Singular,metirabor,metirebor,metirar,metiriar,I will be measureed
Passive Indicative,Future,1st Person,Plural,metirabimur,metirebimur,metiremur,metiriemur,We will be measureed
Passive Indicative,Future,2nd Person,Singular,metiraberis,metireberis,metireris,metirieris,You will be measureed
Passive Indicative,Future,2nd Person,Plural,metirabimini,metirebimini,metiremini,metiriemini,You (pl.) will be measureed
Passive Indicative,Future,3rd Person,Singular,metirabitur,metirebitur,metiretur,metirietur,He/she/it will be measureed
Passive Indicative,Future,3rd Person,Plural,metirabuntur,metirebuntur,metirentur,metirientur,They will be measureed
Passive Indicative,Perfect,1st Person,Singular,metiratus sum,metiretus sum,metirus sum,metirus sum,I have been measureed
Passive Indicative,Perfect,1st Person,Plural,metirati sumus,metireti sumus,metiri sumus,metiri sumus,We have been measureed
Passive Indicative,Perfect,2nd Person,Singular,metiratus es,metiretus es,metirus es,metirus es,You have been measureed
Passive Indicative,Perfect,2nd Person,Plural,metirati estis,metireti estis,metiri estis,metiri estis,You (pl.) have been measureed
