Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mingo,mingeo,mingo,mingio,I urinate
Active Indicative,Present,1st Person,Plural,mingamus,mingemus,mingimus,mingimus,We urinate
Active Indicative,Present,2nd Person,Singular,mingas,minges,mingis,mingis,You urinate
Active Indicative,Present,2nd Person,Plural,mingatis,mingetis,mingitis,mingitis,You (pl.) urinate
Active Indicative,Present,3rd Person,Singular,mingat,minget,mingit,mingit,He/she/it urinate
Active Indicative,Present,3rd Person,Plural,mingant,mingent,mingiunt,mingiunt,They urinate
Active Indicative,Imperfect,1st Person,Singular,mingabam,mingebam,mingebam,mingiebam,I was urinateing
Active Indicative,Imperfect,1st Person,Plural,mingabamus,mingebamus,mingebamus,mingiebamus,We were urinateing
Active Indicative,Imperfect,2nd Person,Singular,mingabas,mingebas,mingebas,mingiebas,You were urinateing
Active Indicative,Imperfect,2nd Person,Plural,mingabatis,mingebatis,mingebatis,mingiebatis,You (pl.) were urinateing
Active Indicative,Imperfect,3rd Person,Singular,mingabat,mingebat,mingebat,mingiebat,He/she/it was urinateing
Active Indicative,Imperfect,3rd Person,Plural,mingabant,mingebant,mingebant,mingiebant,They were urinateing
Active Indicative,Future,1st Person,Singular,mingabo,mingebo,mingam,mingiam,I will urinate
Active Indicative,Future,1st Person,Plural,mingabimus,mingebimus,mingemus,mingiemus,We will urinate
Active Indicative,Future,2nd Person,Singular,mingabis,mingebis,minges,mingies,You will urinate
Active Indicative,Future,2nd Person,Plural,mingabitis,mingebitis,mingetis,mingietis,You (pl.) will urinate
Active Indicative,Future,3rd Person,Singular,mingabit,mingebit,minget,mingiet,He/she/it will urinate
Active Indicative,Future,3rd Person,Plural,mingabunt,mingebunt,mingent,mingient,They will urinate
Active Indicative,Perfect,1st Person,Singular,mingavi,mingui,mingi,mingi,I have urinateed
Active Indicative,Perfect,1st Person,Plural,mingavimus,minguimus,mingimus,mingimus,We have urinateed
Active Indicative,Perfect,2nd Person,Singular,mingavisti,minguisti,mingisti,mingisti,You have urinateed
Active Indicative,Perfect,2nd Person,Plural,mingavistis,minguistis,mingistis,mingistis,You (pl.) have urinateed
Active Indicative,Perfect,3rd Person,Singular,mingavit,minguit,mingit,mingit,He/she/it has urinateed
Active Indicative,Perfect,3rd Person,Plural,mingaverunt,minguerunt,mingerunt,mingerunt,They have urinateed
Active Indicative,Pluperfect,1st Person,Singular,mingaveram,mingueram,mingeram,mingeram,I had urinateed
Active Indicative,Pluperfect,1st Person,Plural,mingaveramus,mingueramus,mingeramus,mingeramus,We had urinateed
Active Indicative,Pluperfect,2nd Person,Singular,mingaveras,mingueras,mingeras,mingeras,You had urinateed
Active Indicative,Pluperfect,2nd Person,Plural,mingaveratis,mingueratis,mingeratis,mingeratis,You (pl.) had urinateed
Active Indicative,Pluperfect,3rd Person,Singular,mingaverat,minguerat,mingerat,mingerat,He/she/it had urinateed
Active Indicative,Pluperfect,3rd Person,Plural,mingaverant,minguerant,mingerant,mingerant,They had urinateed
Active Indicative,Future Perfect,1st Person,Singular,mingavero,mingueero,mingero,mingiero,I will have urinateed
Active Indicative,Future Perfect,1st Person,Plural,mingaverimus,minguerimus,mingerimus,mingierimus,We will have urinateed
Active Indicative,Future Perfect,2nd Person,Singular,mingaveris,mingueris,mingeris,mingieris,You will have urinateed
Active Indicative,Future Perfect,2nd Person,Plural,mingaveritis,mingueritis,mingeritis,mingieritis,You (pl.) will have urinateed
Active Indicative,Future Perfect,3rd Person,Singular,mingaverit,minguerit,mingerit,mingierit,He/she/it will have urinateed
Active Indicative,Future Perfect,3rd Person,Plural,mingaverint,minguerint,mingerint,mingierint,They will have urinateed
Passive Indicative,Present,1st Person,Singular,mingor,mingeor,mingor,mingior,I am being urinateed
Passive Indicative,Present,1st Person,Plural,mingamur,mingemur,mingimur,mingimur,We are being urinateed
Passive Indicative,Present,2nd Person,Singular,mingaris,mingeris,mingiris,mingiris,You are being urinateed
Passive Indicative,Present,2nd Person,Plural,mingamini,mingemini,mingimini,mingimini,You (pl.) are being urinateed
Passive Indicative,Present,3rd Person,Singular,mingatur,mingetur,mingitur,mingitur,He/she/it is being urinateed
Passive Indicative,Present,3rd Person,Plural,mingantur,mingentur,mingiuntur,mingiuntur,They are being urinateed
Passive Indicative,Imperfect,1st Person,Singular,mingabar,mingebar,mingebar,mingiebar,I was urinateed
Passive Indicative,Imperfect,1st Person,Plural,mingabamur,mingebamur,mingebamur,mingiebamur,We were urinateed
Passive Indicative,Imperfect,2nd Person,Singular,mingabaris,mingebaris,mingebaris,mingiebaris,You were urinateed
Passive Indicative,Imperfect,2nd Person,Plural,mingabamini,mingebamini,mingebamini,mingiebamini,You (pl.) were urinateed
Passive Indicative,Imperfect,3rd Person,Singular,mingabatur,mingebatur,mingebatur,mingiebatur,He/she/it was urinateed
Passive Indicative,Imperfect,3rd Person,Plural,mingabantur,mingebantur,mingebantur,mingiebantur,They were urinateed
Passive Indicative,Future,1st Person,Singular,mingabor,mingebor,mingar,mingiar,I will be urinateed
Passive Indicative,Future,1st Person,Plural,mingabimur,mingebimur,mingemur,mingiemur,We will be urinateed
Passive Indicative,Future,2nd Person,Singular,mingaberis,mingeberis,mingeris,mingieris,You will be urinateed
Passive Indicative,Future,2nd Person,Plural,mingabimini,mingebimini,mingemini,mingiemini,You (pl.) will be urinateed
Passive Indicative,Future,3rd Person,Singular,mingabitur,mingebitur,mingetur,mingietur,He/she/it will be urinateed
Passive Indicative,Future,3rd Person,Plural,mingabuntur,mingebuntur,mingentur,mingientur,They will be urinateed
Passive Indicative,Perfect,1st Person,Singular,mingatus sum,mingetus sum,mingus sum,mingus sum,I have been urinateed
Passive Indicative,Perfect,1st Person,Plural,mingati sumus,mingeti sumus,mingi sumus,mingi sumus,We have been urinateed
Passive Indicative,Perfect,2nd Person,Singular,mingatus es,mingetus es,mingus es,mingus es,You have been urinateed
Passive Indicative,Perfect,2nd Person,Plural,mingati estis,mingeti estis,mingi estis,mingi estis,You (pl.) have been urinateed
Passive Indicative,Perfect,3rd Person,Singular,mingatus est,mingetus est,mingus est,mingus est,He/she/it has been urinateed
Passive Indicative,Perfect,3rd Person,Plural,mingati sunt,mingeti sunt,mingi sunt,mingi sunt,They have been urinateed
