Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,minutio,minutieo,minutio,minutio,I diminish
Active Indicative,Present,1st Person,Plural,minutiamus,minutiemus,minutimus,minutimus,We diminish
Active Indicative,Present,2nd Person,Singular,minutias,minuties,minutis,minutis,You diminish
Active Indicative,Present,2nd Person,Plural,minutiatis,minutietis,minutitis,minutitis,You (pl.) diminish
Active Indicative,Present,3rd Person,Singular,minutiat,minutiet,minutit,minutit,He/she/it diminish
Active Indicative,Present,3rd Person,Plural,minutiant,minutient,minutiunt,minutiunt,They diminish
Active Indicative,Imperfect,1st Person,Singular,minutiabam,minutiebam,minutiebam,minutiebam,I was diminishing
Active Indicative,Imperfect,1st Person,Plural,minutiabamus,minutiebamus,minutiebamus,minutiebamus,We were diminishing
Active Indicative,Imperfect,2nd Person,Singular,minutiabas,minutiebas,minutiebas,minutiebas,You were diminishing
Active Indicative,Imperfect,2nd Person,Plural,minutiabatis,minutiebatis,minutiebatis,minutiebatis,You (pl.) were diminishing
Active Indicative,Imperfect,3rd Person,Singular,minutiabat,minutiebat,minutiebat,minutiebat,He/she/it was diminishing
Active Indicative,Imperfect,3rd Person,Plural,minutiabant,minutiebant,minutiebant,minutiebant,They were diminishing
Active Indicative,Future,1st Person,Singular,minutiabo,minutiebo,minutiam,minutiam,I will diminish
Active Indicative,Future,1st Person,Plural,minutiabimus,minutiebimus,minutiemus,minutiemus,We will diminish
Active Indicative,Future,2nd Person,Singular,minutiabis,minutiebis,minuties,minuties,You will diminish
Active Indicative,Future,2nd Person,Plural,minutiabitis,minutiebitis,minutietis,minutietis,You (pl.) will diminish
Active Indicative,Future,3rd Person,Singular,minutiabit,minutiebit,minutiet,minutiet,He/she/it will diminish
Active Indicative,Future,3rd Person,Plural,minutiabunt,minutiebunt,minutient,minutient,They will diminish
Active Indicative,Perfect,1st Person,Singular,minutiavi,minutiui,minuti,minuti,I have diminished
Active Indicative,Perfect,1st Person,Plural,minutiavimus,minutiuimus,minutimus,minutimus,We have diminished
