Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,misco,misceo,misco,miscio,I mix
Active Indicative,Present,1st Person,Plural,miscamus,miscemus,miscimus,miscimus,We mix
Active Indicative,Present,2nd Person,Singular,miscas,misces,miscis,miscis,You mix
Active Indicative,Present,2nd Person,Plural,miscatis,miscetis,miscitis,miscitis,You (pl.) mix
Active Indicative,Present,3rd Person,Singular,miscat,miscet,miscit,miscit,He/she/it mix
Active Indicative,Present,3rd Person,Plural,miscant,miscent,misciunt,misciunt,They mix
Active Indicative,Imperfect,1st Person,Singular,miscabam,miscebam,miscebam,misciebam,I was mixing
Active Indicative,Imperfect,1st Person,Plural,miscabamus,miscebamus,miscebamus,misciebamus,We were mixing
Active Indicative,Imperfect,2nd Person,Singular,miscabas,miscebas,miscebas,misciebas,You were mixing
Active Indicative,Imperfect,2nd Person,Plural,miscabatis,miscebatis,miscebatis,misciebatis,You (pl.) were mixing
Active Indicative,Imperfect,3rd Person,Singular,miscabat,miscebat,miscebat,misciebat,He/she/it was mixing
Active Indicative,Imperfect,3rd Person,Plural,miscabant,miscebant,miscebant,misciebant,They were mixing
Active Indicative,Future,1st Person,Singular,miscabo,miscebo,miscam,misciam,I will mix
Active Indicative,Future,1st Person,Plural,miscabimus,miscebimus,miscemus,misciemus,We will mix
Active Indicative,Future,2nd Person,Singular,miscabis,miscebis,misces,miscies,You will mix
Active Indicative,Future,2nd Person,Plural,miscabitis,miscebitis,miscetis,miscietis,You (pl.) will mix
Active Indicative,Future,3rd Person,Singular,miscabit,miscebit,miscet,misciet,He/she/it will mix
Active Indicative,Future,3rd Person,Plural,miscabunt,miscebunt,miscent,miscient,They will mix
Active Indicative,Perfect,1st Person,Singular,miscavi,miscui,misci,misci,I have mixed
Active Indicative,Perfect,1st Person,Plural,miscavimus,miscuimus,miscimus,miscimus,We have mixed
Active Indicative,Perfect,2nd Person,Singular,miscavisti,miscuisti,miscisti,miscisti,You have mixed
Active Indicative,Perfect,2nd Person,Plural,miscavistis,miscuistis,miscistis,miscistis,You (pl.) have mixed
Active Indicative,Perfect,3rd Person,Singular,miscavit,miscuit,miscit,miscit,He/she/it has mixed
Active Indicative,Perfect,3rd Person,Plural,miscaverunt,miscuerunt,miscerunt,miscerunt,They have mixed
Active Indicative,Pluperfect,1st Person,Singular,miscaveram,miscueram,misceram,misceram,I had mixed
Active Indicative,Pluperfect,1st Person,Plural,miscaveramus,miscueramus,misceramus,misceramus,We had mixed
Active Indicative,Pluperfect,2nd Person,Singular,miscaveras,miscueras,misceras,misceras,You had mixed
Active Indicative,Pluperfect,2nd Person,Plural,miscaveratis,miscueratis,misceratis,misceratis,You (pl.) had mixed
Active Indicative,Pluperfect,3rd Person,Singular,miscaverat,miscuerat,miscerat,miscerat,He/she/it had mixed
Active Indicative,Pluperfect,3rd Person,Plural,miscaverant,miscuerant,miscerant,miscerant,They had mixed
Active Indicative,Future Perfect,1st Person,Singular,miscavero,miscueero,miscero,misciero,I will have mixed
Active Indicative,Future Perfect,1st Person,Plural,miscaverimus,miscuerimus,miscerimus,miscierimus,We will have mixed
Active Indicative,Future Perfect,2nd Person,Singular,miscaveris,miscueris,misceris,miscieris,You will have mixed
Active Indicative,Future Perfect,2nd Person,Plural,miscaveritis,miscueritis,misceritis,miscieritis,You (pl.) will have mixed
Active Indicative,Future Perfect,3rd Person,Singular,miscaverit,miscuerit,miscerit,miscierit,He/she/it will have mixed
Active Indicative,Future Perfect,3rd Person,Plural,miscaverint,miscuerint,miscerint,miscierint,They will have mixed
Passive Indicative,Present,1st Person,Singular,miscor,misceor,miscor,miscior,I am being mixed
Passive Indicative,Present,1st Person,Plural,miscamur,miscemur,miscimur,miscimur,We are being mixed
Passive Indicative,Present,2nd Person,Singular,miscaris,misceris,misciris,misciris,You are being mixed
Passive Indicative,Present,2nd Person,Plural,miscamini,miscemini,miscimini,miscimini,You (pl.) are being mixed
Passive Indicative,Present,3rd Person,Singular,miscatur,miscetur,miscitur,miscitur,He/she/it is being mixed
Passive Indicative,Present,3rd Person,Plural,miscantur,miscentur,misciuntur,misciuntur,They are being mixed
Passive Indicative,Imperfect,1st Person,Singular,miscabar,miscebar,miscebar,misciebar,I was mixed
Passive Indicative,Imperfect,1st Person,Plural,miscabamur,miscebamur,miscebamur,misciebamur,We were mixed
Passive Indicative,Imperfect,2nd Person,Singular,miscabaris,miscebaris,miscebaris,misciebaris,You were mixed
Passive Indicative,Imperfect,2nd Person,Plural,miscabamini,miscebamini,miscebamini,misciebamini,You (pl.) were mixed
Passive Indicative,Imperfect,3rd Person,Singular,miscabatur,miscebatur,miscebatur,misciebatur,He/she/it was mixed
Passive Indicative,Imperfect,3rd Person,Plural,miscabantur,miscebantur,miscebantur,misciebantur,They were mixed
Passive Indicative,Future,1st Person,Singular,miscabor,miscebor,miscar,misciar,I will be mixed
Passive Indicative,Future,1st Person,Plural,miscabimur,miscebimur,miscemur,misciemur,We will be mixed
