Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mixtico,mixticeo,mixtico,mixticio,I mix
Active Indicative,Present,1st Person,Plural,mixticamus,mixticemus,mixticimus,mixticimus,We mix
Active Indicative,Present,2nd Person,Singular,mixticas,mixtices,mixticis,mixticis,You mix
Active Indicative,Present,2nd Person,Plural,mixticatis,mixticetis,mixticitis,mixticitis,You (pl.) mix
Active Indicative,Present,3rd Person,Singular,mixticat,mixticet,mixticit,mixticit,He/she/it mix
Active Indicative,Present,3rd Person,Plural,mixticant,mixticent,mixticiunt,mixticiunt,They mix
Active Indicative,Imperfect,1st Person,Singular,mixticabam,mixticebam,mixticebam,mixticiebam,I was mixing
Active Indicative,Imperfect,1st Person,Plural,mixticabamus,mixticebamus,mixticebamus,mixticiebamus,We were mixing
Active Indicative,Imperfect,2nd Person,Singular,mixticabas,mixticebas,mixticebas,mixticiebas,You were mixing
Active Indicative,Imperfect,2nd Person,Plural,mixticabatis,mixticebatis,mixticebatis,mixticiebatis,You (pl.) were mixing
Active Indicative,Imperfect,3rd Person,Singular,mixticabat,mixticebat,mixticebat,mixticiebat,He/she/it was mixing
Active Indicative,Imperfect,3rd Person,Plural,mixticabant,mixticebant,mixticebant,mixticiebant,They were mixing
Active Indicative,Future,1st Person,Singular,mixticabo,mixticebo,mixticam,mixticiam,I will mix
Active Indicative,Future,1st Person,Plural,mixticabimus,mixticebimus,mixticemus,mixticiemus,We will mix
Active Indicative,Future,2nd Person,Singular,mixticabis,mixticebis,mixtices,mixticies,You will mix
Active Indicative,Future,2nd Person,Plural,mixticabitis,mixticebitis,mixticetis,mixticietis,You (pl.) will mix
Active Indicative,Future,3rd Person,Singular,mixticabit,mixticebit,mixticet,mixticiet,He/she/it will mix
Active Indicative,Future,3rd Person,Plural,mixticabunt,mixticebunt,mixticent,mixticient,They will mix
Active Indicative,Perfect,1st Person,Singular,mixticavi,mixticui,mixtici,mixtici,I have mixed
Active Indicative,Perfect,1st Person,Plural,mixticavimus,mixticuimus,mixticimus,mixticimus,We have mixed
Active Indicative,Perfect,2nd Person,Singular,mixticavisti,mixticuisti,mixticisti,mixticisti,You have mixed
Active Indicative,Perfect,2nd Person,Plural,mixticavistis,mixticuistis,mixticistis,mixticistis,You (pl.) have mixed
Active Indicative,Perfect,3rd Person,Singular,mixticavit,mixticuit,mixticit,mixticit,He/she/it has mixed
Active Indicative,Perfect,3rd Person,Plural,mixticaverunt,mixticuerunt,mixticerunt,mixticerunt,They have mixed
Active Indicative,Pluperfect,1st Person,Singular,mixticaveram,mixticueram,mixticeram,mixticeram,I had mixed
Active Indicative,Pluperfect,1st Person,Plural,mixticaveramus,mixticueramus,mixticeramus,mixticeramus,We had mixed
Active Indicative,Pluperfect,2nd Person,Singular,mixticaveras,mixticueras,mixticeras,mixticeras,You had mixed
Active Indicative,Pluperfect,2nd Person,Plural,mixticaveratis,mixticueratis,mixticeratis,mixticeratis,You (pl.) had mixed
Active Indicative,Pluperfect,3rd Person,Singular,mixticaverat,mixticuerat,mixticerat,mixticerat,He/she/it had mixed
Active Indicative,Pluperfect,3rd Person,Plural,mixticaverant,mixticuerant,mixticerant,mixticerant,They had mixed
Active Indicative,Future Perfect,1st Person,Singular,mixticavero,mixticueero,mixticero,mixticiero,I will have mixed
Active Indicative,Future Perfect,1st Person,Plural,mixticaverimus,mixticuerimus,mixticerimus,mixticierimus,We will have mixed
Active Indicative,Future Perfect,2nd Person,Singular,mixticaveris,mixticueris,mixticeris,mixticieris,You will have mixed
Active Indicative,Future Perfect,2nd Person,Plural,mixticaveritis,mixticueritis,mixticeritis,mixticieritis,You (pl.) will have mixed
Active Indicative,Future Perfect,3rd Person,Singular,mixticaverit,mixticuerit,mixticerit,mixticierit,He/she/it will have mixed
Active Indicative,Future Perfect,3rd Person,Plural,mixticaverint,mixticuerint,mixticerint,mixticierint,They will have mixed
Passive Indicative,Present,1st Person,Singular,mixticor,mixticeor,mixticor,mixticior,I am being mixed
Passive Indicative,Present,1st Person,Plural,mixticamur,mixticemur,mixticimur,mixticimur,We are being mixed
Passive Indicative,Present,2nd Person,Singular,mixticaris,mixticeris,mixticiris,mixticiris,You are being mixed
Passive Indicative,Present,2nd Person,Plural,mixticamini,mixticemini,mixticimini,mixticimini,You (pl.) are being mixed
Passive Indicative,Present,3rd Person,Singular,mixticatur,mixticetur,mixticitur,mixticitur,He/she/it is being mixed
Passive Indicative,Present,3rd Person,Plural,mixticantur,mixticentur,mixticiuntur,mixticiuntur,They are being mixed
Passive Indicative,Imperfect,1st Person,Singular,mixticabar,mixticebar,mixticebar,mixticiebar,I was mixed
Passive Indicative,Imperfect,1st Person,Plural,mixticabamur,mixticebamur,mixticebamur,mixticiebamur,We were mixed
Passive Indicative,Imperfect,2nd Person,Singular,mixticabaris,mixticebaris,mixticebaris,mixticiebaris,You were mixed
Passive Indicative,Imperfect,2nd Person,Plural,mixticabamini,mixticebamini,mixticebamini,mixticiebamini,You (pl.) were mixed
Passive Indicative,Imperfect,3rd Person,Singular,mixticabatur,mixticebatur,mixticebatur,mixticiebatur,He/she/it was mixed
Passive Indicative,Imperfect,3rd Person,Plural,mixticabantur,mixticebantur,mixticebantur,mixticiebantur,They were mixed
Passive Indicative,Future,1st Person,Singular,mixticabor,mixticebor,mixticar,mixticiar,I will be mixed
Passive Indicative,Future,1st Person,Plural,mixticabimur,mixticebimur,mixticemur,mixticiemur,We will be mixed
Passive Indicative,Future,2nd Person,Singular,mixticaberis,mixticeberis,mixticeris,mixticieris,You will be mixed
Passive Indicative,Future,2nd Person,Plural,mixticabimini,mixticebimini,mixticemini,mixticiemini,You (pl.) will be mixed
Passive Indicative,Future,3rd Person,Singular,mixticabitur,mixticebitur,mixticetur,mixticietur,He/she/it will be mixed
Passive Indicative,Future,3rd Person,Plural,mixticabuntur,mixticebuntur,mixticentur,mixticientur,They will be mixed
Passive Indicative,Perfect,1st Person,Singular,mixticatus sum,mixticetus sum,mixticus sum,mixticus sum,I have been mixed
Passive Indicative,Perfect,1st Person,Plural,mixticati sumus,mixticeti sumus,mixtici sumus,mixtici sumus,We have been mixed
Passive Indicative,Perfect,2nd Person,Singular,mixticatus es,mixticetus es,mixticus es,mixticus es,You have been mixed
Passive Indicative,Perfect,2nd Person,Plural,mixticati estis,mixticeti estis,mixtici estis,mixtici estis,You (pl.) have been mixed
Passive Indicative,Perfect,3rd Person,Singular,mixticatus est,mixticetus est,mixticus est,mixticus est,He/she/it has been mixed
Passive Indicative,Perfect,3rd Person,Plural,mixticati sunt,mixticeti sunt,mixtici sunt,mixtici sunt,They have been mixed
Passive Indicative,Pluperfect,1st Person,Singular,mixticatus eram,mixticetus eram,mixticus eram,mixticus eram,I had been mixed
Passive Indicative,Pluperfect,1st Person,Plural,mixticati eramus,mixticeti eramus,mixtici eramus,mixtici eramus,We had been mixed
Passive Indicative,Pluperfect,2nd Person,Singular,mixticatus eras,mixticetus eras,mixticus eras,mixticus eras,You had been mixed
Passive Indicative,Pluperfect,2nd Person,Plural,mixticati eratis,mixticeti eratis,mixtici eratis,mixtici eratis,You (pl.) had been mixed
Passive Indicative,Pluperfect,3rd Person,Singular,mixticatus erat,mixticetus erat,mixticus erat,mixticus erat,He/she/it had been mixed
Passive Indicative,Pluperfect,3rd Person,Plural,mixticati erant,mixticeti erant,mixtici erant,mixtici erant,They had been mixed
Passive Indicative,Future Perfect,1st Person,Singular,mixticatus ero,mixticetus ero,mixticus ero,mixticus ero,I will have been mixed
Passive Indicative,Future Perfect,1st Person,Plural,mixticati erimus,mixticeti erimus,mixtici erimus,mixtici erimus,We will have been mixed
Passive Indicative,Future Perfect,2nd Person,Singular,mixticatus eris,mixticetus eris,mixticus eris,mixticus eris,You will have been mixed
Passive Indicative,Future Perfect,2nd Person,Plural,mixticati eritis,mixticeti eritis,mixtici eritis,mixtici eritis,You (pl.) will have been mixed
Passive Indicative,Future Perfect,3rd Person,Singular,mixticatus erit,mixticetus erit,mixticus erit,mixticus erit,He/she/it will have been mixed
Passive Indicative,Future Perfect,3rd Person,Plural,mixticati erunt,mixticeti erunt,mixtici erunt,mixtici erunt,They will have been mixed
Active Subjunctive,Present,1st Person,Singular,mixticem,mixticem,mixticam,mixticam,I may mix
Active Subjunctive,Present,1st Person,Plural,mixticemus,mixticemus,mixticamus,mixticamus,We may mix
Active Subjunctive,Present,2nd Person,Singular,mixtices,mixtices,mixticas,mixticas,You may mix
Active Subjunctive,Present,2nd Person,Plural,mixticetis,mixticetis,mixticatis,mixticatis,You (pl.) may mix
Active Subjunctive,Present,3rd Person,Singular,mixticet,mixticet,mixticat,mixticat,He/she/it may mix
Active Subjunctive,Present,3rd Person,Plural,mixticent,mixticent,mixticant,mixticant,They may mix
Active Subjunctive,Imperfect,1st Person,Singular,mixticarem,mixticerem,mixticerem,mixticirem,I should mix
Active Subjunctive,Imperfect,1st Person,Plural,mixticaremus,mixticeremus,mixticeremus,mixticiremus,We should mix
Active Subjunctive,Imperfect,2nd Person,Singular,mixticares,mixticeres,mixticeres,mixticires,You should mix
Active Subjunctive,Imperfect,2nd Person,Plural,mixticaretis,mixticeretis,mixticeretis,mixticiretis,You (pl.) should mix
Active Subjunctive,Imperfect,3rd Person,Singular,mixticaret,mixticeret,mixticeret,mixticiret,He/she/it should mix
Active Subjunctive,Imperfect,3rd Person,Plural,mixticarent,mixticerent,mixticerent,mixticirent,They should mix
Active Subjunctive,Perfect,1st Person,Singular,mixticerim,mixticuerim,mixticerim,mixticierim,I may have mixed
Active Subjunctive,Perfect,1st Person,Plural,mixticerimus,mixticuerimus,mixticerimus,mixticierimus,We may have mixed
Active Subjunctive,Perfect,2nd Person,Singular,mixticeris,mixticueris,mixticeris,mixticieris,You may have mixed
Active Subjunctive,Perfect,2nd Person,Plural,mixticeritis,mixticueritis,mixticeritis,mixticieritis,You (pl.) may have mixed
Active Subjunctive,Perfect,3rd Person,Singular,mixticerit,mixticuerit,mixticerit,mixticierit,He/she/it may have mixed
Active Subjunctive,Perfect,3rd Person,Plural,mixticerint,mixticuerint,mixticerint,mixticierint,They may have mixed
Active Subjunctive,Pluperfect,1st Person,Singular,mixticissem,mixticuissem,mixticissem,mixticissem,I should have mixed
Active Subjunctive,Pluperfect,1st Person,Plural,mixticissemus,mixticuissemus,mixticissemus,mixticissemus,We should have mixed
Active Subjunctive,Pluperfect,2nd Person,Singular,mixticisses,mixticuisses,mixticisses,mixticisses,You would have mixed
Active Subjunctive,Pluperfect,2nd Person,Plural,mixticissetis,mixticuissetis,mixticissetis,mixticissetis,You (pl.) would have mixed
Active Subjunctive,Pluperfect,3rd Person,Singular,mixticisset,mixticuisset,mixticisset,mixticisset,He/she/it would have mixed
Active Subjunctive,Pluperfect,3rd Person,Plural,mixticissent,mixticuissent,mixticissent,mixticissent,They would have mixed
Passive Subjunctive,Present,1st Person,Singular,mixticer,mixticer,mixticar,mixticar,I may be mixed
Passive Subjunctive,Present,1st Person,Plural,mixticemur,mixticemur,mixticamur,mixticamur,We may be mixed
Passive Subjunctive,Present,2nd Person,Singular,mixticeris,mixticeris,mixticaris,mixticaris,You may be mixed
Passive Subjunctive,Present,2nd Person,Plural,mixticemini,mixticemini,mixticamini,mixticamini,You (pl.) may be mixed
Passive Subjunctive,Present,3rd Person,Singular,mixticetur,mixticetur,mixticatur,mixticatur,He/she/it may be mixed
Passive Subjunctive,Present,3rd Person,Plural,mixticentur,mixticentur,mixticantur,mixticantur,They may be mixed
Passive Subjunctive,Imperfect,1st Person,Singular,mixticarer,mixticerer,mixticerer,mixticirer,I should be mixed
Passive Subjunctive,Imperfect,1st Person,Plural,mixticaremur,mixticeremur,mixticeremur,mixticiremur,We should be mixed
Passive Subjunctive,Imperfect,2nd Person,Singular,mixticareris,mixticereris,mixticereris,mixticireris,You would be mixed
Passive Subjunctive,Imperfect,2nd Person,Plural,mixticaremini,mixticeremini,mixticeremini,mixticiremini,You (pl.) would be mixed
Passive Subjunctive,Imperfect,3rd Person,Singular,mixticaretur,mixticeretur,mixticeretur,mixticiretur,He/she/it would be mixed
