Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mollio,mollieo,mollio,mollio,I soak
Active Indicative,Present,1st Person,Plural,molliamus,molliemus,mollimus,mollimus,We soak
Active Indicative,Present,2nd Person,Singular,mollias,mollies,mollis,mollis,You soak
Active Indicative,Present,2nd Person,Plural,molliatis,mollietis,mollitis,mollitis,You (pl.) soak
Active Indicative,Present,3rd Person,Singular,molliat,molliet,mollit,mollit,He/she/it soak
Active Indicative,Present,3rd Person,Plural,molliant,mollient,molliunt,molliunt,They soak
Active Indicative,Imperfect,1st Person,Singular,molliabam,molliebam,molliebam,molliebam,I was soaking
Active Indicative,Imperfect,1st Person,Plural,molliabamus,molliebamus,molliebamus,molliebamus,We were soaking
Active Indicative,Imperfect,2nd Person,Singular,molliabas,molliebas,molliebas,molliebas,You were soaking
Active Indicative,Imperfect,2nd Person,Plural,molliabatis,molliebatis,molliebatis,molliebatis,You (pl.) were soaking
Active Indicative,Imperfect,3rd Person,Singular,molliabat,molliebat,molliebat,molliebat,He/she/it was soaking
Active Indicative,Imperfect,3rd Person,Plural,molliabant,molliebant,molliebant,molliebant,They were soaking
Active Indicative,Future,1st Person,Singular,molliabo,molliebo,molliam,molliam,I will soak
Active Indicative,Future,1st Person,Plural,molliabimus,molliebimus,molliemus,molliemus,We will soak
Active Indicative,Future,2nd Person,Singular,molliabis,molliebis,mollies,mollies,You will soak
Active Indicative,Future,2nd Person,Plural,molliabitis,molliebitis,mollietis,mollietis,You (pl.) will soak
Active Indicative,Future,3rd Person,Singular,molliabit,molliebit,molliet,molliet,He/she/it will soak
Active Indicative,Future,3rd Person,Plural,molliabunt,molliebunt,mollient,mollient,They will soak
Active Indicative,Perfect,1st Person,Singular,molliavi,molliui,molli,molli,I have soaked
Active Indicative,Perfect,1st Person,Plural,molliavimus,molliuimus,mollimus,mollimus,We have soaked
Active Indicative,Perfect,2nd Person,Singular,molliavisti,molliuisti,mollisti,mollisti,You have soaked
Active Indicative,Perfect,2nd Person,Plural,molliavistis,molliuistis,mollistis,mollistis,You (pl.) have soaked
Active Indicative,Perfect,3rd Person,Singular,molliavit,molliuit,mollit,mollit,He/she/it has soaked
Active Indicative,Perfect,3rd Person,Plural,molliaverunt,molliuerunt,mollierunt,mollierunt,They have soaked
Active Indicative,Pluperfect,1st Person,Singular,molliaveram,molliueram,mollieram,mollieram,I had soaked
Active Indicative,Pluperfect,1st Person,Plural,molliaveramus,molliueramus,mollieramus,mollieramus,We had soaked
Active Indicative,Pluperfect,2nd Person,Singular,molliaveras,molliueras,mollieras,mollieras,You had soaked
Active Indicative,Pluperfect,2nd Person,Plural,molliaveratis,molliueratis,mollieratis,mollieratis,You (pl.) had soaked
Active Indicative,Pluperfect,3rd Person,Singular,molliaverat,molliuerat,mollierat,mollierat,He/she/it had soaked
Active Indicative,Pluperfect,3rd Person,Plural,molliaverant,molliuerant,mollierant,mollierant,They had soaked
Active Indicative,Future Perfect,1st Person,Singular,molliavero,molliueero,molliero,molliero,I will have soaked
Active Indicative,Future Perfect,1st Person,Plural,molliaverimus,molliuerimus,mollierimus,mollierimus,We will have soaked
Active Indicative,Future Perfect,2nd Person,Singular,molliaveris,molliueris,mollieris,mollieris,You will have soaked
