Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,monto,monteo,monto,montio,I climb
Active Indicative,Present,1st Person,Plural,montamus,montemus,montimus,montimus,We climb
Active Indicative,Present,2nd Person,Singular,montas,montes,montis,montis,You climb
Active Indicative,Present,2nd Person,Plural,montatis,montetis,montitis,montitis,You (pl.) climb
Active Indicative,Present,3rd Person,Singular,montat,montet,montit,montit,He/she/it climb
Active Indicative,Present,3rd Person,Plural,montant,montent,montiunt,montiunt,They climb
Active Indicative,Imperfect,1st Person,Singular,montabam,montebam,montebam,montiebam,I was climbing
Active Indicative,Imperfect,1st Person,Plural,montabamus,montebamus,montebamus,montiebamus,We were climbing
Active Indicative,Imperfect,2nd Person,Singular,montabas,montebas,montebas,montiebas,You were climbing
Active Indicative,Imperfect,2nd Person,Plural,montabatis,montebatis,montebatis,montiebatis,You (pl.) were climbing
Active Indicative,Imperfect,3rd Person,Singular,montabat,montebat,montebat,montiebat,He/she/it was climbing
Active Indicative,Imperfect,3rd Person,Plural,montabant,montebant,montebant,montiebant,They were climbing
Active Indicative,Future,1st Person,Singular,montabo,montebo,montam,montiam,I will climb
Active Indicative,Future,1st Person,Plural,montabimus,montebimus,montemus,montiemus,We will climb
Active Indicative,Future,2nd Person,Singular,montabis,montebis,montes,monties,You will climb
Active Indicative,Future,2nd Person,Plural,montabitis,montebitis,montetis,montietis,You (pl.) will climb
Active Indicative,Future,3rd Person,Singular,montabit,montebit,montet,montiet,He/she/it will climb
Active Indicative,Future,3rd Person,Plural,montabunt,montebunt,montent,montient,They will climb
Active Indicative,Perfect,1st Person,Singular,montavi,montui,monti,monti,I have climbed
Active Indicative,Perfect,1st Person,Plural,montavimus,montuimus,montimus,montimus,We have climbed
Active Indicative,Perfect,2nd Person,Singular,montavisti,montuisti,montisti,montisti,You have climbed
Active Indicative,Perfect,2nd Person,Plural,montavistis,montuistis,montistis,montistis,You (pl.) have climbed
Active Indicative,Perfect,3rd Person,Singular,montavit,montuit,montit,montit,He/she/it has climbed
Active Indicative,Perfect,3rd Person,Plural,montaverunt,montuerunt,monterunt,monterunt,They have climbed
Active Indicative,Pluperfect,1st Person,Singular,montaveram,montueram,monteram,monteram,I had climbed
Active Indicative,Pluperfect,1st Person,Plural,montaveramus,montueramus,monteramus,monteramus,We had climbed
Active Indicative,Pluperfect,2nd Person,Singular,montaveras,montueras,monteras,monteras,You had climbed
Active Indicative,Pluperfect,2nd Person,Plural,montaveratis,montueratis,monteratis,monteratis,You (pl.) had climbed
Active Indicative,Pluperfect,3rd Person,Singular,montaverat,montuerat,monterat,monterat,He/she/it had climbed
Active Indicative,Pluperfect,3rd Person,Plural,montaverant,montuerant,monterant,monterant,They had climbed
Active Indicative,Future Perfect,1st Person,Singular,montavero,montueero,montero,montiero,I will have climbed
Active Indicative,Future Perfect,1st Person,Plural,montaverimus,montuerimus,monterimus,montierimus,We will have climbed
Active Indicative,Future Perfect,2nd Person,Singular,montaveris,montueris,monteris,montieris,You will have climbed
Active Indicative,Future Perfect,2nd Person,Plural,montaveritis,montueritis,monteritis,montieritis,You (pl.) will have climbed
Active Indicative,Future Perfect,3rd Person,Singular,montaverit,montuerit,monterit,montierit,He/she/it will have climbed
Active Indicative,Future Perfect,3rd Person,Plural,montaverint,montuerint,monterint,montierint,They will have climbed
Passive Indicative,Present,1st Person,Singular,montor,monteor,montor,montior,I am being climbed
Passive Indicative,Present,1st Person,Plural,montamur,montemur,montimur,montimur,We are being climbed
Passive Indicative,Present,2nd Person,Singular,montaris,monteris,montiris,montiris,You are being climbed
Passive Indicative,Present,2nd Person,Plural,montamini,montemini,montimini,montimini,You (pl.) are being climbed
Passive Indicative,Present,3rd Person,Singular,montatur,montetur,montitur,montitur,He/she/it is being climbed
Passive Indicative,Present,3rd Person,Plural,montantur,montentur,montiuntur,montiuntur,They are being climbed
Passive Indicative,Imperfect,1st Person,Singular,montabar,montebar,montebar,montiebar,I was climbed
Passive Indicative,Imperfect,1st Person,Plural,montabamur,montebamur,montebamur,montiebamur,We were climbed
Passive Indicative,Imperfect,2nd Person,Singular,montabaris,montebaris,montebaris,montiebaris,You were climbed
Passive Indicative,Imperfect,2nd Person,Plural,montabamini,montebamini,montebamini,montiebamini,You (pl.) were climbed
Passive Indicative,Imperfect,3rd Person,Singular,montabatur,montebatur,montebatur,montiebatur,He/she/it was climbed
Passive Indicative,Imperfect,3rd Person,Plural,montabantur,montebantur,montebantur,montiebantur,They were climbed
Passive Indicative,Future,1st Person,Singular,montabor,montebor,montar,montiar,I will be climbed
Passive Indicative,Future,1st Person,Plural,montabimur,montebimur,montemur,montiemur,We will be climbed
Passive Indicative,Future,2nd Person,Singular,montaberis,monteberis,monteris,montieris,You will be climbed
Passive Indicative,Future,2nd Person,Plural,montabimini,montebimini,montemini,montiemini,You (pl.) will be climbed
Passive Indicative,Future,3rd Person,Singular,montabitur,montebitur,montetur,montietur,He/she/it will be climbed
Passive Indicative,Future,3rd Person,Plural,montabuntur,montebuntur,montentur,montientur,They will be climbed
Passive Indicative,Perfect,1st Person,Singular,montatus sum,montetus sum,montus sum,montus sum,I have been climbed
Passive Indicative,Perfect,1st Person,Plural,montati sumus,monteti sumus,monti sumus,monti sumus,We have been climbed
Passive Indicative,Perfect,2nd Person,Singular,montatus es,montetus es,montus es,montus es,You have been climbed
Passive Indicative,Perfect,2nd Person,Plural,montati estis,monteti estis,monti estis,monti estis,You (pl.) have been climbed
Passive Indicative,Perfect,3rd Person,Singular,montatus est,montetus est,montus est,montus est,He/she/it has been climbed
Passive Indicative,Perfect,3rd Person,Plural,montati sunt,monteti sunt,monti sunt,monti sunt,They have been climbed
Passive Indicative,Pluperfect,1st Person,Singular,montatus eram,montetus eram,montus eram,montus eram,I had been climbed
Passive Indicative,Pluperfect,1st Person,Plural,montati eramus,monteti eramus,monti eramus,monti eramus,We had been climbed
Passive Indicative,Pluperfect,2nd Person,Singular,montatus eras,montetus eras,montus eras,montus eras,You had been climbed
Passive Indicative,Pluperfect,2nd Person,Plural,montati eratis,monteti eratis,monti eratis,monti eratis,You (pl.) had been climbed
Passive Indicative,Pluperfect,3rd Person,Singular,montatus erat,montetus erat,montus erat,montus erat,He/she/it had been climbed
Passive Indicative,Pluperfect,3rd Person,Plural,montati erant,monteti erant,monti erant,monti erant,They had been climbed
Passive Indicative,Future Perfect,1st Person,Singular,montatus ero,montetus ero,montus ero,montus ero,I will have been climbed
Passive Indicative,Future Perfect,1st Person,Plural,montati erimus,monteti erimus,monti erimus,monti erimus,We will have been climbed
Passive Indicative,Future Perfect,2nd Person,Singular,montatus eris,montetus eris,montus eris,montus eris,You will have been climbed
Passive Indicative,Future Perfect,2nd Person,Plural,montati eritis,monteti eritis,monti eritis,monti eritis,You (pl.) will have been climbed
Passive Indicative,Future Perfect,3rd Person,Singular,montatus erit,montetus erit,montus erit,montus erit,He/she/it will have been climbed
