Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,movo,moveo,movo,movio,I move
Active Indicative,Present,1st Person,Plural,movamus,movemus,movimus,movimus,We move
Active Indicative,Present,2nd Person,Singular,movas,moves,movis,movis,You move
Active Indicative,Present,2nd Person,Plural,movatis,movetis,movitis,movitis,You (pl.) move
Active Indicative,Present,3rd Person,Singular,movat,movet,movit,movit,He/she/it move
Active Indicative,Present,3rd Person,Plural,movant,movent,moviunt,moviunt,They move
Active Indicative,Imperfect,1st Person,Singular,movabam,movebam,movebam,moviebam,I was moveing
Active Indicative,Imperfect,1st Person,Plural,movabamus,movebamus,movebamus,moviebamus,We were moveing
Active Indicative,Imperfect,2nd Person,Singular,movabas,movebas,movebas,moviebas,You were moveing
Active Indicative,Imperfect,2nd Person,Plural,movabatis,movebatis,movebatis,moviebatis,You (pl.) were moveing
Active Indicative,Imperfect,3rd Person,Singular,movabat,movebat,movebat,moviebat,He/she/it was moveing
Active Indicative,Imperfect,3rd Person,Plural,movabant,movebant,movebant,moviebant,They were moveing
Active Indicative,Future,1st Person,Singular,movabo,movebo,movam,moviam,I will move
Active Indicative,Future,1st Person,Plural,movabimus,movebimus,movemus,moviemus,We will move
Active Indicative,Future,2nd Person,Singular,movabis,movebis,moves,movies,You will move
Active Indicative,Future,2nd Person,Plural,movabitis,movebitis,movetis,movietis,You (pl.) will move
Active Indicative,Future,3rd Person,Singular,movabit,movebit,movet,moviet,He/she/it will move
Active Indicative,Future,3rd Person,Plural,movabunt,movebunt,movent,movient,They will move
Active Indicative,Perfect,1st Person,Singular,movavi,movui,movi,movi,I have moveed
Active Indicative,Perfect,1st Person,Plural,movavimus,movuimus,movimus,movimus,We have moveed
Active Indicative,Perfect,2nd Person,Singular,movavisti,movuisti,movisti,movisti,You have moveed
Active Indicative,Perfect,2nd Person,Plural,movavistis,movuistis,movistis,movistis,You (pl.) have moveed
Active Indicative,Perfect,3rd Person,Singular,movavit,movuit,movit,movit,He/she/it has moveed
Active Indicative,Perfect,3rd Person,Plural,movaverunt,movuerunt,moverunt,moverunt,They have moveed
Active Indicative,Pluperfect,1st Person,Singular,movaveram,movueram,moveram,moveram,I had moveed
Active Indicative,Pluperfect,1st Person,Plural,movaveramus,movueramus,moveramus,moveramus,We had moveed
Active Indicative,Pluperfect,2nd Person,Singular,movaveras,movueras,moveras,moveras,You had moveed
Active Indicative,Pluperfect,2nd Person,Plural,movaveratis,movueratis,moveratis,moveratis,You (pl.) had moveed
Active Indicative,Pluperfect,3rd Person,Singular,movaverat,movuerat,moverat,moverat,He/she/it had moveed
Active Indicative,Pluperfect,3rd Person,Plural,movaverant,movuerant,moverant,moverant,They had moveed
Active Indicative,Future Perfect,1st Person,Singular,movavero,movueero,movero,moviero,I will have moveed
Active Indicative,Future Perfect,1st Person,Plural,movaverimus,movuerimus,moverimus,movierimus,We will have moveed
Active Indicative,Future Perfect,2nd Person,Singular,movaveris,movueris,moveris,movieris,You will have moveed
Active Indicative,Future Perfect,2nd Person,Plural,movaveritis,movueritis,moveritis,movieritis,You (pl.) will have moveed
Active Indicative,Future Perfect,3rd Person,Singular,movaverit,movuerit,moverit,movierit,He/she/it will have moveed
Active Indicative,Future Perfect,3rd Person,Plural,movaverint,movuerint,moverint,movierint,They will have moveed
Passive Indicative,Present,1st Person,Singular,movor,moveor,movor,movior,I am being moveed
Passive Indicative,Present,1st Person,Plural,movamur,movemur,movimur,movimur,We are being moveed
Passive Indicative,Present,2nd Person,Singular,movaris,moveris,moviris,moviris,You are being moveed
Passive Indicative,Present,2nd Person,Plural,movamini,movemini,movimini,movimini,You (pl.) are being moveed
Passive Indicative,Present,3rd Person,Singular,movatur,movetur,movitur,movitur,He/she/it is being moveed
Passive Indicative,Present,3rd Person,Plural,movantur,moventur,moviuntur,moviuntur,They are being moveed
Passive Indicative,Imperfect,1st Person,Singular,movabar,movebar,movebar,moviebar,I was moveed
Passive Indicative,Imperfect,1st Person,Plural,movabamur,movebamur,movebamur,moviebamur,We were moveed
Passive Indicative,Imperfect,2nd Person,Singular,movabaris,movebaris,movebaris,moviebaris,You were moveed
Passive Indicative,Imperfect,2nd Person,Plural,movabamini,movebamini,movebamini,moviebamini,You (pl.) were moveed
Passive Indicative,Imperfect,3rd Person,Singular,movabatur,movebatur,movebatur,moviebatur,He/she/it was moveed
Passive Indicative,Imperfect,3rd Person,Plural,movabantur,movebantur,movebantur,moviebantur,They were moveed
Passive Indicative,Future,1st Person,Singular,movabor,movebor,movar,moviar,I will be moveed
Passive Indicative,Future,1st Person,Plural,movabimur,movebimur,movemur,moviemur,We will be moveed
Passive Indicative,Future,2nd Person,Singular,movaberis,moveberis,moveris,movieris,You will be moveed
Passive Indicative,Future,2nd Person,Plural,movabimini,movebimini,movemini,moviemini,You (pl.) will be moveed
Passive Indicative,Future,3rd Person,Singular,movabitur,movebitur,movetur,movietur,He/she/it will be moveed
Passive Indicative,Future,3rd Person,Plural,movabuntur,movebuntur,moventur,movientur,They will be moveed
Passive Indicative,Perfect,1st Person,Singular,movatus sum,movetus sum,movus sum,movus sum,I have been moveed
Passive Indicative,Perfect,1st Person,Plural,movati sumus,moveti sumus,movi sumus,movi sumus,We have been moveed
Passive Indicative,Perfect,2nd Person,Singular,movatus es,movetus es,movus es,movus es,You have been moveed
Passive Indicative,Perfect,2nd Person,Plural,movati estis,moveti estis,movi estis,movi estis,You (pl.) have been moveed
Passive Indicative,Perfect,3rd Person,Singular,movatus est,movetus est,movus est,movus est,He/she/it has been moveed
Passive Indicative,Perfect,3rd Person,Plural,movati sunt,moveti sunt,movi sunt,movi sunt,They have been moveed
Passive Indicative,Pluperfect,1st Person,Singular,movatus eram,movetus eram,movus eram,movus eram,I had been moveed
Passive Indicative,Pluperfect,1st Person,Plural,movati eramus,moveti eramus,movi eramus,movi eramus,We had been moveed
Passive Indicative,Pluperfect,2nd Person,Singular,movatus eras,movetus eras,movus eras,movus eras,You had been moveed
Passive Indicative,Pluperfect,2nd Person,Plural,movati eratis,moveti eratis,movi eratis,movi eratis,You (pl.) had been moveed
Passive Indicative,Pluperfect,3rd Person,Singular,movatus erat,movetus erat,movus erat,movus erat,He/she/it had been moveed
Passive Indicative,Pluperfect,3rd Person,Plural,movati erant,moveti erant,movi erant,movi erant,They had been moveed
Passive Indicative,Future Perfect,1st Person,Singular,movatus ero,movetus ero,movus ero,movus ero,I will have been moveed
Passive Indicative,Future Perfect,1st Person,Plural,movati erimus,moveti erimus,movi erimus,movi erimus,We will have been moveed
Passive Indicative,Future Perfect,2nd Person,Singular,movatus eris,movetus eris,movus eris,movus eris,You will have been moveed
Passive Indicative,Future Perfect,2nd Person,Plural,movati eritis,moveti eritis,movi eritis,movi eritis,You (pl.) will have been moveed
Passive Indicative,Future Perfect,3rd Person,Singular,movatus erit,movetus erit,movus erit,movus erit,He/she/it will have been moveed
Passive Indicative,Future Perfect,3rd Person,Plural,movati erunt,moveti erunt,movi erunt,movi erunt,They will have been moveed
Active Subjunctive,Present,1st Person,Singular,movem,movem,movam,movam,I may move
Active Subjunctive,Present,1st Person,Plural,movemus,movemus,movamus,movamus,We may move
Active Subjunctive,Present,2nd Person,Singular,moves,moves,movas,movas,You may move
Active Subjunctive,Present,2nd Person,Plural,movetis,movetis,movatis,movatis,You (pl.) may move
Active Subjunctive,Present,3rd Person,Singular,movet,movet,movat,movat,He/she/it may move
Active Subjunctive,Present,3rd Person,Plural,movent,movent,movant,movant,They may move
