Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,muccico,mucciceo,muccico,muccicio,I snivel
Active Indicative,Present,1st Person,Plural,muccicamus,muccicemus,muccicimus,muccicimus,We snivel
Active Indicative,Present,2nd Person,Singular,muccicas,muccices,muccicis,muccicis,You snivel
Active Indicative,Present,2nd Person,Plural,muccicatis,muccicetis,muccicitis,muccicitis,You (pl.) snivel
Active Indicative,Present,3rd Person,Singular,muccicat,muccicet,muccicit,muccicit,He/she/it snivel
Active Indicative,Present,3rd Person,Plural,muccicant,muccicent,mucciciunt,mucciciunt,They snivel
Active Indicative,Imperfect,1st Person,Singular,muccicabam,muccicebam,muccicebam,mucciciebam,I was sniveling
Active Indicative,Imperfect,1st Person,Plural,muccicabamus,muccicebamus,muccicebamus,mucciciebamus,We were sniveling
Active Indicative,Imperfect,2nd Person,Singular,muccicabas,muccicebas,muccicebas,mucciciebas,You were sniveling
Active Indicative,Imperfect,2nd Person,Plural,muccicabatis,muccicebatis,muccicebatis,mucciciebatis,You (pl.) were sniveling
Active Indicative,Imperfect,3rd Person,Singular,muccicabat,muccicebat,muccicebat,mucciciebat,He/she/it was sniveling
Active Indicative,Imperfect,3rd Person,Plural,muccicabant,muccicebant,muccicebant,mucciciebant,They were sniveling
Active Indicative,Future,1st Person,Singular,muccicabo,muccicebo,muccicam,mucciciam,I will snivel
Active Indicative,Future,1st Person,Plural,muccicabimus,muccicebimus,muccicemus,mucciciemus,We will snivel
Active Indicative,Future,2nd Person,Singular,muccicabis,muccicebis,muccices,muccicies,You will snivel
Active Indicative,Future,2nd Person,Plural,muccicabitis,muccicebitis,muccicetis,muccicietis,You (pl.) will snivel
Active Indicative,Future,3rd Person,Singular,muccicabit,muccicebit,muccicet,mucciciet,He/she/it will snivel
Active Indicative,Future,3rd Person,Plural,muccicabunt,muccicebunt,muccicent,muccicient,They will snivel
Active Indicative,Perfect,1st Person,Singular,muccicavi,muccicui,muccici,muccici,I have sniveled
Active Indicative,Perfect,1st Person,Plural,muccicavimus,muccicuimus,muccicimus,muccicimus,We have sniveled
Active Indicative,Perfect,2nd Person,Singular,muccicavisti,muccicuisti,muccicisti,muccicisti,You have sniveled
Active Indicative,Perfect,2nd Person,Plural,muccicavistis,muccicuistis,muccicistis,muccicistis,You (pl.) have sniveled
Active Indicative,Perfect,3rd Person,Singular,muccicavit,muccicuit,muccicit,muccicit,He/she/it has sniveled
Active Indicative,Perfect,3rd Person,Plural,muccicaverunt,muccicuerunt,muccicerunt,muccicerunt,They have sniveled
Active Indicative,Pluperfect,1st Person,Singular,muccicaveram,muccicueram,mucciceram,mucciceram,I had sniveled
