Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mucico,muciceo,mucico,mucicio,I blow nose
Active Indicative,Present,1st Person,Plural,mucicamus,mucicemus,mucicimus,mucicimus,We blow nose
Active Indicative,Present,2nd Person,Singular,mucicas,mucices,mucicis,mucicis,You blow nose
Active Indicative,Present,2nd Person,Plural,mucicatis,mucicetis,mucicitis,mucicitis,You (pl.) blow nose
Active Indicative,Present,3rd Person,Singular,mucicat,mucicet,mucicit,mucicit,He/she/it blow nose
Active Indicative,Present,3rd Person,Plural,mucicant,mucicent,muciciunt,muciciunt,They blow nose
Active Indicative,Imperfect,1st Person,Singular,mucicabam,mucicebam,mucicebam,muciciebam,I was blow noseing
Active Indicative,Imperfect,1st Person,Plural,mucicabamus,mucicebamus,mucicebamus,muciciebamus,We were blow noseing
Active Indicative,Imperfect,2nd Person,Singular,mucicabas,mucicebas,mucicebas,muciciebas,You were blow noseing
Active Indicative,Imperfect,2nd Person,Plural,mucicabatis,mucicebatis,mucicebatis,muciciebatis,You (pl.) were blow noseing
Active Indicative,Imperfect,3rd Person,Singular,mucicabat,mucicebat,mucicebat,muciciebat,He/she/it was blow noseing
Active Indicative,Imperfect,3rd Person,Plural,mucicabant,mucicebant,mucicebant,muciciebant,They were blow noseing
Active Indicative,Future,1st Person,Singular,mucicabo,mucicebo,mucicam,muciciam,I will blow nose
Active Indicative,Future,1st Person,Plural,mucicabimus,mucicebimus,mucicemus,muciciemus,We will blow nose
Active Indicative,Future,2nd Person,Singular,mucicabis,mucicebis,mucices,mucicies,You will blow nose
Active Indicative,Future,2nd Person,Plural,mucicabitis,mucicebitis,mucicetis,mucicietis,You (pl.) will blow nose
Active Indicative,Future,3rd Person,Singular,mucicabit,mucicebit,mucicet,muciciet,He/she/it will blow nose
Active Indicative,Future,3rd Person,Plural,mucicabunt,mucicebunt,mucicent,mucicient,They will blow nose
Active Indicative,Perfect,1st Person,Singular,mucicavi,mucicui,mucici,mucici,I have blow noseed
Active Indicative,Perfect,1st Person,Plural,mucicavimus,mucicuimus,mucicimus,mucicimus,We have blow noseed
Active Indicative,Perfect,2nd Person,Singular,mucicavisti,mucicuisti,mucicisti,mucicisti,You have blow noseed
Active Indicative,Perfect,2nd Person,Plural,mucicavistis,mucicuistis,mucicistis,mucicistis,You (pl.) have blow noseed
Active Indicative,Perfect,3rd Person,Singular,mucicavit,mucicuit,mucicit,mucicit,He/she/it has blow noseed
Active Indicative,Perfect,3rd Person,Plural,mucicaverunt,mucicuerunt,mucicerunt,mucicerunt,They have blow noseed
Active Indicative,Pluperfect,1st Person,Singular,mucicaveram,mucicueram,muciceram,muciceram,I had blow noseed
Active Indicative,Pluperfect,1st Person,Plural,mucicaveramus,mucicueramus,muciceramus,muciceramus,We had blow noseed
Active Indicative,Pluperfect,2nd Person,Singular,mucicaveras,mucicueras,muciceras,muciceras,You had blow noseed
Active Indicative,Pluperfect,2nd Person,Plural,mucicaveratis,mucicueratis,muciceratis,muciceratis,You (pl.) had blow noseed
Active Indicative,Pluperfect,3rd Person,Singular,mucicaverat,mucicuerat,mucicerat,mucicerat,He/she/it had blow noseed
Active Indicative,Pluperfect,3rd Person,Plural,mucicaverant,mucicuerant,mucicerant,mucicerant,They had blow noseed
Active Indicative,Future Perfect,1st Person,Singular,mucicavero,mucicueero,mucicero,muciciero,I will have blow noseed
Active Indicative,Future Perfect,1st Person,Plural,mucicaverimus,mucicuerimus,mucicerimus,mucicierimus,We will have blow noseed
Active Indicative,Future Perfect,2nd Person,Singular,mucicaveris,mucicueris,muciceris,mucicieris,You will have blow noseed
Active Indicative,Future Perfect,2nd Person,Plural,mucicaveritis,mucicueritis,muciceritis,mucicieritis,You (pl.) will have blow noseed
Active Indicative,Future Perfect,3rd Person,Singular,mucicaverit,mucicuerit,mucicerit,mucicierit,He/she/it will have blow noseed
Active Indicative,Future Perfect,3rd Person,Plural,mucicaverint,mucicuerint,mucicerint,mucicierint,They will have blow noseed
Passive Indicative,Present,1st Person,Singular,mucicor,muciceor,mucicor,mucicior,I am being blow noseed
Passive Indicative,Present,1st Person,Plural,mucicamur,mucicemur,mucicimur,mucicimur,We are being blow noseed
Passive Indicative,Present,2nd Person,Singular,mucicaris,muciceris,muciciris,muciciris,You are being blow noseed
Passive Indicative,Present,2nd Person,Plural,mucicamini,mucicemini,mucicimini,mucicimini,You (pl.) are being blow noseed
Passive Indicative,Present,3rd Person,Singular,mucicatur,mucicetur,mucicitur,mucicitur,He/she/it is being blow noseed
Passive Indicative,Present,3rd Person,Plural,mucicantur,mucicentur,muciciuntur,muciciuntur,They are being blow noseed
Passive Indicative,Imperfect,1st Person,Singular,mucicabar,mucicebar,mucicebar,muciciebar,I was blow noseed
Passive Indicative,Imperfect,1st Person,Plural,mucicabamur,mucicebamur,mucicebamur,muciciebamur,We were blow noseed
Passive Indicative,Imperfect,2nd Person,Singular,mucicabaris,mucicebaris,mucicebaris,muciciebaris,You were blow noseed
Passive Indicative,Imperfect,2nd Person,Plural,mucicabamini,mucicebamini,mucicebamini,muciciebamini,You (pl.) were blow noseed
Passive Indicative,Imperfect,3rd Person,Singular,mucicabatur,mucicebatur,mucicebatur,muciciebatur,He/she/it was blow noseed
Passive Indicative,Imperfect,3rd Person,Plural,mucicabantur,mucicebantur,mucicebantur,muciciebantur,They were blow noseed
Passive Indicative,Future,1st Person,Singular,mucicabor,mucicebor,mucicar,muciciar,I will be blow noseed
Passive Indicative,Future,1st Person,Plural,mucicabimur,mucicebimur,mucicemur,muciciemur,We will be blow noseed
Passive Indicative,Future,2nd Person,Singular,mucicaberis,muciceberis,muciceris,mucicieris,You will be blow noseed
Passive Indicative,Future,2nd Person,Plural,mucicabimini,mucicebimini,mucicemini,muciciemini,You (pl.) will be blow noseed
Passive Indicative,Future,3rd Person,Singular,mucicabitur,mucicebitur,mucicetur,mucicietur,He/she/it will be blow noseed
Passive Indicative,Future,3rd Person,Plural,mucicabuntur,mucicebuntur,mucicentur,mucicientur,They will be blow noseed
Passive Indicative,Perfect,1st Person,Singular,mucicatus sum,mucicetus sum,mucicus sum,mucicus sum,I have been blow noseed
Passive Indicative,Perfect,1st Person,Plural,mucicati sumus,muciceti sumus,mucici sumus,mucici sumus,We have been blow noseed
Passive Indicative,Perfect,2nd Person,Singular,mucicatus es,mucicetus es,mucicus es,mucicus es,You have been blow noseed
Passive Indicative,Perfect,2nd Person,Plural,mucicati estis,muciceti estis,mucici estis,mucici estis,You (pl.) have been blow noseed
Passive Indicative,Perfect,3rd Person,Singular,mucicatus est,mucicetus est,mucicus est,mucicus est,He/she/it has been blow noseed
Passive Indicative,Perfect,3rd Person,Plural,mucicati sunt,muciceti sunt,mucici sunt,mucici sunt,They have been blow noseed
Passive Indicative,Pluperfect,1st Person,Singular,mucicatus eram,mucicetus eram,mucicus eram,mucicus eram,I had been blow noseed
Passive Indicative,Pluperfect,1st Person,Plural,mucicati eramus,muciceti eramus,mucici eramus,mucici eramus,We had been blow noseed
Passive Indicative,Pluperfect,2nd Person,Singular,mucicatus eras,mucicetus eras,mucicus eras,mucicus eras,You had been blow noseed
Passive Indicative,Pluperfect,2nd Person,Plural,mucicati eratis,muciceti eratis,mucici eratis,mucici eratis,You (pl.) had been blow noseed
Passive Indicative,Pluperfect,3rd Person,Singular,mucicatus erat,mucicetus erat,mucicus erat,mucicus erat,He/she/it had been blow noseed
Passive Indicative,Pluperfect,3rd Person,Plural,mucicati erant,muciceti erant,mucici erant,mucici erant,They had been blow noseed
Passive Indicative,Future Perfect,1st Person,Singular,mucicatus ero,mucicetus ero,mucicus ero,mucicus ero,I will have been blow noseed
Passive Indicative,Future Perfect,1st Person,Plural,mucicati erimus,muciceti erimus,mucici erimus,mucici erimus,We will have been blow noseed
Passive Indicative,Future Perfect,2nd Person,Singular,mucicatus eris,mucicetus eris,mucicus eris,mucicus eris,You will have been blow noseed
Passive Indicative,Future Perfect,2nd Person,Plural,mucicati eritis,muciceti eritis,mucici eritis,mucici eritis,You (pl.) will have been blow noseed
Passive Indicative,Future Perfect,3rd Person,Singular,mucicatus erit,mucicetus erit,mucicus erit,mucicus erit,He/she/it will have been blow noseed
Passive Indicative,Future Perfect,3rd Person,Plural,mucicati erunt,muciceti erunt,mucici erunt,mucici erunt,They will have been blow noseed
Active Subjunctive,Present,1st Person,Singular,mucicem,mucicem,mucicam,mucicam,I may blow nose
Active Subjunctive,Present,1st Person,Plural,mucicemus,mucicemus,mucicamus,mucicamus,We may blow nose
Active Subjunctive,Present,2nd Person,Singular,mucices,mucices,mucicas,mucicas,You may blow nose
Active Subjunctive,Present,2nd Person,Plural,mucicetis,mucicetis,mucicatis,mucicatis,You (pl.) may blow nose
Active Subjunctive,Present,3rd Person,Singular,mucicet,mucicet,mucicat,mucicat,He/she/it may blow nose
Active Subjunctive,Present,3rd Person,Plural,mucicent,mucicent,mucicant,mucicant,They may blow nose
Active Subjunctive,Imperfect,1st Person,Singular,mucicarem,mucicerem,mucicerem,mucicirem,I should blow nose
