Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mugo,mugeo,mugo,mugio,I bellow
Active Indicative,Present,1st Person,Plural,mugamus,mugemus,mugimus,mugimus,We bellow
Active Indicative,Present,2nd Person,Singular,mugas,muges,mugis,mugis,You bellow
Active Indicative,Present,2nd Person,Plural,mugatis,mugetis,mugitis,mugitis,You (pl.) bellow
Active Indicative,Present,3rd Person,Singular,mugat,muget,mugit,mugit,He/she/it bellow
Active Indicative,Present,3rd Person,Plural,mugant,mugent,mugiunt,mugiunt,They bellow
Active Indicative,Imperfect,1st Person,Singular,mugabam,mugebam,mugebam,mugiebam,I was bellowing
Active Indicative,Imperfect,1st Person,Plural,mugabamus,mugebamus,mugebamus,mugiebamus,We were bellowing
Active Indicative,Imperfect,2nd Person,Singular,mugabas,mugebas,mugebas,mugiebas,You were bellowing
Active Indicative,Imperfect,2nd Person,Plural,mugabatis,mugebatis,mugebatis,mugiebatis,You (pl.) were bellowing
Active Indicative,Imperfect,3rd Person,Singular,mugabat,mugebat,mugebat,mugiebat,He/she/it was bellowing
Active Indicative,Imperfect,3rd Person,Plural,mugabant,mugebant,mugebant,mugiebant,They were bellowing
Active Indicative,Future,1st Person,Singular,mugabo,mugebo,mugam,mugiam,I will bellow
Active Indicative,Future,1st Person,Plural,mugabimus,mugebimus,mugemus,mugiemus,We will bellow
Active Indicative,Future,2nd Person,Singular,mugabis,mugebis,muges,mugies,You will bellow
Active Indicative,Future,2nd Person,Plural,mugabitis,mugebitis,mugetis,mugietis,You (pl.) will bellow
Active Indicative,Future,3rd Person,Singular,mugabit,mugebit,muget,mugiet,He/she/it will bellow
Active Indicative,Future,3rd Person,Plural,mugabunt,mugebunt,mugent,mugient,They will bellow
Active Indicative,Perfect,1st Person,Singular,mugavi,mugui,mugi,mugi,I have bellowed
Active Indicative,Perfect,1st Person,Plural,mugavimus,muguimus,mugimus,mugimus,We have bellowed
Active Indicative,Perfect,2nd Person,Singular,mugavisti,muguisti,mugisti,mugisti,You have bellowed
Active Indicative,Perfect,2nd Person,Plural,mugavistis,muguistis,mugistis,mugistis,You (pl.) have bellowed
Active Indicative,Perfect,3rd Person,Singular,mugavit,muguit,mugit,mugit,He/she/it has bellowed
Active Indicative,Perfect,3rd Person,Plural,mugaverunt,muguerunt,mugerunt,mugerunt,They have bellowed
Active Indicative,Pluperfect,1st Person,Singular,mugaveram,mugueram,mugeram,mugeram,I had bellowed
Active Indicative,Pluperfect,1st Person,Plural,mugaveramus,mugueramus,mugeramus,mugeramus,We had bellowed
Active Indicative,Pluperfect,2nd Person,Singular,mugaveras,mugueras,mugeras,mugeras,You had bellowed
Active Indicative,Pluperfect,2nd Person,Plural,mugaveratis,mugueratis,mugeratis,mugeratis,You (pl.) had bellowed
Active Indicative,Pluperfect,3rd Person,Singular,mugaverat,muguerat,mugerat,mugerat,He/she/it had bellowed
Active Indicative,Pluperfect,3rd Person,Plural,mugaverant,muguerant,mugerant,mugerant,They had bellowed
Active Indicative,Future Perfect,1st Person,Singular,mugavero,mugueero,mugero,mugiero,I will have bellowed
Active Indicative,Future Perfect,1st Person,Plural,mugaverimus,muguerimus,mugerimus,mugierimus,We will have bellowed
Active Indicative,Future Perfect,2nd Person,Singular,mugaveris,mugueris,mugeris,mugieris,You will have bellowed
Active Indicative,Future Perfect,2nd Person,Plural,mugaveritis,mugueritis,mugeritis,mugieritis,You (pl.) will have bellowed
Active Indicative,Future Perfect,3rd Person,Singular,mugaverit,muguerit,mugerit,mugierit,He/she/it will have bellowed
