Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,mutuaro,mutuareo,mutuaro,mutuario,I borrow
Active Indicative,Present,1st Person,Plural,mutuaramus,mutuaremus,mutuarimus,mutuarimus,We borrow
Active Indicative,Present,2nd Person,Singular,mutuaras,mutuares,mutuaris,mutuaris,You borrow
Active Indicative,Present,2nd Person,Plural,mutuaratis,mutuaretis,mutuaritis,mutuaritis,You (pl.) borrow
Active Indicative,Present,3rd Person,Singular,mutuarat,mutuaret,mutuarit,mutuarit,He/she/it borrow
Active Indicative,Present,3rd Person,Plural,mutuarant,mutuarent,mutuariunt,mutuariunt,They borrow
Active Indicative,Imperfect,1st Person,Singular,mutuarabam,mutuarebam,mutuarebam,mutuariebam,I was borrowing
Active Indicative,Imperfect,1st Person,Plural,mutuarabamus,mutuarebamus,mutuarebamus,mutuariebamus,We were borrowing
Active Indicative,Imperfect,2nd Person,Singular,mutuarabas,mutuarebas,mutuarebas,mutuariebas,You were borrowing
Active Indicative,Imperfect,2nd Person,Plural,mutuarabatis,mutuarebatis,mutuarebatis,mutuariebatis,You (pl.) were borrowing
Active Indicative,Imperfect,3rd Person,Singular,mutuarabat,mutuarebat,mutuarebat,mutuariebat,He/she/it was borrowing
Active Indicative,Imperfect,3rd Person,Plural,mutuarabant,mutuarebant,mutuarebant,mutuariebant,They were borrowing
Active Indicative,Future,1st Person,Singular,mutuarabo,mutuarebo,mutuaram,mutuariam,I will borrow
Active Indicative,Future,1st Person,Plural,mutuarabimus,mutuarebimus,mutuaremus,mutuariemus,We will borrow
Active Indicative,Future,2nd Person,Singular,mutuarabis,mutuarebis,mutuares,mutuaries,You will borrow
Active Indicative,Future,2nd Person,Plural,mutuarabitis,mutuarebitis,mutuaretis,mutuarietis,You (pl.) will borrow
Active Indicative,Future,3rd Person,Singular,mutuarabit,mutuarebit,mutuaret,mutuariet,He/she/it will borrow
Active Indicative,Future,3rd Person,Plural,mutuarabunt,mutuarebunt,mutuarent,mutuarient,They will borrow
Active Indicative,Perfect,1st Person,Singular,mutuaravi,mutuarui,mutuari,mutuari,I have borrowed
Active Indicative,Perfect,1st Person,Plural,mutuaravimus,mutuaruimus,mutuarimus,mutuarimus,We have borrowed
Active Indicative,Perfect,2nd Person,Singular,mutuaravisti,mutuaruisti,mutuaristi,mutuaristi,You have borrowed
Active Indicative,Perfect,2nd Person,Plural,mutuaravistis,mutuaruistis,mutuaristis,mutuaristis,You (pl.) have borrowed
Active Indicative,Perfect,3rd Person,Singular,mutuaravit,mutuaruit,mutuarit,mutuarit,He/she/it has borrowed
Active Indicative,Perfect,3rd Person,Plural,mutuaraverunt,mutuaruerunt,mutuarerunt,mutuarerunt,They have borrowed
Active Indicative,Pluperfect,1st Person,Singular,mutuaraveram,mutuarueram,mutuareram,mutuareram,I had borrowed
Active Indicative,Pluperfect,1st Person,Plural,mutuaraveramus,mutuarueramus,mutuareramus,mutuareramus,We had borrowed
Active Indicative,Pluperfect,2nd Person,Singular,mutuaraveras,mutuarueras,mutuareras,mutuareras,You had borrowed
Active Indicative,Pluperfect,2nd Person,Plural,mutuaraveratis,mutuarueratis,mutuareratis,mutuareratis,You (pl.) had borrowed
Active Indicative,Pluperfect,3rd Person,Singular,mutuaraverat,mutuaruerat,mutuarerat,mutuarerat,He/she/it had borrowed
Active Indicative,Pluperfect,3rd Person,Plural,mutuaraverant,mutuaruerant,mutuarerant,mutuarerant,They had borrowed
Active Indicative,Future Perfect,1st Person,Singular,mutuaravero,mutuarueero,mutuarero,mutuariero,I will have borrowed
Active Indicative,Future Perfect,1st Person,Plural,mutuaraverimus,mutuaruerimus,mutuarerimus,mutuarierimus,We will have borrowed
Active Indicative,Future Perfect,2nd Person,Singular,mutuaraveris,mutuarueris,mutuareris,mutuarieris,You will have borrowed
Active Indicative,Future Perfect,2nd Person,Plural,mutuaraveritis,mutuarueritis,mutuareritis,mutuarieritis,You (pl.) will have borrowed
