Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,naribus emungo,naribus emungeo,naribus emungo,naribus emungio,I blow nose
Active Indicative,Present,1st Person,Plural,naribus emungamus,naribus emungemus,naribus emungimus,naribus emungimus,We blow nose
Active Indicative,Present,2nd Person,Singular,naribus emungas,naribus emunges,naribus emungis,naribus emungis,You blow nose
Active Indicative,Present,2nd Person,Plural,naribus emungatis,naribus emungetis,naribus emungitis,naribus emungitis,You (pl.) blow nose
Active Indicative,Present,3rd Person,Singular,naribus emungat,naribus emunget,naribus emungit,naribus emungit,He/she/it blow nose
Active Indicative,Present,3rd Person,Plural,naribus emungant,naribus emungent,naribus emungiunt,naribus emungiunt,They blow nose
Active Indicative,Imperfect,1st Person,Singular,naribus emungabam,naribus emungebam,naribus emungebam,naribus emungiebam,I was blow noseing
Active Indicative,Imperfect,1st Person,Plural,naribus emungabamus,naribus emungebamus,naribus emungebamus,naribus emungiebamus,We were blow noseing
Active Indicative,Imperfect,2nd Person,Singular,naribus emungabas,naribus emungebas,naribus emungebas,naribus emungiebas,You were blow noseing
Active Indicative,Imperfect,2nd Person,Plural,naribus emungabatis,naribus emungebatis,naribus emungebatis,naribus emungiebatis,You (pl.) were blow noseing
Active Indicative,Imperfect,3rd Person,Singular,naribus emungabat,naribus emungebat,naribus emungebat,naribus emungiebat,He/she/it was blow noseing
Active Indicative,Imperfect,3rd Person,Plural,naribus emungabant,naribus emungebant,naribus emungebant,naribus emungiebant,They were blow noseing
Active Indicative,Future,1st Person,Singular,naribus emungabo,naribus emungebo,naribus emungam,naribus emungiam,I will blow nose
Active Indicative,Future,1st Person,Plural,naribus emungabimus,naribus emungebimus,naribus emungemus,naribus emungiemus,We will blow nose
Active Indicative,Future,2nd Person,Singular,naribus emungabis,naribus emungebis,naribus emunges,naribus emungies,You will blow nose
Active Indicative,Future,2nd Person,Plural,naribus emungabitis,naribus emungebitis,naribus emungetis,naribus emungietis,You (pl.) will blow nose
Active Indicative,Future,3rd Person,Singular,naribus emungabit,naribus emungebit,naribus emunget,naribus emungiet,He/she/it will blow nose
Active Indicative,Future,3rd Person,Plural,naribus emungabunt,naribus emungebunt,naribus emungent,naribus emungient,They will blow nose
Active Indicative,Perfect,1st Person,Singular,naribus emungavi,naribus emungui,naribus emungi,naribus emungi,I have blow noseed
Active Indicative,Perfect,1st Person,Plural,naribus emungavimus,naribus emunguimus,naribus emungimus,naribus emungimus,We have blow noseed
Active Indicative,Perfect,2nd Person,Singular,naribus emungavisti,naribus emunguisti,naribus emungisti,naribus emungisti,You have blow noseed
Active Indicative,Perfect,2nd Person,Plural,naribus emungavistis,naribus emunguistis,naribus emungistis,naribus emungistis,You (pl.) have blow noseed
Active Indicative,Perfect,3rd Person,Singular,naribus emungavit,naribus emunguit,naribus emungit,naribus emungit,He/she/it has blow noseed
Active Indicative,Perfect,3rd Person,Plural,naribus emungaverunt,naribus emunguerunt,naribus emungerunt,naribus emungerunt,They have blow noseed
Active Indicative,Pluperfect,1st Person,Singular,naribus emungaveram,naribus emungueram,naribus emungeram,naribus emungeram,I had blow noseed
Active Indicative,Pluperfect,1st Person,Plural,naribus emungaveramus,naribus emungueramus,naribus emungeramus,naribus emungeramus,We had blow noseed
Active Indicative,Pluperfect,2nd Person,Singular,naribus emungaveras,naribus emungueras,naribus emungeras,naribus emungeras,You had blow noseed
Active Indicative,Pluperfect,2nd Person,Plural,naribus emungaveratis,naribus emungueratis,naribus emungeratis,naribus emungeratis,You (pl.) had blow noseed
Active Indicative,Pluperfect,3rd Person,Singular,naribus emungaverat,naribus emunguerat,naribus emungerat,naribus emungerat,He/she/it had blow noseed
Active Indicative,Pluperfect,3rd Person,Plural,naribus emungaverant,naribus emunguerant,naribus emungerant,naribus emungerant,They had blow noseed
Active Indicative,Future Perfect,1st Person,Singular,naribus emungavero,naribus emungueero,naribus emungero,naribus emungiero,I will have blow noseed
Active Indicative,Future Perfect,1st Person,Plural,naribus emungaverimus,naribus emunguerimus,naribus emungerimus,naribus emungierimus,We will have blow noseed
Active Indicative,Future Perfect,2nd Person,Singular,naribus emungaveris,naribus emungueris,naribus emungeris,naribus emungieris,You will have blow noseed
Active Indicative,Future Perfect,2nd Person,Plural,naribus emungaveritis,naribus emungueritis,naribus emungeritis,naribus emungieritis,You (pl.) will have blow noseed
Active Indicative,Future Perfect,3rd Person,Singular,naribus emungaverit,naribus emunguerit,naribus emungerit,naribus emungierit,He/she/it will have blow noseed
Active Indicative,Future Perfect,3rd Person,Plural,naribus emungaverint,naribus emunguerint,naribus emungerint,naribus emungierint,They will have blow noseed
Passive Indicative,Present,1st Person,Singular,naribus emungor,naribus emungeor,naribus emungor,naribus emungior,I am being blow noseed
Passive Indicative,Present,1st Person,Plural,naribus emungamur,naribus emungemur,naribus emungimur,naribus emungimur,We are being blow noseed
Passive Indicative,Present,2nd Person,Singular,naribus emungaris,naribus emungeris,naribus emungiris,naribus emungiris,You are being blow noseed
Passive Indicative,Present,2nd Person,Plural,naribus emungamini,naribus emungemini,naribus emungimini,naribus emungimini,You (pl.) are being blow noseed
Passive Indicative,Present,3rd Person,Singular,naribus emungatur,naribus emungetur,naribus emungitur,naribus emungitur,He/she/it is being blow noseed
Passive Indicative,Present,3rd Person,Plural,naribus emungantur,naribus emungentur,naribus emungiuntur,naribus emungiuntur,They are being blow noseed
Passive Indicative,Imperfect,1st Person,Singular,naribus emungabar,naribus emungebar,naribus emungebar,naribus emungiebar,I was blow noseed
Passive Indicative,Imperfect,1st Person,Plural,naribus emungabamur,naribus emungebamur,naribus emungebamur,naribus emungiebamur,We were blow noseed
Passive Indicative,Imperfect,2nd Person,Singular,naribus emungabaris,naribus emungebaris,naribus emungebaris,naribus emungiebaris,You were blow noseed
Passive Indicative,Imperfect,2nd Person,Plural,naribus emungabamini,naribus emungebamini,naribus emungebamini,naribus emungiebamini,You (pl.) were blow noseed
Passive Indicative,Imperfect,3rd Person,Singular,naribus emungabatur,naribus emungebatur,naribus emungebatur,naribus emungiebatur,He/she/it was blow noseed
Passive Indicative,Imperfect,3rd Person,Plural,naribus emungabantur,naribus emungebantur,naribus emungebantur,naribus emungiebantur,They were blow noseed
Passive Indicative,Future,1st Person,Singular,naribus emungabor,naribus emungebor,naribus emungar,naribus emungiar,I will be blow noseed
Passive Indicative,Future,1st Person,Plural,naribus emungabimur,naribus emungebimur,naribus emungemur,naribus emungiemur,We will be blow noseed
Passive Indicative,Future,2nd Person,Singular,naribus emungaberis,naribus emungeberis,naribus emungeris,naribus emungieris,You will be blow noseed
Passive Indicative,Future,2nd Person,Plural,naribus emungabimini,naribus emungebimini,naribus emungemini,naribus emungiemini,You (pl.) will be blow noseed
Passive Indicative,Future,3rd Person,Singular,naribus emungabitur,naribus emungebitur,naribus emungetur,naribus emungietur,He/she/it will be blow noseed
Passive Indicative,Future,3rd Person,Plural,naribus emungabuntur,naribus emungebuntur,naribus emungentur,naribus emungientur,They will be blow noseed
Passive Indicative,Perfect,1st Person,Singular,naribus emungatus sum,naribus emungetus sum,naribus emungus sum,naribus emungus sum,I have been blow noseed
Passive Indicative,Perfect,1st Person,Plural,naribus emungati sumus,naribus emungeti sumus,naribus emungi sumus,naribus emungi sumus,We have been blow noseed
Passive Indicative,Perfect,2nd Person,Singular,naribus emungatus es,naribus emungetus es,naribus emungus es,naribus emungus es,You have been blow noseed
Passive Indicative,Perfect,2nd Person,Plural,naribus emungati estis,naribus emungeti estis,naribus emungi estis,naribus emungi estis,You (pl.) have been blow noseed
Passive Indicative,Perfect,3rd Person,Singular,naribus emungatus est,naribus emungetus est,naribus emungus est,naribus emungus est,He/she/it has been blow noseed
Passive Indicative,Perfect,3rd Person,Plural,naribus emungati sunt,naribus emungeti sunt,naribus emungi sunt,naribus emungi sunt,They have been blow noseed
Passive Indicative,Pluperfect,1st Person,Singular,naribus emungatus eram,naribus emungetus eram,naribus emungus eram,naribus emungus eram,I had been blow noseed
Passive Indicative,Pluperfect,1st Person,Plural,naribus emungati eramus,naribus emungeti eramus,naribus emungi eramus,naribus emungi eramus,We had been blow noseed
Passive Indicative,Pluperfect,2nd Person,Singular,naribus emungatus eras,naribus emungetus eras,naribus emungus eras,naribus emungus eras,You had been blow noseed
Passive Indicative,Pluperfect,2nd Person,Plural,naribus emungati eratis,naribus emungeti eratis,naribus emungi eratis,naribus emungi eratis,You (pl.) had been blow noseed
Passive Indicative,Pluperfect,3rd Person,Singular,naribus emungatus erat,naribus emungetus erat,naribus emungus erat,naribus emungus erat,He/she/it had been blow noseed
Passive Indicative,Pluperfect,3rd Person,Plural,naribus emungati erant,naribus emungeti erant,naribus emungi erant,naribus emungi erant,They had been blow noseed
Passive Indicative,Future Perfect,1st Person,Singular,naribus emungatus ero,naribus emungetus ero,naribus emungus ero,naribus emungus ero,I will have been blow noseed
Passive Indicative,Future Perfect,1st Person,Plural,naribus emungati erimus,naribus emungeti erimus,naribus emungi erimus,naribus emungi erimus,We will have been blow noseed
Passive Indicative,Future Perfect,2nd Person,Singular,naribus emungatus eris,naribus emungetus eris,naribus emungus eris,naribus emungus eris,You will have been blow noseed
Passive Indicative,Future Perfect,2nd Person,Plural,naribus emungati eritis,naribus emungeti eritis,naribus emungi eritis,naribus emungi eritis,You (pl.) will have been blow noseed
Passive Indicative,Future Perfect,3rd Person,Singular,naribus emungatus erit,naribus emungetus erit,naribus emungus erit,naribus emungus erit,He/she/it will have been blow noseed
Passive Indicative,Future Perfect,3rd Person,Plural,naribus emungati erunt,naribus emungeti erunt,naribus emungi erunt,naribus emungi erunt,They will have been blow noseed
Active Subjunctive,Present,1st Person,Singular,naribus emungem,naribus emungem,naribus emungam,naribus emungam,I may blow nose
Active Subjunctive,Present,1st Person,Plural,naribus emungemus,naribus emungemus,naribus emungamus,naribus emungamus,We may blow nose
Active Subjunctive,Present,2nd Person,Singular,naribus emunges,naribus emunges,naribus emungas,naribus emungas,You may blow nose
Active Subjunctive,Present,2nd Person,Plural,naribus emungetis,naribus emungetis,naribus emungatis,naribus emungatis,You (pl.) may blow nose
Active Subjunctive,Present,3rd Person,Singular,naribus emunget,naribus emunget,naribus emungat,naribus emungat,He/she/it may blow nose
Active Subjunctive,Present,3rd Person,Plural,naribus emungent,naribus emungent,naribus emungant,naribus emungant,They may blow nose
Active Subjunctive,Imperfect,1st Person,Singular,naribus emungarem,naribus emungerem,naribus emungerem,naribus emungirem,I should blow nose
Active Subjunctive,Imperfect,1st Person,Plural,naribus emungaremus,naribus emungeremus,naribus emungeremus,naribus emungiremus,We should blow nose
Active Subjunctive,Imperfect,2nd Person,Singular,naribus emungares,naribus emungeres,naribus emungeres,naribus emungires,You should blow nose
Active Subjunctive,Imperfect,2nd Person,Plural,naribus emungaretis,naribus emungeretis,naribus emungeretis,naribus emungiretis,You (pl.) should blow nose
Active Subjunctive,Imperfect,3rd Person,Singular,naribus emungaret,naribus emungeret,naribus emungeret,naribus emungiret,He/she/it should blow nose
Active Subjunctive,Imperfect,3rd Person,Plural,naribus emungarent,naribus emungerent,naribus emungerent,naribus emungirent,They should blow nose
Active Subjunctive,Perfect,1st Person,Singular,naribus emungerim,naribus emunguerim,naribus emungerim,naribus emungierim,I may have blow noseed
Active Subjunctive,Perfect,1st Person,Plural,naribus emungerimus,naribus emunguerimus,naribus emungerimus,naribus emungierimus,We may have blow noseed
Active Subjunctive,Perfect,2nd Person,Singular,naribus emungeris,naribus emungueris,naribus emungeris,naribus emungieris,You may have blow noseed
Active Subjunctive,Perfect,2nd Person,Plural,naribus emungeritis,naribus emungueritis,naribus emungeritis,naribus emungieritis,You (pl.) may have blow noseed
Active Subjunctive,Perfect,3rd Person,Singular,naribus emungerit,naribus emunguerit,naribus emungerit,naribus emungierit,He/she/it may have blow noseed
Active Subjunctive,Perfect,3rd Person,Plural,naribus emungerint,naribus emunguerint,naribus emungerint,naribus emungierint,They may have blow noseed
Active Subjunctive,Pluperfect,1st Person,Singular,naribus emungissem,naribus emunguissem,naribus emungissem,naribus emungissem,I should have blow noseed
Active Subjunctive,Pluperfect,1st Person,Plural,naribus emungissemus,naribus emunguissemus,naribus emungissemus,naribus emungissemus,We should have blow noseed
Active Subjunctive,Pluperfect,2nd Person,Singular,naribus emungisses,naribus emunguisses,naribus emungisses,naribus emungisses,You would have blow noseed
Active Subjunctive,Pluperfect,2nd Person,Plural,naribus emungissetis,naribus emunguissetis,naribus emungissetis,naribus emungissetis,You (pl.) would have blow noseed
Active Subjunctive,Pluperfect,3rd Person,Singular,naribus emungisset,naribus emunguisset,naribus emungisset,naribus emungisset,He/she/it would have blow noseed
Active Subjunctive,Pluperfect,3rd Person,Plural,naribus emungissent,naribus emunguissent,naribus emungissent,naribus emungissent,They would have blow noseed
Passive Subjunctive,Present,1st Person,Singular,naribus emunger,naribus emunger,naribus emungar,naribus emungar,I may be blow noseed
Passive Subjunctive,Present,1st Person,Plural,naribus emungemur,naribus emungemur,naribus emungamur,naribus emungamur,We may be blow noseed
Passive Subjunctive,Present,2nd Person,Singular,naribus emungeris,naribus emungeris,naribus emungaris,naribus emungaris,You may be blow noseed
Passive Subjunctive,Present,2nd Person,Plural,naribus emungemini,naribus emungemini,naribus emungamini,naribus emungamini,You (pl.) may be blow noseed
Passive Subjunctive,Present,3rd Person,Singular,naribus emungetur,naribus emungetur,naribus emungatur,naribus emungatur,He/she/it may be blow noseed
Passive Subjunctive,Present,3rd Person,Plural,naribus emungentur,naribus emungentur,naribus emungantur,naribus emungantur,They may be blow noseed
Passive Subjunctive,Imperfect,1st Person,Singular,naribus emungarer,naribus emungerer,naribus emungerer,naribus emungirer,I should be blow noseed
Passive Subjunctive,Imperfect,1st Person,Plural,naribus emungaremur,naribus emungeremur,naribus emungeremur,naribus emungiremur,We should be blow noseed
Passive Subjunctive,Imperfect,2nd Person,Singular,naribus emungareris,naribus emungereris,naribus emungereris,naribus emungireris,You would be blow noseed
Passive Subjunctive,Imperfect,2nd Person,Plural,naribus emungaremini,naribus emungeremini,naribus emungeremini,naribus emungiremini,You (pl.) would be blow noseed
Passive Subjunctive,Imperfect,3rd Person,Singular,naribus emungaretur,naribus emungeretur,naribus emungeretur,naribus emungiretur,He/she/it would be blow noseed
Passive Subjunctive,Imperfect,3rd Person,Plural,naribus emungarentur,naribus emungerentur,naribus emungerentur,naribus emungirentur,They would be blow noseed
Passive Subjunctive,Perfect,1st Person,Singular,naribus emungatus sim,naribus emungetus sim,naribus emungus sim,naribus emungus sim,I may have been blow noseed
