Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,nevo,neveo,nevo,nevio,I snow
Active Indicative,Present,1st Person,Plural,nevamus,nevemus,nevimus,nevimus,We snow
Active Indicative,Present,2nd Person,Singular,nevas,neves,nevis,nevis,You snow
Active Indicative,Present,2nd Person,Plural,nevatis,nevetis,nevitis,nevitis,You (pl.) snow
Active Indicative,Present,3rd Person,Singular,nevat,nevet,nevit,nevit,He/she/it snow
Active Indicative,Present,3rd Person,Plural,nevant,nevent,neviunt,neviunt,They snow
Active Indicative,Imperfect,1st Person,Singular,nevabam,nevebam,nevebam,neviebam,I was snowing
Active Indicative,Imperfect,1st Person,Plural,nevabamus,nevebamus,nevebamus,neviebamus,We were snowing
Active Indicative,Imperfect,2nd Person,Singular,nevabas,nevebas,nevebas,neviebas,You were snowing
Active Indicative,Imperfect,2nd Person,Plural,nevabatis,nevebatis,nevebatis,neviebatis,You (pl.) were snowing
Active Indicative,Imperfect,3rd Person,Singular,nevabat,nevebat,nevebat,neviebat,He/she/it was snowing
Active Indicative,Imperfect,3rd Person,Plural,nevabant,nevebant,nevebant,neviebant,They were snowing
Active Indicative,Future,1st Person,Singular,nevabo,nevebo,nevam,neviam,I will snow
Active Indicative,Future,1st Person,Plural,nevabimus,nevebimus,nevemus,neviemus,We will snow
Active Indicative,Future,2nd Person,Singular,nevabis,nevebis,neves,nevies,You will snow
Active Indicative,Future,2nd Person,Plural,nevabitis,nevebitis,nevetis,nevietis,You (pl.) will snow
Active Indicative,Future,3rd Person,Singular,nevabit,nevebit,nevet,neviet,He/she/it will snow
Active Indicative,Future,3rd Person,Plural,nevabunt,nevebunt,nevent,nevient,They will snow
Active Indicative,Perfect,1st Person,Singular,nevavi,nevui,nevi,nevi,I have snowed
Active Indicative,Perfect,1st Person,Plural,nevavimus,nevuimus,nevimus,nevimus,We have snowed
Active Indicative,Perfect,2nd Person,Singular,nevavisti,nevuisti,nevisti,nevisti,You have snowed
Active Indicative,Perfect,2nd Person,Plural,nevavistis,nevuistis,nevistis,nevistis,You (pl.) have snowed
Active Indicative,Perfect,3rd Person,Singular,nevavit,nevuit,nevit,nevit,He/she/it has snowed
Active Indicative,Perfect,3rd Person,Plural,nevaverunt,nevuerunt,neverunt,neverunt,They have snowed
Active Indicative,Pluperfect,1st Person,Singular,nevaveram,nevueram,neveram,neveram,I had snowed
Active Indicative,Pluperfect,1st Person,Plural,nevaveramus,nevueramus,neveramus,neveramus,We had snowed
Active Indicative,Pluperfect,2nd Person,Singular,nevaveras,nevueras,neveras,neveras,You had snowed
Active Indicative,Pluperfect,2nd Person,Plural,nevaveratis,nevueratis,neveratis,neveratis,You (pl.) had snowed
Active Indicative,Pluperfect,3rd Person,Singular,nevaverat,nevuerat,neverat,neverat,He/she/it had snowed
