Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ningo,ningeo,ningo,ningio,I snow
Active Indicative,Present,1st Person,Plural,ningamus,ningemus,ningimus,ningimus,We snow
Active Indicative,Present,2nd Person,Singular,ningas,ninges,ningis,ningis,You snow
Active Indicative,Present,2nd Person,Plural,ningatis,ningetis,ningitis,ningitis,You (pl.) snow
Active Indicative,Present,3rd Person,Singular,ningat,ninget,ningit,ningit,He/she/it snow
Active Indicative,Present,3rd Person,Plural,ningant,ningent,ningiunt,ningiunt,They snow
Active Indicative,Imperfect,1st Person,Singular,ningabam,ningebam,ningebam,ningiebam,I was snowing
Active Indicative,Imperfect,1st Person,Plural,ningabamus,ningebamus,ningebamus,ningiebamus,We were snowing
Active Indicative,Imperfect,2nd Person,Singular,ningabas,ningebas,ningebas,ningiebas,You were snowing
Active Indicative,Imperfect,2nd Person,Plural,ningabatis,ningebatis,ningebatis,ningiebatis,You (pl.) were snowing
Active Indicative,Imperfect,3rd Person,Singular,ningabat,ningebat,ningebat,ningiebat,He/she/it was snowing
Active Indicative,Imperfect,3rd Person,Plural,ningabant,ningebant,ningebant,ningiebant,They were snowing
Active Indicative,Future,1st Person,Singular,ningabo,ningebo,ningam,ningiam,I will snow
Active Indicative,Future,1st Person,Plural,ningabimus,ningebimus,ningemus,ningiemus,We will snow
Active Indicative,Future,2nd Person,Singular,ningabis,ningebis,ninges,ningies,You will snow
Active Indicative,Future,2nd Person,Plural,ningabitis,ningebitis,ningetis,ningietis,You (pl.) will snow
Active Indicative,Future,3rd Person,Singular,ningabit,ningebit,ninget,ningiet,He/she/it will snow
Active Indicative,Future,3rd Person,Plural,ningabunt,ningebunt,ningent,ningient,They will snow
Active Indicative,Perfect,1st Person,Singular,ningavi,ningui,ningi,ningi,I have snowed
Active Indicative,Perfect,1st Person,Plural,ningavimus,ninguimus,ningimus,ningimus,We have snowed
Active Indicative,Perfect,2nd Person,Singular,ningavisti,ninguisti,ningisti,ningisti,You have snowed
Active Indicative,Perfect,2nd Person,Plural,ningavistis,ninguistis,ningistis,ningistis,You (pl.) have snowed
Active Indicative,Perfect,3rd Person,Singular,ningavit,ninguit,ningit,ningit,He/she/it has snowed
Active Indicative,Perfect,3rd Person,Plural,ningaverunt,ninguerunt,ningerunt,ningerunt,They have snowed
Active Indicative,Pluperfect,1st Person,Singular,ningaveram,ningueram,ningeram,ningeram,I had snowed
Active Indicative,Pluperfect,1st Person,Plural,ningaveramus,ningueramus,ningeramus,ningeramus,We had snowed
Active Indicative,Pluperfect,2nd Person,Singular,ningaveras,ningueras,ningeras,ningeras,You had snowed
Active Indicative,Pluperfect,2nd Person,Plural,ningaveratis,ningueratis,ningeratis,ningeratis,You (pl.) had snowed
Active Indicative,Pluperfect,3rd Person,Singular,ningaverat,ninguerat,ningerat,ningerat,He/she/it had snowed
Active Indicative,Pluperfect,3rd Person,Plural,ningaverant,ninguerant,ningerant,ningerant,They had snowed
Active Indicative,Future Perfect,1st Person,Singular,ningavero,ningueero,ningero,ningiero,I will have snowed
Active Indicative,Future Perfect,1st Person,Plural,ningaverimus,ninguerimus,ningerimus,ningierimus,We will have snowed
Active Indicative,Future Perfect,2nd Person,Singular,ningaveris,ningueris,ningeris,ningieris,You will have snowed
Active Indicative,Future Perfect,2nd Person,Plural,ningaveritis,ningueritis,ningeritis,ningieritis,You (pl.) will have snowed
Active Indicative,Future Perfect,3rd Person,Singular,ningaverit,ninguerit,ningerit,ningierit,He/she/it will have snowed
Active Indicative,Future Perfect,3rd Person,Plural,ningaverint,ninguerint,ningerint,ningierint,They will have snowed
Passive Indicative,Present,1st Person,Singular,ningor,ningeor,ningor,ningior,I am being snowed
Passive Indicative,Present,1st Person,Plural,ningamur,ningemur,ningimur,ningimur,We are being snowed
Passive Indicative,Present,2nd Person,Singular,ningaris,ningeris,ningiris,ningiris,You are being snowed
Passive Indicative,Present,2nd Person,Plural,ningamini,ningemini,ningimini,ningimini,You (pl.) are being snowed
Passive Indicative,Present,3rd Person,Singular,ningatur,ningetur,ningitur,ningitur,He/she/it is being snowed
Passive Indicative,Present,3rd Person,Plural,ningantur,ningentur,ningiuntur,ningiuntur,They are being snowed
Passive Indicative,Imperfect,1st Person,Singular,ningabar,ningebar,ningebar,ningiebar,I was snowed
Passive Indicative,Imperfect,1st Person,Plural,ningabamur,ningebamur,ningebamur,ningiebamur,We were snowed
Passive Indicative,Imperfect,2nd Person,Singular,ningabaris,ningebaris,ningebaris,ningiebaris,You were snowed
Passive Indicative,Imperfect,2nd Person,Plural,ningabamini,ningebamini,ningebamini,ningiebamini,You (pl.) were snowed
Passive Indicative,Imperfect,3rd Person,Singular,ningabatur,ningebatur,ningebatur,ningiebatur,He/she/it was snowed
Passive Indicative,Imperfect,3rd Person,Plural,ningabantur,ningebantur,ningebantur,ningiebantur,They were snowed
Passive Indicative,Future,1st Person,Singular,ningabor,ningebor,ningar,ningiar,I will be snowed
Passive Indicative,Future,1st Person,Plural,ningabimur,ningebimur,ningemur,ningiemur,We will be snowed
Passive Indicative,Future,2nd Person,Singular,ningaberis,ningeberis,ningeris,ningieris,You will be snowed
Passive Indicative,Future,2nd Person,Plural,ningabimini,ningebimini,ningemini,ningiemini,You (pl.) will be snowed
Passive Indicative,Future,3rd Person,Singular,ningabitur,ningebitur,ningetur,ningietur,He/she/it will be snowed
Passive Indicative,Future,3rd Person,Plural,ningabuntur,ningebuntur,ningentur,ningientur,They will be snowed
Passive Indicative,Perfect,1st Person,Singular,ningatus sum,ningetus sum,ningus sum,ningus sum,I have been snowed
Passive Indicative,Perfect,1st Person,Plural,ningati sumus,ningeti sumus,ningi sumus,ningi sumus,We have been snowed
Passive Indicative,Perfect,2nd Person,Singular,ningatus es,ningetus es,ningus es,ningus es,You have been snowed
Passive Indicative,Perfect,2nd Person,Plural,ningati estis,ningeti estis,ningi estis,ningi estis,You (pl.) have been snowed
Passive Indicative,Perfect,3rd Person,Singular,ningatus est,ningetus est,ningus est,ningus est,He/she/it has been snowed
Passive Indicative,Perfect,3rd Person,Plural,ningati sunt,ningeti sunt,ningi sunt,ningi sunt,They have been snowed
Passive Indicative,Pluperfect,1st Person,Singular,ningatus eram,ningetus eram,ningus eram,ningus eram,I had been snowed
Passive Indicative,Pluperfect,1st Person,Plural,ningati eramus,ningeti eramus,ningi eramus,ningi eramus,We had been snowed
Passive Indicative,Pluperfect,2nd Person,Singular,ningatus eras,ningetus eras,ningus eras,ningus eras,You had been snowed
Passive Indicative,Pluperfect,2nd Person,Plural,ningati eratis,ningeti eratis,ningi eratis,ningi eratis,You (pl.) had been snowed
Passive Indicative,Pluperfect,3rd Person,Singular,ningatus erat,ningetus erat,ningus erat,ningus erat,He/she/it had been snowed
Passive Indicative,Pluperfect,3rd Person,Plural,ningati erant,ningeti erant,ningi erant,ningi erant,They had been snowed
Passive Indicative,Future Perfect,1st Person,Singular,ningatus ero,ningetus ero,ningus ero,ningus ero,I will have been snowed
Passive Indicative,Future Perfect,1st Person,Plural,ningati erimus,ningeti erimus,ningi erimus,ningi erimus,We will have been snowed
Passive Indicative,Future Perfect,2nd Person,Singular,ningatus eris,ningetus eris,ningus eris,ningus eris,You will have been snowed
Passive Indicative,Future Perfect,2nd Person,Plural,ningati eritis,ningeti eritis,ningi eritis,ningi eritis,You (pl.) will have been snowed
Passive Indicative,Future Perfect,3rd Person,Singular,ningatus erit,ningetus erit,ningus erit,ningus erit,He/she/it will have been snowed
Passive Indicative,Future Perfect,3rd Person,Plural,ningati erunt,ningeti erunt,ningi erunt,ningi erunt,They will have been snowed
Active Subjunctive,Present,1st Person,Singular,ningem,ningem,ningam,ningam,I may snow
Active Subjunctive,Present,1st Person,Plural,ningemus,ningemus,ningamus,ningamus,We may snow
Active Subjunctive,Present,2nd Person,Singular,ninges,ninges,ningas,ningas,You may snow
Active Subjunctive,Present,2nd Person,Plural,ningetis,ningetis,ningatis,ningatis,You (pl.) may snow
Active Subjunctive,Present,3rd Person,Singular,ninget,ninget,ningat,ningat,He/she/it may snow
Active Subjunctive,Present,3rd Person,Plural,ningent,ningent,ningant,ningant,They may snow
Active Subjunctive,Imperfect,1st Person,Singular,ningarem,ningerem,ningerem,ningirem,I should snow
Active Subjunctive,Imperfect,1st Person,Plural,ningaremus,ningeremus,ningeremus,ningiremus,We should snow
Active Subjunctive,Imperfect,2nd Person,Singular,ningares,ningeres,ningeres,ningires,You should snow
Active Subjunctive,Imperfect,2nd Person,Plural,ningaretis,ningeretis,ningeretis,ningiretis,You (pl.) should snow
Active Subjunctive,Imperfect,3rd Person,Singular,ningaret,ningeret,ningeret,ningiret,He/she/it should snow
Active Subjunctive,Imperfect,3rd Person,Plural,ningarent,ningerent,ningerent,ningirent,They should snow
Active Subjunctive,Perfect,1st Person,Singular,ningerim,ninguerim,ningerim,ningierim,I may have snowed
Active Subjunctive,Perfect,1st Person,Plural,ningerimus,ninguerimus,ningerimus,ningierimus,We may have snowed
Active Subjunctive,Perfect,2nd Person,Singular,ningeris,ningueris,ningeris,ningieris,You may have snowed
Active Subjunctive,Perfect,2nd Person,Plural,ningeritis,ningueritis,ningeritis,ningieritis,You (pl.) may have snowed
Active Subjunctive,Perfect,3rd Person,Singular,ningerit,ninguerit,ningerit,ningierit,He/she/it may have snowed
Active Subjunctive,Perfect,3rd Person,Plural,ningerint,ninguerint,ningerint,ningierint,They may have snowed
Active Subjunctive,Pluperfect,1st Person,Singular,ningissem,ninguissem,ningissem,ningissem,I should have snowed
Active Subjunctive,Pluperfect,1st Person,Plural,ningissemus,ninguissemus,ningissemus,ningissemus,We should have snowed
Active Subjunctive,Pluperfect,2nd Person,Singular,ningisses,ninguisses,ningisses,ningisses,You would have snowed
Active Subjunctive,Pluperfect,2nd Person,Plural,ningissetis,ninguissetis,ningissetis,ningissetis,You (pl.) would have snowed
Active Subjunctive,Pluperfect,3rd Person,Singular,ningisset,ninguisset,ningisset,ningisset,He/she/it would have snowed
Active Subjunctive,Pluperfect,3rd Person,Plural,ningissent,ninguissent,ningissent,ningissent,They would have snowed
Passive Subjunctive,Present,1st Person,Singular,ninger,ninger,ningar,ningar,I may be snowed
Passive Subjunctive,Present,1st Person,Plural,ningemur,ningemur,ningamur,ningamur,We may be snowed
Passive Subjunctive,Present,2nd Person,Singular,ningeris,ningeris,ningaris,ningaris,You may be snowed
Passive Subjunctive,Present,2nd Person,Plural,ningemini,ningemini,ningamini,ningamini,You (pl.) may be snowed
Passive Subjunctive,Present,3rd Person,Singular,ningetur,ningetur,ningatur,ningatur,He/she/it may be snowed
Passive Subjunctive,Present,3rd Person,Plural,ningentur,ningentur,ningantur,ningantur,They may be snowed
Passive Subjunctive,Imperfect,1st Person,Singular,ningarer,ningerer,ningerer,ningirer,I should be snowed
Passive Subjunctive,Imperfect,1st Person,Plural,ningaremur,ningeremur,ningeremur,ningiremur,We should be snowed
Passive Subjunctive,Imperfect,2nd Person,Singular,ningareris,ningereris,ningereris,ningireris,You would be snowed
Passive Subjunctive,Imperfect,2nd Person,Plural,ningaremini,ningeremini,ningeremini,ningiremini,You (pl.) would be snowed
Passive Subjunctive,Imperfect,3rd Person,Singular,ningaretur,ningeretur,ningeretur,ningiretur,He/she/it would be snowed
Passive Subjunctive,Imperfect,3rd Person,Plural,ningarentur,ningerentur,ningerentur,ningirentur,They would be snowed
Passive Subjunctive,Perfect,1st Person,Singular,ningatus sim,ningetus sim,ningus sim,ningus sim,I may have been snowed
Passive Subjunctive,Perfect,1st Person,Plural,ningati simus,ningeti simus,ningi simus,ningi simus,We may have been snowed
Passive Subjunctive,Perfect,2nd Person,Singular,ningatus sis,ningetus sis,ningus sis,ningus sis,You may have been snowed
Passive Subjunctive,Perfect,2nd Person,Plural,ningati sitis,ningeti sitis,ningi sitis,ningi sitis,You (pl.) may have been snowed
Passive Subjunctive,Perfect,3rd Person,Singular,ningatus sit,ningetus sit,ningus sit,ningus sit,He/she/it may have been snowed
