Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ninguo,ningueo,ninguo,ninguio,I fall in flakes
Active Indicative,Present,1st Person,Plural,ninguamus,ninguemus,ninguimus,ninguimus,We fall in flakes
Active Indicative,Present,2nd Person,Singular,ninguas,ningues,ninguis,ninguis,You fall in flakes
Active Indicative,Present,2nd Person,Plural,ninguatis,ninguetis,ninguitis,ninguitis,You (pl.) fall in flakes
Active Indicative,Present,3rd Person,Singular,ninguat,ninguet,ninguit,ninguit,He/she/it fall in flakes
Active Indicative,Present,3rd Person,Plural,ninguant,ninguent,ninguiunt,ninguiunt,They fall in flakes
Active Indicative,Imperfect,1st Person,Singular,ninguabam,ninguebam,ninguebam,ninguiebam,I was fall in flakesing
Active Indicative,Imperfect,1st Person,Plural,ninguabamus,ninguebamus,ninguebamus,ninguiebamus,We were fall in flakesing
Active Indicative,Imperfect,2nd Person,Singular,ninguabas,ninguebas,ninguebas,ninguiebas,You were fall in flakesing
Active Indicative,Imperfect,2nd Person,Plural,ninguabatis,ninguebatis,ninguebatis,ninguiebatis,You (pl.) were fall in flakesing
Active Indicative,Imperfect,3rd Person,Singular,ninguabat,ninguebat,ninguebat,ninguiebat,He/she/it was fall in flakesing
Active Indicative,Imperfect,3rd Person,Plural,ninguabant,ninguebant,ninguebant,ninguiebant,They were fall in flakesing
Active Indicative,Future,1st Person,Singular,ninguabo,ninguebo,ninguam,ninguiam,I will fall in flakes
Active Indicative,Future,1st Person,Plural,ninguabimus,ninguebimus,ninguemus,ninguiemus,We will fall in flakes
Active Indicative,Future,2nd Person,Singular,ninguabis,ninguebis,ningues,ninguies,You will fall in flakes
Active Indicative,Future,2nd Person,Plural,ninguabitis,ninguebitis,ninguetis,ninguietis,You (pl.) will fall in flakes
Active Indicative,Future,3rd Person,Singular,ninguabit,ninguebit,ninguet,ninguiet,He/she/it will fall in flakes
Active Indicative,Future,3rd Person,Plural,ninguabunt,ninguebunt,ninguent,ninguient,They will fall in flakes
Active Indicative,Perfect,1st Person,Singular,ninguavi,ningui,ningui,ningui,I have fall in flakesed
Active Indicative,Perfect,1st Person,Plural,ninguavimus,ninguimus,ninguimus,ninguimus,We have fall in flakesed
Active Indicative,Perfect,2nd Person,Singular,ninguavisti,ninguisti,ninguisti,ninguisti,You have fall in flakesed
Active Indicative,Perfect,2nd Person,Plural,ninguavistis,ninguistis,ninguistis,ninguistis,You (pl.) have fall in flakesed
Active Indicative,Perfect,3rd Person,Singular,ninguavit,ninguit,ninguit,ninguit,He/she/it has fall in flakesed
Active Indicative,Perfect,3rd Person,Plural,ninguaverunt,ninguerunt,ninguerunt,ninguerunt,They have fall in flakesed
Active Indicative,Pluperfect,1st Person,Singular,ninguaveram,ningueram,ningueram,ningueram,I had fall in flakesed
Active Indicative,Pluperfect,1st Person,Plural,ninguaveramus,ningueramus,ningueramus,ningueramus,We had fall in flakesed
Active Indicative,Pluperfect,2nd Person,Singular,ninguaveras,ningueras,ningueras,ningueras,You had fall in flakesed
Active Indicative,Pluperfect,2nd Person,Plural,ninguaveratis,ningueratis,ningueratis,ningueratis,You (pl.) had fall in flakesed
Active Indicative,Pluperfect,3rd Person,Singular,ninguaverat,ninguerat,ninguerat,ninguerat,He/she/it had fall in flakesed
Active Indicative,Pluperfect,3rd Person,Plural,ninguaverant,ninguerant,ninguerant,ninguerant,They had fall in flakesed
Active Indicative,Future Perfect,1st Person,Singular,ninguavero,ningueero,ninguero,ninguiero,I will have fall in flakesed
