Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,nitidio,nitidieo,nitidio,nitidio,I clean
Active Indicative,Present,1st Person,Plural,nitidiamus,nitidiemus,nitidimus,nitidimus,We clean
Active Indicative,Present,2nd Person,Singular,nitidias,nitidies,nitidis,nitidis,You clean
Active Indicative,Present,2nd Person,Plural,nitidiatis,nitidietis,nitiditis,nitiditis,You (pl.) clean
Active Indicative,Present,3rd Person,Singular,nitidiat,nitidiet,nitidit,nitidit,He/she/it clean
Active Indicative,Present,3rd Person,Plural,nitidiant,nitidient,nitidiunt,nitidiunt,They clean
Active Indicative,Imperfect,1st Person,Singular,nitidiabam,nitidiebam,nitidiebam,nitidiebam,I was cleaning
Active Indicative,Imperfect,1st Person,Plural,nitidiabamus,nitidiebamus,nitidiebamus,nitidiebamus,We were cleaning
Active Indicative,Imperfect,2nd Person,Singular,nitidiabas,nitidiebas,nitidiebas,nitidiebas,You were cleaning
Active Indicative,Imperfect,2nd Person,Plural,nitidiabatis,nitidiebatis,nitidiebatis,nitidiebatis,You (pl.) were cleaning
Active Indicative,Imperfect,3rd Person,Singular,nitidiabat,nitidiebat,nitidiebat,nitidiebat,He/she/it was cleaning
Active Indicative,Imperfect,3rd Person,Plural,nitidiabant,nitidiebant,nitidiebant,nitidiebant,They were cleaning
Active Indicative,Future,1st Person,Singular,nitidiabo,nitidiebo,nitidiam,nitidiam,I will clean
Active Indicative,Future,1st Person,Plural,nitidiabimus,nitidiebimus,nitidiemus,nitidiemus,We will clean
Active Indicative,Future,2nd Person,Singular,nitidiabis,nitidiebis,nitidies,nitidies,You will clean
Active Indicative,Future,2nd Person,Plural,nitidiabitis,nitidiebitis,nitidietis,nitidietis,You (pl.) will clean
Active Indicative,Future,3rd Person,Singular,nitidiabit,nitidiebit,nitidiet,nitidiet,He/she/it will clean
Active Indicative,Future,3rd Person,Plural,nitidiabunt,nitidiebunt,nitidient,nitidient,They will clean
Active Indicative,Perfect,1st Person,Singular,nitidiavi,nitidiui,nitidi,nitidi,I have cleaned
Active Indicative,Perfect,1st Person,Plural,nitidiavimus,nitidiuimus,nitidimus,nitidimus,We have cleaned
Active Indicative,Perfect,2nd Person,Singular,nitidiavisti,nitidiuisti,nitidisti,nitidisti,You have cleaned
Active Indicative,Perfect,2nd Person,Plural,nitidiavistis,nitidiuistis,nitidistis,nitidistis,You (pl.) have cleaned
Active Indicative,Perfect,3rd Person,Singular,nitidiavit,nitidiuit,nitidit,nitidit,He/she/it has cleaned
Active Indicative,Perfect,3rd Person,Plural,nitidiaverunt,nitidiuerunt,nitidierunt,nitidierunt,They have cleaned
Active Indicative,Pluperfect,1st Person,Singular,nitidiaveram,nitidiueram,nitidieram,nitidieram,I had cleaned
Active Indicative,Pluperfect,1st Person,Plural,nitidiaveramus,nitidiueramus,nitidieramus,nitidieramus,We had cleaned
Active Indicative,Pluperfect,2nd Person,Singular,nitidiaveras,nitidiueras,nitidieras,nitidieras,You had cleaned
Active Indicative,Pluperfect,2nd Person,Plural,nitidiaveratis,nitidiueratis,nitidieratis,nitidieratis,You (pl.) had cleaned
Active Indicative,Pluperfect,3rd Person,Singular,nitidiaverat,nitidiuerat,nitidierat,nitidierat,He/she/it had cleaned
Active Indicative,Pluperfect,3rd Person,Plural,nitidiaverant,nitidiuerant,nitidierant,nitidierant,They had cleaned
Active Indicative,Future Perfect,1st Person,Singular,nitidiavero,nitidiueero,nitidiero,nitidiero,I will have cleaned
Active Indicative,Future Perfect,1st Person,Plural,nitidiaverimus,nitidiuerimus,nitidierimus,nitidierimus,We will have cleaned
Active Indicative,Future Perfect,2nd Person,Singular,nitidiaveris,nitidiueris,nitidieris,nitidieris,You will have cleaned
Active Indicative,Future Perfect,2nd Person,Plural,nitidiaveritis,nitidiueritis,nitidieritis,nitidieritis,You (pl.) will have cleaned
Active Indicative,Future Perfect,3rd Person,Singular,nitidiaverit,nitidiuerit,nitidierit,nitidierit,He/she/it will have cleaned
Active Indicative,Future Perfect,3rd Person,Plural,nitidiaverint,nitidiuerint,nitidierint,nitidierint,They will have cleaned
Passive Indicative,Present,1st Person,Singular,nitidior,nitidieor,nitidior,nitidior,I am being cleaned
Passive Indicative,Present,1st Person,Plural,nitidiamur,nitidiemur,nitidimur,nitidimur,We are being cleaned
Passive Indicative,Present,2nd Person,Singular,nitidiaris,nitidieris,nitidiris,nitidiris,You are being cleaned
Passive Indicative,Present,2nd Person,Plural,nitidiamini,nitidiemini,nitidimini,nitidimini,You (pl.) are being cleaned
Passive Indicative,Present,3rd Person,Singular,nitidiatur,nitidietur,nitiditur,nitiditur,He/she/it is being cleaned
Passive Indicative,Present,3rd Person,Plural,nitidiantur,nitidientur,nitidiuntur,nitidiuntur,They are being cleaned
Passive Indicative,Imperfect,1st Person,Singular,nitidiabar,nitidiebar,nitidiebar,nitidiebar,I was cleaned
Passive Indicative,Imperfect,1st Person,Plural,nitidiabamur,nitidiebamur,nitidiebamur,nitidiebamur,We were cleaned
Passive Indicative,Imperfect,2nd Person,Singular,nitidiabaris,nitidiebaris,nitidiebaris,nitidiebaris,You were cleaned
Passive Indicative,Imperfect,2nd Person,Plural,nitidiabamini,nitidiebamini,nitidiebamini,nitidiebamini,You (pl.) were cleaned
Passive Indicative,Imperfect,3rd Person,Singular,nitidiabatur,nitidiebatur,nitidiebatur,nitidiebatur,He/she/it was cleaned
Passive Indicative,Imperfect,3rd Person,Plural,nitidiabantur,nitidiebantur,nitidiebantur,nitidiebantur,They were cleaned
Passive Indicative,Future,1st Person,Singular,nitidiabor,nitidiebor,nitidiar,nitidiar,I will be cleaned
Passive Indicative,Future,1st Person,Plural,nitidiabimur,nitidiebimur,nitidiemur,nitidiemur,We will be cleaned
Passive Indicative,Future,2nd Person,Singular,nitidiaberis,nitidieberis,nitidieris,nitidieris,You will be cleaned
Passive Indicative,Future,2nd Person,Plural,nitidiabimini,nitidiebimini,nitidiemini,nitidiemini,You (pl.) will be cleaned
Passive Indicative,Future,3rd Person,Singular,nitidiabitur,nitidiebitur,nitidietur,nitidietur,He/she/it will be cleaned
Passive Indicative,Future,3rd Person,Plural,nitidiabuntur,nitidiebuntur,nitidientur,nitidientur,They will be cleaned
Passive Indicative,Perfect,1st Person,Singular,nitidiatus sum,nitidietus sum,nitidius sum,nitidius sum,I have been cleaned
Passive Indicative,Perfect,1st Person,Plural,nitidiati sumus,nitidieti sumus,nitidi sumus,nitidi sumus,We have been cleaned
Passive Indicative,Perfect,2nd Person,Singular,nitidiatus es,nitidietus es,nitidius es,nitidius es,You have been cleaned
Passive Indicative,Perfect,2nd Person,Plural,nitidiati estis,nitidieti estis,nitidi estis,nitidi estis,You (pl.) have been cleaned
Passive Indicative,Perfect,3rd Person,Singular,nitidiatus est,nitidietus est,nitidius est,nitidius est,He/she/it has been cleaned
Passive Indicative,Perfect,3rd Person,Plural,nitidiati sunt,nitidieti sunt,nitidi sunt,nitidi sunt,They have been cleaned
Passive Indicative,Pluperfect,1st Person,Singular,nitidiatus eram,nitidietus eram,nitidius eram,nitidius eram,I had been cleaned
Passive Indicative,Pluperfect,1st Person,Plural,nitidiati eramus,nitidieti eramus,nitidi eramus,nitidi eramus,We had been cleaned
Passive Indicative,Pluperfect,2nd Person,Singular,nitidiatus eras,nitidietus eras,nitidius eras,nitidius eras,You had been cleaned
Passive Indicative,Pluperfect,2nd Person,Plural,nitidiati eratis,nitidieti eratis,nitidi eratis,nitidi eratis,You (pl.) had been cleaned
Passive Indicative,Pluperfect,3rd Person,Singular,nitidiatus erat,nitidietus erat,nitidius erat,nitidius erat,He/she/it had been cleaned
Passive Indicative,Pluperfect,3rd Person,Plural,nitidiati erant,nitidieti erant,nitidi erant,nitidi erant,They had been cleaned
Passive Indicative,Future Perfect,1st Person,Singular,nitidiatus ero,nitidietus ero,nitidius ero,nitidius ero,I will have been cleaned
Passive Indicative,Future Perfect,1st Person,Plural,nitidiati erimus,nitidieti erimus,nitidi erimus,nitidi erimus,We will have been cleaned
