Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,nubo,nubeo,nubo,nubio,I wed
Active Indicative,Present,1st Person,Plural,nubamus,nubemus,nubimus,nubimus,We wed
Active Indicative,Present,2nd Person,Singular,nubas,nubes,nubis,nubis,You wed
Active Indicative,Present,2nd Person,Plural,nubatis,nubetis,nubitis,nubitis,You (pl.) wed
Active Indicative,Present,3rd Person,Singular,nubat,nubet,nubit,nubit,He/she/it wed
Active Indicative,Present,3rd Person,Plural,nubant,nubent,nubiunt,nubiunt,They wed
Active Indicative,Imperfect,1st Person,Singular,nubabam,nubebam,nubebam,nubiebam,I was weding
Active Indicative,Imperfect,1st Person,Plural,nubabamus,nubebamus,nubebamus,nubiebamus,We were weding
Active Indicative,Imperfect,2nd Person,Singular,nubabas,nubebas,nubebas,nubiebas,You were weding
Active Indicative,Imperfect,2nd Person,Plural,nubabatis,nubebatis,nubebatis,nubiebatis,You (pl.) were weding
Active Indicative,Imperfect,3rd Person,Singular,nubabat,nubebat,nubebat,nubiebat,He/she/it was weding
Active Indicative,Imperfect,3rd Person,Plural,nubabant,nubebant,nubebant,nubiebant,They were weding
Active Indicative,Future,1st Person,Singular,nubabo,nubebo,nubam,nubiam,I will wed
Active Indicative,Future,1st Person,Plural,nubabimus,nubebimus,nubemus,nubiemus,We will wed
Active Indicative,Future,2nd Person,Singular,nubabis,nubebis,nubes,nubies,You will wed
Active Indicative,Future,2nd Person,Plural,nubabitis,nubebitis,nubetis,nubietis,You (pl.) will wed
Active Indicative,Future,3rd Person,Singular,nubabit,nubebit,nubet,nubiet,He/she/it will wed
Active Indicative,Future,3rd Person,Plural,nubabunt,nubebunt,nubent,nubient,They will wed
Active Indicative,Perfect,1st Person,Singular,nubavi,nubui,nubi,nubi,I have weded
Active Indicative,Perfect,1st Person,Plural,nubavimus,nubuimus,nubimus,nubimus,We have weded
Active Indicative,Perfect,2nd Person,Singular,nubavisti,nubuisti,nubisti,nubisti,You have weded
Active Indicative,Perfect,2nd Person,Plural,nubavistis,nubuistis,nubistis,nubistis,You (pl.) have weded
Active Indicative,Perfect,3rd Person,Singular,nubavit,nubuit,nubit,nubit,He/she/it has weded
Active Indicative,Perfect,3rd Person,Plural,nubaverunt,nubuerunt,nuberunt,nuberunt,They have weded
Active Indicative,Pluperfect,1st Person,Singular,nubaveram,nubueram,nuberam,nuberam,I had weded
Active Indicative,Pluperfect,1st Person,Plural,nubaveramus,nubueramus,nuberamus,nuberamus,We had weded
Active Indicative,Pluperfect,2nd Person,Singular,nubaveras,nubueras,nuberas,nuberas,You had weded
Active Indicative,Pluperfect,2nd Person,Plural,nubaveratis,nubueratis,nuberatis,nuberatis,You (pl.) had weded
Active Indicative,Pluperfect,3rd Person,Singular,nubaverat,nubuerat,nuberat,nuberat,He/she/it had weded
Active Indicative,Pluperfect,3rd Person,Plural,nubaverant,nubuerant,nuberant,nuberant,They had weded
Active Indicative,Future Perfect,1st Person,Singular,nubavero,nubueero,nubero,nubiero,I will have weded
Active Indicative,Future Perfect,1st Person,Plural,nubaverimus,nubuerimus,nuberimus,nubierimus,We will have weded
Active Indicative,Future Perfect,2nd Person,Singular,nubaveris,nubueris,nuberis,nubieris,You will have weded
Active Indicative,Future Perfect,2nd Person,Plural,nubaveritis,nubueritis,nuberitis,nubieritis,You (pl.) will have weded
Active Indicative,Future Perfect,3rd Person,Singular,nubaverit,nubuerit,nuberit,nubierit,He/she/it will have weded
Active Indicative,Future Perfect,3rd Person,Plural,nubaverint,nubuerint,nuberint,nubierint,They will have weded
Passive Indicative,Present,1st Person,Singular,nubor,nubeor,nubor,nubior,I am being weded
Passive Indicative,Present,1st Person,Plural,nubamur,nubemur,nubimur,nubimur,We are being weded
Passive Indicative,Present,2nd Person,Singular,nubaris,nuberis,nubiris,nubiris,You are being weded
Passive Indicative,Present,2nd Person,Plural,nubamini,nubemini,nubimini,nubimini,You (pl.) are being weded
Passive Indicative,Present,3rd Person,Singular,nubatur,nubetur,nubitur,nubitur,He/she/it is being weded
Passive Indicative,Present,3rd Person,Plural,nubantur,nubentur,nubiuntur,nubiuntur,They are being weded
Passive Indicative,Imperfect,1st Person,Singular,nubabar,nubebar,nubebar,nubiebar,I was weded
Passive Indicative,Imperfect,1st Person,Plural,nubabamur,nubebamur,nubebamur,nubiebamur,We were weded
Passive Indicative,Imperfect,2nd Person,Singular,nubabaris,nubebaris,nubebaris,nubiebaris,You were weded
Passive Indicative,Imperfect,2nd Person,Plural,nubabamini,nubebamini,nubebamini,nubiebamini,You (pl.) were weded
