Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,oblivisco,oblivisceo,oblivisco,obliviscio,I forget
Active Indicative,Present,1st Person,Plural,obliviscamus,obliviscemus,obliviscimus,obliviscimus,We forget
Active Indicative,Present,2nd Person,Singular,obliviscas,oblivisces,obliviscis,obliviscis,You forget
Active Indicative,Present,2nd Person,Plural,obliviscatis,obliviscetis,obliviscitis,obliviscitis,You (pl.) forget
Active Indicative,Present,3rd Person,Singular,obliviscat,obliviscet,obliviscit,obliviscit,He/she/it forget
Active Indicative,Present,3rd Person,Plural,obliviscant,obliviscent,oblivisciunt,oblivisciunt,They forget
Active Indicative,Imperfect,1st Person,Singular,obliviscabam,obliviscebam,obliviscebam,oblivisciebam,I was forgeting
Active Indicative,Imperfect,1st Person,Plural,obliviscabamus,obliviscebamus,obliviscebamus,oblivisciebamus,We were forgeting
Active Indicative,Imperfect,2nd Person,Singular,obliviscabas,obliviscebas,obliviscebas,oblivisciebas,You were forgeting
Active Indicative,Imperfect,2nd Person,Plural,obliviscabatis,obliviscebatis,obliviscebatis,oblivisciebatis,You (pl.) were forgeting
Active Indicative,Imperfect,3rd Person,Singular,obliviscabat,obliviscebat,obliviscebat,oblivisciebat,He/she/it was forgeting
Active Indicative,Imperfect,3rd Person,Plural,obliviscabant,obliviscebant,obliviscebant,oblivisciebant,They were forgeting
Active Indicative,Future,1st Person,Singular,obliviscabo,obliviscebo,obliviscam,oblivisciam,I will forget
Active Indicative,Future,1st Person,Plural,obliviscabimus,obliviscebimus,obliviscemus,oblivisciemus,We will forget
Active Indicative,Future,2nd Person,Singular,obliviscabis,obliviscebis,oblivisces,obliviscies,You will forget
Active Indicative,Future,2nd Person,Plural,obliviscabitis,obliviscebitis,obliviscetis,obliviscietis,You (pl.) will forget
Active Indicative,Future,3rd Person,Singular,obliviscabit,obliviscebit,obliviscet,oblivisciet,He/she/it will forget
Active Indicative,Future,3rd Person,Plural,obliviscabunt,obliviscebunt,obliviscent,obliviscient,They will forget
Active Indicative,Perfect,1st Person,Singular,obliviscavi,obliviscui,oblivisci,oblivisci,I have forgeted
Active Indicative,Perfect,1st Person,Plural,obliviscavimus,obliviscuimus,obliviscimus,obliviscimus,We have forgeted
Active Indicative,Perfect,2nd Person,Singular,obliviscavisti,obliviscuisti,obliviscisti,obliviscisti,You have forgeted
Active Indicative,Perfect,2nd Person,Plural,obliviscavistis,obliviscuistis,obliviscistis,obliviscistis,You (pl.) have forgeted
Active Indicative,Perfect,3rd Person,Singular,obliviscavit,obliviscuit,obliviscit,obliviscit,He/she/it has forgeted
Active Indicative,Perfect,3rd Person,Plural,obliviscaverunt,obliviscuerunt,obliviscerunt,obliviscerunt,They have forgeted
Active Indicative,Pluperfect,1st Person,Singular,obliviscaveram,obliviscueram,oblivisceram,oblivisceram,I had forgeted
