Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,obsido,obsideo,obsido,obsidio,I besiege
Active Indicative,Present,1st Person,Plural,obsidamus,obsidemus,obsidimus,obsidimus,We besiege
Active Indicative,Present,2nd Person,Singular,obsidas,obsides,obsidis,obsidis,You besiege
Active Indicative,Present,2nd Person,Plural,obsidatis,obsidetis,obsiditis,obsiditis,You (pl.) besiege
Active Indicative,Present,3rd Person,Singular,obsidat,obsidet,obsidit,obsidit,He/she/it besiege
Active Indicative,Present,3rd Person,Plural,obsidant,obsident,obsidiunt,obsidiunt,They besiege
Active Indicative,Imperfect,1st Person,Singular,obsidabam,obsidebam,obsidebam,obsidiebam,I was besiegeing
Active Indicative,Imperfect,1st Person,Plural,obsidabamus,obsidebamus,obsidebamus,obsidiebamus,We were besiegeing
Active Indicative,Imperfect,2nd Person,Singular,obsidabas,obsidebas,obsidebas,obsidiebas,You were besiegeing
Active Indicative,Imperfect,2nd Person,Plural,obsidabatis,obsidebatis,obsidebatis,obsidiebatis,You (pl.) were besiegeing
Active Indicative,Imperfect,3rd Person,Singular,obsidabat,obsidebat,obsidebat,obsidiebat,He/she/it was besiegeing
Active Indicative,Imperfect,3rd Person,Plural,obsidabant,obsidebant,obsidebant,obsidiebant,They were besiegeing
Active Indicative,Future,1st Person,Singular,obsidabo,obsidebo,obsidam,obsidiam,I will besiege
Active Indicative,Future,1st Person,Plural,obsidabimus,obsidebimus,obsidemus,obsidiemus,We will besiege
Active Indicative,Future,2nd Person,Singular,obsidabis,obsidebis,obsides,obsidies,You will besiege
Active Indicative,Future,2nd Person,Plural,obsidabitis,obsidebitis,obsidetis,obsidietis,You (pl.) will besiege
Active Indicative,Future,3rd Person,Singular,obsidabit,obsidebit,obsidet,obsidiet,He/she/it will besiege
Active Indicative,Future,3rd Person,Plural,obsidabunt,obsidebunt,obsident,obsidient,They will besiege
Active Indicative,Perfect,1st Person,Singular,obsidavi,obsidui,obsidi,obsidi,I have besiegeed
Active Indicative,Perfect,1st Person,Plural,obsidavimus,obsiduimus,obsidimus,obsidimus,We have besiegeed
Active Indicative,Perfect,2nd Person,Singular,obsidavisti,obsiduisti,obsidisti,obsidisti,You have besiegeed
Active Indicative,Perfect,2nd Person,Plural,obsidavistis,obsiduistis,obsidistis,obsidistis,You (pl.) have besiegeed
Active Indicative,Perfect,3rd Person,Singular,obsidavit,obsiduit,obsidit,obsidit,He/she/it has besiegeed
Active Indicative,Perfect,3rd Person,Plural,obsidaverunt,obsiduerunt,obsiderunt,obsiderunt,They have besiegeed
Active Indicative,Pluperfect,1st Person,Singular,obsidaveram,obsidueram,obsideram,obsideram,I had besiegeed
Active Indicative,Pluperfect,1st Person,Plural,obsidaveramus,obsidueramus,obsideramus,obsideramus,We had besiegeed
Active Indicative,Pluperfect,2nd Person,Singular,obsidaveras,obsidueras,obsideras,obsideras,You had besiegeed
Active Indicative,Pluperfect,2nd Person,Plural,obsidaveratis,obsidueratis,obsideratis,obsideratis,You (pl.) had besiegeed
Active Indicative,Pluperfect,3rd Person,Singular,obsidaverat,obsiduerat,obsiderat,obsiderat,He/she/it had besiegeed
Active Indicative,Pluperfect,3rd Person,Plural,obsidaverant,obsiduerant,obsiderant,obsiderant,They had besiegeed
Active Indicative,Future Perfect,1st Person,Singular,obsidavero,obsidueero,obsidero,obsidiero,I will have besiegeed
Active Indicative,Future Perfect,1st Person,Plural,obsidaverimus,obsiduerimus,obsiderimus,obsidierimus,We will have besiegeed
Active Indicative,Future Perfect,2nd Person,Singular,obsidaveris,obsidueris,obsideris,obsidieris,You will have besiegeed
Active Indicative,Future Perfect,2nd Person,Plural,obsidaveritis,obsidueritis,obsideritis,obsidieritis,You (pl.) will have besiegeed
Active Indicative,Future Perfect,3rd Person,Singular,obsidaverit,obsiduerit,obsiderit,obsidierit,He/she/it will have besiegeed
Active Indicative,Future Perfect,3rd Person,Plural,obsidaverint,obsiduerint,obsiderint,obsidierint,They will have besiegeed
Passive Indicative,Present,1st Person,Singular,obsidor,obsideor,obsidor,obsidior,I am being besiegeed
Passive Indicative,Present,1st Person,Plural,obsidamur,obsidemur,obsidimur,obsidimur,We are being besiegeed
Passive Indicative,Present,2nd Person,Singular,obsidaris,obsideris,obsidiris,obsidiris,You are being besiegeed
Passive Indicative,Present,2nd Person,Plural,obsidamini,obsidemini,obsidimini,obsidimini,You (pl.) are being besiegeed
Passive Indicative,Present,3rd Person,Singular,obsidatur,obsidetur,obsiditur,obsiditur,He/she/it is being besiegeed
Passive Indicative,Present,3rd Person,Plural,obsidantur,obsidentur,obsidiuntur,obsidiuntur,They are being besiegeed
Passive Indicative,Imperfect,1st Person,Singular,obsidabar,obsidebar,obsidebar,obsidiebar,I was besiegeed
Passive Indicative,Imperfect,1st Person,Plural,obsidabamur,obsidebamur,obsidebamur,obsidiebamur,We were besiegeed
Passive Indicative,Imperfect,2nd Person,Singular,obsidabaris,obsidebaris,obsidebaris,obsidiebaris,You were besiegeed
Passive Indicative,Imperfect,2nd Person,Plural,obsidabamini,obsidebamini,obsidebamini,obsidiebamini,You (pl.) were besiegeed
Passive Indicative,Imperfect,3rd Person,Singular,obsidabatur,obsidebatur,obsidebatur,obsidiebatur,He/she/it was besiegeed
Passive Indicative,Imperfect,3rd Person,Plural,obsidabantur,obsidebantur,obsidebantur,obsidiebantur,They were besiegeed
Passive Indicative,Future,1st Person,Singular,obsidabor,obsidebor,obsidar,obsidiar,I will be besiegeed
Passive Indicative,Future,1st Person,Plural,obsidabimur,obsidebimur,obsidemur,obsidiemur,We will be besiegeed
Passive Indicative,Future,2nd Person,Singular,obsidaberis,obsideberis,obsideris,obsidieris,You will be besiegeed
