Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,odisso,odisseo,odisso,odissio,I abhor
Active Indicative,Present,1st Person,Plural,odissamus,odissemus,odissimus,odissimus,We abhor
Active Indicative,Present,2nd Person,Singular,odissas,odisses,odissis,odissis,You abhor
Active Indicative,Present,2nd Person,Plural,odissatis,odissetis,odissitis,odissitis,You (pl.) abhor
Active Indicative,Present,3rd Person,Singular,odissat,odisset,odissit,odissit,He/she/it abhor
Active Indicative,Present,3rd Person,Plural,odissant,odissent,odissiunt,odissiunt,They abhor
Active Indicative,Imperfect,1st Person,Singular,odissabam,odissebam,odissebam,odissiebam,I was abhoring
Active Indicative,Imperfect,1st Person,Plural,odissabamus,odissebamus,odissebamus,odissiebamus,We were abhoring
Active Indicative,Imperfect,2nd Person,Singular,odissabas,odissebas,odissebas,odissiebas,You were abhoring
Active Indicative,Imperfect,2nd Person,Plural,odissabatis,odissebatis,odissebatis,odissiebatis,You (pl.) were abhoring
Active Indicative,Imperfect,3rd Person,Singular,odissabat,odissebat,odissebat,odissiebat,He/she/it was abhoring
Active Indicative,Imperfect,3rd Person,Plural,odissabant,odissebant,odissebant,odissiebant,They were abhoring
Active Indicative,Future,1st Person,Singular,odissabo,odissebo,odissam,odissiam,I will abhor
Active Indicative,Future,1st Person,Plural,odissabimus,odissebimus,odissemus,odissiemus,We will abhor
Active Indicative,Future,2nd Person,Singular,odissabis,odissebis,odisses,odissies,You will abhor
Active Indicative,Future,2nd Person,Plural,odissabitis,odissebitis,odissetis,odissietis,You (pl.) will abhor
Active Indicative,Future,3rd Person,Singular,odissabit,odissebit,odisset,odissiet,He/she/it will abhor
Active Indicative,Future,3rd Person,Plural,odissabunt,odissebunt,odissent,odissient,They will abhor
Active Indicative,Perfect,1st Person,Singular,odissavi,odissui,odissi,odissi,I have abhored
Active Indicative,Perfect,1st Person,Plural,odissavimus,odissuimus,odissimus,odissimus,We have abhored
Active Indicative,Perfect,2nd Person,Singular,odissavisti,odissuisti,odissisti,odissisti,You have abhored
Active Indicative,Perfect,2nd Person,Plural,odissavistis,odissuistis,odissistis,odissistis,You (pl.) have abhored
Active Indicative,Perfect,3rd Person,Singular,odissavit,odissuit,odissit,odissit,He/she/it has abhored
Active Indicative,Perfect,3rd Person,Plural,odissaverunt,odissuerunt,odisserunt,odisserunt,They have abhored
Active Indicative,Pluperfect,1st Person,Singular,odissaveram,odissueram,odisseram,odisseram,I had abhored
Active Indicative,Pluperfect,1st Person,Plural,odissaveramus,odissueramus,odisseramus,odisseramus,We had abhored
Active Indicative,Pluperfect,2nd Person,Singular,odissaveras,odissueras,odisseras,odisseras,You had abhored
Active Indicative,Pluperfect,2nd Person,Plural,odissaveratis,odissueratis,odisseratis,odisseratis,You (pl.) had abhored
Active Indicative,Pluperfect,3rd Person,Singular,odissaverat,odissuerat,odisserat,odisserat,He/she/it had abhored
Active Indicative,Pluperfect,3rd Person,Plural,odissaverant,odissuerant,odisserant,odisserant,They had abhored
Active Indicative,Future Perfect,1st Person,Singular,odissavero,odissueero,odissero,odissiero,I will have abhored
Active Indicative,Future Perfect,1st Person,Plural,odissaverimus,odissuerimus,odisserimus,odissierimus,We will have abhored
Active Indicative,Future Perfect,2nd Person,Singular,odissaveris,odissueris,odisseris,odissieris,You will have abhored
Active Indicative,Future Perfect,2nd Person,Plural,odissaveritis,odissueritis,odisseritis,odissieritis,You (pl.) will have abhored
Active Indicative,Future Perfect,3rd Person,Singular,odissaverit,odissuerit,odisserit,odissierit,He/she/it will have abhored
Active Indicative,Future Perfect,3rd Person,Plural,odissaverint,odissuerint,odisserint,odissierint,They will have abhored
Passive Indicative,Present,1st Person,Singular,odissor,odisseor,odissor,odissior,I am being abhored
Passive Indicative,Present,1st Person,Plural,odissamur,odissemur,odissimur,odissimur,We are being abhored
Passive Indicative,Present,2nd Person,Singular,odissaris,odisseris,odissiris,odissiris,You are being abhored
Passive Indicative,Present,2nd Person,Plural,odissamini,odissemini,odissimini,odissimini,You (pl.) are being abhored
Passive Indicative,Present,3rd Person,Singular,odissatur,odissetur,odissitur,odissitur,He/she/it is being abhored
Passive Indicative,Present,3rd Person,Plural,odissantur,odissentur,odissiuntur,odissiuntur,They are being abhored
