Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,offerro,offerreo,offerro,offerrio,I offer
Active Indicative,Present,1st Person,Plural,offerramus,offerremus,offerrimus,offerrimus,We offer
Active Indicative,Present,2nd Person,Singular,offerras,offerres,offerris,offerris,You offer
Active Indicative,Present,2nd Person,Plural,offerratis,offerretis,offerritis,offerritis,You (pl.) offer
Active Indicative,Present,3rd Person,Singular,offerrat,offerret,offerrit,offerrit,He/she/it offer
Active Indicative,Present,3rd Person,Plural,offerrant,offerrent,offerriunt,offerriunt,They offer
Active Indicative,Imperfect,1st Person,Singular,offerrabam,offerrebam,offerrebam,offerriebam,I was offering
Active Indicative,Imperfect,1st Person,Plural,offerrabamus,offerrebamus,offerrebamus,offerriebamus,We were offering
Active Indicative,Imperfect,2nd Person,Singular,offerrabas,offerrebas,offerrebas,offerriebas,You were offering
Active Indicative,Imperfect,2nd Person,Plural,offerrabatis,offerrebatis,offerrebatis,offerriebatis,You (pl.) were offering
Active Indicative,Imperfect,3rd Person,Singular,offerrabat,offerrebat,offerrebat,offerriebat,He/she/it was offering
Active Indicative,Imperfect,3rd Person,Plural,offerrabant,offerrebant,offerrebant,offerriebant,They were offering
Active Indicative,Future,1st Person,Singular,offerrabo,offerrebo,offerram,offerriam,I will offer
Active Indicative,Future,1st Person,Plural,offerrabimus,offerrebimus,offerremus,offerriemus,We will offer
Active Indicative,Future,2nd Person,Singular,offerrabis,offerrebis,offerres,offerries,You will offer
Active Indicative,Future,2nd Person,Plural,offerrabitis,offerrebitis,offerretis,offerrietis,You (pl.) will offer
Active Indicative,Future,3rd Person,Singular,offerrabit,offerrebit,offerret,offerriet,He/she/it will offer
Active Indicative,Future,3rd Person,Plural,offerrabunt,offerrebunt,offerrent,offerrient,They will offer
Active Indicative,Perfect,1st Person,Singular,offerravi,offerrui,offerri,offerri,I have offered
Active Indicative,Perfect,1st Person,Plural,offerravimus,offerruimus,offerrimus,offerrimus,We have offered
Active Indicative,Perfect,2nd Person,Singular,offerravisti,offerruisti,offerristi,offerristi,You have offered
Active Indicative,Perfect,2nd Person,Plural,offerravistis,offerruistis,offerristis,offerristis,You (pl.) have offered
Active Indicative,Perfect,3rd Person,Singular,offerravit,offerruit,offerrit,offerrit,He/she/it has offered
Active Indicative,Perfect,3rd Person,Plural,offerraverunt,offerruerunt,offerrerunt,offerrerunt,They have offered
Active Indicative,Pluperfect,1st Person,Singular,offerraveram,offerrueram,offerreram,offerreram,I had offered
Active Indicative,Pluperfect,1st Person,Plural,offerraveramus,offerrueramus,offerreramus,offerreramus,We had offered
Active Indicative,Pluperfect,2nd Person,Singular,offerraveras,offerrueras,offerreras,offerreras,You had offered
Active Indicative,Pluperfect,2nd Person,Plural,offerraveratis,offerrueratis,offerreratis,offerreratis,You (pl.) had offered
Active Indicative,Pluperfect,3rd Person,Singular,offerraverat,offerruerat,offerrerat,offerrerat,He/she/it had offered
Active Indicative,Pluperfect,3rd Person,Plural,offerraverant,offerruerant,offerrerant,offerrerant,They had offered
Active Indicative,Future Perfect,1st Person,Singular,offerravero,offerrueero,offerrero,offerriero,I will have offered
