Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,onero,onereo,onero,onerio,I load
Active Indicative,Present,1st Person,Plural,oneramus,oneremus,onerimus,onerimus,We load
Active Indicative,Present,2nd Person,Singular,oneras,oneres,oneris,oneris,You load
Active Indicative,Present,2nd Person,Plural,oneratis,oneretis,oneritis,oneritis,You (pl.) load
Active Indicative,Present,3rd Person,Singular,onerat,oneret,onerit,onerit,He/she/it load
Active Indicative,Present,3rd Person,Plural,onerant,onerent,oneriunt,oneriunt,They load
Active Indicative,Imperfect,1st Person,Singular,onerabam,onerebam,onerebam,oneriebam,I was loading
Active Indicative,Imperfect,1st Person,Plural,onerabamus,onerebamus,onerebamus,oneriebamus,We were loading
Active Indicative,Imperfect,2nd Person,Singular,onerabas,onerebas,onerebas,oneriebas,You were loading
Active Indicative,Imperfect,2nd Person,Plural,onerabatis,onerebatis,onerebatis,oneriebatis,You (pl.) were loading
Active Indicative,Imperfect,3rd Person,Singular,onerabat,onerebat,onerebat,oneriebat,He/she/it was loading
Active Indicative,Imperfect,3rd Person,Plural,onerabant,onerebant,onerebant,oneriebant,They were loading
Active Indicative,Future,1st Person,Singular,onerabo,onerebo,oneram,oneriam,I will load
Active Indicative,Future,1st Person,Plural,onerabimus,onerebimus,oneremus,oneriemus,We will load
Active Indicative,Future,2nd Person,Singular,onerabis,onerebis,oneres,oneries,You will load
Active Indicative,Future,2nd Person,Plural,onerabitis,onerebitis,oneretis,onerietis,You (pl.) will load
Active Indicative,Future,3rd Person,Singular,onerabit,onerebit,oneret,oneriet,He/she/it will load
Active Indicative,Future,3rd Person,Plural,onerabunt,onerebunt,onerent,onerient,They will load
Active Indicative,Perfect,1st Person,Singular,oneravi,onerui,oneri,oneri,I have loaded
Active Indicative,Perfect,1st Person,Plural,oneravimus,oneruimus,onerimus,onerimus,We have loaded
Active Indicative,Perfect,2nd Person,Singular,oneravisti,oneruisti,oneristi,oneristi,You have loaded
Active Indicative,Perfect,2nd Person,Plural,oneravistis,oneruistis,oneristis,oneristis,You (pl.) have loaded
