Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,paenito,paeniteo,paenito,paenitio,I regret
Active Indicative,Present,1st Person,Plural,paenitamus,paenitemus,paenitimus,paenitimus,We regret
Active Indicative,Present,2nd Person,Singular,paenitas,paenites,paenitis,paenitis,You regret
Active Indicative,Present,2nd Person,Plural,paenitatis,paenitetis,paenititis,paenititis,You (pl.) regret
Active Indicative,Present,3rd Person,Singular,paenitat,paenitet,paenitit,paenitit,He/she/it regret
Active Indicative,Present,3rd Person,Plural,paenitant,paenitent,paenitiunt,paenitiunt,They regret
Active Indicative,Imperfect,1st Person,Singular,paenitabam,paenitebam,paenitebam,paenitiebam,I was regreting
Active Indicative,Imperfect,1st Person,Plural,paenitabamus,paenitebamus,paenitebamus,paenitiebamus,We were regreting
Active Indicative,Imperfect,2nd Person,Singular,paenitabas,paenitebas,paenitebas,paenitiebas,You were regreting
Active Indicative,Imperfect,2nd Person,Plural,paenitabatis,paenitebatis,paenitebatis,paenitiebatis,You (pl.) were regreting
Active Indicative,Imperfect,3rd Person,Singular,paenitabat,paenitebat,paenitebat,paenitiebat,He/she/it was regreting
Active Indicative,Imperfect,3rd Person,Plural,paenitabant,paenitebant,paenitebant,paenitiebant,They were regreting
Active Indicative,Future,1st Person,Singular,paenitabo,paenitebo,paenitam,paenitiam,I will regret
Active Indicative,Future,1st Person,Plural,paenitabimus,paenitebimus,paenitemus,paenitiemus,We will regret
Active Indicative,Future,2nd Person,Singular,paenitabis,paenitebis,paenites,paenities,You will regret
Active Indicative,Future,2nd Person,Plural,paenitabitis,paenitebitis,paenitetis,paenitietis,You (pl.) will regret
Active Indicative,Future,3rd Person,Singular,paenitabit,paenitebit,paenitet,paenitiet,He/she/it will regret
Active Indicative,Future,3rd Person,Plural,paenitabunt,paenitebunt,paenitent,paenitient,They will regret
Active Indicative,Perfect,1st Person,Singular,paenitavi,paenitui,paeniti,paeniti,I have regreted
Active Indicative,Perfect,1st Person,Plural,paenitavimus,paenituimus,paenitimus,paenitimus,We have regreted
Active Indicative,Perfect,2nd Person,Singular,paenitavisti,paenituisti,paenitisti,paenitisti,You have regreted
Active Indicative,Perfect,2nd Person,Plural,paenitavistis,paenituistis,paenitistis,paenitistis,You (pl.) have regreted
Active Indicative,Perfect,3rd Person,Singular,paenitavit,paenituit,paenitit,paenitit,He/she/it has regreted
Active Indicative,Perfect,3rd Person,Plural,paenitaverunt,paenituerunt,paeniterunt,paeniterunt,They have regreted
Active Indicative,Pluperfect,1st Person,Singular,paenitaveram,paenitueram,paeniteram,paeniteram,I had regreted
Active Indicative,Pluperfect,1st Person,Plural,paenitaveramus,paenitueramus,paeniteramus,paeniteramus,We had regreted
Active Indicative,Pluperfect,2nd Person,Singular,paenitaveras,paenitueras,paeniteras,paeniteras,You had regreted
Active Indicative,Pluperfect,2nd Person,Plural,paenitaveratis,paenitueratis,paeniteratis,paeniteratis,You (pl.) had regreted
Active Indicative,Pluperfect,3rd Person,Singular,paenitaverat,paenituerat,paeniterat,paeniterat,He/she/it had regreted
Active Indicative,Pluperfect,3rd Person,Plural,paenitaverant,paenituerant,paeniterant,paeniterant,They had regreted
Active Indicative,Future Perfect,1st Person,Singular,paenitavero,paenitueero,paenitero,paenitiero,I will have regreted
Active Indicative,Future Perfect,1st Person,Plural,paenitaverimus,paenituerimus,paeniterimus,paenitierimus,We will have regreted
Active Indicative,Future Perfect,2nd Person,Singular,paenitaveris,paenitueris,paeniteris,paenitieris,You will have regreted
Active Indicative,Future Perfect,2nd Person,Plural,paenitaveritis,paenitueritis,paeniteritis,paenitieritis,You (pl.) will have regreted
Active Indicative,Future Perfect,3rd Person,Singular,paenitaverit,paenituerit,paeniterit,paenitierit,He/she/it will have regreted
Active Indicative,Future Perfect,3rd Person,Plural,paenitaverint,paenituerint,paeniterint,paenitierint,They will have regreted
Passive Indicative,Present,1st Person,Singular,paenitor,paeniteor,paenitor,paenitior,I am being regreted
Passive Indicative,Present,1st Person,Plural,paenitamur,paenitemur,paenitimur,paenitimur,We are being regreted
Passive Indicative,Present,2nd Person,Singular,paenitaris,paeniteris,paenitiris,paenitiris,You are being regreted
Passive Indicative,Present,2nd Person,Plural,paenitamini,paenitemini,paenitimini,paenitimini,You (pl.) are being regreted
Passive Indicative,Present,3rd Person,Singular,paenitatur,paenitetur,paenititur,paenititur,He/she/it is being regreted
Passive Indicative,Present,3rd Person,Plural,paenitantur,paenitentur,paenitiuntur,paenitiuntur,They are being regreted
Passive Indicative,Imperfect,1st Person,Singular,paenitabar,paenitebar,paenitebar,paenitiebar,I was regreted
Passive Indicative,Imperfect,1st Person,Plural,paenitabamur,paenitebamur,paenitebamur,paenitiebamur,We were regreted
Passive Indicative,Imperfect,2nd Person,Singular,paenitabaris,paenitebaris,paenitebaris,paenitiebaris,You were regreted
Passive Indicative,Imperfect,2nd Person,Plural,paenitabamini,paenitebamini,paenitebamini,paenitiebamini,You (pl.) were regreted
Passive Indicative,Imperfect,3rd Person,Singular,paenitabatur,paenitebatur,paenitebatur,paenitiebatur,He/she/it was regreted
Passive Indicative,Imperfect,3rd Person,Plural,paenitabantur,paenitebantur,paenitebantur,paenitiebantur,They were regreted
Passive Indicative,Future,1st Person,Singular,paenitabor,paenitebor,paenitar,paenitiar,I will be regreted
Passive Indicative,Future,1st Person,Plural,paenitabimur,paenitebimur,paenitemur,paenitiemur,We will be regreted
Passive Indicative,Future,2nd Person,Singular,paenitaberis,paeniteberis,paeniteris,paenitieris,You will be regreted
Passive Indicative,Future,2nd Person,Plural,paenitabimini,paenitebimini,paenitemini,paenitiemini,You (pl.) will be regreted
Passive Indicative,Future,3rd Person,Singular,paenitabitur,paenitebitur,paenitetur,paenitietur,He/she/it will be regreted
