Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,paresco,paresceo,paresco,parescio,I appear
Active Indicative,Present,1st Person,Plural,parescamus,parescemus,parescimus,parescimus,We appear
Active Indicative,Present,2nd Person,Singular,parescas,paresces,parescis,parescis,You appear
Active Indicative,Present,2nd Person,Plural,parescatis,parescetis,parescitis,parescitis,You (pl.) appear
Active Indicative,Present,3rd Person,Singular,parescat,parescet,parescit,parescit,He/she/it appear
Active Indicative,Present,3rd Person,Plural,parescant,parescent,paresciunt,paresciunt,They appear
Active Indicative,Imperfect,1st Person,Singular,parescabam,parescebam,parescebam,paresciebam,I was appearing
Active Indicative,Imperfect,1st Person,Plural,parescabamus,parescebamus,parescebamus,paresciebamus,We were appearing
Active Indicative,Imperfect,2nd Person,Singular,parescabas,parescebas,parescebas,paresciebas,You were appearing
Active Indicative,Imperfect,2nd Person,Plural,parescabatis,parescebatis,parescebatis,paresciebatis,You (pl.) were appearing
Active Indicative,Imperfect,3rd Person,Singular,parescabat,parescebat,parescebat,paresciebat,He/she/it was appearing
Active Indicative,Imperfect,3rd Person,Plural,parescabant,parescebant,parescebant,paresciebant,They were appearing
Active Indicative,Future,1st Person,Singular,parescabo,parescebo,parescam,paresciam,I will appear
Active Indicative,Future,1st Person,Plural,parescabimus,parescebimus,parescemus,paresciemus,We will appear
Active Indicative,Future,2nd Person,Singular,parescabis,parescebis,paresces,parescies,You will appear
Active Indicative,Future,2nd Person,Plural,parescabitis,parescebitis,parescetis,parescietis,You (pl.) will appear
Active Indicative,Future,3rd Person,Singular,parescabit,parescebit,parescet,paresciet,He/she/it will appear
Active Indicative,Future,3rd Person,Plural,parescabunt,parescebunt,parescent,parescient,They will appear
Active Indicative,Perfect,1st Person,Singular,parescavi,parescui,paresci,paresci,I have appeared
Active Indicative,Perfect,1st Person,Plural,parescavimus,parescuimus,parescimus,parescimus,We have appeared
Active Indicative,Perfect,2nd Person,Singular,parescavisti,parescuisti,parescisti,parescisti,You have appeared
Active Indicative,Perfect,2nd Person,Plural,parescavistis,parescuistis,parescistis,parescistis,You (pl.) have appeared
Active Indicative,Perfect,3rd Person,Singular,parescavit,parescuit,parescit,parescit,He/she/it has appeared
Active Indicative,Perfect,3rd Person,Plural,parescaverunt,parescuerunt,parescerunt,parescerunt,They have appeared
Active Indicative,Pluperfect,1st Person,Singular,parescaveram,parescueram,paresceram,paresceram,I had appeared
Active Indicative,Pluperfect,1st Person,Plural,parescaveramus,parescueramus,paresceramus,paresceramus,We had appeared
Active Indicative,Pluperfect,2nd Person,Singular,parescaveras,parescueras,paresceras,paresceras,You had appeared
Active Indicative,Pluperfect,2nd Person,Plural,parescaveratis,parescueratis,paresceratis,paresceratis,You (pl.) had appeared
Active Indicative,Pluperfect,3rd Person,Singular,parescaverat,parescuerat,parescerat,parescerat,He/she/it had appeared
Active Indicative,Pluperfect,3rd Person,Plural,parescaverant,parescuerant,parescerant,parescerant,They had appeared
Active Indicative,Future Perfect,1st Person,Singular,parescavero,parescueero,parescero,paresciero,I will have appeared
Active Indicative,Future Perfect,1st Person,Plural,parescaverimus,parescuerimus,parescerimus,parescierimus,We will have appeared
Active Indicative,Future Perfect,2nd Person,Singular,parescaveris,parescueris,paresceris,parescieris,You will have appeared
Active Indicative,Future Perfect,2nd Person,Plural,parescaveritis,parescueritis,paresceritis,parescieritis,You (pl.) will have appeared
Active Indicative,Future Perfect,3rd Person,Singular,parescaverit,parescuerit,parescerit,parescierit,He/she/it will have appeared
Active Indicative,Future Perfect,3rd Person,Plural,parescaverint,parescuerint,parescerint,parescierint,They will have appeared
Passive Indicative,Present,1st Person,Singular,parescor,paresceor,parescor,parescior,I am being appeared
Passive Indicative,Present,1st Person,Plural,parescamur,parescemur,parescimur,parescimur,We are being appeared
Passive Indicative,Present,2nd Person,Singular,parescaris,paresceris,paresciris,paresciris,You are being appeared
Passive Indicative,Present,2nd Person,Plural,parescamini,parescemini,parescimini,parescimini,You (pl.) are being appeared
Passive Indicative,Present,3rd Person,Singular,parescatur,parescetur,parescitur,parescitur,He/she/it is being appeared
Passive Indicative,Present,3rd Person,Plural,parescantur,parescentur,paresciuntur,paresciuntur,They are being appeared
Passive Indicative,Imperfect,1st Person,Singular,parescabar,parescebar,parescebar,paresciebar,I was appeared
Passive Indicative,Imperfect,1st Person,Plural,parescabamur,parescebamur,parescebamur,paresciebamur,We were appeared
Passive Indicative,Imperfect,2nd Person,Singular,parescabaris,parescebaris,parescebaris,paresciebaris,You were appeared
Passive Indicative,Imperfect,2nd Person,Plural,parescabamini,parescebamini,parescebamini,paresciebamini,You (pl.) were appeared
Passive Indicative,Imperfect,3rd Person,Singular,parescabatur,parescebatur,parescebatur,paresciebatur,He/she/it was appeared
Passive Indicative,Imperfect,3rd Person,Plural,parescabantur,parescebantur,parescebantur,paresciebantur,They were appeared
Passive Indicative,Future,1st Person,Singular,parescabor,parescebor,parescar,paresciar,I will be appeared
Passive Indicative,Future,1st Person,Plural,parescabimur,parescebimur,parescemur,paresciemur,We will be appeared
Passive Indicative,Future,2nd Person,Singular,parescaberis,paresceberis,paresceris,parescieris,You will be appeared
Passive Indicative,Future,2nd Person,Plural,parescabimini,parescebimini,parescemini,paresciemini,You (pl.) will be appeared
Passive Indicative,Future,3rd Person,Singular,parescabitur,parescebitur,parescetur,parescietur,He/she/it will be appeared
