Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pasco,pasceo,pasco,pascio,I graze
Active Indicative,Present,1st Person,Plural,pascamus,pascemus,pascimus,pascimus,We graze
Active Indicative,Present,2nd Person,Singular,pascas,pasces,pascis,pascis,You graze
Active Indicative,Present,2nd Person,Plural,pascatis,pascetis,pascitis,pascitis,You (pl.) graze
Active Indicative,Present,3rd Person,Singular,pascat,pascet,pascit,pascit,He/she/it graze
Active Indicative,Present,3rd Person,Plural,pascant,pascent,pasciunt,pasciunt,They graze
Active Indicative,Imperfect,1st Person,Singular,pascabam,pascebam,pascebam,pasciebam,I was grazeing
Active Indicative,Imperfect,1st Person,Plural,pascabamus,pascebamus,pascebamus,pasciebamus,We were grazeing
Active Indicative,Imperfect,2nd Person,Singular,pascabas,pascebas,pascebas,pasciebas,You were grazeing
Active Indicative,Imperfect,2nd Person,Plural,pascabatis,pascebatis,pascebatis,pasciebatis,You (pl.) were grazeing
Active Indicative,Imperfect,3rd Person,Singular,pascabat,pascebat,pascebat,pasciebat,He/she/it was grazeing
Active Indicative,Imperfect,3rd Person,Plural,pascabant,pascebant,pascebant,pasciebant,They were grazeing
Active Indicative,Future,1st Person,Singular,pascabo,pascebo,pascam,pasciam,I will graze
Active Indicative,Future,1st Person,Plural,pascabimus,pascebimus,pascemus,pasciemus,We will graze
Active Indicative,Future,2nd Person,Singular,pascabis,pascebis,pasces,pascies,You will graze
Active Indicative,Future,2nd Person,Plural,pascabitis,pascebitis,pascetis,pascietis,You (pl.) will graze
Active Indicative,Future,3rd Person,Singular,pascabit,pascebit,pascet,pasciet,He/she/it will graze
Active Indicative,Future,3rd Person,Plural,pascabunt,pascebunt,pascent,pascient,They will graze
Active Indicative,Perfect,1st Person,Singular,pascavi,pascui,pasci,pasci,I have grazeed
Active Indicative,Perfect,1st Person,Plural,pascavimus,pascuimus,pascimus,pascimus,We have grazeed
Active Indicative,Perfect,2nd Person,Singular,pascavisti,pascuisti,pascisti,pascisti,You have grazeed
Active Indicative,Perfect,2nd Person,Plural,pascavistis,pascuistis,pascistis,pascistis,You (pl.) have grazeed
Active Indicative,Perfect,3rd Person,Singular,pascavit,pascuit,pascit,pascit,He/she/it has grazeed
Active Indicative,Perfect,3rd Person,Plural,pascaverunt,pascuerunt,pascerunt,pascerunt,They have grazeed
Active Indicative,Pluperfect,1st Person,Singular,pascaveram,pascueram,pasceram,pasceram,I had grazeed
Active Indicative,Pluperfect,1st Person,Plural,pascaveramus,pascueramus,pasceramus,pasceramus,We had grazeed
Active Indicative,Pluperfect,2nd Person,Singular,pascaveras,pascueras,pasceras,pasceras,You had grazeed
Active Indicative,Pluperfect,2nd Person,Plural,pascaveratis,pascueratis,pasceratis,pasceratis,You (pl.) had grazeed
Active Indicative,Pluperfect,3rd Person,Singular,pascaverat,pascuerat,pascerat,pascerat,He/she/it had grazeed
Active Indicative,Pluperfect,3rd Person,Plural,pascaverant,pascuerant,pascerant,pascerant,They had grazeed
Active Indicative,Future Perfect,1st Person,Singular,pascavero,pascueero,pascero,pasciero,I will have grazeed
Active Indicative,Future Perfect,1st Person,Plural,pascaverimus,pascuerimus,pascerimus,pascierimus,We will have grazeed
Active Indicative,Future Perfect,2nd Person,Singular,pascaveris,pascueris,pasceris,pascieris,You will have grazeed
Active Indicative,Future Perfect,2nd Person,Plural,pascaveritis,pascueritis,pasceritis,pascieritis,You (pl.) will have grazeed
Active Indicative,Future Perfect,3rd Person,Singular,pascaverit,pascuerit,pascerit,pascierit,He/she/it will have grazeed
Active Indicative,Future Perfect,3rd Person,Plural,pascaverint,pascuerint,pascerint,pascierint,They will have grazeed
Passive Indicative,Present,1st Person,Singular,pascor,pasceor,pascor,pascior,I am being grazeed
Passive Indicative,Present,1st Person,Plural,pascamur,pascemur,pascimur,pascimur,We are being grazeed
Passive Indicative,Present,2nd Person,Singular,pascaris,pasceris,pasciris,pasciris,You are being grazeed
Passive Indicative,Present,2nd Person,Plural,pascamini,pascemini,pascimini,pascimini,You (pl.) are being grazeed
Passive Indicative,Present,3rd Person,Singular,pascatur,pascetur,pascitur,pascitur,He/she/it is being grazeed
Passive Indicative,Present,3rd Person,Plural,pascantur,pascentur,pasciuntur,pasciuntur,They are being grazeed
Passive Indicative,Imperfect,1st Person,Singular,pascabar,pascebar,pascebar,pasciebar,I was grazeed
Passive Indicative,Imperfect,1st Person,Plural,pascabamur,pascebamur,pascebamur,pasciebamur,We were grazeed
Passive Indicative,Imperfect,2nd Person,Singular,pascabaris,pascebaris,pascebaris,pasciebaris,You were grazeed
Passive Indicative,Imperfect,2nd Person,Plural,pascabamini,pascebamini,pascebamini,pasciebamini,You (pl.) were grazeed
Passive Indicative,Imperfect,3rd Person,Singular,pascabatur,pascebatur,pascebatur,pasciebatur,He/she/it was grazeed
