Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,passo,passeo,passo,passio,I go through
Active Indicative,Present,1st Person,Plural,passamus,passemus,passimus,passimus,We go through
Active Indicative,Present,2nd Person,Singular,passas,passes,passis,passis,You go through
Active Indicative,Present,2nd Person,Plural,passatis,passetis,passitis,passitis,You (pl.) go through
Active Indicative,Present,3rd Person,Singular,passat,passet,passit,passit,He/she/it go through
Active Indicative,Present,3rd Person,Plural,passant,passent,passiunt,passiunt,They go through
Active Indicative,Imperfect,1st Person,Singular,passabam,passebam,passebam,passiebam,I was go throughing
Active Indicative,Imperfect,1st Person,Plural,passabamus,passebamus,passebamus,passiebamus,We were go throughing
Active Indicative,Imperfect,2nd Person,Singular,passabas,passebas,passebas,passiebas,You were go throughing
Active Indicative,Imperfect,2nd Person,Plural,passabatis,passebatis,passebatis,passiebatis,You (pl.) were go throughing
Active Indicative,Imperfect,3rd Person,Singular,passabat,passebat,passebat,passiebat,He/she/it was go throughing
Active Indicative,Imperfect,3rd Person,Plural,passabant,passebant,passebant,passiebant,They were go throughing
Active Indicative,Future,1st Person,Singular,passabo,passebo,passam,passiam,I will go through
Active Indicative,Future,1st Person,Plural,passabimus,passebimus,passemus,passiemus,We will go through
Active Indicative,Future,2nd Person,Singular,passabis,passebis,passes,passies,You will go through
Active Indicative,Future,2nd Person,Plural,passabitis,passebitis,passetis,passietis,You (pl.) will go through
Active Indicative,Future,3rd Person,Singular,passabit,passebit,passet,passiet,He/she/it will go through
Active Indicative,Future,3rd Person,Plural,passabunt,passebunt,passent,passient,They will go through
Active Indicative,Perfect,1st Person,Singular,passavi,passui,passi,passi,I have go throughed
Active Indicative,Perfect,1st Person,Plural,passavimus,passuimus,passimus,passimus,We have go throughed
Active Indicative,Perfect,2nd Person,Singular,passavisti,passuisti,passisti,passisti,You have go throughed
Active Indicative,Perfect,2nd Person,Plural,passavistis,passuistis,passistis,passistis,You (pl.) have go throughed
Active Indicative,Perfect,3rd Person,Singular,passavit,passuit,passit,passit,He/she/it has go throughed
Active Indicative,Perfect,3rd Person,Plural,passaverunt,passuerunt,passerunt,passerunt,They have go throughed
Active Indicative,Pluperfect,1st Person,Singular,passaveram,passueram,passeram,passeram,I had go throughed
Active Indicative,Pluperfect,1st Person,Plural,passaveramus,passueramus,passeramus,passeramus,We had go throughed
Active Indicative,Pluperfect,2nd Person,Singular,passaveras,passueras,passeras,passeras,You had go throughed
Active Indicative,Pluperfect,2nd Person,Plural,passaveratis,passueratis,passeratis,passeratis,You (pl.) had go throughed
Active Indicative,Pluperfect,3rd Person,Singular,passaverat,passuerat,passerat,passerat,He/she/it had go throughed
Active Indicative,Pluperfect,3rd Person,Plural,passaverant,passuerant,passerant,passerant,They had go throughed
Active Indicative,Future Perfect,1st Person,Singular,passavero,passueero,passero,passiero,I will have go throughed
Active Indicative,Future Perfect,1st Person,Plural,passaverimus,passuerimus,passerimus,passierimus,We will have go throughed
Active Indicative,Future Perfect,2nd Person,Singular,passaveris,passueris,passeris,passieris,You will have go throughed
Active Indicative,Future Perfect,2nd Person,Plural,passaveritis,passueritis,passeritis,passieritis,You (pl.) will have go throughed
Active Indicative,Future Perfect,3rd Person,Singular,passaverit,passuerit,passerit,passierit,He/she/it will have go throughed
Active Indicative,Future Perfect,3rd Person,Plural,passaverint,passuerint,passerint,passierint,They will have go throughed
Passive Indicative,Present,1st Person,Singular,passor,passeor,passor,passior,I am being go throughed
Passive Indicative,Present,1st Person,Plural,passamur,passemur,passimur,passimur,We are being go throughed
Passive Indicative,Present,2nd Person,Singular,passaris,passeris,passiris,passiris,You are being go throughed
Passive Indicative,Present,2nd Person,Plural,passamini,passemini,passimini,passimini,You (pl.) are being go throughed
Passive Indicative,Present,3rd Person,Singular,passatur,passetur,passitur,passitur,He/she/it is being go throughed
