Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pendo,pendeo,pendo,pendio,I hang
Active Indicative,Present,1st Person,Plural,pendamus,pendemus,pendimus,pendimus,We hang
Active Indicative,Present,2nd Person,Singular,pendas,pendes,pendis,pendis,You hang
Active Indicative,Present,2nd Person,Plural,pendatis,pendetis,penditis,penditis,You (pl.) hang
Active Indicative,Present,3rd Person,Singular,pendat,pendet,pendit,pendit,He/she/it hang
Active Indicative,Present,3rd Person,Plural,pendant,pendent,pendiunt,pendiunt,They hang
Active Indicative,Imperfect,1st Person,Singular,pendabam,pendebam,pendebam,pendiebam,I was hanging
Active Indicative,Imperfect,1st Person,Plural,pendabamus,pendebamus,pendebamus,pendiebamus,We were hanging
Active Indicative,Imperfect,2nd Person,Singular,pendabas,pendebas,pendebas,pendiebas,You were hanging
Active Indicative,Imperfect,2nd Person,Plural,pendabatis,pendebatis,pendebatis,pendiebatis,You (pl.) were hanging
Active Indicative,Imperfect,3rd Person,Singular,pendabat,pendebat,pendebat,pendiebat,He/she/it was hanging
Active Indicative,Imperfect,3rd Person,Plural,pendabant,pendebant,pendebant,pendiebant,They were hanging
Active Indicative,Future,1st Person,Singular,pendabo,pendebo,pendam,pendiam,I will hang
Active Indicative,Future,1st Person,Plural,pendabimus,pendebimus,pendemus,pendiemus,We will hang
Active Indicative,Future,2nd Person,Singular,pendabis,pendebis,pendes,pendies,You will hang
Active Indicative,Future,2nd Person,Plural,pendabitis,pendebitis,pendetis,pendietis,You (pl.) will hang
Active Indicative,Future,3rd Person,Singular,pendabit,pendebit,pendet,pendiet,He/she/it will hang
Active Indicative,Future,3rd Person,Plural,pendabunt,pendebunt,pendent,pendient,They will hang
Active Indicative,Perfect,1st Person,Singular,pendavi,pendui,pendi,pendi,I have hanged
Active Indicative,Perfect,1st Person,Plural,pendavimus,penduimus,pendimus,pendimus,We have hanged
Active Indicative,Perfect,2nd Person,Singular,pendavisti,penduisti,pendisti,pendisti,You have hanged
Active Indicative,Perfect,2nd Person,Plural,pendavistis,penduistis,pendistis,pendistis,You (pl.) have hanged
Active Indicative,Perfect,3rd Person,Singular,pendavit,penduit,pendit,pendit,He/she/it has hanged
Active Indicative,Perfect,3rd Person,Plural,pendaverunt,penduerunt,penderunt,penderunt,They have hanged
Active Indicative,Pluperfect,1st Person,Singular,pendaveram,pendueram,penderam,penderam,I had hanged
Active Indicative,Pluperfect,1st Person,Plural,pendaveramus,pendueramus,penderamus,penderamus,We had hanged
Active Indicative,Pluperfect,2nd Person,Singular,pendaveras,pendueras,penderas,penderas,You had hanged
Active Indicative,Pluperfect,2nd Person,Plural,pendaveratis,pendueratis,penderatis,penderatis,You (pl.) had hanged
Active Indicative,Pluperfect,3rd Person,Singular,pendaverat,penduerat,penderat,penderat,He/she/it had hanged
Active Indicative,Pluperfect,3rd Person,Plural,pendaverant,penduerant,penderant,penderant,They had hanged
Active Indicative,Future Perfect,1st Person,Singular,pendavero,pendueero,pendero,pendiero,I will have hanged
Active Indicative,Future Perfect,1st Person,Plural,pendaverimus,penduerimus,penderimus,pendierimus,We will have hanged
Active Indicative,Future Perfect,2nd Person,Singular,pendaveris,pendueris,penderis,pendieris,You will have hanged
Active Indicative,Future Perfect,2nd Person,Plural,pendaveritis,pendueritis,penderitis,pendieritis,You (pl.) will have hanged
Active Indicative,Future Perfect,3rd Person,Singular,pendaverit,penduerit,penderit,pendierit,He/she/it will have hanged
Active Indicative,Future Perfect,3rd Person,Plural,pendaverint,penduerint,penderint,pendierint,They will have hanged
Passive Indicative,Present,1st Person,Singular,pendor,pendeor,pendor,pendior,I am being hanged
Passive Indicative,Present,1st Person,Plural,pendamur,pendemur,pendimur,pendimur,We are being hanged
Passive Indicative,Present,2nd Person,Singular,pendaris,penderis,pendiris,pendiris,You are being hanged
Passive Indicative,Present,2nd Person,Plural,pendamini,pendemini,pendimini,pendimini,You (pl.) are being hanged
Passive Indicative,Present,3rd Person,Singular,pendatur,pendetur,penditur,penditur,He/she/it is being hanged
Passive Indicative,Present,3rd Person,Plural,pendantur,pendentur,pendiuntur,pendiuntur,They are being hanged
