Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pendico,pendiceo,pendico,pendicio,I hang
Active Indicative,Present,1st Person,Plural,pendicamus,pendicemus,pendicimus,pendicimus,We hang
Active Indicative,Present,2nd Person,Singular,pendicas,pendices,pendicis,pendicis,You hang
Active Indicative,Present,2nd Person,Plural,pendicatis,pendicetis,pendicitis,pendicitis,You (pl.) hang
Active Indicative,Present,3rd Person,Singular,pendicat,pendicet,pendicit,pendicit,He/she/it hang
Active Indicative,Present,3rd Person,Plural,pendicant,pendicent,pendiciunt,pendiciunt,They hang
Active Indicative,Imperfect,1st Person,Singular,pendicabam,pendicebam,pendicebam,pendiciebam,I was hanging
Active Indicative,Imperfect,1st Person,Plural,pendicabamus,pendicebamus,pendicebamus,pendiciebamus,We were hanging
Active Indicative,Imperfect,2nd Person,Singular,pendicabas,pendicebas,pendicebas,pendiciebas,You were hanging
Active Indicative,Imperfect,2nd Person,Plural,pendicabatis,pendicebatis,pendicebatis,pendiciebatis,You (pl.) were hanging
Active Indicative,Imperfect,3rd Person,Singular,pendicabat,pendicebat,pendicebat,pendiciebat,He/she/it was hanging
Active Indicative,Imperfect,3rd Person,Plural,pendicabant,pendicebant,pendicebant,pendiciebant,They were hanging
Active Indicative,Future,1st Person,Singular,pendicabo,pendicebo,pendicam,pendiciam,I will hang
Active Indicative,Future,1st Person,Plural,pendicabimus,pendicebimus,pendicemus,pendiciemus,We will hang
Active Indicative,Future,2nd Person,Singular,pendicabis,pendicebis,pendices,pendicies,You will hang
Active Indicative,Future,2nd Person,Plural,pendicabitis,pendicebitis,pendicetis,pendicietis,You (pl.) will hang
Active Indicative,Future,3rd Person,Singular,pendicabit,pendicebit,pendicet,pendiciet,He/she/it will hang
Active Indicative,Future,3rd Person,Plural,pendicabunt,pendicebunt,pendicent,pendicient,They will hang
Active Indicative,Perfect,1st Person,Singular,pendicavi,pendicui,pendici,pendici,I have hanged
Active Indicative,Perfect,1st Person,Plural,pendicavimus,pendicuimus,pendicimus,pendicimus,We have hanged
Active Indicative,Perfect,2nd Person,Singular,pendicavisti,pendicuisti,pendicisti,pendicisti,You have hanged
Active Indicative,Perfect,2nd Person,Plural,pendicavistis,pendicuistis,pendicistis,pendicistis,You (pl.) have hanged
Active Indicative,Perfect,3rd Person,Singular,pendicavit,pendicuit,pendicit,pendicit,He/she/it has hanged
Active Indicative,Perfect,3rd Person,Plural,pendicaverunt,pendicuerunt,pendicerunt,pendicerunt,They have hanged
Active Indicative,Pluperfect,1st Person,Singular,pendicaveram,pendicueram,pendiceram,pendiceram,I had hanged
Active Indicative,Pluperfect,1st Person,Plural,pendicaveramus,pendicueramus,pendiceramus,pendiceramus,We had hanged
Active Indicative,Pluperfect,2nd Person,Singular,pendicaveras,pendicueras,pendiceras,pendiceras,You had hanged
Active Indicative,Pluperfect,2nd Person,Plural,pendicaveratis,pendicueratis,pendiceratis,pendiceratis,You (pl.) had hanged
Active Indicative,Pluperfect,3rd Person,Singular,pendicaverat,pendicuerat,pendicerat,pendicerat,He/she/it had hanged
Active Indicative,Pluperfect,3rd Person,Plural,pendicaverant,pendicuerant,pendicerant,pendicerant,They had hanged
Active Indicative,Future Perfect,1st Person,Singular,pendicavero,pendicueero,pendicero,pendiciero,I will have hanged
Active Indicative,Future Perfect,1st Person,Plural,pendicaverimus,pendicuerimus,pendicerimus,pendicierimus,We will have hanged
Active Indicative,Future Perfect,2nd Person,Singular,pendicaveris,pendicueris,pendiceris,pendicieris,You will have hanged
Active Indicative,Future Perfect,2nd Person,Plural,pendicaveritis,pendicueritis,pendiceritis,pendicieritis,You (pl.) will have hanged
Active Indicative,Future Perfect,3rd Person,Singular,pendicaverit,pendicuerit,pendicerit,pendicierit,He/she/it will have hanged
Active Indicative,Future Perfect,3rd Person,Plural,pendicaverint,pendicuerint,pendicerint,pendicierint,They will have hanged
Passive Indicative,Present,1st Person,Singular,pendicor,pendiceor,pendicor,pendicior,I am being hanged
Passive Indicative,Present,1st Person,Plural,pendicamur,pendicemur,pendicimur,pendicimur,We are being hanged
Passive Indicative,Present,2nd Person,Singular,pendicaris,pendiceris,pendiciris,pendiciris,You are being hanged
Passive Indicative,Present,2nd Person,Plural,pendicamini,pendicemini,pendicimini,pendicimini,You (pl.) are being hanged
Passive Indicative,Present,3rd Person,Singular,pendicatur,pendicetur,pendicitur,pendicitur,He/she/it is being hanged
Passive Indicative,Present,3rd Person,Plural,pendicantur,pendicentur,pendiciuntur,pendiciuntur,They are being hanged
Passive Indicative,Imperfect,1st Person,Singular,pendicabar,pendicebar,pendicebar,pendiciebar,I was hanged
Passive Indicative,Imperfect,1st Person,Plural,pendicabamur,pendicebamur,pendicebamur,pendiciebamur,We were hanged
Passive Indicative,Imperfect,2nd Person,Singular,pendicabaris,pendicebaris,pendicebaris,pendiciebaris,You were hanged
Passive Indicative,Imperfect,2nd Person,Plural,pendicabamini,pendicebamini,pendicebamini,pendiciebamini,You (pl.) were hanged
Passive Indicative,Imperfect,3rd Person,Singular,pendicabatur,pendicebatur,pendicebatur,pendiciebatur,He/she/it was hanged
Passive Indicative,Imperfect,3rd Person,Plural,pendicabantur,pendicebantur,pendicebantur,pendiciebantur,They were hanged
Passive Indicative,Future,1st Person,Singular,pendicabor,pendicebor,pendicar,pendiciar,I will be hanged
Passive Indicative,Future,1st Person,Plural,pendicabimur,pendicebimur,pendicemur,pendiciemur,We will be hanged
Passive Indicative,Future,2nd Person,Singular,pendicaberis,pendiceberis,pendiceris,pendicieris,You will be hanged
Passive Indicative,Future,2nd Person,Plural,pendicabimini,pendicebimini,pendicemini,pendiciemini,You (pl.) will be hanged
Passive Indicative,Future,3rd Person,Singular,pendicabitur,pendicebitur,pendicetur,pendicietur,He/she/it will be hanged
Passive Indicative,Future,3rd Person,Plural,pendicabuntur,pendicebuntur,pendicentur,pendicientur,They will be hanged
Passive Indicative,Perfect,1st Person,Singular,pendicatus sum,pendicetus sum,pendicus sum,pendicus sum,I have been hanged
Passive Indicative,Perfect,1st Person,Plural,pendicati sumus,pendiceti sumus,pendici sumus,pendici sumus,We have been hanged
Passive Indicative,Perfect,2nd Person,Singular,pendicatus es,pendicetus es,pendicus es,pendicus es,You have been hanged
Passive Indicative,Perfect,2nd Person,Plural,pendicati estis,pendiceti estis,pendici estis,pendici estis,You (pl.) have been hanged
Passive Indicative,Perfect,3rd Person,Singular,pendicatus est,pendicetus est,pendicus est,pendicus est,He/she/it has been hanged
