Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,perpetio,perpetieo,perpetio,perpetio,I endure
Active Indicative,Present,1st Person,Plural,perpetiamus,perpetiemus,perpetimus,perpetimus,We endure
Active Indicative,Present,2nd Person,Singular,perpetias,perpeties,perpetis,perpetis,You endure
Active Indicative,Present,2nd Person,Plural,perpetiatis,perpetietis,perpetitis,perpetitis,You (pl.) endure
Active Indicative,Present,3rd Person,Singular,perpetiat,perpetiet,perpetit,perpetit,He/she/it endure
Active Indicative,Present,3rd Person,Plural,perpetiant,perpetient,perpetiunt,perpetiunt,They endure
Active Indicative,Imperfect,1st Person,Singular,perpetiabam,perpetiebam,perpetiebam,perpetiebam,I was endureing
Active Indicative,Imperfect,1st Person,Plural,perpetiabamus,perpetiebamus,perpetiebamus,perpetiebamus,We were endureing
Active Indicative,Imperfect,2nd Person,Singular,perpetiabas,perpetiebas,perpetiebas,perpetiebas,You were endureing
Active Indicative,Imperfect,2nd Person,Plural,perpetiabatis,perpetiebatis,perpetiebatis,perpetiebatis,You (pl.) were endureing
Active Indicative,Imperfect,3rd Person,Singular,perpetiabat,perpetiebat,perpetiebat,perpetiebat,He/she/it was endureing
Active Indicative,Imperfect,3rd Person,Plural,perpetiabant,perpetiebant,perpetiebant,perpetiebant,They were endureing
Active Indicative,Future,1st Person,Singular,perpetiabo,perpetiebo,perpetiam,perpetiam,I will endure
Active Indicative,Future,1st Person,Plural,perpetiabimus,perpetiebimus,perpetiemus,perpetiemus,We will endure
Active Indicative,Future,2nd Person,Singular,perpetiabis,perpetiebis,perpeties,perpeties,You will endure
Active Indicative,Future,2nd Person,Plural,perpetiabitis,perpetiebitis,perpetietis,perpetietis,You (pl.) will endure
Active Indicative,Future,3rd Person,Singular,perpetiabit,perpetiebit,perpetiet,perpetiet,He/she/it will endure
Active Indicative,Future,3rd Person,Plural,perpetiabunt,perpetiebunt,perpetient,perpetient,They will endure
Active Indicative,Perfect,1st Person,Singular,perpetiavi,perpetiui,perpeti,perpeti,I have endureed
Active Indicative,Perfect,1st Person,Plural,perpetiavimus,perpetiuimus,perpetimus,perpetimus,We have endureed
Active Indicative,Perfect,2nd Person,Singular,perpetiavisti,perpetiuisti,perpetisti,perpetisti,You have endureed
Active Indicative,Perfect,2nd Person,Plural,perpetiavistis,perpetiuistis,perpetistis,perpetistis,You (pl.) have endureed
Active Indicative,Perfect,3rd Person,Singular,perpetiavit,perpetiuit,perpetit,perpetit,He/she/it has endureed
Active Indicative,Perfect,3rd Person,Plural,perpetiaverunt,perpetiuerunt,perpetierunt,perpetierunt,They have endureed
Active Indicative,Pluperfect,1st Person,Singular,perpetiaveram,perpetiueram,perpetieram,perpetieram,I had endureed
Active Indicative,Pluperfect,1st Person,Plural,perpetiaveramus,perpetiueramus,perpetieramus,perpetieramus,We had endureed
Active Indicative,Pluperfect,2nd Person,Singular,perpetiaveras,perpetiueras,perpetieras,perpetieras,You had endureed
Active Indicative,Pluperfect,2nd Person,Plural,perpetiaveratis,perpetiueratis,perpetieratis,perpetieratis,You (pl.) had endureed
Active Indicative,Pluperfect,3rd Person,Singular,perpetiaverat,perpetiuerat,perpetierat,perpetierat,He/she/it had endureed
Active Indicative,Pluperfect,3rd Person,Plural,perpetiaverant,perpetiuerant,perpetierant,perpetierant,They had endureed
Active Indicative,Future Perfect,1st Person,Singular,perpetiavero,perpetiueero,perpetiero,perpetiero,I will have endureed
Active Indicative,Future Perfect,1st Person,Plural,perpetiaverimus,perpetiuerimus,perpetierimus,perpetierimus,We will have endureed
Active Indicative,Future Perfect,2nd Person,Singular,perpetiaveris,perpetiueris,perpetieris,perpetieris,You will have endureed
Active Indicative,Future Perfect,2nd Person,Plural,perpetiaveritis,perpetiueritis,perpetieritis,perpetieritis,You (pl.) will have endureed
Active Indicative,Future Perfect,3rd Person,Singular,perpetiaverit,perpetiuerit,perpetierit,perpetierit,He/she/it will have endureed
Active Indicative,Future Perfect,3rd Person,Plural,perpetiaverint,perpetiuerint,perpetierint,perpetierint,They will have endureed
Passive Indicative,Present,1st Person,Singular,perpetior,perpetieor,perpetior,perpetior,I am being endureed
Passive Indicative,Present,1st Person,Plural,perpetiamur,perpetiemur,perpetimur,perpetimur,We are being endureed
Passive Indicative,Present,2nd Person,Singular,perpetiaris,perpetieris,perpetiris,perpetiris,You are being endureed
Passive Indicative,Present,2nd Person,Plural,perpetiamini,perpetiemini,perpetimini,perpetimini,You (pl.) are being endureed
Passive Indicative,Present,3rd Person,Singular,perpetiatur,perpetietur,perpetitur,perpetitur,He/she/it is being endureed
