Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,perturbo,perturbeo,perturbo,perturbio,I disturb
Active Indicative,Present,1st Person,Plural,perturbamus,perturbemus,perturbimus,perturbimus,We disturb
Active Indicative,Present,2nd Person,Singular,perturbas,perturbes,perturbis,perturbis,You disturb
Active Indicative,Present,2nd Person,Plural,perturbatis,perturbetis,perturbitis,perturbitis,You (pl.) disturb
Active Indicative,Present,3rd Person,Singular,perturbat,perturbet,perturbit,perturbit,He/she/it disturb
Active Indicative,Present,3rd Person,Plural,perturbant,perturbent,perturbiunt,perturbiunt,They disturb
Active Indicative,Imperfect,1st Person,Singular,perturbabam,perturbebam,perturbebam,perturbiebam,I was disturbing
Active Indicative,Imperfect,1st Person,Plural,perturbabamus,perturbebamus,perturbebamus,perturbiebamus,We were disturbing
Active Indicative,Imperfect,2nd Person,Singular,perturbabas,perturbebas,perturbebas,perturbiebas,You were disturbing
Active Indicative,Imperfect,2nd Person,Plural,perturbabatis,perturbebatis,perturbebatis,perturbiebatis,You (pl.) were disturbing
Active Indicative,Imperfect,3rd Person,Singular,perturbabat,perturbebat,perturbebat,perturbiebat,He/she/it was disturbing
Active Indicative,Imperfect,3rd Person,Plural,perturbabant,perturbebant,perturbebant,perturbiebant,They were disturbing
Active Indicative,Future,1st Person,Singular,perturbabo,perturbebo,perturbam,perturbiam,I will disturb
Active Indicative,Future,1st Person,Plural,perturbabimus,perturbebimus,perturbemus,perturbiemus,We will disturb
Active Indicative,Future,2nd Person,Singular,perturbabis,perturbebis,perturbes,perturbies,You will disturb
Active Indicative,Future,2nd Person,Plural,perturbabitis,perturbebitis,perturbetis,perturbietis,You (pl.) will disturb
Active Indicative,Future,3rd Person,Singular,perturbabit,perturbebit,perturbet,perturbiet,He/she/it will disturb
Active Indicative,Future,3rd Person,Plural,perturbabunt,perturbebunt,perturbent,perturbient,They will disturb
Active Indicative,Perfect,1st Person,Singular,perturbavi,perturbui,perturbi,perturbi,I have disturbed
Active Indicative,Perfect,1st Person,Plural,perturbavimus,perturbuimus,perturbimus,perturbimus,We have disturbed
Active Indicative,Perfect,2nd Person,Singular,perturbavisti,perturbuisti,perturbisti,perturbisti,You have disturbed
Active Indicative,Perfect,2nd Person,Plural,perturbavistis,perturbuistis,perturbistis,perturbistis,You (pl.) have disturbed
Active Indicative,Perfect,3rd Person,Singular,perturbavit,perturbuit,perturbit,perturbit,He/she/it has disturbed
Active Indicative,Perfect,3rd Person,Plural,perturbaverunt,perturbuerunt,perturberunt,perturberunt,They have disturbed
Active Indicative,Pluperfect,1st Person,Singular,perturbaveram,perturbueram,perturberam,perturberam,I had disturbed
Active Indicative,Pluperfect,1st Person,Plural,perturbaveramus,perturbueramus,perturberamus,perturberamus,We had disturbed
Active Indicative,Pluperfect,2nd Person,Singular,perturbaveras,perturbueras,perturberas,perturberas,You had disturbed
