Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,picto,picteo,picto,pictio,I paint
Active Indicative,Present,1st Person,Plural,pictamus,pictemus,pictimus,pictimus,We paint
Active Indicative,Present,2nd Person,Singular,pictas,pictes,pictis,pictis,You paint
Active Indicative,Present,2nd Person,Plural,pictatis,pictetis,pictitis,pictitis,You (pl.) paint
Active Indicative,Present,3rd Person,Singular,pictat,pictet,pictit,pictit,He/she/it paint
Active Indicative,Present,3rd Person,Plural,pictant,pictent,pictiunt,pictiunt,They paint
Active Indicative,Imperfect,1st Person,Singular,pictabam,pictebam,pictebam,pictiebam,I was painting
Active Indicative,Imperfect,1st Person,Plural,pictabamus,pictebamus,pictebamus,pictiebamus,We were painting
Active Indicative,Imperfect,2nd Person,Singular,pictabas,pictebas,pictebas,pictiebas,You were painting
Active Indicative,Imperfect,2nd Person,Plural,pictabatis,pictebatis,pictebatis,pictiebatis,You (pl.) were painting
Active Indicative,Imperfect,3rd Person,Singular,pictabat,pictebat,pictebat,pictiebat,He/she/it was painting
Active Indicative,Imperfect,3rd Person,Plural,pictabant,pictebant,pictebant,pictiebant,They were painting
Active Indicative,Future,1st Person,Singular,pictabo,pictebo,pictam,pictiam,I will paint
Active Indicative,Future,1st Person,Plural,pictabimus,pictebimus,pictemus,pictiemus,We will paint
Active Indicative,Future,2nd Person,Singular,pictabis,pictebis,pictes,picties,You will paint
Active Indicative,Future,2nd Person,Plural,pictabitis,pictebitis,pictetis,pictietis,You (pl.) will paint
Active Indicative,Future,3rd Person,Singular,pictabit,pictebit,pictet,pictiet,He/she/it will paint
Active Indicative,Future,3rd Person,Plural,pictabunt,pictebunt,pictent,pictient,They will paint
Active Indicative,Perfect,1st Person,Singular,pictavi,pictui,picti,picti,I have painted
Active Indicative,Perfect,1st Person,Plural,pictavimus,pictuimus,pictimus,pictimus,We have painted
Active Indicative,Perfect,2nd Person,Singular,pictavisti,pictuisti,pictisti,pictisti,You have painted
Active Indicative,Perfect,2nd Person,Plural,pictavistis,pictuistis,pictistis,pictistis,You (pl.) have painted
Active Indicative,Perfect,3rd Person,Singular,pictavit,pictuit,pictit,pictit,He/she/it has painted
Active Indicative,Perfect,3rd Person,Plural,pictaverunt,pictuerunt,picterunt,picterunt,They have painted
Active Indicative,Pluperfect,1st Person,Singular,pictaveram,pictueram,picteram,picteram,I had painted
