Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pilo,pileo,pilo,pilio,I remove parts
Active Indicative,Present,1st Person,Plural,pilamus,pilemus,pilimus,pilimus,We remove parts
Active Indicative,Present,2nd Person,Singular,pilas,piles,pilis,pilis,You remove parts
Active Indicative,Present,2nd Person,Plural,pilatis,piletis,pilitis,pilitis,You (pl.) remove parts
Active Indicative,Present,3rd Person,Singular,pilat,pilet,pilit,pilit,He/she/it remove parts
Active Indicative,Present,3rd Person,Plural,pilant,pilent,piliunt,piliunt,They remove parts
Active Indicative,Imperfect,1st Person,Singular,pilabam,pilebam,pilebam,piliebam,I was remove partsing
Active Indicative,Imperfect,1st Person,Plural,pilabamus,pilebamus,pilebamus,piliebamus,We were remove partsing
Active Indicative,Imperfect,2nd Person,Singular,pilabas,pilebas,pilebas,piliebas,You were remove partsing
Active Indicative,Imperfect,2nd Person,Plural,pilabatis,pilebatis,pilebatis,piliebatis,You (pl.) were remove partsing
Active Indicative,Imperfect,3rd Person,Singular,pilabat,pilebat,pilebat,piliebat,He/she/it was remove partsing
Active Indicative,Imperfect,3rd Person,Plural,pilabant,pilebant,pilebant,piliebant,They were remove partsing
Active Indicative,Future,1st Person,Singular,pilabo,pilebo,pilam,piliam,I will remove parts
Active Indicative,Future,1st Person,Plural,pilabimus,pilebimus,pilemus,piliemus,We will remove parts
Active Indicative,Future,2nd Person,Singular,pilabis,pilebis,piles,pilies,You will remove parts
Active Indicative,Future,2nd Person,Plural,pilabitis,pilebitis,piletis,pilietis,You (pl.) will remove parts
Active Indicative,Future,3rd Person,Singular,pilabit,pilebit,pilet,piliet,He/she/it will remove parts
Active Indicative,Future,3rd Person,Plural,pilabunt,pilebunt,pilent,pilient,They will remove parts
Active Indicative,Perfect,1st Person,Singular,pilavi,pilui,pili,pili,I have remove partsed
