Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pingo,pingeo,pingo,pingio,I paint
Active Indicative,Present,1st Person,Plural,pingamus,pingemus,pingimus,pingimus,We paint
Active Indicative,Present,2nd Person,Singular,pingas,pinges,pingis,pingis,You paint
Active Indicative,Present,2nd Person,Plural,pingatis,pingetis,pingitis,pingitis,You (pl.) paint
Active Indicative,Present,3rd Person,Singular,pingat,pinget,pingit,pingit,He/she/it paint
Active Indicative,Present,3rd Person,Plural,pingant,pingent,pingiunt,pingiunt,They paint
Active Indicative,Imperfect,1st Person,Singular,pingabam,pingebam,pingebam,pingiebam,I was painting
Active Indicative,Imperfect,1st Person,Plural,pingabamus,pingebamus,pingebamus,pingiebamus,We were painting
Active Indicative,Imperfect,2nd Person,Singular,pingabas,pingebas,pingebas,pingiebas,You were painting
Active Indicative,Imperfect,2nd Person,Plural,pingabatis,pingebatis,pingebatis,pingiebatis,You (pl.) were painting
Active Indicative,Imperfect,3rd Person,Singular,pingabat,pingebat,pingebat,pingiebat,He/she/it was painting
Active Indicative,Imperfect,3rd Person,Plural,pingabant,pingebant,pingebant,pingiebant,They were painting
Active Indicative,Future,1st Person,Singular,pingabo,pingebo,pingam,pingiam,I will paint
Active Indicative,Future,1st Person,Plural,pingabimus,pingebimus,pingemus,pingiemus,We will paint
Active Indicative,Future,2nd Person,Singular,pingabis,pingebis,pinges,pingies,You will paint
Active Indicative,Future,2nd Person,Plural,pingabitis,pingebitis,pingetis,pingietis,You (pl.) will paint
Active Indicative,Future,3rd Person,Singular,pingabit,pingebit,pinget,pingiet,He/she/it will paint
Active Indicative,Future,3rd Person,Plural,pingabunt,pingebunt,pingent,pingient,They will paint
Active Indicative,Perfect,1st Person,Singular,pingavi,pingui,pingi,pingi,I have painted
Active Indicative,Perfect,1st Person,Plural,pingavimus,pinguimus,pingimus,pingimus,We have painted
Active Indicative,Perfect,2nd Person,Singular,pingavisti,pinguisti,pingisti,pingisti,You have painted
Active Indicative,Perfect,2nd Person,Plural,pingavistis,pinguistis,pingistis,pingistis,You (pl.) have painted
Active Indicative,Perfect,3rd Person,Singular,pingavit,pinguit,pingit,pingit,He/she/it has painted
Active Indicative,Perfect,3rd Person,Plural,pingaverunt,pinguerunt,pingerunt,pingerunt,They have painted
Active Indicative,Pluperfect,1st Person,Singular,pingaveram,pingueram,pingeram,pingeram,I had painted
Active Indicative,Pluperfect,1st Person,Plural,pingaveramus,pingueramus,pingeramus,pingeramus,We had painted
Active Indicative,Pluperfect,2nd Person,Singular,pingaveras,pingueras,pingeras,pingeras,You had painted
Active Indicative,Pluperfect,2nd Person,Plural,pingaveratis,pingueratis,pingeratis,pingeratis,You (pl.) had painted
Active Indicative,Pluperfect,3rd Person,Singular,pingaverat,pinguerat,pingerat,pingerat,He/she/it had painted
Active Indicative,Pluperfect,3rd Person,Plural,pingaverant,pinguerant,pingerant,pingerant,They had painted
Active Indicative,Future Perfect,1st Person,Singular,pingavero,pingueero,pingero,pingiero,I will have painted
Active Indicative,Future Perfect,1st Person,Plural,pingaverimus,pinguerimus,pingerimus,pingierimus,We will have painted
Active Indicative,Future Perfect,2nd Person,Singular,pingaveris,pingueris,pingeris,pingieris,You will have painted
Active Indicative,Future Perfect,2nd Person,Plural,pingaveritis,pingueritis,pingeritis,pingieritis,You (pl.) will have painted
Active Indicative,Future Perfect,3rd Person,Singular,pingaverit,pinguerit,pingerit,pingierit,He/she/it will have painted
Active Indicative,Future Perfect,3rd Person,Plural,pingaverint,pinguerint,pingerint,pingierint,They will have painted
Passive Indicative,Present,1st Person,Singular,pingor,pingeor,pingor,pingior,I am being painted
Passive Indicative,Present,1st Person,Plural,pingamur,pingemur,pingimur,pingimur,We are being painted
Passive Indicative,Present,2nd Person,Singular,pingaris,pingeris,pingiris,pingiris,You are being painted
Passive Indicative,Present,2nd Person,Plural,pingamini,pingemini,pingimini,pingimini,You (pl.) are being painted
Passive Indicative,Present,3rd Person,Singular,pingatur,pingetur,pingitur,pingitur,He/she/it is being painted
Passive Indicative,Present,3rd Person,Plural,pingantur,pingentur,pingiuntur,pingiuntur,They are being painted
Passive Indicative,Imperfect,1st Person,Singular,pingabar,pingebar,pingebar,pingiebar,I was painted
Passive Indicative,Imperfect,1st Person,Plural,pingabamur,pingebamur,pingebamur,pingiebamur,We were painted
Passive Indicative,Imperfect,2nd Person,Singular,pingabaris,pingebaris,pingebaris,pingiebaris,You were painted
Passive Indicative,Imperfect,2nd Person,Plural,pingabamini,pingebamini,pingebamini,pingiebamini,You (pl.) were painted
Passive Indicative,Imperfect,3rd Person,Singular,pingabatur,pingebatur,pingebatur,pingiebatur,He/she/it was painted
Passive Indicative,Imperfect,3rd Person,Plural,pingabantur,pingebantur,pingebantur,pingiebantur,They were painted
Passive Indicative,Future,1st Person,Singular,pingabor,pingebor,pingar,pingiar,I will be painted
Passive Indicative,Future,1st Person,Plural,pingabimur,pingebimur,pingemur,pingiemur,We will be painted
Passive Indicative,Future,2nd Person,Singular,pingaberis,pingeberis,pingeris,pingieris,You will be painted
Passive Indicative,Future,2nd Person,Plural,pingabimini,pingebimini,pingemini,pingiemini,You (pl.) will be painted
Passive Indicative,Future,3rd Person,Singular,pingabitur,pingebitur,pingetur,pingietur,He/she/it will be painted
Passive Indicative,Future,3rd Person,Plural,pingabuntur,pingebuntur,pingentur,pingientur,They will be painted
Passive Indicative,Perfect,1st Person,Singular,pingatus sum,pingetus sum,pingus sum,pingus sum,I have been painted
Passive Indicative,Perfect,1st Person,Plural,pingati sumus,pingeti sumus,pingi sumus,pingi sumus,We have been painted
Passive Indicative,Perfect,2nd Person,Singular,pingatus es,pingetus es,pingus es,pingus es,You have been painted
Passive Indicative,Perfect,2nd Person,Plural,pingati estis,pingeti estis,pingi estis,pingi estis,You (pl.) have been painted
Passive Indicative,Perfect,3rd Person,Singular,pingatus est,pingetus est,pingus est,pingus est,He/she/it has been painted
Passive Indicative,Perfect,3rd Person,Plural,pingati sunt,pingeti sunt,pingi sunt,pingi sunt,They have been painted
Passive Indicative,Pluperfect,1st Person,Singular,pingatus eram,pingetus eram,pingus eram,pingus eram,I had been painted
Passive Indicative,Pluperfect,1st Person,Plural,pingati eramus,pingeti eramus,pingi eramus,pingi eramus,We had been painted
Passive Indicative,Pluperfect,2nd Person,Singular,pingatus eras,pingetus eras,pingus eras,pingus eras,You had been painted
Passive Indicative,Pluperfect,2nd Person,Plural,pingati eratis,pingeti eratis,pingi eratis,pingi eratis,You (pl.) had been painted
