Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,placo,placeo,placo,placio,I calm down
Active Indicative,Present,1st Person,Plural,placamus,placemus,placimus,placimus,We calm down
Active Indicative,Present,2nd Person,Singular,placas,places,placis,placis,You calm down
Active Indicative,Present,2nd Person,Plural,placatis,placetis,placitis,placitis,You (pl.) calm down
Active Indicative,Present,3rd Person,Singular,placat,placet,placit,placit,He/she/it calm down
Active Indicative,Present,3rd Person,Plural,placant,placent,placiunt,placiunt,They calm down
Active Indicative,Imperfect,1st Person,Singular,placabam,placebam,placebam,placiebam,I was calm downing
Active Indicative,Imperfect,1st Person,Plural,placabamus,placebamus,placebamus,placiebamus,We were calm downing
Active Indicative,Imperfect,2nd Person,Singular,placabas,placebas,placebas,placiebas,You were calm downing
Active Indicative,Imperfect,2nd Person,Plural,placabatis,placebatis,placebatis,placiebatis,You (pl.) were calm downing
Active Indicative,Imperfect,3rd Person,Singular,placabat,placebat,placebat,placiebat,He/she/it was calm downing
Active Indicative,Imperfect,3rd Person,Plural,placabant,placebant,placebant,placiebant,They were calm downing
Active Indicative,Future,1st Person,Singular,placabo,placebo,placam,placiam,I will calm down
Active Indicative,Future,1st Person,Plural,placabimus,placebimus,placemus,placiemus,We will calm down
Active Indicative,Future,2nd Person,Singular,placabis,placebis,places,placies,You will calm down
Active Indicative,Future,2nd Person,Plural,placabitis,placebitis,placetis,placietis,You (pl.) will calm down
Active Indicative,Future,3rd Person,Singular,placabit,placebit,placet,placiet,He/she/it will calm down
Active Indicative,Future,3rd Person,Plural,placabunt,placebunt,placent,placient,They will calm down
Active Indicative,Perfect,1st Person,Singular,placavi,placui,placi,placi,I have calm downed
Active Indicative,Perfect,1st Person,Plural,placavimus,placuimus,placimus,placimus,We have calm downed
Active Indicative,Perfect,2nd Person,Singular,placavisti,placuisti,placisti,placisti,You have calm downed
Active Indicative,Perfect,2nd Person,Plural,placavistis,placuistis,placistis,placistis,You (pl.) have calm downed
Active Indicative,Perfect,3rd Person,Singular,placavit,placuit,placit,placit,He/she/it has calm downed
Active Indicative,Perfect,3rd Person,Plural,placaverunt,placuerunt,placerunt,placerunt,They have calm downed
Active Indicative,Pluperfect,1st Person,Singular,placaveram,placueram,placeram,placeram,I had calm downed
Active Indicative,Pluperfect,1st Person,Plural,placaveramus,placueramus,placeramus,placeramus,We had calm downed
Active Indicative,Pluperfect,2nd Person,Singular,placaveras,placueras,placeras,placeras,You had calm downed
Active Indicative,Pluperfect,2nd Person,Plural,placaveratis,placueratis,placeratis,placeratis,You (pl.) had calm downed
Active Indicative,Pluperfect,3rd Person,Singular,placaverat,placuerat,placerat,placerat,He/she/it had calm downed
Active Indicative,Pluperfect,3rd Person,Plural,placaverant,placuerant,placerant,placerant,They had calm downed
Active Indicative,Future Perfect,1st Person,Singular,placavero,placueero,placero,placiero,I will have calm downed
Active Indicative,Future Perfect,1st Person,Plural,placaverimus,placuerimus,placerimus,placierimus,We will have calm downed
Active Indicative,Future Perfect,2nd Person,Singular,placaveris,placueris,placeris,placieris,You will have calm downed
Active Indicative,Future Perfect,2nd Person,Plural,placaveritis,placueritis,placeritis,placieritis,You (pl.) will have calm downed
Active Indicative,Future Perfect,3rd Person,Singular,placaverit,placuerit,placerit,placierit,He/she/it will have calm downed
Active Indicative,Future Perfect,3rd Person,Plural,placaverint,placuerint,placerint,placierint,They will have calm downed
Passive Indicative,Present,1st Person,Singular,placor,placeor,placor,placior,I am being calm downed
Passive Indicative,Present,1st Person,Plural,placamur,placemur,placimur,placimur,We are being calm downed
Passive Indicative,Present,2nd Person,Singular,placaris,placeris,placiris,placiris,You are being calm downed
Passive Indicative,Present,2nd Person,Plural,placamini,placemini,placimini,placimini,You (pl.) are being calm downed
Passive Indicative,Present,3rd Person,Singular,placatur,placetur,placitur,placitur,He/she/it is being calm downed
Passive Indicative,Present,3rd Person,Plural,placantur,placentur,placiuntur,placiuntur,They are being calm downed
Passive Indicative,Imperfect,1st Person,Singular,placabar,placebar,placebar,placiebar,I was calm downed
Passive Indicative,Imperfect,1st Person,Plural,placabamur,placebamur,placebamur,placiebamur,We were calm downed
Passive Indicative,Imperfect,2nd Person,Singular,placabaris,placebaris,placebaris,placiebaris,You were calm downed
Passive Indicative,Imperfect,2nd Person,Plural,placabamini,placebamini,placebamini,placiebamini,You (pl.) were calm downed
Passive Indicative,Imperfect,3rd Person,Singular,placabatur,placebatur,placebatur,placiebatur,He/she/it was calm downed
Passive Indicative,Imperfect,3rd Person,Plural,placabantur,placebantur,placebantur,placiebantur,They were calm downed
Passive Indicative,Future,1st Person,Singular,placabor,placebor,placar,placiar,I will be calm downed
Passive Indicative,Future,1st Person,Plural,placabimur,placebimur,placemur,placiemur,We will be calm downed
Passive Indicative,Future,2nd Person,Singular,placaberis,placeberis,placeris,placieris,You will be calm downed
Passive Indicative,Future,2nd Person,Plural,placabimini,placebimini,placemini,placiemini,You (pl.) will be calm downed
Passive Indicative,Future,3rd Person,Singular,placabitur,placebitur,placetur,placietur,He/she/it will be calm downed
Passive Indicative,Future,3rd Person,Plural,placabuntur,placebuntur,placentur,placientur,They will be calm downed
Passive Indicative,Perfect,1st Person,Singular,placatus sum,placetus sum,placus sum,placus sum,I have been calm downed
Passive Indicative,Perfect,1st Person,Plural,placati sumus,placeti sumus,placi sumus,placi sumus,We have been calm downed
Passive Indicative,Perfect,2nd Person,Singular,placatus es,placetus es,placus es,placus es,You have been calm downed
Passive Indicative,Perfect,2nd Person,Plural,placati estis,placeti estis,placi estis,placi estis,You (pl.) have been calm downed
Passive Indicative,Perfect,3rd Person,Singular,placatus est,placetus est,placus est,placus est,He/she/it has been calm downed
Passive Indicative,Perfect,3rd Person,Plural,placati sunt,placeti sunt,placi sunt,placi sunt,They have been calm downed
Passive Indicative,Pluperfect,1st Person,Singular,placatus eram,placetus eram,placus eram,placus eram,I had been calm downed
Passive Indicative,Pluperfect,1st Person,Plural,placati eramus,placeti eramus,placi eramus,placi eramus,We had been calm downed
Passive Indicative,Pluperfect,2nd Person,Singular,placatus eras,placetus eras,placus eras,placus eras,You had been calm downed
Passive Indicative,Pluperfect,2nd Person,Plural,placati eratis,placeti eratis,placi eratis,placi eratis,You (pl.) had been calm downed
Passive Indicative,Pluperfect,3rd Person,Singular,placatus erat,placetus erat,placus erat,placus erat,He/she/it had been calm downed
Passive Indicative,Pluperfect,3rd Person,Plural,placati erant,placeti erant,placi erant,placi erant,They had been calm downed
Passive Indicative,Future Perfect,1st Person,Singular,placatus ero,placetus ero,placus ero,placus ero,I will have been calm downed
Passive Indicative,Future Perfect,1st Person,Plural,placati erimus,placeti erimus,placi erimus,placi erimus,We will have been calm downed
Passive Indicative,Future Perfect,2nd Person,Singular,placatus eris,placetus eris,placus eris,placus eris,You will have been calm downed
Passive Indicative,Future Perfect,2nd Person,Plural,placati eritis,placeti eritis,placi eritis,placi eritis,You (pl.) will have been calm downed
Passive Indicative,Future Perfect,3rd Person,Singular,placatus erit,placetus erit,placus erit,placus erit,He/she/it will have been calm downed
Passive Indicative,Future Perfect,3rd Person,Plural,placati erunt,placeti erunt,placi erunt,placi erunt,They will have been calm downed
Active Subjunctive,Present,1st Person,Singular,placem,placem,placam,placam,I may calm down
Active Subjunctive,Present,1st Person,Plural,placemus,placemus,placamus,placamus,We may calm down
Active Subjunctive,Present,2nd Person,Singular,places,places,placas,placas,You may calm down
Active Subjunctive,Present,2nd Person,Plural,placetis,placetis,placatis,placatis,You (pl.) may calm down
Active Subjunctive,Present,3rd Person,Singular,placet,placet,placat,placat,He/she/it may calm down
Active Subjunctive,Present,3rd Person,Plural,placent,placent,placant,placant,They may calm down
Active Subjunctive,Imperfect,1st Person,Singular,placarem,placerem,placerem,placirem,I should calm down
Active Subjunctive,Imperfect,1st Person,Plural,placaremus,placeremus,placeremus,placiremus,We should calm down
Active Subjunctive,Imperfect,2nd Person,Singular,placares,placeres,placeres,placires,You should calm down
Active Subjunctive,Imperfect,2nd Person,Plural,placaretis,placeretis,placeretis,placiretis,You (pl.) should calm down
Active Subjunctive,Imperfect,3rd Person,Singular,placaret,placeret,placeret,placiret,He/she/it should calm down
Active Subjunctive,Imperfect,3rd Person,Plural,placarent,placerent,placerent,placirent,They should calm down
Active Subjunctive,Perfect,1st Person,Singular,placerim,placuerim,placerim,placierim,I may have calm downed
Active Subjunctive,Perfect,1st Person,Plural,placerimus,placuerimus,placerimus,placierimus,We may have calm downed
Active Subjunctive,Perfect,2nd Person,Singular,placeris,placueris,placeris,placieris,You may have calm downed
Active Subjunctive,Perfect,2nd Person,Plural,placeritis,placueritis,placeritis,placieritis,You (pl.) may have calm downed
Active Subjunctive,Perfect,3rd Person,Singular,placerit,placuerit,placerit,placierit,He/she/it may have calm downed
Active Subjunctive,Perfect,3rd Person,Plural,placerint,placuerint,placerint,placierint,They may have calm downed
Active Subjunctive,Pluperfect,1st Person,Singular,placissem,placuissem,placissem,placissem,I should have calm downed
Active Subjunctive,Pluperfect,1st Person,Plural,placissemus,placuissemus,placissemus,placissemus,We should have calm downed
Active Subjunctive,Pluperfect,2nd Person,Singular,placisses,placuisses,placisses,placisses,You would have calm downed
Active Subjunctive,Pluperfect,2nd Person,Plural,placissetis,placuissetis,placissetis,placissetis,You (pl.) would have calm downed
Active Subjunctive,Pluperfect,3rd Person,Singular,placisset,placuisset,placisset,placisset,He/she/it would have calm downed
Active Subjunctive,Pluperfect,3rd Person,Plural,placissent,placuissent,placissent,placissent,They would have calm downed
Passive Subjunctive,Present,1st Person,Singular,placer,placer,placar,placar,I may be calm downed
Passive Subjunctive,Present,1st Person,Plural,placemur,placemur,placamur,placamur,We may be calm downed
Passive Subjunctive,Present,2nd Person,Singular,placeris,placeris,placaris,placaris,You may be calm downed
Passive Subjunctive,Present,2nd Person,Plural,placemini,placemini,placamini,placamini,You (pl.) may be calm downed
Passive Subjunctive,Present,3rd Person,Singular,placetur,placetur,placatur,placatur,He/she/it may be calm downed
Passive Subjunctive,Present,3rd Person,Plural,placentur,placentur,placantur,placantur,They may be calm downed
Passive Subjunctive,Imperfect,1st Person,Singular,placarer,placerer,placerer,placirer,I should be calm downed
Passive Subjunctive,Imperfect,1st Person,Plural,placaremur,placeremur,placeremur,placiremur,We should be calm downed
Passive Subjunctive,Imperfect,2nd Person,Singular,placareris,placereris,placereris,placireris,You would be calm downed
Passive Subjunctive,Imperfect,2nd Person,Plural,placaremini,placeremini,placeremini,placiremini,You (pl.) would be calm downed
Passive Subjunctive,Imperfect,3rd Person,Singular,placaretur,placeretur,placeretur,placiretur,He/she/it would be calm downed
Passive Subjunctive,Imperfect,3rd Person,Plural,placarentur,placerentur,placerentur,placirentur,They would be calm downed
Passive Subjunctive,Perfect,1st Person,Singular,placatus sim,placetus sim,placus sim,placus sim,I may have been calm downed
Passive Subjunctive,Perfect,1st Person,Plural,placati simus,placeti simus,placi simus,placi simus,We may have been calm downed
Passive Subjunctive,Perfect,2nd Person,Singular,placatus sis,placetus sis,placus sis,placus sis,You may have been calm downed
Passive Subjunctive,Perfect,2nd Person,Plural,placati sitis,placeti sitis,placi sitis,placi sitis,You (pl.) may have been calm downed
Passive Subjunctive,Perfect,3rd Person,Singular,placatus sit,placetus sit,placus sit,placus sit,He/she/it may have been calm downed
Passive Subjunctive,Perfect,3rd Person,Plural,placati sint,placeti sint,placi sint,placi sint,They may have been calm downed
Passive Subjunctive,Pluperfect,1st Person,Singular,placatus essem,placetus essem,placus essem,placus essem,I should have been calm downed
