Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pluo,plueo,pluo,pluio,I rain
Active Indicative,Present,1st Person,Plural,pluamus,pluemus,pluimus,pluimus,We rain
Active Indicative,Present,2nd Person,Singular,pluas,plues,pluis,pluis,You rain
Active Indicative,Present,2nd Person,Plural,pluatis,pluetis,pluitis,pluitis,You (pl.) rain
Active Indicative,Present,3rd Person,Singular,pluat,pluet,pluit,pluit,He/she/it rain
Active Indicative,Present,3rd Person,Plural,pluant,pluent,pluiunt,pluiunt,They rain
Active Indicative,Imperfect,1st Person,Singular,pluabam,pluebam,pluebam,pluiebam,I was raining
Active Indicative,Imperfect,1st Person,Plural,pluabamus,pluebamus,pluebamus,pluiebamus,We were raining
Active Indicative,Imperfect,2nd Person,Singular,pluabas,pluebas,pluebas,pluiebas,You were raining
Active Indicative,Imperfect,2nd Person,Plural,pluabatis,pluebatis,pluebatis,pluiebatis,You (pl.) were raining
Active Indicative,Imperfect,3rd Person,Singular,pluabat,pluebat,pluebat,pluiebat,He/she/it was raining
Active Indicative,Imperfect,3rd Person,Plural,pluabant,pluebant,pluebant,pluiebant,They were raining
Active Indicative,Future,1st Person,Singular,pluabo,pluebo,pluam,pluiam,I will rain
Active Indicative,Future,1st Person,Plural,pluabimus,pluebimus,pluemus,pluiemus,We will rain
Active Indicative,Future,2nd Person,Singular,pluabis,pluebis,plues,pluies,You will rain
Active Indicative,Future,2nd Person,Plural,pluabitis,pluebitis,pluetis,pluietis,You (pl.) will rain
Active Indicative,Future,3rd Person,Singular,pluabit,pluebit,pluet,pluiet,He/she/it will rain
Active Indicative,Future,3rd Person,Plural,pluabunt,pluebunt,pluent,pluient,They will rain
Active Indicative,Perfect,1st Person,Singular,pluavi,plui,plui,plui,I have rained
Active Indicative,Perfect,1st Person,Plural,pluavimus,pluimus,pluimus,pluimus,We have rained
Active Indicative,Perfect,2nd Person,Singular,pluavisti,pluisti,pluisti,pluisti,You have rained
Active Indicative,Perfect,2nd Person,Plural,pluavistis,pluistis,pluistis,pluistis,You (pl.) have rained
Active Indicative,Perfect,3rd Person,Singular,pluavit,pluit,pluit,pluit,He/she/it has rained
Active Indicative,Perfect,3rd Person,Plural,pluaverunt,pluerunt,pluerunt,pluerunt,They have rained
Active Indicative,Pluperfect,1st Person,Singular,pluaveram,plueram,plueram,plueram,I had rained
Active Indicative,Pluperfect,1st Person,Plural,pluaveramus,plueramus,plueramus,plueramus,We had rained
