Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pono,poneo,pono,ponio,I lay
Active Indicative,Present,1st Person,Plural,ponamus,ponemus,ponimus,ponimus,We lay
Active Indicative,Present,2nd Person,Singular,ponas,pones,ponis,ponis,You lay
Active Indicative,Present,2nd Person,Plural,ponatis,ponetis,ponitis,ponitis,You (pl.) lay
Active Indicative,Present,3rd Person,Singular,ponat,ponet,ponit,ponit,He/she/it lay
Active Indicative,Present,3rd Person,Plural,ponant,ponent,poniunt,poniunt,They lay
Active Indicative,Imperfect,1st Person,Singular,ponabam,ponebam,ponebam,poniebam,I was laying
Active Indicative,Imperfect,1st Person,Plural,ponabamus,ponebamus,ponebamus,poniebamus,We were laying
Active Indicative,Imperfect,2nd Person,Singular,ponabas,ponebas,ponebas,poniebas,You were laying
Active Indicative,Imperfect,2nd Person,Plural,ponabatis,ponebatis,ponebatis,poniebatis,You (pl.) were laying
Active Indicative,Imperfect,3rd Person,Singular,ponabat,ponebat,ponebat,poniebat,He/she/it was laying
Active Indicative,Imperfect,3rd Person,Plural,ponabant,ponebant,ponebant,poniebant,They were laying
Active Indicative,Future,1st Person,Singular,ponabo,ponebo,ponam,poniam,I will lay
Active Indicative,Future,1st Person,Plural,ponabimus,ponebimus,ponemus,poniemus,We will lay
Active Indicative,Future,2nd Person,Singular,ponabis,ponebis,pones,ponies,You will lay
Active Indicative,Future,2nd Person,Plural,ponabitis,ponebitis,ponetis,ponietis,You (pl.) will lay
Active Indicative,Future,3rd Person,Singular,ponabit,ponebit,ponet,poniet,He/she/it will lay
Active Indicative,Future,3rd Person,Plural,ponabunt,ponebunt,ponent,ponient,They will lay
Active Indicative,Perfect,1st Person,Singular,ponavi,ponui,poni,poni,I have layed
Active Indicative,Perfect,1st Person,Plural,ponavimus,ponuimus,ponimus,ponimus,We have layed
Active Indicative,Perfect,2nd Person,Singular,ponavisti,ponuisti,ponisti,ponisti,You have layed
Active Indicative,Perfect,2nd Person,Plural,ponavistis,ponuistis,ponistis,ponistis,You (pl.) have layed
Active Indicative,Perfect,3rd Person,Singular,ponavit,ponuit,ponit,ponit,He/she/it has layed
Active Indicative,Perfect,3rd Person,Plural,ponaverunt,ponuerunt,ponerunt,ponerunt,They have layed
Active Indicative,Pluperfect,1st Person,Singular,ponaveram,ponueram,poneram,poneram,I had layed
Active Indicative,Pluperfect,1st Person,Plural,ponaveramus,ponueramus,poneramus,poneramus,We had layed
Active Indicative,Pluperfect,2nd Person,Singular,ponaveras,ponueras,poneras,poneras,You had layed
Active Indicative,Pluperfect,2nd Person,Plural,ponaveratis,ponueratis,poneratis,poneratis,You (pl.) had layed
Active Indicative,Pluperfect,3rd Person,Singular,ponaverat,ponuerat,ponerat,ponerat,He/she/it had layed
Active Indicative,Pluperfect,3rd Person,Plural,ponaverant,ponuerant,ponerant,ponerant,They had layed
Active Indicative,Future Perfect,1st Person,Singular,ponavero,ponueero,ponero,poniero,I will have layed
Active Indicative,Future Perfect,1st Person,Plural,ponaverimus,ponuerimus,ponerimus,ponierimus,We will have layed
Active Indicative,Future Perfect,2nd Person,Singular,ponaveris,ponueris,poneris,ponieris,You will have layed
Active Indicative,Future Perfect,2nd Person,Plural,ponaveritis,ponueritis,poneritis,ponieritis,You (pl.) will have layed
Active Indicative,Future Perfect,3rd Person,Singular,ponaverit,ponuerit,ponerit,ponierit,He/she/it will have layed
Active Indicative,Future Perfect,3rd Person,Plural,ponaverint,ponuerint,ponerint,ponierint,They will have layed
Passive Indicative,Present,1st Person,Singular,ponor,poneor,ponor,ponior,I am being layed
Passive Indicative,Present,1st Person,Plural,ponamur,ponemur,ponimur,ponimur,We are being layed
Passive Indicative,Present,2nd Person,Singular,ponaris,poneris,poniris,poniris,You are being layed
Passive Indicative,Present,2nd Person,Plural,ponamini,ponemini,ponimini,ponimini,You (pl.) are being layed
Passive Indicative,Present,3rd Person,Singular,ponatur,ponetur,ponitur,ponitur,He/she/it is being layed
Passive Indicative,Present,3rd Person,Plural,ponantur,ponentur,poniuntur,poniuntur,They are being layed
Passive Indicative,Imperfect,1st Person,Singular,ponabar,ponebar,ponebar,poniebar,I was layed
Passive Indicative,Imperfect,1st Person,Plural,ponabamur,ponebamur,ponebamur,poniebamur,We were layed
Passive Indicative,Imperfect,2nd Person,Singular,ponabaris,ponebaris,ponebaris,poniebaris,You were layed
Passive Indicative,Imperfect,2nd Person,Plural,ponabamini,ponebamini,ponebamini,poniebamini,You (pl.) were layed
Passive Indicative,Imperfect,3rd Person,Singular,ponabatur,ponebatur,ponebatur,poniebatur,He/she/it was layed
Passive Indicative,Imperfect,3rd Person,Plural,ponabantur,ponebantur,ponebantur,poniebantur,They were layed
Passive Indicative,Future,1st Person,Singular,ponabor,ponebor,ponar,poniar,I will be layed
Passive Indicative,Future,1st Person,Plural,ponabimur,ponebimur,ponemur,poniemur,We will be layed
Passive Indicative,Future,2nd Person,Singular,ponaberis,poneberis,poneris,ponieris,You will be layed
Passive Indicative,Future,2nd Person,Plural,ponabimini,ponebimini,ponemini,poniemini,You (pl.) will be layed
Passive Indicative,Future,3rd Person,Singular,ponabitur,ponebitur,ponetur,ponietur,He/she/it will be layed
Passive Indicative,Future,3rd Person,Plural,ponabuntur,ponebuntur,ponentur,ponientur,They will be layed
Passive Indicative,Perfect,1st Person,Singular,ponatus sum,ponetus sum,ponus sum,ponus sum,I have been layed
Passive Indicative,Perfect,1st Person,Plural,ponati sumus,poneti sumus,poni sumus,poni sumus,We have been layed
Passive Indicative,Perfect,2nd Person,Singular,ponatus es,ponetus es,ponus es,ponus es,You have been layed
Passive Indicative,Perfect,2nd Person,Plural,ponati estis,poneti estis,poni estis,poni estis,You (pl.) have been layed
Passive Indicative,Perfect,3rd Person,Singular,ponatus est,ponetus est,ponus est,ponus est,He/she/it has been layed
Passive Indicative,Perfect,3rd Person,Plural,ponati sunt,poneti sunt,poni sunt,poni sunt,They have been layed
Passive Indicative,Pluperfect,1st Person,Singular,ponatus eram,ponetus eram,ponus eram,ponus eram,I had been layed
Passive Indicative,Pluperfect,1st Person,Plural,ponati eramus,poneti eramus,poni eramus,poni eramus,We had been layed
Passive Indicative,Pluperfect,2nd Person,Singular,ponatus eras,ponetus eras,ponus eras,ponus eras,You had been layed
Passive Indicative,Pluperfect,2nd Person,Plural,ponati eratis,poneti eratis,poni eratis,poni eratis,You (pl.) had been layed
Passive Indicative,Pluperfect,3rd Person,Singular,ponatus erat,ponetus erat,ponus erat,ponus erat,He/she/it had been layed
Passive Indicative,Pluperfect,3rd Person,Plural,ponati erant,poneti erant,poni erant,poni erant,They had been layed
Passive Indicative,Future Perfect,1st Person,Singular,ponatus ero,ponetus ero,ponus ero,ponus ero,I will have been layed
Passive Indicative,Future Perfect,1st Person,Plural,ponati erimus,poneti erimus,poni erimus,poni erimus,We will have been layed
Passive Indicative,Future Perfect,2nd Person,Singular,ponatus eris,ponetus eris,ponus eris,ponus eris,You will have been layed
Passive Indicative,Future Perfect,2nd Person,Plural,ponati eritis,poneti eritis,poni eritis,poni eritis,You (pl.) will have been layed
Passive Indicative,Future Perfect,3rd Person,Singular,ponatus erit,ponetus erit,ponus erit,ponus erit,He/she/it will have been layed
Passive Indicative,Future Perfect,3rd Person,Plural,ponati erunt,poneti erunt,poni erunt,poni erunt,They will have been layed
Active Subjunctive,Present,1st Person,Singular,ponem,ponem,ponam,ponam,I may lay
Active Subjunctive,Present,1st Person,Plural,ponemus,ponemus,ponamus,ponamus,We may lay
Active Subjunctive,Present,2nd Person,Singular,pones,pones,ponas,ponas,You may lay
Active Subjunctive,Present,2nd Person,Plural,ponetis,ponetis,ponatis,ponatis,You (pl.) may lay
Active Subjunctive,Present,3rd Person,Singular,ponet,ponet,ponat,ponat,He/she/it may lay
Active Subjunctive,Present,3rd Person,Plural,ponent,ponent,ponant,ponant,They may lay
Active Subjunctive,Imperfect,1st Person,Singular,ponarem,ponerem,ponerem,ponirem,I should lay
Active Subjunctive,Imperfect,1st Person,Plural,ponaremus,poneremus,poneremus,poniremus,We should lay
Active Subjunctive,Imperfect,2nd Person,Singular,ponares,poneres,poneres,ponires,You should lay
Active Subjunctive,Imperfect,2nd Person,Plural,ponaretis,poneretis,poneretis,poniretis,You (pl.) should lay
Active Subjunctive,Imperfect,3rd Person,Singular,ponaret,poneret,poneret,poniret,He/she/it should lay
Active Subjunctive,Imperfect,3rd Person,Plural,ponarent,ponerent,ponerent,ponirent,They should lay
Active Subjunctive,Perfect,1st Person,Singular,ponerim,ponuerim,ponerim,ponierim,I may have layed
Active Subjunctive,Perfect,1st Person,Plural,ponerimus,ponuerimus,ponerimus,ponierimus,We may have layed
Active Subjunctive,Perfect,2nd Person,Singular,poneris,ponueris,poneris,ponieris,You may have layed
Active Subjunctive,Perfect,2nd Person,Plural,poneritis,ponueritis,poneritis,ponieritis,You (pl.) may have layed
Active Subjunctive,Perfect,3rd Person,Singular,ponerit,ponuerit,ponerit,ponierit,He/she/it may have layed
Active Subjunctive,Perfect,3rd Person,Plural,ponerint,ponuerint,ponerint,ponierint,They may have layed
Active Subjunctive,Pluperfect,1st Person,Singular,ponissem,ponuissem,ponissem,ponissem,I should have layed
Active Subjunctive,Pluperfect,1st Person,Plural,ponissemus,ponuissemus,ponissemus,ponissemus,We should have layed
Active Subjunctive,Pluperfect,2nd Person,Singular,ponisses,ponuisses,ponisses,ponisses,You would have layed
Active Subjunctive,Pluperfect,2nd Person,Plural,ponissetis,ponuissetis,ponissetis,ponissetis,You (pl.) would have layed
Active Subjunctive,Pluperfect,3rd Person,Singular,ponisset,ponuisset,ponisset,ponisset,He/she/it would have layed
Active Subjunctive,Pluperfect,3rd Person,Plural,ponissent,ponuissent,ponissent,ponissent,They would have layed
Passive Subjunctive,Present,1st Person,Singular,poner,poner,ponar,ponar,I may be layed
Passive Subjunctive,Present,1st Person,Plural,ponemur,ponemur,ponamur,ponamur,We may be layed
Passive Subjunctive,Present,2nd Person,Singular,poneris,poneris,ponaris,ponaris,You may be layed
Passive Subjunctive,Present,2nd Person,Plural,ponemini,ponemini,ponamini,ponamini,You (pl.) may be layed
Passive Subjunctive,Present,3rd Person,Singular,ponetur,ponetur,ponatur,ponatur,He/she/it may be layed
Passive Subjunctive,Present,3rd Person,Plural,ponentur,ponentur,ponantur,ponantur,They may be layed
Passive Subjunctive,Imperfect,1st Person,Singular,ponarer,ponerer,ponerer,ponirer,I should be layed
Passive Subjunctive,Imperfect,1st Person,Plural,ponaremur,poneremur,poneremur,poniremur,We should be layed
Passive Subjunctive,Imperfect,2nd Person,Singular,ponareris,ponereris,ponereris,ponireris,You would be layed
Passive Subjunctive,Imperfect,2nd Person,Plural,ponaremini,poneremini,poneremini,poniremini,You (pl.) would be layed
Passive Subjunctive,Imperfect,3rd Person,Singular,ponaretur,poneretur,poneretur,poniretur,He/she/it would be layed
Passive Subjunctive,Imperfect,3rd Person,Plural,ponarentur,ponerentur,ponerentur,ponirentur,They would be layed
Passive Subjunctive,Perfect,1st Person,Singular,ponatus sim,ponetus sim,ponus sim,ponus sim,I may have been layed
Passive Subjunctive,Perfect,1st Person,Plural,ponati simus,poneti simus,poni simus,poni simus,We may have been layed
Passive Subjunctive,Perfect,2nd Person,Singular,ponatus sis,ponetus sis,ponus sis,ponus sis,You may have been layed
