Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,praedico,praediceo,praedico,praedicio,I foretell
Active Indicative,Present,1st Person,Plural,praedicamus,praedicemus,praedicimus,praedicimus,We foretell
Active Indicative,Present,2nd Person,Singular,praedicas,praedices,praedicis,praedicis,You foretell
Active Indicative,Present,2nd Person,Plural,praedicatis,praedicetis,praedicitis,praedicitis,You (pl.) foretell
Active Indicative,Present,3rd Person,Singular,praedicat,praedicet,praedicit,praedicit,He/she/it foretell
Active Indicative,Present,3rd Person,Plural,praedicant,praedicent,praediciunt,praediciunt,They foretell
Active Indicative,Imperfect,1st Person,Singular,praedicabam,praedicebam,praedicebam,praediciebam,I was foretelling
Active Indicative,Imperfect,1st Person,Plural,praedicabamus,praedicebamus,praedicebamus,praediciebamus,We were foretelling
Active Indicative,Imperfect,2nd Person,Singular,praedicabas,praedicebas,praedicebas,praediciebas,You were foretelling
Active Indicative,Imperfect,2nd Person,Plural,praedicabatis,praedicebatis,praedicebatis,praediciebatis,You (pl.) were foretelling
Active Indicative,Imperfect,3rd Person,Singular,praedicabat,praedicebat,praedicebat,praediciebat,He/she/it was foretelling
Active Indicative,Imperfect,3rd Person,Plural,praedicabant,praedicebant,praedicebant,praediciebant,They were foretelling
Active Indicative,Future,1st Person,Singular,praedicabo,praedicebo,praedicam,praediciam,I will foretell
Active Indicative,Future,1st Person,Plural,praedicabimus,praedicebimus,praedicemus,praediciemus,We will foretell
Active Indicative,Future,2nd Person,Singular,praedicabis,praedicebis,praedices,praedicies,You will foretell
Active Indicative,Future,2nd Person,Plural,praedicabitis,praedicebitis,praedicetis,praedicietis,You (pl.) will foretell
Active Indicative,Future,3rd Person,Singular,praedicabit,praedicebit,praedicet,praediciet,He/she/it will foretell
Active Indicative,Future,3rd Person,Plural,praedicabunt,praedicebunt,praedicent,praedicient,They will foretell
Active Indicative,Perfect,1st Person,Singular,praedicavi,praedicui,praedici,praedici,I have foretelled
Active Indicative,Perfect,1st Person,Plural,praedicavimus,praedicuimus,praedicimus,praedicimus,We have foretelled
Active Indicative,Perfect,2nd Person,Singular,praedicavisti,praedicuisti,praedicisti,praedicisti,You have foretelled
Active Indicative,Perfect,2nd Person,Plural,praedicavistis,praedicuistis,praedicistis,praedicistis,You (pl.) have foretelled
Active Indicative,Perfect,3rd Person,Singular,praedicavit,praedicuit,praedicit,praedicit,He/she/it has foretelled
Active Indicative,Perfect,3rd Person,Plural,praedicaverunt,praedicuerunt,praedicerunt,praedicerunt,They have foretelled
Active Indicative,Pluperfect,1st Person,Singular,praedicaveram,praedicueram,praediceram,praediceram,I had foretelled
Active Indicative,Pluperfect,1st Person,Plural,praedicaveramus,praedicueramus,praediceramus,praediceramus,We had foretelled
Active Indicative,Pluperfect,2nd Person,Singular,praedicaveras,praedicueras,praediceras,praediceras,You had foretelled
Active Indicative,Pluperfect,2nd Person,Plural,praedicaveratis,praedicueratis,praediceratis,praediceratis,You (pl.) had foretelled
Active Indicative,Pluperfect,3rd Person,Singular,praedicaverat,praedicuerat,praedicerat,praedicerat,He/she/it had foretelled
Active Indicative,Pluperfect,3rd Person,Plural,praedicaverant,praedicuerant,praedicerant,praedicerant,They had foretelled
Active Indicative,Future Perfect,1st Person,Singular,praedicavero,praedicueero,praedicero,praediciero,I will have foretelled
Active Indicative,Future Perfect,1st Person,Plural,praedicaverimus,praedicuerimus,praedicerimus,praedicierimus,We will have foretelled
Active Indicative,Future Perfect,2nd Person,Singular,praedicaveris,praedicueris,praediceris,praedicieris,You will have foretelled
Active Indicative,Future Perfect,2nd Person,Plural,praedicaveritis,praedicueritis,praediceritis,praedicieritis,You (pl.) will have foretelled
Active Indicative,Future Perfect,3rd Person,Singular,praedicaverit,praedicuerit,praedicerit,praedicierit,He/she/it will have foretelled
Active Indicative,Future Perfect,3rd Person,Plural,praedicaverint,praedicuerint,praedicerint,praedicierint,They will have foretelled
Passive Indicative,Present,1st Person,Singular,praedicor,praediceor,praedicor,praedicior,I am being foretelled
Passive Indicative,Present,1st Person,Plural,praedicamur,praedicemur,praedicimur,praedicimur,We are being foretelled
Passive Indicative,Present,2nd Person,Singular,praedicaris,praediceris,praediciris,praediciris,You are being foretelled
Passive Indicative,Present,2nd Person,Plural,praedicamini,praedicemini,praedicimini,praedicimini,You (pl.) are being foretelled
Passive Indicative,Present,3rd Person,Singular,praedicatur,praedicetur,praedicitur,praedicitur,He/she/it is being foretelled
Passive Indicative,Present,3rd Person,Plural,praedicantur,praedicentur,praediciuntur,praediciuntur,They are being foretelled
Passive Indicative,Imperfect,1st Person,Singular,praedicabar,praedicebar,praedicebar,praediciebar,I was foretelled
Passive Indicative,Imperfect,1st Person,Plural,praedicabamur,praedicebamur,praedicebamur,praediciebamur,We were foretelled
Passive Indicative,Imperfect,2nd Person,Singular,praedicabaris,praedicebaris,praedicebaris,praediciebaris,You were foretelled
Passive Indicative,Imperfect,2nd Person,Plural,praedicabamini,praedicebamini,praedicebamini,praediciebamini,You (pl.) were foretelled
Passive Indicative,Imperfect,3rd Person,Singular,praedicabatur,praedicebatur,praedicebatur,praediciebatur,He/she/it was foretelled
Passive Indicative,Imperfect,3rd Person,Plural,praedicabantur,praedicebantur,praedicebantur,praediciebantur,They were foretelled
Passive Indicative,Future,1st Person,Singular,praedicabor,praedicebor,praedicar,praediciar,I will be foretelled
Passive Indicative,Future,1st Person,Plural,praedicabimur,praedicebimur,praedicemur,praediciemur,We will be foretelled
Passive Indicative,Future,2nd Person,Singular,praedicaberis,praediceberis,praediceris,praedicieris,You will be foretelled
Passive Indicative,Future,2nd Person,Plural,praedicabimini,praedicebimini,praedicemini,praediciemini,You (pl.) will be foretelled
Passive Indicative,Future,3rd Person,Singular,praedicabitur,praedicebitur,praedicetur,praedicietur,He/she/it will be foretelled
Passive Indicative,Future,3rd Person,Plural,praedicabuntur,praedicebuntur,praedicentur,praedicientur,They will be foretelled
Passive Indicative,Perfect,1st Person,Singular,praedicatus sum,praedicetus sum,praedicus sum,praedicus sum,I have been foretelled
Passive Indicative,Perfect,1st Person,Plural,praedicati sumus,praediceti sumus,praedici sumus,praedici sumus,We have been foretelled
Passive Indicative,Perfect,2nd Person,Singular,praedicatus es,praedicetus es,praedicus es,praedicus es,You have been foretelled
