Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,praeparo,praepareo,praeparo,praepario,I prepare
Active Indicative,Present,1st Person,Plural,praeparamus,praeparemus,praeparimus,praeparimus,We prepare
Active Indicative,Present,2nd Person,Singular,praeparas,praepares,praeparis,praeparis,You prepare
Active Indicative,Present,2nd Person,Plural,praeparatis,praeparetis,praeparitis,praeparitis,You (pl.) prepare
Active Indicative,Present,3rd Person,Singular,praeparat,praeparet,praeparit,praeparit,He/she/it prepare
Active Indicative,Present,3rd Person,Plural,praeparant,praeparent,praepariunt,praepariunt,They prepare
Active Indicative,Imperfect,1st Person,Singular,praeparabam,praeparebam,praeparebam,praepariebam,I was prepareing
Active Indicative,Imperfect,1st Person,Plural,praeparabamus,praeparebamus,praeparebamus,praepariebamus,We were prepareing
Active Indicative,Imperfect,2nd Person,Singular,praeparabas,praeparebas,praeparebas,praepariebas,You were prepareing
Active Indicative,Imperfect,2nd Person,Plural,praeparabatis,praeparebatis,praeparebatis,praepariebatis,You (pl.) were prepareing
Active Indicative,Imperfect,3rd Person,Singular,praeparabat,praeparebat,praeparebat,praepariebat,He/she/it was prepareing
Active Indicative,Imperfect,3rd Person,Plural,praeparabant,praeparebant,praeparebant,praepariebant,They were prepareing
Active Indicative,Future,1st Person,Singular,praeparabo,praeparebo,praeparam,praepariam,I will prepare
Active Indicative,Future,1st Person,Plural,praeparabimus,praeparebimus,praeparemus,praepariemus,We will prepare
Active Indicative,Future,2nd Person,Singular,praeparabis,praeparebis,praepares,praeparies,You will prepare
Active Indicative,Future,2nd Person,Plural,praeparabitis,praeparebitis,praeparetis,praeparietis,You (pl.) will prepare
Active Indicative,Future,3rd Person,Singular,praeparabit,praeparebit,praeparet,praepariet,He/she/it will prepare
Active Indicative,Future,3rd Person,Plural,praeparabunt,praeparebunt,praeparent,praeparient,They will prepare
Active Indicative,Perfect,1st Person,Singular,praeparavi,praeparui,praepari,praepari,I have prepareed
Active Indicative,Perfect,1st Person,Plural,praeparavimus,praeparuimus,praeparimus,praeparimus,We have prepareed
