Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pronuntio,pronuntieo,pronuntio,pronuntio,I declare
Active Indicative,Present,1st Person,Plural,pronuntiamus,pronuntiemus,pronuntimus,pronuntimus,We declare
Active Indicative,Present,2nd Person,Singular,pronuntias,pronunties,pronuntis,pronuntis,You declare
Active Indicative,Present,2nd Person,Plural,pronuntiatis,pronuntietis,pronuntitis,pronuntitis,You (pl.) declare
Active Indicative,Present,3rd Person,Singular,pronuntiat,pronuntiet,pronuntit,pronuntit,He/she/it declare
Active Indicative,Present,3rd Person,Plural,pronuntiant,pronuntient,pronuntiunt,pronuntiunt,They declare
Active Indicative,Imperfect,1st Person,Singular,pronuntiabam,pronuntiebam,pronuntiebam,pronuntiebam,I was declareing
Active Indicative,Imperfect,1st Person,Plural,pronuntiabamus,pronuntiebamus,pronuntiebamus,pronuntiebamus,We were declareing
Active Indicative,Imperfect,2nd Person,Singular,pronuntiabas,pronuntiebas,pronuntiebas,pronuntiebas,You were declareing
Active Indicative,Imperfect,2nd Person,Plural,pronuntiabatis,pronuntiebatis,pronuntiebatis,pronuntiebatis,You (pl.) were declareing
Active Indicative,Imperfect,3rd Person,Singular,pronuntiabat,pronuntiebat,pronuntiebat,pronuntiebat,He/she/it was declareing
Active Indicative,Imperfect,3rd Person,Plural,pronuntiabant,pronuntiebant,pronuntiebant,pronuntiebant,They were declareing
Active Indicative,Future,1st Person,Singular,pronuntiabo,pronuntiebo,pronuntiam,pronuntiam,I will declare
Active Indicative,Future,1st Person,Plural,pronuntiabimus,pronuntiebimus,pronuntiemus,pronuntiemus,We will declare
Active Indicative,Future,2nd Person,Singular,pronuntiabis,pronuntiebis,pronunties,pronunties,You will declare
Active Indicative,Future,2nd Person,Plural,pronuntiabitis,pronuntiebitis,pronuntietis,pronuntietis,You (pl.) will declare
Active Indicative,Future,3rd Person,Singular,pronuntiabit,pronuntiebit,pronuntiet,pronuntiet,He/she/it will declare
Active Indicative,Future,3rd Person,Plural,pronuntiabunt,pronuntiebunt,pronuntient,pronuntient,They will declare
Active Indicative,Perfect,1st Person,Singular,pronuntiavi,pronuntiui,pronunti,pronunti,I have declareed
Active Indicative,Perfect,1st Person,Plural,pronuntiavimus,pronuntiuimus,pronuntimus,pronuntimus,We have declareed
Active Indicative,Perfect,2nd Person,Singular,pronuntiavisti,pronuntiuisti,pronuntisti,pronuntisti,You have declareed
Active Indicative,Perfect,2nd Person,Plural,pronuntiavistis,pronuntiuistis,pronuntistis,pronuntistis,You (pl.) have declareed
Active Indicative,Perfect,3rd Person,Singular,pronuntiavit,pronuntiuit,pronuntit,pronuntit,He/she/it has declareed
Active Indicative,Perfect,3rd Person,Plural,pronuntiaverunt,pronuntiuerunt,pronuntierunt,pronuntierunt,They have declareed
Active Indicative,Pluperfect,1st Person,Singular,pronuntiaveram,pronuntiueram,pronuntieram,pronuntieram,I had declareed
Active Indicative,Pluperfect,1st Person,Plural,pronuntiaveramus,pronuntiueramus,pronuntieramus,pronuntieramus,We had declareed
Active Indicative,Pluperfect,2nd Person,Singular,pronuntiaveras,pronuntiueras,pronuntieras,pronuntieras,You had declareed
Active Indicative,Pluperfect,2nd Person,Plural,pronuntiaveratis,pronuntiueratis,pronuntieratis,pronuntieratis,You (pl.) had declareed
Active Indicative,Pluperfect,3rd Person,Singular,pronuntiaverat,pronuntiuerat,pronuntierat,pronuntierat,He/she/it had declareed
Active Indicative,Pluperfect,3rd Person,Plural,pronuntiaverant,pronuntiuerant,pronuntierant,pronuntierant,They had declareed
Active Indicative,Future Perfect,1st Person,Singular,pronuntiavero,pronuntiueero,pronuntiero,pronuntiero,I will have declareed
Active Indicative,Future Perfect,1st Person,Plural,pronuntiaverimus,pronuntiuerimus,pronuntierimus,pronuntierimus,We will have declareed
