Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,propello,propelleo,propello,propellio,I push
Active Indicative,Present,1st Person,Plural,propellamus,propellemus,propellimus,propellimus,We push
Active Indicative,Present,2nd Person,Singular,propellas,propelles,propellis,propellis,You push
Active Indicative,Present,2nd Person,Plural,propellatis,propelletis,propellitis,propellitis,You (pl.) push
Active Indicative,Present,3rd Person,Singular,propellat,propellet,propellit,propellit,He/she/it push
Active Indicative,Present,3rd Person,Plural,propellant,propellent,propelliunt,propelliunt,They push
Active Indicative,Imperfect,1st Person,Singular,propellabam,propellebam,propellebam,propelliebam,I was pushing
Active Indicative,Imperfect,1st Person,Plural,propellabamus,propellebamus,propellebamus,propelliebamus,We were pushing
Active Indicative,Imperfect,2nd Person,Singular,propellabas,propellebas,propellebas,propelliebas,You were pushing
Active Indicative,Imperfect,2nd Person,Plural,propellabatis,propellebatis,propellebatis,propelliebatis,You (pl.) were pushing
Active Indicative,Imperfect,3rd Person,Singular,propellabat,propellebat,propellebat,propelliebat,He/she/it was pushing
Active Indicative,Imperfect,3rd Person,Plural,propellabant,propellebant,propellebant,propelliebant,They were pushing
Active Indicative,Future,1st Person,Singular,propellabo,propellebo,propellam,propelliam,I will push
Active Indicative,Future,1st Person,Plural,propellabimus,propellebimus,propellemus,propelliemus,We will push
Active Indicative,Future,2nd Person,Singular,propellabis,propellebis,propelles,propellies,You will push
Active Indicative,Future,2nd Person,Plural,propellabitis,propellebitis,propelletis,propellietis,You (pl.) will push
Active Indicative,Future,3rd Person,Singular,propellabit,propellebit,propellet,propelliet,He/she/it will push
Active Indicative,Future,3rd Person,Plural,propellabunt,propellebunt,propellent,propellient,They will push
Active Indicative,Perfect,1st Person,Singular,propellavi,propellui,propelli,propelli,I have pushed
Active Indicative,Perfect,1st Person,Plural,propellavimus,propelluimus,propellimus,propellimus,We have pushed
Active Indicative,Perfect,2nd Person,Singular,propellavisti,propelluisti,propellisti,propellisti,You have pushed
Active Indicative,Perfect,2nd Person,Plural,propellavistis,propelluistis,propellistis,propellistis,You (pl.) have pushed
Active Indicative,Perfect,3rd Person,Singular,propellavit,propelluit,propellit,propellit,He/she/it has pushed
Active Indicative,Perfect,3rd Person,Plural,propellaverunt,propelluerunt,propellerunt,propellerunt,They have pushed
Active Indicative,Pluperfect,1st Person,Singular,propellaveram,propellueram,propelleram,propelleram,I had pushed
Active Indicative,Pluperfect,1st Person,Plural,propellaveramus,propellueramus,propelleramus,propelleramus,We had pushed
Active Indicative,Pluperfect,2nd Person,Singular,propellaveras,propellueras,propelleras,propelleras,You had pushed
Active Indicative,Pluperfect,2nd Person,Plural,propellaveratis,propellueratis,propelleratis,propelleratis,You (pl.) had pushed
Active Indicative,Pluperfect,3rd Person,Singular,propellaverat,propelluerat,propellerat,propellerat,He/she/it had pushed
Active Indicative,Pluperfect,3rd Person,Plural,propellaverant,propelluerant,propellerant,propellerant,They had pushed
Active Indicative,Future Perfect,1st Person,Singular,propellavero,propellueero,propellero,propelliero,I will have pushed
Active Indicative,Future Perfect,1st Person,Plural,propellaverimus,propelluerimus,propellerimus,propellierimus,We will have pushed
Active Indicative,Future Perfect,2nd Person,Singular,propellaveris,propellueris,propelleris,propellieris,You will have pushed
Active Indicative,Future Perfect,2nd Person,Plural,propellaveritis,propellueritis,propelleritis,propellieritis,You (pl.) will have pushed
Active Indicative,Future Perfect,3rd Person,Singular,propellaverit,propelluerit,propellerit,propellierit,He/she/it will have pushed
Active Indicative,Future Perfect,3rd Person,Plural,propellaverint,propelluerint,propellerint,propellierint,They will have pushed
Passive Indicative,Present,1st Person,Singular,propellor,propelleor,propellor,propellior,I am being pushed
Passive Indicative,Present,1st Person,Plural,propellamur,propellemur,propellimur,propellimur,We are being pushed
Passive Indicative,Present,2nd Person,Singular,propellaris,propelleris,propelliris,propelliris,You are being pushed
Passive Indicative,Present,2nd Person,Plural,propellamini,propellemini,propellimini,propellimini,You (pl.) are being pushed
Passive Indicative,Present,3rd Person,Singular,propellatur,propelletur,propellitur,propellitur,He/she/it is being pushed
Passive Indicative,Present,3rd Person,Plural,propellantur,propellentur,propelliuntur,propelliuntur,They are being pushed
Passive Indicative,Imperfect,1st Person,Singular,propellabar,propellebar,propellebar,propelliebar,I was pushed
Passive Indicative,Imperfect,1st Person,Plural,propellabamur,propellebamur,propellebamur,propelliebamur,We were pushed
Passive Indicative,Imperfect,2nd Person,Singular,propellabaris,propellebaris,propellebaris,propelliebaris,You were pushed
Passive Indicative,Imperfect,2nd Person,Plural,propellabamini,propellebamini,propellebamini,propelliebamini,You (pl.) were pushed
Passive Indicative,Imperfect,3rd Person,Singular,propellabatur,propellebatur,propellebatur,propelliebatur,He/she/it was pushed
Passive Indicative,Imperfect,3rd Person,Plural,propellabantur,propellebantur,propellebantur,propelliebantur,They were pushed
Passive Indicative,Future,1st Person,Singular,propellabor,propellebor,propellar,propelliar,I will be pushed
Passive Indicative,Future,1st Person,Plural,propellabimur,propellebimur,propellemur,propelliemur,We will be pushed
Passive Indicative,Future,2nd Person,Singular,propellaberis,propelleberis,propelleris,propellieris,You will be pushed
Passive Indicative,Future,2nd Person,Plural,propellabimini,propellebimini,propellemini,propelliemini,You (pl.) will be pushed
