Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pudo,pudeo,pudo,pudio,I shame
Active Indicative,Present,1st Person,Plural,pudamus,pudemus,pudimus,pudimus,We shame
Active Indicative,Present,2nd Person,Singular,pudas,pudes,pudis,pudis,You shame
Active Indicative,Present,2nd Person,Plural,pudatis,pudetis,puditis,puditis,You (pl.) shame
Active Indicative,Present,3rd Person,Singular,pudat,pudet,pudit,pudit,He/she/it shame
Active Indicative,Present,3rd Person,Plural,pudant,pudent,pudiunt,pudiunt,They shame
Active Indicative,Imperfect,1st Person,Singular,pudabam,pudebam,pudebam,pudiebam,I was shameing
Active Indicative,Imperfect,1st Person,Plural,pudabamus,pudebamus,pudebamus,pudiebamus,We were shameing
Active Indicative,Imperfect,2nd Person,Singular,pudabas,pudebas,pudebas,pudiebas,You were shameing
Active Indicative,Imperfect,2nd Person,Plural,pudabatis,pudebatis,pudebatis,pudiebatis,You (pl.) were shameing
Active Indicative,Imperfect,3rd Person,Singular,pudabat,pudebat,pudebat,pudiebat,He/she/it was shameing
Active Indicative,Imperfect,3rd Person,Plural,pudabant,pudebant,pudebant,pudiebant,They were shameing
Active Indicative,Future,1st Person,Singular,pudabo,pudebo,pudam,pudiam,I will shame
Active Indicative,Future,1st Person,Plural,pudabimus,pudebimus,pudemus,pudiemus,We will shame
Active Indicative,Future,2nd Person,Singular,pudabis,pudebis,pudes,pudies,You will shame
Active Indicative,Future,2nd Person,Plural,pudabitis,pudebitis,pudetis,pudietis,You (pl.) will shame
Active Indicative,Future,3rd Person,Singular,pudabit,pudebit,pudet,pudiet,He/she/it will shame
Active Indicative,Future,3rd Person,Plural,pudabunt,pudebunt,pudent,pudient,They will shame
Active Indicative,Perfect,1st Person,Singular,pudavi,pudui,pudi,pudi,I have shameed
Active Indicative,Perfect,1st Person,Plural,pudavimus,puduimus,pudimus,pudimus,We have shameed
Active Indicative,Perfect,2nd Person,Singular,pudavisti,puduisti,pudisti,pudisti,You have shameed
Active Indicative,Perfect,2nd Person,Plural,pudavistis,puduistis,pudistis,pudistis,You (pl.) have shameed
Active Indicative,Perfect,3rd Person,Singular,pudavit,puduit,pudit,pudit,He/she/it has shameed
Active Indicative,Perfect,3rd Person,Plural,pudaverunt,puduerunt,puderunt,puderunt,They have shameed
Active Indicative,Pluperfect,1st Person,Singular,pudaveram,pudueram,puderam,puderam,I had shameed
Active Indicative,Pluperfect,1st Person,Plural,pudaveramus,pudueramus,puderamus,puderamus,We had shameed
Active Indicative,Pluperfect,2nd Person,Singular,pudaveras,pudueras,puderas,puderas,You had shameed
Active Indicative,Pluperfect,2nd Person,Plural,pudaveratis,pudueratis,puderatis,puderatis,You (pl.) had shameed
Active Indicative,Pluperfect,3rd Person,Singular,pudaverat,puduerat,puderat,puderat,He/she/it had shameed
Active Indicative,Pluperfect,3rd Person,Plural,pudaverant,puduerant,puderant,puderant,They had shameed
Active Indicative,Future Perfect,1st Person,Singular,pudavero,pudueero,pudero,pudiero,I will have shameed
Active Indicative,Future Perfect,1st Person,Plural,pudaverimus,puduerimus,puderimus,pudierimus,We will have shameed
Active Indicative,Future Perfect,2nd Person,Singular,pudaveris,pudueris,puderis,pudieris,You will have shameed
Active Indicative,Future Perfect,2nd Person,Plural,pudaveritis,pudueritis,puderitis,pudieritis,You (pl.) will have shameed
Active Indicative,Future Perfect,3rd Person,Singular,pudaverit,puduerit,puderit,pudierit,He/she/it will have shameed
Active Indicative,Future Perfect,3rd Person,Plural,pudaverint,puduerint,puderint,pudierint,They will have shameed
Passive Indicative,Present,1st Person,Singular,pudor,pudeor,pudor,pudior,I am being shameed
Passive Indicative,Present,1st Person,Plural,pudamur,pudemur,pudimur,pudimur,We are being shameed
Passive Indicative,Present,2nd Person,Singular,pudaris,puderis,pudiris,pudiris,You are being shameed
Passive Indicative,Present,2nd Person,Plural,pudamini,pudemini,pudimini,pudimini,You (pl.) are being shameed
Passive Indicative,Present,3rd Person,Singular,pudatur,pudetur,puditur,puditur,He/she/it is being shameed
Passive Indicative,Present,3rd Person,Plural,pudantur,pudentur,pudiuntur,pudiuntur,They are being shameed
Passive Indicative,Imperfect,1st Person,Singular,pudabar,pudebar,pudebar,pudiebar,I was shameed
Passive Indicative,Imperfect,1st Person,Plural,pudabamur,pudebamur,pudebamur,pudiebamur,We were shameed
Passive Indicative,Imperfect,2nd Person,Singular,pudabaris,pudebaris,pudebaris,pudiebaris,You were shameed
Passive Indicative,Imperfect,2nd Person,Plural,pudabamini,pudebamini,pudebamini,pudiebamini,You (pl.) were shameed
Passive Indicative,Imperfect,3rd Person,Singular,pudabatur,pudebatur,pudebatur,pudiebatur,He/she/it was shameed
Passive Indicative,Imperfect,3rd Person,Plural,pudabantur,pudebantur,pudebantur,pudiebantur,They were shameed
Passive Indicative,Future,1st Person,Singular,pudabor,pudebor,pudar,pudiar,I will be shameed
