Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pugno,pugneo,pugno,pugnio,I combat
Active Indicative,Present,1st Person,Plural,pugnamus,pugnemus,pugnimus,pugnimus,We combat
Active Indicative,Present,2nd Person,Singular,pugnas,pugnes,pugnis,pugnis,You combat
Active Indicative,Present,2nd Person,Plural,pugnatis,pugnetis,pugnitis,pugnitis,You (pl.) combat
Active Indicative,Present,3rd Person,Singular,pugnat,pugnet,pugnit,pugnit,He/she/it combat
Active Indicative,Present,3rd Person,Plural,pugnant,pugnent,pugniunt,pugniunt,They combat
Active Indicative,Imperfect,1st Person,Singular,pugnabam,pugnebam,pugnebam,pugniebam,I was combating
Active Indicative,Imperfect,1st Person,Plural,pugnabamus,pugnebamus,pugnebamus,pugniebamus,We were combating
Active Indicative,Imperfect,2nd Person,Singular,pugnabas,pugnebas,pugnebas,pugniebas,You were combating
Active Indicative,Imperfect,2nd Person,Plural,pugnabatis,pugnebatis,pugnebatis,pugniebatis,You (pl.) were combating
Active Indicative,Imperfect,3rd Person,Singular,pugnabat,pugnebat,pugnebat,pugniebat,He/she/it was combating
Active Indicative,Imperfect,3rd Person,Plural,pugnabant,pugnebant,pugnebant,pugniebant,They were combating
Active Indicative,Future,1st Person,Singular,pugnabo,pugnebo,pugnam,pugniam,I will combat
Active Indicative,Future,1st Person,Plural,pugnabimus,pugnebimus,pugnemus,pugniemus,We will combat
Active Indicative,Future,2nd Person,Singular,pugnabis,pugnebis,pugnes,pugnies,You will combat
Active Indicative,Future,2nd Person,Plural,pugnabitis,pugnebitis,pugnetis,pugnietis,You (pl.) will combat
Active Indicative,Future,3rd Person,Singular,pugnabit,pugnebit,pugnet,pugniet,He/she/it will combat
Active Indicative,Future,3rd Person,Plural,pugnabunt,pugnebunt,pugnent,pugnient,They will combat
Active Indicative,Perfect,1st Person,Singular,pugnavi,pugnui,pugni,pugni,I have combated
Active Indicative,Perfect,1st Person,Plural,pugnavimus,pugnuimus,pugnimus,pugnimus,We have combated
Active Indicative,Perfect,2nd Person,Singular,pugnavisti,pugnuisti,pugnisti,pugnisti,You have combated
Active Indicative,Perfect,2nd Person,Plural,pugnavistis,pugnuistis,pugnistis,pugnistis,You (pl.) have combated
Active Indicative,Perfect,3rd Person,Singular,pugnavit,pugnuit,pugnit,pugnit,He/she/it has combated
Active Indicative,Perfect,3rd Person,Plural,pugnaverunt,pugnuerunt,pugnerunt,pugnerunt,They have combated
Active Indicative,Pluperfect,1st Person,Singular,pugnaveram,pugnueram,pugneram,pugneram,I had combated
Active Indicative,Pluperfect,1st Person,Plural,pugnaveramus,pugnueramus,pugneramus,pugneramus,We had combated
Active Indicative,Pluperfect,2nd Person,Singular,pugnaveras,pugnueras,pugneras,pugneras,You had combated
Active Indicative,Pluperfect,2nd Person,Plural,pugnaveratis,pugnueratis,pugneratis,pugneratis,You (pl.) had combated
Active Indicative,Pluperfect,3rd Person,Singular,pugnaverat,pugnuerat,pugnerat,pugnerat,He/she/it had combated
Active Indicative,Pluperfect,3rd Person,Plural,pugnaverant,pugnuerant,pugnerant,pugnerant,They had combated
Active Indicative,Future Perfect,1st Person,Singular,pugnavero,pugnueero,pugnero,pugniero,I will have combated
Active Indicative,Future Perfect,1st Person,Plural,pugnaverimus,pugnuerimus,pugnerimus,pugnierimus,We will have combated
Active Indicative,Future Perfect,2nd Person,Singular,pugnaveris,pugnueris,pugneris,pugnieris,You will have combated
Active Indicative,Future Perfect,2nd Person,Plural,pugnaveritis,pugnueritis,pugneritis,pugnieritis,You (pl.) will have combated
Active Indicative,Future Perfect,3rd Person,Singular,pugnaverit,pugnuerit,pugnerit,pugnierit,He/she/it will have combated
Active Indicative,Future Perfect,3rd Person,Plural,pugnaverint,pugnuerint,pugnerint,pugnierint,They will have combated
Passive Indicative,Present,1st Person,Singular,pugnor,pugneor,pugnor,pugnior,I am being combated
Passive Indicative,Present,1st Person,Plural,pugnamur,pugnemur,pugnimur,pugnimur,We are being combated
Passive Indicative,Present,2nd Person,Singular,pugnaris,pugneris,pugniris,pugniris,You are being combated
Passive Indicative,Present,2nd Person,Plural,pugnamini,pugnemini,pugnimini,pugnimini,You (pl.) are being combated
Passive Indicative,Present,3rd Person,Singular,pugnatur,pugnetur,pugnitur,pugnitur,He/she/it is being combated
Passive Indicative,Present,3rd Person,Plural,pugnantur,pugnentur,pugniuntur,pugniuntur,They are being combated
Passive Indicative,Imperfect,1st Person,Singular,pugnabar,pugnebar,pugnebar,pugniebar,I was combated
Passive Indicative,Imperfect,1st Person,Plural,pugnabamur,pugnebamur,pugnebamur,pugniebamur,We were combated
Passive Indicative,Imperfect,2nd Person,Singular,pugnabaris,pugnebaris,pugnebaris,pugniebaris,You were combated
Passive Indicative,Imperfect,2nd Person,Plural,pugnabamini,pugnebamini,pugnebamini,pugniebamini,You (pl.) were combated
