Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,punctio,punctieo,punctio,punctio,I sting
Active Indicative,Present,1st Person,Plural,punctiamus,punctiemus,punctimus,punctimus,We sting
Active Indicative,Present,2nd Person,Singular,punctias,puncties,punctis,punctis,You sting
Active Indicative,Present,2nd Person,Plural,punctiatis,punctietis,punctitis,punctitis,You (pl.) sting
Active Indicative,Present,3rd Person,Singular,punctiat,punctiet,punctit,punctit,He/she/it sting
Active Indicative,Present,3rd Person,Plural,punctiant,punctient,punctiunt,punctiunt,They sting
Active Indicative,Imperfect,1st Person,Singular,punctiabam,punctiebam,punctiebam,punctiebam,I was stinging
Active Indicative,Imperfect,1st Person,Plural,punctiabamus,punctiebamus,punctiebamus,punctiebamus,We were stinging
Active Indicative,Imperfect,2nd Person,Singular,punctiabas,punctiebas,punctiebas,punctiebas,You were stinging
Active Indicative,Imperfect,2nd Person,Plural,punctiabatis,punctiebatis,punctiebatis,punctiebatis,You (pl.) were stinging
Active Indicative,Imperfect,3rd Person,Singular,punctiabat,punctiebat,punctiebat,punctiebat,He/she/it was stinging
Active Indicative,Imperfect,3rd Person,Plural,punctiabant,punctiebant,punctiebant,punctiebant,They were stinging
Active Indicative,Future,1st Person,Singular,punctiabo,punctiebo,punctiam,punctiam,I will sting
Active Indicative,Future,1st Person,Plural,punctiabimus,punctiebimus,punctiemus,punctiemus,We will sting
Active Indicative,Future,2nd Person,Singular,punctiabis,punctiebis,puncties,puncties,You will sting
Active Indicative,Future,2nd Person,Plural,punctiabitis,punctiebitis,punctietis,punctietis,You (pl.) will sting
Active Indicative,Future,3rd Person,Singular,punctiabit,punctiebit,punctiet,punctiet,He/she/it will sting
Active Indicative,Future,3rd Person,Plural,punctiabunt,punctiebunt,punctient,punctient,They will sting
Active Indicative,Perfect,1st Person,Singular,punctiavi,punctiui,puncti,puncti,I have stinged
Active Indicative,Perfect,1st Person,Plural,punctiavimus,punctiuimus,punctimus,punctimus,We have stinged
Active Indicative,Perfect,2nd Person,Singular,punctiavisti,punctiuisti,punctisti,punctisti,You have stinged
Active Indicative,Perfect,2nd Person,Plural,punctiavistis,punctiuistis,punctistis,punctistis,You (pl.) have stinged
Active Indicative,Perfect,3rd Person,Singular,punctiavit,punctiuit,punctit,punctit,He/she/it has stinged
Active Indicative,Perfect,3rd Person,Plural,punctiaverunt,punctiuerunt,punctierunt,punctierunt,They have stinged
Active Indicative,Pluperfect,1st Person,Singular,punctiaveram,punctiueram,punctieram,punctieram,I had stinged
Active Indicative,Pluperfect,1st Person,Plural,punctiaveramus,punctiueramus,punctieramus,punctieramus,We had stinged
Active Indicative,Pluperfect,2nd Person,Singular,punctiaveras,punctiueras,punctieras,punctieras,You had stinged
Active Indicative,Pluperfect,2nd Person,Plural,punctiaveratis,punctiueratis,punctieratis,punctieratis,You (pl.) had stinged
Active Indicative,Pluperfect,3rd Person,Singular,punctiaverat,punctiuerat,punctierat,punctierat,He/she/it had stinged
Active Indicative,Pluperfect,3rd Person,Plural,punctiaverant,punctiuerant,punctierant,punctierant,They had stinged
Active Indicative,Future Perfect,1st Person,Singular,punctiavero,punctiueero,punctiero,punctiero,I will have stinged
Active Indicative,Future Perfect,1st Person,Plural,punctiaverimus,punctiuerimus,punctierimus,punctierimus,We will have stinged
Active Indicative,Future Perfect,2nd Person,Singular,punctiaveris,punctiueris,punctieris,punctieris,You will have stinged
Active Indicative,Future Perfect,2nd Person,Plural,punctiaveritis,punctiueritis,punctieritis,punctieritis,You (pl.) will have stinged
Active Indicative,Future Perfect,3rd Person,Singular,punctiaverit,punctiuerit,punctierit,punctierit,He/she/it will have stinged
Active Indicative,Future Perfect,3rd Person,Plural,punctiaverint,punctiuerint,punctierint,punctierint,They will have stinged
Passive Indicative,Present,1st Person,Singular,punctior,punctieor,punctior,punctior,I am being stinged
Passive Indicative,Present,1st Person,Plural,punctiamur,punctiemur,punctimur,punctimur,We are being stinged
Passive Indicative,Present,2nd Person,Singular,punctiaris,punctieris,punctiris,punctiris,You are being stinged
Passive Indicative,Present,2nd Person,Plural,punctiamini,punctiemini,punctimini,punctimini,You (pl.) are being stinged
Passive Indicative,Present,3rd Person,Singular,punctiatur,punctietur,punctitur,punctitur,He/she/it is being stinged
Passive Indicative,Present,3rd Person,Plural,punctiantur,punctientur,punctiuntur,punctiuntur,They are being stinged
Passive Indicative,Imperfect,1st Person,Singular,punctiabar,punctiebar,punctiebar,punctiebar,I was stinged
Passive Indicative,Imperfect,1st Person,Plural,punctiabamur,punctiebamur,punctiebamur,punctiebamur,We were stinged
Passive Indicative,Imperfect,2nd Person,Singular,punctiabaris,punctiebaris,punctiebaris,punctiebaris,You were stinged
Passive Indicative,Imperfect,2nd Person,Plural,punctiabamini,punctiebamini,punctiebamini,punctiebamini,You (pl.) were stinged
Passive Indicative,Imperfect,3rd Person,Singular,punctiabatur,punctiebatur,punctiebatur,punctiebatur,He/she/it was stinged
Passive Indicative,Imperfect,3rd Person,Plural,punctiabantur,punctiebantur,punctiebantur,punctiebantur,They were stinged
Passive Indicative,Future,1st Person,Singular,punctiabor,punctiebor,punctiar,punctiar,I will be stinged
Passive Indicative,Future,1st Person,Plural,punctiabimur,punctiebimur,punctiemur,punctiemur,We will be stinged
Passive Indicative,Future,2nd Person,Singular,punctiaberis,punctieberis,punctieris,punctieris,You will be stinged
Passive Indicative,Future,2nd Person,Plural,punctiabimini,punctiebimini,punctiemini,punctiemini,You (pl.) will be stinged
Passive Indicative,Future,3rd Person,Singular,punctiabitur,punctiebitur,punctietur,punctietur,He/she/it will be stinged
Passive Indicative,Future,3rd Person,Plural,punctiabuntur,punctiebuntur,punctientur,punctientur,They will be stinged
Passive Indicative,Perfect,1st Person,Singular,punctiatus sum,punctietus sum,punctius sum,punctius sum,I have been stinged
Passive Indicative,Perfect,1st Person,Plural,punctiati sumus,punctieti sumus,puncti sumus,puncti sumus,We have been stinged
Passive Indicative,Perfect,2nd Person,Singular,punctiatus es,punctietus es,punctius es,punctius es,You have been stinged
Passive Indicative,Perfect,2nd Person,Plural,punctiati estis,punctieti estis,puncti estis,puncti estis,You (pl.) have been stinged
Passive Indicative,Perfect,3rd Person,Singular,punctiatus est,punctietus est,punctius est,punctius est,He/she/it has been stinged
Passive Indicative,Perfect,3rd Person,Plural,punctiati sunt,punctieti sunt,puncti sunt,puncti sunt,They have been stinged
Passive Indicative,Pluperfect,1st Person,Singular,punctiatus eram,punctietus eram,punctius eram,punctius eram,I had been stinged
Passive Indicative,Pluperfect,1st Person,Plural,punctiati eramus,punctieti eramus,puncti eramus,puncti eramus,We had been stinged
Passive Indicative,Pluperfect,2nd Person,Singular,punctiatus eras,punctietus eras,punctius eras,punctius eras,You had been stinged
Passive Indicative,Pluperfect,2nd Person,Plural,punctiati eratis,punctieti eratis,puncti eratis,puncti eratis,You (pl.) had been stinged
Passive Indicative,Pluperfect,3rd Person,Singular,punctiatus erat,punctietus erat,punctius erat,punctius erat,He/she/it had been stinged
Passive Indicative,Pluperfect,3rd Person,Plural,punctiati erant,punctieti erant,puncti erant,puncti erant,They had been stinged
Passive Indicative,Future Perfect,1st Person,Singular,punctiatus ero,punctietus ero,punctius ero,punctius ero,I will have been stinged
Passive Indicative,Future Perfect,1st Person,Plural,punctiati erimus,punctieti erimus,puncti erimus,puncti erimus,We will have been stinged
Passive Indicative,Future Perfect,2nd Person,Singular,punctiatus eris,punctietus eris,punctius eris,punctius eris,You will have been stinged
Passive Indicative,Future Perfect,2nd Person,Plural,punctiati eritis,punctieti eritis,puncti eritis,puncti eritis,You (pl.) will have been stinged
Passive Indicative,Future Perfect,3rd Person,Singular,punctiatus erit,punctietus erit,punctius erit,punctius erit,He/she/it will have been stinged
Passive Indicative,Future Perfect,3rd Person,Plural,punctiati erunt,punctieti erunt,puncti erunt,puncti erunt,They will have been stinged
Active Subjunctive,Present,1st Person,Singular,punctiem,punctiem,punctiam,punctiam,I may sting
Active Subjunctive,Present,1st Person,Plural,punctiemus,punctiemus,punctiamus,punctiamus,We may sting
Active Subjunctive,Present,2nd Person,Singular,puncties,puncties,punctias,punctias,You may sting
Active Subjunctive,Present,2nd Person,Plural,punctietis,punctietis,punctiatis,punctiatis,You (pl.) may sting
Active Subjunctive,Present,3rd Person,Singular,punctiet,punctiet,punctiat,punctiat,He/she/it may sting
Active Subjunctive,Present,3rd Person,Plural,punctient,punctient,punctiant,punctiant,They may sting
Active Subjunctive,Imperfect,1st Person,Singular,punctiarem,punctierem,punctierem,punctirem,I should sting
Active Subjunctive,Imperfect,1st Person,Plural,punctiaremus,punctieremus,punctieremus,punctiremus,We should sting
Active Subjunctive,Imperfect,2nd Person,Singular,punctiares,punctieres,punctieres,punctires,You should sting
Active Subjunctive,Imperfect,2nd Person,Plural,punctiaretis,punctieretis,punctieretis,punctiretis,You (pl.) should sting
Active Subjunctive,Imperfect,3rd Person,Singular,punctiaret,punctieret,punctieret,punctiret,He/she/it should sting
Active Subjunctive,Imperfect,3rd Person,Plural,punctiarent,punctierent,punctierent,punctirent,They should sting
Active Subjunctive,Perfect,1st Person,Singular,punctierim,punctiuerim,punctierim,punctierim,I may have stinged
Active Subjunctive,Perfect,1st Person,Plural,punctierimus,punctiuerimus,punctierimus,punctierimus,We may have stinged
Active Subjunctive,Perfect,2nd Person,Singular,punctieris,punctiueris,punctieris,punctieris,You may have stinged
Active Subjunctive,Perfect,2nd Person,Plural,punctieritis,punctiueritis,punctieritis,punctieritis,You (pl.) may have stinged
Active Subjunctive,Perfect,3rd Person,Singular,punctierit,punctiuerit,punctierit,punctierit,He/she/it may have stinged
Active Subjunctive,Perfect,3rd Person,Plural,punctierint,punctiuerint,punctierint,punctierint,They may have stinged
Active Subjunctive,Pluperfect,1st Person,Singular,punctissem,punctiuissem,punctissem,punctissem,I should have stinged
Active Subjunctive,Pluperfect,1st Person,Plural,punctissemus,punctiuissemus,punctissemus,punctissemus,We should have stinged
Active Subjunctive,Pluperfect,2nd Person,Singular,punctisses,punctiuisses,punctisses,punctisses,You would have stinged
Active Subjunctive,Pluperfect,2nd Person,Plural,punctissetis,punctiuissetis,punctissetis,punctissetis,You (pl.) would have stinged
Active Subjunctive,Pluperfect,3rd Person,Singular,punctisset,punctiuisset,punctisset,punctisset,He/she/it would have stinged
Active Subjunctive,Pluperfect,3rd Person,Plural,punctissent,punctiuissent,punctissent,punctissent,They would have stinged
Passive Subjunctive,Present,1st Person,Singular,punctier,punctier,punctiar,punctiar,I may be stinged
Passive Subjunctive,Present,1st Person,Plural,punctiemur,punctiemur,punctiamur,punctiamur,We may be stinged
Passive Subjunctive,Present,2nd Person,Singular,punctieris,punctieris,punctiaris,punctiaris,You may be stinged
Passive Subjunctive,Present,2nd Person,Plural,punctiemini,punctiemini,punctiamini,punctiamini,You (pl.) may be stinged
Passive Subjunctive,Present,3rd Person,Singular,punctietur,punctietur,punctiatur,punctiatur,He/she/it may be stinged
Passive Subjunctive,Present,3rd Person,Plural,punctientur,punctientur,punctiantur,punctiantur,They may be stinged
Passive Subjunctive,Imperfect,1st Person,Singular,punctiarer,punctierer,punctierer,punctirer,I should be stinged
Passive Subjunctive,Imperfect,1st Person,Plural,punctiaremur,punctieremur,punctieremur,punctiremur,We should be stinged
Passive Subjunctive,Imperfect,2nd Person,Singular,punctiareris,punctiereris,punctiereris,punctireris,You would be stinged
Passive Subjunctive,Imperfect,2nd Person,Plural,punctiaremini,punctieremini,punctieremini,punctiremini,You (pl.) would be stinged
Passive Subjunctive,Imperfect,3rd Person,Singular,punctiaretur,punctieretur,punctieretur,punctiretur,He/she/it would be stinged
Passive Subjunctive,Imperfect,3rd Person,Plural,punctiarentur,punctierentur,punctierentur,punctirentur,They would be stinged
Passive Subjunctive,Perfect,1st Person,Singular,punctiatus sim,punctietus sim,punctius sim,punctius sim,I may have been stinged
Passive Subjunctive,Perfect,1st Person,Plural,punctiati simus,punctieti simus,puncti simus,puncti simus,We may have been stinged
Passive Subjunctive,Perfect,2nd Person,Singular,punctiatus sis,punctietus sis,punctius sis,punctius sis,You may have been stinged
Passive Subjunctive,Perfect,2nd Person,Plural,punctiati sitis,punctieti sitis,puncti sitis,puncti sitis,You (pl.) may have been stinged
Passive Subjunctive,Perfect,3rd Person,Singular,punctiatus sit,punctietus sit,punctius sit,punctius sit,He/she/it may have been stinged
Passive Subjunctive,Perfect,3rd Person,Plural,punctiati sint,punctieti sint,puncti sint,puncti sint,They may have been stinged
Passive Subjunctive,Pluperfect,1st Person,Singular,punctiatus essem,punctietus essem,punctius essem,punctius essem,I should have been stinged
Passive Subjunctive,Pluperfect,1st Person,Plural,punctiati essemus,punctieti essemus,puncti essemus,puncti essemus,We should have been stinged
Passive Subjunctive,Pluperfect,2nd Person,Singular,punctiatus esses,punctietus esses,punctius esses,punctius esses,You would have been stinged
Passive Subjunctive,Pluperfect,2nd Person,Plural,punctiati essetis,punctieti essetis,puncti essetis,puncti essetis,You (pl.) would have been stinged
Passive Subjunctive,Pluperfect,3rd Person,Singular,punctiatus esset,punctietus esset,punctius esset,punctius esset,He/she/it would have been stinged
Passive Subjunctive,Pluperfect,3rd Person,Plural,punctiati essent,punctieti essent,puncti essent,puncti essent,They would have been stinged
