Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,pungo,pungeo,pungo,pungio,I sting
Active Indicative,Present,1st Person,Plural,pungamus,pungemus,pungimus,pungimus,We sting
Active Indicative,Present,2nd Person,Singular,pungas,punges,pungis,pungis,You sting
Active Indicative,Present,2nd Person,Plural,pungatis,pungetis,pungitis,pungitis,You (pl.) sting
Active Indicative,Present,3rd Person,Singular,pungat,punget,pungit,pungit,He/she/it sting
Active Indicative,Present,3rd Person,Plural,pungant,pungent,pungiunt,pungiunt,They sting
Active Indicative,Imperfect,1st Person,Singular,pungabam,pungebam,pungebam,pungiebam,I was stinging
Active Indicative,Imperfect,1st Person,Plural,pungabamus,pungebamus,pungebamus,pungiebamus,We were stinging
Active Indicative,Imperfect,2nd Person,Singular,pungabas,pungebas,pungebas,pungiebas,You were stinging
Active Indicative,Imperfect,2nd Person,Plural,pungabatis,pungebatis,pungebatis,pungiebatis,You (pl.) were stinging
Active Indicative,Imperfect,3rd Person,Singular,pungabat,pungebat,pungebat,pungiebat,He/she/it was stinging
Active Indicative,Imperfect,3rd Person,Plural,pungabant,pungebant,pungebant,pungiebant,They were stinging
Active Indicative,Future,1st Person,Singular,pungabo,pungebo,pungam,pungiam,I will sting
Active Indicative,Future,1st Person,Plural,pungabimus,pungebimus,pungemus,pungiemus,We will sting
Active Indicative,Future,2nd Person,Singular,pungabis,pungebis,punges,pungies,You will sting
Active Indicative,Future,2nd Person,Plural,pungabitis,pungebitis,pungetis,pungietis,You (pl.) will sting
Active Indicative,Future,3rd Person,Singular,pungabit,pungebit,punget,pungiet,He/she/it will sting
Active Indicative,Future,3rd Person,Plural,pungabunt,pungebunt,pungent,pungient,They will sting
Active Indicative,Perfect,1st Person,Singular,pungavi,pungui,pungi,pungi,I have stinged
Active Indicative,Perfect,1st Person,Plural,pungavimus,punguimus,pungimus,pungimus,We have stinged
Active Indicative,Perfect,2nd Person,Singular,pungavisti,punguisti,pungisti,pungisti,You have stinged
Active Indicative,Perfect,2nd Person,Plural,pungavistis,punguistis,pungistis,pungistis,You (pl.) have stinged
Active Indicative,Perfect,3rd Person,Singular,pungavit,punguit,pungit,pungit,He/she/it has stinged
Active Indicative,Perfect,3rd Person,Plural,pungaverunt,punguerunt,pungerunt,pungerunt,They have stinged
Active Indicative,Pluperfect,1st Person,Singular,pungaveram,pungueram,pungeram,pungeram,I had stinged
Active Indicative,Pluperfect,1st Person,Plural,pungaveramus,pungueramus,pungeramus,pungeramus,We had stinged
Active Indicative,Pluperfect,2nd Person,Singular,pungaveras,pungueras,pungeras,pungeras,You had stinged
Active Indicative,Pluperfect,2nd Person,Plural,pungaveratis,pungueratis,pungeratis,pungeratis,You (pl.) had stinged
Active Indicative,Pluperfect,3rd Person,Singular,pungaverat,punguerat,pungerat,pungerat,He/she/it had stinged
Active Indicative,Pluperfect,3rd Person,Plural,pungaverant,punguerant,pungerant,pungerant,They had stinged
Active Indicative,Future Perfect,1st Person,Singular,pungavero,pungueero,pungero,pungiero,I will have stinged
Active Indicative,Future Perfect,1st Person,Plural,pungaverimus,punguerimus,pungerimus,pungierimus,We will have stinged
Active Indicative,Future Perfect,2nd Person,Singular,pungaveris,pungueris,pungeris,pungieris,You will have stinged
Active Indicative,Future Perfect,2nd Person,Plural,pungaveritis,pungueritis,pungeritis,pungieritis,You (pl.) will have stinged
Active Indicative,Future Perfect,3rd Person,Singular,pungaverit,punguerit,pungerit,pungierit,He/she/it will have stinged
Active Indicative,Future Perfect,3rd Person,Plural,pungaverint,punguerint,pungerint,pungierint,They will have stinged
Passive Indicative,Present,1st Person,Singular,pungor,pungeor,pungor,pungior,I am being stinged
Passive Indicative,Present,1st Person,Plural,pungamur,pungemur,pungimur,pungimur,We are being stinged
Passive Indicative,Present,2nd Person,Singular,pungaris,pungeris,pungiris,pungiris,You are being stinged
Passive Indicative,Present,2nd Person,Plural,pungamini,pungemini,pungimini,pungimini,You (pl.) are being stinged
Passive Indicative,Present,3rd Person,Singular,pungatur,pungetur,pungitur,pungitur,He/she/it is being stinged
Passive Indicative,Present,3rd Person,Plural,pungantur,pungentur,pungiuntur,pungiuntur,They are being stinged
Passive Indicative,Imperfect,1st Person,Singular,pungabar,pungebar,pungebar,pungiebar,I was stinged
Passive Indicative,Imperfect,1st Person,Plural,pungabamur,pungebamur,pungebamur,pungiebamur,We were stinged
Passive Indicative,Imperfect,2nd Person,Singular,pungabaris,pungebaris,pungebaris,pungiebaris,You were stinged
Passive Indicative,Imperfect,2nd Person,Plural,pungabamini,pungebamini,pungebamini,pungiebamini,You (pl.) were stinged
Passive Indicative,Imperfect,3rd Person,Singular,pungabatur,pungebatur,pungebatur,pungiebatur,He/she/it was stinged
Passive Indicative,Imperfect,3rd Person,Plural,pungabantur,pungebantur,pungebantur,pungiebantur,They were stinged
Passive Indicative,Future,1st Person,Singular,pungabor,pungebor,pungar,pungiar,I will be stinged
Passive Indicative,Future,1st Person,Plural,pungabimur,pungebimur,pungemur,pungiemur,We will be stinged
Passive Indicative,Future,2nd Person,Singular,pungaberis,pungeberis,pungeris,pungieris,You will be stinged
Passive Indicative,Future,2nd Person,Plural,pungabimini,pungebimini,pungemini,pungiemini,You (pl.) will be stinged
Passive Indicative,Future,3rd Person,Singular,pungabitur,pungebitur,pungetur,pungietur,He/she/it will be stinged
Passive Indicative,Future,3rd Person,Plural,pungabuntur,pungebuntur,pungentur,pungientur,They will be stinged
Passive Indicative,Perfect,1st Person,Singular,pungatus sum,pungetus sum,pungus sum,pungus sum,I have been stinged
Passive Indicative,Perfect,1st Person,Plural,pungati sumus,pungeti sumus,pungi sumus,pungi sumus,We have been stinged
Passive Indicative,Perfect,2nd Person,Singular,pungatus es,pungetus es,pungus es,pungus es,You have been stinged
Passive Indicative,Perfect,2nd Person,Plural,pungati estis,pungeti estis,pungi estis,pungi estis,You (pl.) have been stinged
Passive Indicative,Perfect,3rd Person,Singular,pungatus est,pungetus est,pungus est,pungus est,He/she/it has been stinged
Passive Indicative,Perfect,3rd Person,Plural,pungati sunt,pungeti sunt,pungi sunt,pungi sunt,They have been stinged
Passive Indicative,Pluperfect,1st Person,Singular,pungatus eram,pungetus eram,pungus eram,pungus eram,I had been stinged
Passive Indicative,Pluperfect,1st Person,Plural,pungati eramus,pungeti eramus,pungi eramus,pungi eramus,We had been stinged
Passive Indicative,Pluperfect,2nd Person,Singular,pungatus eras,pungetus eras,pungus eras,pungus eras,You had been stinged
Passive Indicative,Pluperfect,2nd Person,Plural,pungati eratis,pungeti eratis,pungi eratis,pungi eratis,You (pl.) had been stinged
Passive Indicative,Pluperfect,3rd Person,Singular,pungatus erat,pungetus erat,pungus erat,pungus erat,He/she/it had been stinged
Passive Indicative,Pluperfect,3rd Person,Plural,pungati erant,pungeti erant,pungi erant,pungi erant,They had been stinged
Passive Indicative,Future Perfect,1st Person,Singular,pungatus ero,pungetus ero,pungus ero,pungus ero,I will have been stinged
Passive Indicative,Future Perfect,1st Person,Plural,pungati erimus,pungeti erimus,pungi erimus,pungi erimus,We will have been stinged
Passive Indicative,Future Perfect,2nd Person,Singular,pungatus eris,pungetus eris,pungus eris,pungus eris,You will have been stinged
Passive Indicative,Future Perfect,2nd Person,Plural,pungati eritis,pungeti eritis,pungi eritis,pungi eritis,You (pl.) will have been stinged
Passive Indicative,Future Perfect,3rd Person,Singular,pungatus erit,pungetus erit,pungus erit,pungus erit,He/she/it will have been stinged
Passive Indicative,Future Perfect,3rd Person,Plural,pungati erunt,pungeti erunt,pungi erunt,pungi erunt,They will have been stinged
Active Subjunctive,Present,1st Person,Singular,pungem,pungem,pungam,pungam,I may sting
Active Subjunctive,Present,1st Person,Plural,pungemus,pungemus,pungamus,pungamus,We may sting
Active Subjunctive,Present,2nd Person,Singular,punges,punges,pungas,pungas,You may sting
Active Subjunctive,Present,2nd Person,Plural,pungetis,pungetis,pungatis,pungatis,You (pl.) may sting
Active Subjunctive,Present,3rd Person,Singular,punget,punget,pungat,pungat,He/she/it may sting
Active Subjunctive,Present,3rd Person,Plural,pungent,pungent,pungant,pungant,They may sting
Active Subjunctive,Imperfect,1st Person,Singular,pungarem,pungerem,pungerem,pungirem,I should sting
Active Subjunctive,Imperfect,1st Person,Plural,pungaremus,pungeremus,pungeremus,pungiremus,We should sting
Active Subjunctive,Imperfect,2nd Person,Singular,pungares,pungeres,pungeres,pungires,You should sting
Active Subjunctive,Imperfect,2nd Person,Plural,pungaretis,pungeretis,pungeretis,pungiretis,You (pl.) should sting
Active Subjunctive,Imperfect,3rd Person,Singular,pungaret,pungeret,pungeret,pungiret,He/she/it should sting
Active Subjunctive,Imperfect,3rd Person,Plural,pungarent,pungerent,pungerent,pungirent,They should sting
Active Subjunctive,Perfect,1st Person,Singular,pungerim,punguerim,pungerim,pungierim,I may have stinged
Active Subjunctive,Perfect,1st Person,Plural,pungerimus,punguerimus,pungerimus,pungierimus,We may have stinged
Active Subjunctive,Perfect,2nd Person,Singular,pungeris,pungueris,pungeris,pungieris,You may have stinged
Active Subjunctive,Perfect,2nd Person,Plural,pungeritis,pungueritis,pungeritis,pungieritis,You (pl.) may have stinged
Active Subjunctive,Perfect,3rd Person,Singular,pungerit,punguerit,pungerit,pungierit,He/she/it may have stinged
Active Subjunctive,Perfect,3rd Person,Plural,pungerint,punguerint,pungerint,pungierint,They may have stinged
Active Subjunctive,Pluperfect,1st Person,Singular,pungissem,punguissem,pungissem,pungissem,I should have stinged
Active Subjunctive,Pluperfect,1st Person,Plural,pungissemus,punguissemus,pungissemus,pungissemus,We should have stinged
Active Subjunctive,Pluperfect,2nd Person,Singular,pungisses,punguisses,pungisses,pungisses,You would have stinged
Active Subjunctive,Pluperfect,2nd Person,Plural,pungissetis,punguissetis,pungissetis,pungissetis,You (pl.) would have stinged
Active Subjunctive,Pluperfect,3rd Person,Singular,pungisset,punguisset,pungisset,pungisset,He/she/it would have stinged
Active Subjunctive,Pluperfect,3rd Person,Plural,pungissent,punguissent,pungissent,pungissent,They would have stinged
Passive Subjunctive,Present,1st Person,Singular,punger,punger,pungar,pungar,I may be stinged
Passive Subjunctive,Present,1st Person,Plural,pungemur,pungemur,pungamur,pungamur,We may be stinged
Passive Subjunctive,Present,2nd Person,Singular,pungeris,pungeris,pungaris,pungaris,You may be stinged
Passive Subjunctive,Present,2nd Person,Plural,pungemini,pungemini,pungamini,pungamini,You (pl.) may be stinged
Passive Subjunctive,Present,3rd Person,Singular,pungetur,pungetur,pungatur,pungatur,He/she/it may be stinged
Passive Subjunctive,Present,3rd Person,Plural,pungentur,pungentur,pungantur,pungantur,They may be stinged
Passive Subjunctive,Imperfect,1st Person,Singular,pungarer,pungerer,pungerer,pungirer,I should be stinged
Passive Subjunctive,Imperfect,1st Person,Plural,pungaremur,pungeremur,pungeremur,pungiremur,We should be stinged
